爱国统一战线,ai'guo'tong'yi'zhan'xian
安于一隅,an'yu'yi'yu
奥地利一八四八年革命,ao'di'li'yi'ba'si'ba'nian'ge'ming
傲睨一切,ao'ni'yi'qie
傲睨一世,ao'ni'yi'shi
八寸为尺,ba'cun'wei'chi
拔戟成一队,ba'ji'cheng'yi'dui
巴金,ba'jin
八十一元士,ba'shi'yi'yuan'shi
八十一种好,ba'shi'yi'zhong'hao
八一建军节,ba'yi'jian'jun'jie
八一奖章,ba'yi'jiang'zhang
八一面,ba'yi'mian
八一三事变,ba'yi'san'shi'bian
八一通粉,ba'yi'tong'fen
八一宣言,ba'yi'xuan'yan
八一勋章,ba'yi'xun'zhang
八字还没有一撇,ba'zi'hai'mei'you'yi'pie
八字没见一撇,ba'zi'mei'jian'yi'pie
八字没一撇,ba'zi'mei'yi'pie
百不当一,bai'bu'dang'yi
百不失一,bai'bu'shi'yi
百不为多一不为少,bai'bu'wei'duo'yi'bu'wei'shao
百不一存,bai'bu'yi'cun
百不一贷,bai'bu'yi'dai
百不一遇,bai'bu'yi'yu
百尺竿头更进一步,bai'chi'gan'tou'geng'jin'yi'bu
百动不如一静,bai'dong'bu'ru'yi'jing
百喙如一,bai'hui'ru'yi
百喙一词,bai'hui'yi'ci
百虑一致,bai'lv'yi'zhi
百密一疏,bai'mi'yi'shu
百人附和,bai'ren'fu'he
白石道人诗说,bai'shi'dao'ren'shi'shuo
百世一人,bai'shi'yi'ren
百无一成,bai'wu'yi'cheng
百无一能,bai'wu'yi'neng
百无一用,bai'wu'yi'yong
白洋淀纪事,bai'yang'dian'ji'shi
百一,bai'yi
百一诗,bai'yi'shi
白玉青丝,bai'yu'qing'si
扮出来的,ban'chu'lai'de
半解一知,ban'jie'yi'zhi
办实业,ban'shi'ye
暴风骤雨,bao'feng'zhou'yu
报刘一丈书,bao'liu'yi'zhang'shu
包氏父子,bao'shi'fu'zi
抱一,bao'yi
背城一战,bei'cheng'yi'zhan
北京人,bei'jing'ren
北史,bei'shi
背水一战,bei'shui'yi'zhan
备送一茶,bei'song'yi'cha
北周,bei'zhou
本轻利重,ben'qing'li'zhong
本为,ben'wei
闭门不问世事,bi'men'bu'wen'shi'shi
笔算法,bi'suan'fa
彼一时,bi'yi'shi
彼一时此一时,bi'yi'shi'ci'yi'shi
闭月羞花般,bi'yue'xiu'hua'ban
编制单位,bian'zhi'dan'wei
表里不一,biao'li'bu'yi
表里如一,biao'li'ru'yi
表示,biao'shi
别创一格,bie'chuang'yi'ge
别忘了,bie'wang'le
别无分店,bie'wu'fen'dian
别置一喙,bie'zhi'yi'hui
别作一眼,bie'zuo'yi'yan
并蒂莲,bing'di'lian
冰冻三尺非一日之寒,bing'dong'san'chi'fei'yi'ri'zhi'han
并为一谈,bing'wei'yi'tan
冰心,bing'xin
波澜开闔,bo'lan'kai'he
波澜起伏,bo'lan'qi'fu
伯乐一顾,bo'le'yi'gu
剥一节,bo'yi'jie
波折多,bo'zhe'duo
不拔一毛,bu'ba'yi'mao
不吃羊肉空惹一身膻,bu'chi'yang'rou'kong're'yi'shen'shan
不到极处,bu'dao'ji'chu
步调一致,bu'diao'yi'zhi
不多些时,bu'duo'xie'shi
步伐一致,bu'fa'yi'zhi
不高兴你呢,bu'gao'xing'ni'ni
不顾一切,bu'gu'yi'qie
不管好赖,bu'guan'hao'lai
不管三七二十一,bu'guan'san'qi'er'shi'yi
不管一二,bu'guan'yi'er
不和你一般见识,bu'he'ni'yi'ban'jian'shi
不减对合利钱,bu'jian'dui'he'li'qian
不拘一格,bu'ju'yi'ge
不堪之患,bu'kan'zhi'huan
不可一世,bu'ke'yi'shi
不可知的命运,bu'ke'zhi'de'ming'yun
不留神,bu'liu'shen
不名一格,bu'ming'yi'ge
不名一钱,bu'ming'yi'qian
不起,bu'qi
不然,bu'ran
不染一尘,bu'ran'yi'chen
不胜之喜,bu'sheng'zhi'xi
不同的脚色,bu'tong'de'jue'se
不屑一顾,bu'xie'yi'gu
不一,bu'yi
不一定,bu'yi'ding
不以一眚掩大德,bu'yi'yi'sheng'yan'da'de
不因一事,bu'yin'yi'shi
不暂停,bu'zan'ting
不赞一词,bu'zan'yi'ci
不长一智,bu'zhang'yi'zhi
