裨海纪游,bi'hai'ji'you
波茨坦公告,bo'ci'tan'gong'gao
重修福建台湾府志,chong'xiu'fu'jian'tai'wan'fu'zhi
重修台湾府志,chong'xiu'tai'wan'fu'zhi
赐姓始末,ci'xing'shi'mo
从征实录,cong'zheng'shi'lu
戴案纪略,dai'an'ji'lue
淡水厅志,dan'shui'ting'zhi
岛夷志略,dao'yi'zhi'lue
东槎纪略,dong'cha'ji'lue
东番记,dong'fan'ji
东瀛纪事,dong'ying'ji'shi
东瀛识略,dong'ying'shi'lue
对驾机驾艇起义国民党官兵停止奖励的两个通告,dui'jia'ji'jia'ting'qi'yi'guo'min'dang'guan'bing'ting'zhi'jiang'li'de'liang'ge'tong'gao
二二八事件处理大纲,er'er'ba'shi'jian'chu'li'da'gang
丰臣秀吉招谕文书,feng'chen'xiu'ji'zhao'yu'wen'shu
噶玛兰厅志,ga'ma'lan'ting'zhi
噶玛兰志略,ga'ma'lan'zhi'lue
告台湾同胞书,gao'tai'wan'tong'bao'shu
给台湾父老兄弟姐妹的致敬信,gei'tai'wan'fu'lao'xiong'di'jie'mei'de'zhi'jing'xin
关于促进大陆和台湾通商贸易进一步发展的四点建议,guan'yu'cu'jin'da'lu'he'tai'wan'tong'shang'mao'yi'jin'yi'bu'fa'zhan'de'si'dian'jian'yi
关于随时准备与台湾通航的决定,guan'yu'sui'shi'zhun'bei'yu'tai'wan'tong'hang'de'jue'ding
关于随时准备与台湾通邮通电的决定,guan'yu'sui'shi'zhun'bei'yu'tai'wan'tong'you'tong'dian'de'jue'ding
国防部长彭德怀告台湾同胞书,guo'fang'bu'zhang'peng'de'huai'gao'tai'wan'tong'bao'shu
国家海洋局为随时准备与台湾海洋部门建立正常联系的决定,guo'jia'hai'yang'ju'wei'sui'shi'zhun'bei'yu'tai'wan'hai'yang'bu'men'jian'li'zheng'chang'lian'xi'de'jue'ding
国家民航总局为随时驾起台湾海峡两岸的空中桥梁作出的决定,guo'jia'min'hang'zong'ju'wei'sui'shi'jia'qi'tai'wan'hai'xia'liang'an'de'kong'zhong'qiao'liang'zuo'chu'de'jue'ding
国务院关于鼓励台湾同胞投资的规定,guo'wu'yuan'guan'yu'gu'li'tai'wan'tong'bao'tou'zi'de'gui'ding
海上见闻录,hai'shang'jian'wen'lu
荷兰投降条款,he'lan'tou'xiang'tiao'kuan
和平统一祖国的九条方针,he'ping'tong'yi'zu'guo'de'jiu'tiao'fang'zhen
吉田书简,ji'tian'shu'jian
蒋经国在国民党十一届四中全会上的开幕词,jiang'jing'guo'zai'guo'min'dang'shi'yi'jie'si'zhong'quan'hui'shang'de'kai'mu'ci
靖海纪事,jing'hai'ji'shi
开罗宣言,kai'luo'xuan'yan
蠡测汇钞,li'ce'hui'chao
廖承志致蒋经国先生信,liao'cheng'zhi'zhi'jiang'jing'guo'xian'sheng'xin
临海水土志,lin'hai'shui'tu'zhi
刘大将军平倭战纪,liu'da'jiang'jun'ping'wo'zhan'ji
刘大帅百战百胜图说,liu'da'shuai'bai'zhan'bai'sheng'tu'shuo
六法全书,liu'fa'quan'shu
刘永福布告,liu'yong'fu'bu'gao
刘渊亭大帅大事记,liu'yuan'ting'da'shuai'da'shi'ji
罗景山台湾海防并开山日记,luo'jing'shan'tai'wan'hai'fang'bing'kai'shan'ri'ji
马关条约,ma'guan'tiao'yue
美国与中国的关系白皮书,mei'guo'yu'zhong'guo'de'guan'xi'bai'pi'shu
美国政府关于美中建交的声明,mei'guo'zheng'fu'guan'yu'mei'zhong'jian'jiao'de'sheng'ming
澎湖纪略,peng'hu'ji'lue
澎湖厅志,peng'hu'ting'zhi
澎湖续编,peng'hu'xu'bian
澎湖志略,peng'hu'zhi'lue
普天忠愤录,pu'tian'zhong'fen'lu
全台绅民公约,quan'tai'shen'min'gong'yue
全台绅民致中外文告,quan'tai'shen'min'zhi'zhong'wai'wen'gao
让台记,rang'tai'ji
三国志,san'guo'zhi
施案纪略,shi'an'ji'lue
十二年科学发展计划,shi'er'nian'ke'xue'fa'zhan'ji'hua
台海使槎录,tai'hai'shi'cha'lu
台湾采访册,tai'wan'cai'fang'ce
台湾府志,tai'wan'fu'zhi
台湾割据志,tai'wan'ge'ju'zhi
台湾纪略,tai'wan'ji'lue
台湾交割全书,tai'wan'jiao'ge'quan'shu
台湾绅民吁奏清廷免割台湾电报,tai'wan'shen'min'yu'zou'qing'ting'mian'ge'tai'wan'dian'bao
台湾思恸录,tai'wan'si'tong'lu
台湾通史,tai'wan'tong'shi
台湾通志稿,tai'wan'tong'zhi'gao
台湾外记,tai'wan'wai'ji
台湾战纪,tai'wan'zhan'ji
台湾郑氏始末,tai'wan'zheng'shi'shi'mo
台湾志略,tai'wan'zhi'lue
台阳见闻录,tai'yang'jian'wen'lu
台战实纪,tai'zhan'shi'ji
唐景崧布告,tang'jing'song'bu'gao
文化部就希望海峡两岸文化艺术交流早日进行的决定,wen'hua'bu'jiu'xi'wang'hai'xia'liang'an'wen'hua'yi'shu'jiao'liu'zao'ri'jin'xing'de'jue'ding
小琉球漫志,xiao'liu'qiu'man'zhi
新竹县采访册,xin'zhu'xian'cai'fang'ce
续修台湾府志,xu'xiu'tai'wan'fu'zhi
巡台退思录,xun'tai'tui'si'lu
瀛海偕亡记,ying'hai'xie'wang'ji
樟脑条约,zhang'nao'tiao'yue
郑成功告示,zheng'cheng'gong'gao'shi
郑英通商协约,zheng'ying'tong'shang'xie'yue
治台必告录,zhi'tai'bi'gao'lu
中比通商条约,zhong'bi'tong'shang'tiao'yue
中丹天津条约,zhong'dan'tian'jin'tiao'yue
中俄天津条约,zhong'e'tian'jin'tiao'yue
中法天津条约,zhong'fa'tian'jin'tiao'yue
中共中央关于进一步落实去台人员在祖国大陆亲属政策的通知,zhong'gong'zhong'yang'guan'yu'jin'yi'bu'luo'shi'qu'tai'ren'yuan'zai'zu'guo'da'lu'qin'shu'zheng'ce'de'tong'zhi
中共中央关于落实居住在祖国大陆台湾同胞政策的指示,zhong'gong'zhong'yang'guan'yu'luo'shi'ju'zhu'zai'zu'guo'da'lu'tai'wan'tong'bao'zheng'ce'de'zhi'shi
中国人民银行中国银行向台湾金融界保险界提出的建议,zhong'guo'ren'min'yin'hang'zhong'guo'yin'hang'xiang'tai'wan'jin'rong'jie'bao'xian'jie'ti'chu'de'jian'yi
中国政府关于中美建交的声明,zhong'guo'zheng'fu'guan'yu'zhong'mei'jian'jiao'de'sheng'ming
中美八一七公报,zhong'mei'ba'yi'qi'gong'bao
中美建交公报,zhong'mei'jian'jiao'gong'bao
中美经济援助协定,zhong'mei'jing'ji'yuan'zhu'xie'ding
中美联合公报,zhong'mei'lian'he'gong'bao
中美上海公报,zhong'mei'shang'hai'gong'bao
中美双边协定,zhong'mei'shuang'bian'xie'ding
中美天津条约,zhong'mei'tian'jin'tiao'yue
中日北京专约,zhong'ri'bei'jing'zhuan'yue
周恩来外长关于美国军事介入台湾的声明,zhou'en'lai'wai'zhang'guan'yu'mei'guo'jun'shi'jie'ru'tai'wan'de'sheng'ming
周恩来总理关于美国与台湾签订共同防御条约的声明,zhou'en'lai'zong'li'guan'yu'mei'guo'yu'tai'wan'qian'ding'gong'tong'fang'yu'tiao'yue'de'sheng'ming
周恩来总理关于台湾海峡地区局势的声明,zhou'en'lai'zong'li'guan'yu'tai'wan'hai'xia'di'qu'ju'shi'de'sheng'ming
诸蕃志,zhu'bo'zhi
祖国统一寄希望于台湾当局台湾人民,zu'guo'tong'yi'ji'xi'wang'yu'tai'wan'dang'ju'tai'wan'ren'min
