阿尔弗雷德,a'er'fu'lei'de
阿弩,a'nu
阿瑟克拉克,a'se'ke'la'ke
阿西莫夫,a'xi'mo'fu
艾萨克阿西莫夫,ai'sa'ke'a'xi'mo'fu
安德,an'de
安德的影子,an'de'de'ying'zi
安德的游戏,an'de'de'you'xi
巴比伦塔,ba'bi'lun'ta
巴比伦五号,ba'bi'lun'wu'hao
八十天环游地球,ba'shi'tian'huan'you'di'qiu
霸主的影子,ba'zhu'de'ying'zi
百科全书学者,bai'ke'quan'shu'xue'zhe
被毁灭的人,bei'hui'mie'de'ren
贝斯特,bei'si'te
北野勇作,bei'ye'yong'zuo
变化的位面,bian'hua'de'wei'mian
变形金刚,bian'xing'jin'gang
彩虹尽头,cai'hong'jin'tou
长铗,chang'jia
超空间,chao'kong'jian
超能英雄,chao'neng'ying'xiong
超人,chao'ren
朝圣者,chao'sheng'zhe
朝闻道,chao'wen'dao
超限界,chao'xian'jie
超新星纪元,chao'xin'xing'ji'yuan
陈楸帆,chen'qiu'fan
迟卉,chi'hui
赤淼,chi'miao
迟暮鸟语,chi'mu'niao'yu
从地球到月球,cong'di'qiu'dao'yue'qiu
大史,da'shi
大西洋底来的人,da'xi'yang'di'lai'de'ren
带上她的眼睛,dai'shang'ta'de'yan'jing
档案,dang'an
第二基地,di'er'ji'di
帝国双星,di'guo'shuang'xing
地球大炮,di'qiu'da'pao
地球三体组织,di'qiu'san'ti'zu'zhi
地球往事,di'qiu'wang'shi
地心游记,di'xin'you'ji
掉线,diao'xian
丁仪,ding'yi
独立日,du'li'ri
端点星,duan'dian'xing
发条橙,fa'tiao'cheng
凡尔纳海洋三部曲,fan'er'na'hai'yang'san'bu'qu
反乌托邦,fan'wu'tuo'bang
反物质,fan'wu'zhi
反物质飞船,fan'wu'zhi'fei'chuan
反物质辐射,fan'wu'zhi'fu'she
飞氘,fei'dao
费尔蒙特中学的流星岁月,fei'er'meng'te'zhong'xue'de'liu'xing'sui'yue
飞狼,fei'lang
飞跃界,fei'yue'jie
弗兰肯斯坦,fu'lan'ken'si'tan
弗雷德里克,fu'lei'de'li'ke
弗诺文奇,fu'nuo'wen'qi
负数与零,fu'shu'yu'ling
钢穴,gang'xue
钢印族,gang'yin'zu
格尔格兰五号,ge'er'ge'lan'wu'hao
格兰格尔五号,ge'lan'ge'er'wu'hao
呱啦啦,gua'la'la
广濑正,guang'lai'zheng
光晕,guang'yun
硅基生命,gui'ji'sheng'ming
贵族们的游戏,gui'zu'men'de'you'xi
海伯利安,hai'bo'li'an
海底两万里,hai'di'liang'wan'li
海豚岛,hai'tun'dao
海因莱因,hai'yin'lai'yin
韩松,han'song
何夕,he'xi
黑暗的左手,hei'an'de'zuo'shou
黑暗森林,hei'an'sen'lin
黑洞,hei'dong
黑色星期五,hei'se'xing'qi'wu
黑太阳,hei'tai'yang
红岸基地,hong'an'ji'di
洪荒世界三部曲,hong'huang'shi'jie'san'bu'qu
蝴蝶效应,hu'die'xiao'ying
化身博士,hua'shen'bo'shi
回到未来,hui'dao'wei'lai
回忆爱玛侬,hui'yi'ai'ma'nong
火星叔叔马丁,huo'xing'shu'shu'ma'ding
基地,ji'di
基地边缘,ji'di'bian'yuan
基地前奏,ji'di'qian'zou
基地三部曲,ji'di'san'bu'qu
基地与帝国,ji'di'yu'di'guo
基地与地球,ji'di'yu'di'qiu
机器岛,ji'qi'dao
寄生前夜,ji'sheng'qian'ye
计算中的上帝,ji'suan'zhong'de'shang'di
机械公敌,ji'xie'gong'di
基因战争,ji'yin'zhan'zheng
监听员,jian'ting'yuan
江波,jiang'bo
杰克威廉森,jie'ke'wei'lian'sen
进入盛夏之门,jin'ru'sheng'xia'zhi'men
金羊毛,jin'yang'mao
鲸歌,jing'ge
矩阵,ju'zhen
开关星,kai'guan'xing
科幻,ke'huan
科幻世界,ke'huan'shi'jie
克苏鲁神话,ke'su'lu'shen'hua
恐龙文明三部曲,kong'long'wen'ming'san'bu'qu
傀儡主人,kui'lei'zhu'ren
奎宁,kui'ning
拉芙娜,la'fu'na
拉克是条狗,la'ke'shi'tiao'gou
拉拉,la'la
类人,lei'ren
利伯蒂的远征,li'bo'di'de'yuan'zheng
黎明世界的机器人,li'ming'shi'jie'de'ji'qi'ren
刘慈欣,liu'ci'xin
柳文扬,liu'wen'yang
罗伯特索耶,luo'bo'te'suo'ye
罗辑,luo'ji
罗隆翔,luo'long'xiang
马克五号,ma'ke'wu'hao
玛丽雪莱,ma'li'xue'lai
马姨,ma'yi
迈向基地,mai'xiang'ji'di
漫长的十一小时,man'chang'de'shi'yi'xiao'shi
美国众神,mei'guo'zhong'shen
美丽新世界,mei'li'xin'shi'jie
面壁计划,mian'bi'ji'hua
面壁者,mian'bi'zhe
魔鬼积木,mo'gui'ji'mu
倪匡,ni'kuang
你们这些还魂尸,ni'men'zhe'xie'huan'hun'shi
你一生的故事,ni'yi'sheng'de'gu'shi
爬行界,pa'xing'jie
霹雳五号,pi'li'wu'hao
霹雳游侠,pi'li'you'xia
平行宇宙,ping'xing'yu'zhou
破壁者,po'bi'zhe
七重外壳,qi'chong'wai'ke
奇妙的航程,qi'miao'de'hang'cheng
气球上的星期五,qi'qiu'shang'de'xing'qi'wu
企业号,qi'ye'hao
钱莉芳,qian'li'fang
千年战争,qian'nian'zhan'zheng
青河,qing'he
青河舰队,qing'he'jian'dui
球状闪电,qiu'zhuang'shan'dian
全频带阻塞干扰,quan'pin'dai'zu'se'gan'rao
群星我的归宿,qun'xing'wo'de'gui'su
人类的遗产,ren'lei'de'yi'chan
日本沉没,ri'ben'chen'mo
日暮,ri'mu
儒勒凡尔纳,ru'le'fan'er'na
赛博朋克,sai'bo'peng'ke
三尖树时代,san'jian'shu'shi'dai
三体,san'ti
沙虫,sha'chong
沙漠蚯蚓,sha'mo'qiu'yin
沙丘,sha'qiu
沙丘救世主,sha'qiu'jiu'shi'zhu
沙丘三部曲,sha'qiu'san'bu'qu
杀人证,sha'ren'zheng
赡养上帝,shan'yang'shang'di
神经浪游者,shen'jing'lang'you'zhe
神们自己,shen'men'zi'ji
神秘博士,shen'mi'bo'shi
神秘岛,shen'mi'dao
审判日,shen'pan'ri
神圣约法,shen'sheng'yue'fa
深瞳,shen'tong
深渊上的火,shen'yuan'shang'de'huo
生化危机,sheng'hua'wei'ji
失败主义,shi'bai'zhu'yi
十二猴子,shi'er'hou'zi
石黑达昌,shi'hei'da'chang
时间悖论,shi'jian'bei'lun
时间回旋,shi'jian'hui'xuan
时间机器,shi'jian'ji'qi
时间足够你爱,shi'jian'zu'gou'ni'ai
世界大战,shi'jie'da'zhan
衰微香料,shuai'wei'xiang'liao
双星,shuang'xing
思想钢印,si'xiang'gang'yin
死者代言人,si'zhe'dai'yan'ren
索拉利斯星,suo'la'li'si'xing
索耶,suo'ye
太空堡垒卡拉狄加,tai'kong'bao'lei'ka'la'di'jia
太空歌剧,tai'kong'ge'ju
太空漫游,tai'kong'man'you
泰星来客,tai'xing'lai'ke
太阳帆,tai'yang'fan
碳基生命,tan'ji'sheng'ming
逃跑主义,tao'pao'zhu'yi
特德姜,te'de'jiang
天幕坠落,tian'mu'zhui'luo
天人,tian'ren
天生我材,tian'sheng'wo'cai
天堂的雷霆,tian'tang'de'lei'ting
天堂里的喷泉,tian'tang'li'de'pen'quan
天意,tian'yi
天渊,tian'yuan
田中芳树,tian'zhong'fang'shu
童年的终结,tong'nian'de'zhong'jie
外交豁免权,wai'jiao'huo'mian'quan
外星人,wai'xing'ren
外星屠异,wai'xing'tu'yi
外祖父悖论,wai'zu'fu'bei'lun
玩具修理者,wan'ju'xiu'li'zhe
万象峰年,wan'xiang'feng'nian
王晋康,wang'jin'kang
汪淼,wang'miao
威尔斯,wei'er'si
微纪元,wei'ji'yuan
威廉吉布森,wei'lian'ji'bu'sen
卫斯理,wei'si'li
我机器人,wo'ji'qi'ren
吴岩,wu'yan
献给阿尔吉侬的花束,xian'gei'a'er'ji'nong'de'hua'shu
小川一水,xiao'chuan'yi'shui
小林泰三,xiao'lin'tai'san
小灵通漫游未来,xiao'ling'tong'man'you'wei'lai
小松左京,xiao'song'zuo'jing
谢里克,xie'li'ke
心灵历史学家,xin'ling'li'shi'xue'jia
星船伞兵,xing'chuan'san'bing
星丛,xing'cong
星河,xing'he
星际旅行,xing'ji'lv'xing
星际之门,xing'ji'zhi'men
星舰地球,xing'jian'di'qiu
星门,xing'men
星球大战,xing'qiu'da'zhan
星新一,xing'xin'yi
行星防御理事会,xing'xing'fang'yu'li'shi'hui
循环,xun'huan
迅行十载,xun'xing'shi'zai
燕垒生,yan'lei'sheng
严厉的月亮,yan'li'de'yue'liang
姚海军,yao'hai'jun
叶文洁,ye'wen'jie
叶永烈,ye'yong'lie
一日囚,yi'ri'qiu
异乡异客,yi'xiang'yi'ke
异形,yi'xing
异形庇护所,yi'xing'bi'hu'suo
异域,yi'yu
异镇,yi'zhen
银河帝国,yin'he'di'guo
银河奖,yin'he'jiang
银河系公民,yin'he'xi'gong'min
银河系漫游指南,yin'he'xi'man'you'zhi'nan
银河英雄传说,yin'he'ying'xiong'chuan'shuo
隐身人,yin'shen'ren
尤里卡镇,you'li'ka'zhen
幽灵五号,you'ling'wu'hao
雨果根斯巴克,yu'guo'gen'si'ba'ke
雨果奖,yu'guo'jiang
与拉玛会合,yu'la'ma'hui'he
宇宙尽头的餐馆,yu'zhou'jin'tou'de'can'guan
宇宙涟漪中的星球,yu'zhou'lian'yi'zhong'de'xing'qiu
远古入侵,yuan'gu'ru'qin
月亮孩子,yue'liang'hai'zi
真名实姓,zhen'ming'shi'xing
郑军,zheng'jun
郑文光,zheng'wen'guang
植花演义,zhi'hua'yan'yi
蜘蛛侠,zhi'zhu'xia
中国,zhong'guo
中国太阳,zhong'guo'tai'yang
终结者,zhong'jie'zhe
重力使命,zhong'li'shi'ming
庄颜,zhuang'yan
自由意志,zi'you'yi'zhi
醉步男,zui'bu'nan
