阿里山,a'li'shan
安和村,an'he'cun
北斗村,bei'dou'cun
北港溪,bei'gang'xi
布袋镇,bu'dai'zhen
草山,cao'shan
曾文水库,ceng'wen'shui'ku
触口,chu'kou
大湖村,da'hu'cun
大寮,da'liao
大林镇,da'lin'zhen
大潭村,da'tan'cun
大庭,da'ting
德家里,de'jia'li
德兴里,de'xing'li
东光村,dong'guang'cun
东石,dong'shi
番路,fan'lu
奋起湖,fen'qi'hu
丰山村,feng'shan'cun
港墘,gang'qian
港尾村,gang'wei'cun
古林,gu'lin
官和村,guan'he'cun
好美里,hao'mei'li
和睦村,he'mu'cun
后湖,hou'hu
后寮,hou'liao
后潭,hou'tan
后寨,hou'zhai
后庄,hou'zhuang
火烧寮,huo'shao'liao
嘉义市,jia'yi'shi
嘉义县,jia'yi'xian
江西村,jiang'xi'cun
客庄,ke'zhuang
刘厝里,liu'cuo'li
六脚,liu'jiao
龙眼村,long'yan'cun
鹿草,lu'cao
马头山,ma'tou'shan
梅山,mei'shan
民雄,min'xiong
南乡村,nan'xiang'cun
内林,nei'lin
内埔,nei'pu
牛魔角,niu'mo'jiao
平溪村,ping'xi'cun
瑞里,rui'li
三家村,san'jia'cun
三民里,san'min'li
三中村,san'zhong'cun
山美村,shan'mei'cun
石研,shi'yan
树林里,shu'lin'li
水坑,shui'keng
水上,shui'shang
四维桥,si'wei'qiao
松脚,song'jiao
松山村,song'shan'cun
塔山,ta'shan
太保,tai'bao
桃源,tao'yuan
田寮,tian'liao
同仁村,tong'ren'cun
头桥,tou'qiao
瓦厝,wa'cuo
湾南村,wan'nan'cun
网寮,wang'liao
吴凤,wu'feng
溪口,xi'kou
溪洲,xi'zhou
下寮里,xia'liao'li
下路子,xia'lu'zi
下潭村,xia'tan'cun
下庄,xia'zhuang
新碑,xin'bei
新店,xin'dian
新港,xin'gang
新官村,xin'guan'cun
新寮,xin'liao
新美村,xin'mei'cun
新庄,xin'zhuang
义竹,yi'zhu
月眉村,yue'mei'cun
占山,zhan'shan
正义村,zheng'yi'cun
忠和村,zhong'he'cun
中埔,zhong'pu
竹崎,zhu'qi
竹子脚,zhu'zi'jiao
