阿根廷碱,a'gen'ting'jian
阿枯米辛碱,a'ku'mi'xin'jian
阿托品,a'tuo'pin
安尼素碱,an'ni'su'jian
澳洲茄边碱,ao'zhou'jia'bian'jian
澳洲茄碱,ao'zhou'jia'jian
巴婆碱,ba'po'jian
百步次碱,bai'bu'ci'jian
百部碱,bai'bu'jian
白兰花碱,bai'lan'hua'jian
白屈菜红碱,bai'qu'cai'hong'jian
白屈菜黄碱,bai'qu'cai'huang'jian
白屈菜碱,bai'qu'cai'jian
白屈菜玉红碱,bai'qu'cai'yu'hong'jian
白鲜碱,bai'xian'jian
斑点亚洲婴粟碱,ban'dian'ya'zhou'ying'su'jian
半日花酚碱甲醚,ban'ri'hua'fen'jian'jia'mi
棒石松碱,bang'shi'song'jian
贝母辛碱,bei'mu'xin'jian
北通水苏碱,bei'tong'shui'su'jian
荜茇明碱,bi'ba'ming'jian
比枯枯灵碱,bi'ku'ku'ling'jian
蓖麻碱,bi'ma'jian
蝙蝠葛碱,bian'fu'ge'jian
扁平石松碱,bian'ping'shi'song'jian
别一叶荻碱,bie'yi'ye'di'jian
别隐品碱,bie'yin'pin'jian
槟榔碱,bing'lang'jian
博落回碱,bo'luo'hui'jian
茶碱,cha'jian
蟾蜍硫堇碱,chan'chu'liu'jin'jian
长春多宁,chang'chun'duo'ning
长春花碱,chang'chun'hua'jian
长春碱,chang'chun'jian
长春考灵文考灵碱,chang'chun'kao'ling'wen'kao'ling'jian
长春尼宁,chang'chun'ni'ning
长春新碱,chang'chun'xin'jian
臭豆碱,chou'dou'jian
臭山羊碱,chou'shan'yang'jian
穿叶赝靛碱,chuan'ye'yan'dian'jian
垂石松碱,chui'shi'song'jian
刺茄碱,ci'jia'jian
刺凌德草碱,ci'ling'de'cao'jian
刺桐碱,ci'tong'jian
次乌头碱,ci'wu'tou'jian
粗榧碱,cu'fei'jian
大麦芽碱,da'mai'ya'jian
大尾摇碱,da'wei'yao'jian
倒千里光裂碱,dao'qian'li'guang'lie'jian
岛藤碱,dao'teng'jian
倒提壶碱,dao'ti'hu'jian
德考定碱,de'kao'ding'jian
蒂巴因,di'ba'yin
地不容碱,di'bu'rong'jian
鸐式唐松草碱,di'shi'tang'song'cao'jian
滇刺枣碱,dian'ci'zao'a
颠茄碱,dian'qie'jian
东莨菪碱,dong'liang'dang'jian
毒藜碱,du'li'jian
毒芹碱,du'qin'jian
对叶百部碱,dui'ye'bai'bu'jian
多根乌头碱,duo'gen'wu'tou'jian
多花水仙碱,duo'hua'shui'xian'jian
惰碱,duo'jian
儿茶钩藤碱,er'cha'gou'teng'jian
法式石松碱,fa'shi'shi'song'jian
番荔枝碱,fan'li'zhi'jian
番荔枝叶碱,fan'li'zhi'ye'jian
番木虌次碱,fan'mu'bie'ci'jian
番木虌碱,fan'mu'bie'jian
番木瓜碱,fan'mu'gua'jian
非替定碱,fei'ti'ding'jian
非洲防己碱,fei'zhou'fang'ji'jian
粉防己碱,fen'fang'ji'jian
粉绿罂粟碱,fen'lv'ying'su'jian
粉蕊黄杨碱,fen'rui'huang'yang'a
粉蕊黄杨醇碱,fen'rui'huang'yang'chun'jian
芬式唐松草碱,fen'shi'tang'song'cao'jian
高唐碱,gao'tang'jian
高硬飞燕草碱,gao'ying'fei'yan'cao'jian
钩藤碱,gou'teng'jian
古豆碱,gu'dou'jian
冠狗牙花定碱,guan'gou'ya'hua'ding'jian
光萼猪屎豆碱,guang'e'zhu'shi'dou'jian
光千金藤定碱,guang'qian'jin'teng'ding'jian
光千金藤碱,guang'qian'jin'teng'jian
光千屈菜碱,guang'qian'qu'cai'jian
光叶花椒碱,guang'ye'hua'jiao'jian
海牙剔定碱,hai'ya'ti'ding'jian
海罂粟碱,hai'ying'su'jian
汉防己碱,han'fang'ji'jian
含羞草碱,han'xiu'cao'jian
禾草碱,he'cao'jian
和常山碱,he'chang'shan'jian
河豚毒素,he'tun'du'su
荷叶碱,he'ye'jian
黑儿茶碱,hei'er'cha'jian
衡州乌药灵碱,heng'zhou'wu'yao'ling'jian
红豆裂碱,hong'dou'lie'jian
红古豆碱,hong'gu'dou'jian
厚果槐碱,hou'guo'huai'jian
胡椒碱,hu'jiao'jian
胡椒新碱,hu'jiao'xin'jian
葫芦巴碱,hu'lu'ba'jian
胡颓子碱,hu'tui'zi'jian
槐胺碱,huai'an'jian
槐定碱,huai'ding'jian
槐根碱,huai'gen'jian
环常绿黄杨碱,huan'chang'lv'huang'yang'jian
环小叶黄杨碱,huan'xiao'ye'huang'yang'jian
黄柏碱,huang'bo'jian
黄常山碱甲,huang'chang'shan'jian'jia
黄华碱,huang'hua'jian
黄花木碱,huang'hua'mu'jian
黄连碱,huang'lian'jian
黄肉楠碱,huang'rou'nan'jian
黄唐松草生碱,huang'tang'song'cao'sheng'jian
黄唐松草星碱,huang'tang'song'cao'xing'jian
黄心树宁碱,huang'xin'shu'ning'jian
黄杨碱,huang'yang'e
鸡骨常山碱,ji'gu'chang'shan'jian
计默任碱,ji'mo'ren'jian
假托品碱,jia'tuo'pin'jian
加锡弥罗果碱,jia'xi'mi'luo'guo'jian
尖防己碱,jian'fang'ji'jian
间千金藤碱,jian'qian'jin'teng'jian
箭头唐松草碱,jian'tou'tang'song'cao'jian
箭头唐松草米定碱,jian'tou'tang'song'cao'mi'ding'jian
尖叶石松碱,jian'ye'shi'song'jian
降荷叶碱,jiang'he'ye'jian
降真香碱,jiang'zhen'xiang'jian
角秋水仙碱,jiao'qiu'shui'xian'jian
芥芬碱,jie'fen'jian
芥子碱,jie'zi'jian
金鸡宁,jin'ji'ning
金雀花碱,jin'que'hua'jian
卷柏石松碱,juan'bai'shi'song'jian
卡擦任碱,ka'ca'ren'jian
咖啡碱,ka'fei'jian
咖坡明碱,ka'po'ming'jian
康奎胺碱,kang'kui'an'jian
考辛碱,kao'xin'jian
可待因,ke'dai'yin
可旦民碱,ke'dan'min'jian
可可豆碱,ke'ke'dou'jian
柯楠因碱,ke'nan'yin'jian
柯诺辛碱,ke'nuo'xin'jian
克杞碱,ke'qi'jian
克氏千里光宁碱,ke'shi'qian'li'guang'ning'jian
可他宁,ke'ta'ning
刻叶紫堇明碱,ke'ye'zi'jin'ming'jian
空褐胺宁碱,kong'he'an'ning'jian
苦茄碱,ku'jia'jian
苦木酮碱,ku'mu'tong'jian
苦参碱,ku'shen'jian
奎宁,kui'ning
阔叶千里光碱,kuo'ye'qian'li'guang'jian
辣椒碱,la'jiao'jian
蜡梅碱,la'mei'jian
蓝刺头碱,lan'ci'tou'jian
莨菪品碱,lang'dang'pin'jian
狼尾草麦角碱,lang'wei'cao'mai'jiao'jian
劳丹碱,lao'dan'jian
勒欓碱,le'dang'jian
雷公藤碱,lei'gong'teng'jian
肋麦角碱,lei'mai'jiao'jian
丽春花定碱,li'chun'hua'ding'jian
利血平,li'xue'ping
粒枝碱,li'zhi'jian
莲花宁碱,lian'hua'ning'jian
莲碱,lian'jian
莲心碱,lian'xin'jian
两面针碱,liang'mian'zhen'jian
菱叶野决明碱,ling'ye'ye'jue'ming'jian
六驳碱,liu'bo'jian
柳叶木兰碱,liu'ye'mu'lan'jian
龙胆黄碱,long'dan'huang'jian
龙葵碱茄碱,long'kui'jian'jia'jian
路因碱,lu'yin'jian
轮环藤酚碱,lun'huan'teng'fen'jian
轮环藤宁碱,lun'huan'teng'ning'jian
萝菜碱,luo'cai'jian
螺粉蕊黄杨碱,luo'fen'rui'huang'yang'jian
萝芙木碱,luo'fu'mu'jian
洛柯碱,luo'ke'jian
裸麦角碱,luo'mai'jiao'jian
箩摩米宁,luo'mo'mi'ning
骆驼蓬碱,luo'tuo'peng'jian
骆驼篷碱,luo'tuo'peng'jian
绿花倒提壶碱,lv'hua'dao'ti'hu'jian
吗啡,ma'fei
麻黄碱,ma'huang'jian
马钱子碱,ma'qian'zi'jian
马蹄叶碱,ma'ti'ye'jian
