阿昌族,a'chang'zu
阿大,a'da
阿根,a'gen
阿公,a'gong
阿妹,a'mei
阿姨,a'yi
腌臜,a'za
皑皑白雪,ai'ai'bai'xue
挨打,ai'da
叆叇,ai'dai
挨饿,ai'e
爱干净,ai'gan'jing
爱辉,ai'hui
瑷珲,ai'hui
爱集体荣誉,ai'ji'ti'rong'yu
挨家查问,ai'jia'cha'wen
娭毑,ai'jie
碍口,ai'kou
爱劳动,ai'lao'dong
哀怜,ai'lian
挨骂,ai'ma
暧昧,ai'mei
欸乃,ai'nai
欸乃一声山水绿,ai'nai'yi'sheng'shan'shui'lv
哀其不幸,ai'qi'bu'xing
蔼然可亲,ai'ran'ke'qin
爱人民,ai'ren'min
挨日子,ai'ri'zi
碍事,ai'shi
碍手碍脚,ai'shou'ai'jiao
哎呀,ai'ya
哎哟,ai'yo
爱游泳,ai'you'yong
挨着号叫,ai'zhe'hao'jiao
挨着一条河,ai'zhe'yi'tiao'he
艾滋病,ai'zi'bing
爱祖国,ai'zu'guo
按兵不动,an'bing'bu'dong
按部就班,an'bu'jiu'ban
鹌鹑,an'chun
俺村,an'cun
暗淡,an'dan
安电灯,an'dian'deng
按电铃,an'dian'ling
安定,an'ding
埯豆,an'dou
铵根,an'gen
埯瓜,an'gua
暗号,an'hao
安居乐业,an'ju'le'ye
安康,an'kang
鮟鱇,an'kang
按理说,an'li'shuo
谙练,an'lian
按脉,an'mai
俺们,an'men
安民告示,an'min'gao'shi
按摩,an'mo
安能如此,an'neng'ru'ci
安排,an'pai
安培,an'pei
案情,an'qing
安全,an'quan
黯然,an'ran
黯然泪下,an'ran'lei'xia
暗杀,an'sha
安神,an'shen
桉树,an'shu
庵堂,an'tang
按图索骥,an'tu'suo'ji
安心,an'xin
安营扎寨,an'ying'zha'zhai
按语,an'yu
暗于知己,an'yu'zhi'ji
安置,an'zhi
暗中摸索,an'zhong'mo'suo
安装,an'zhuang
鞍子,an'zi
悲哀,bei'ai
备案,bei'an
狴犴,bi'an
编者按,bian'zhe'an
别挨磨了,bie'ai'mo'le
不谙水性,bu'an'shui'xing
尘埃,chen'ai
痴騃,chi'ai
而今安在,er'jin'an'zai
犯案,fan'an
方兴未艾,fang'xing'wei'ai
肝癌,gan'ai
海岸,hai'an
和蔼,he'ai
河岸,he'an
江岸,jiang'an
举案齐眉,ju'an'qi'mei
嫪毐,lao'ai
令嫒,ling'ai
令爱,ling'ai
明于知彼,ming'yu'zhi'bi
默哀,mo'ai
暮霭,mu'ai
平安,ping'an
破案,po'an
气量狭隘,qi'liang'xia'ai
少艾,shao'ai
提案,ti'an
铁爱生锈,tie'ai'sheng'xiu
胃癌,wei'ai
伟岸,wei'an
五卅惨案,wu'sa'can'an
喜怒哀乐,xi'nu'ai'le
狭隘,xia'ai
心中暗喜,xin'zhong'an'xi
要隘,yao'ai
议案,yi'an
拥军爱民,yong'jun'ai'min
友爱,you'ai
有案可查,you'an'ke'cha
云霭,yun'ai
治安,zhi'an
转危为安,zhuan'wei'wei'an
