安固石亭,an'gu'shi'ting
安平桥,an'ping'qiao
安溪瓷窑址,an'xi'ci'yao'zhi
安溪文庙,an'xi'wen'miao
八达楼子,ba'da'lou'zi
百源川池,bai'yuan'chuan'chi
碧霄岩,bi'xiao'yan
蔡氏古民居,cai'shi'gu'min'ju
蔡资深民居,cai'zi'shen'min'ju
草庵,cao'an
草庵摩尼教寺,cao'an'mo'ni'jiao'si
城隍庙,cheng'huang'miao
承天寺,cheng'tian'si
崇福寺,chong'fu'si
崇武古城,chong'wu'gu'cheng
赐恩岩,ci'en'yan
磁灶古窑址,ci'zao'gu'yao'zhi
翠屏湖,cui'ping'hu
岱仙瀑布,dai'xian'pu'bu
岱仙山,dai'xian'shan
戴云山,dai'yun'shan
德化陶瓷博物馆,de'hua'tao'ci'bo'wu'guan
丁氏祠堂,ding'shi'ci'tang
东关桥,dong'guan'qiao
东湖公园,dong'hu'gong'yuan
东田窑址,dong'tian'yao'zhi
东西塔,dong'xi'ta
法石真武,fa'shi'zhen'wu
芳草园,fang'cao'yuan
凤山寺,feng'shan'si
富美宫,fu'mei'gong
府文庙,fu'wen'miao
古船陈列馆,gu'chuan'chen'lie'guan
姑嫂塔,gu'sao'ta
海交馆,hai'jiao'guan
海外交通史博物馆,hai'wai'jiao'tong'shi'bo'wu'guan
弘一法师墓塔,hong'yi'fa'shi'mu'ta
后城文化街,hou'cheng'wen'hua'jie
虎屿岩,hu'yu'yan
花桥慈济宫,hua'qiao'ci'ji'gong
黄金海岸,huang'jin'hai'an
基督教泉南堂,ji'du'jiao'quan'nan'tang
金门民俗文化村,jin'men'min'su'wen'hua'cun
净峰寺,jing'feng'si
九日山,jiu'ri'shan
九仙山,jiu'xian'shan
开元寺,kai'yuan'si
科山公园,ke'shan'gong'yuan
喇嘛教三世佛造像,la'ma'jiao'san'shi'fo'zao'xiang
老君岩,lao'jun'yan
李光地故居,li'guang'di'gu'ju
李贽故居,li'zhi'gu'ju
莲花峰石刻,lian'hua'feng'shi'ke
灵山圣墓,ling'shan'sheng'mu
灵应寺,ling'ying'si
灵源寺,ling'yuan'si
六胜塔,liu'sheng'ta
龙山寺,long'shan'si
洛阳桥,luo'yang'qiao
弥陀岩,mi'tuo'yan
摩尼石刻,mo'ni'shi'ke
南少林,nan'shao'lin
南天寺,nan'tian'si
牛姆林,niu'mu'lin
祈风石刻群,qi'feng'shi'ke'qun
千年古桑,qian'nian'gu'sang
清净寺,qing'jing'si
青山湾,qing'shan'wan
清水岩,qing'shui'yan
清源山,qing'yuan'shan
邱良功母节孝坊,qiu'liang'gong'mu'jie'xiao'fang
屈斗宫,qu'dou'gong
泉南堂,quan'nan'tang
榕园,rong'yuan
瑞像岩,rui'xiang'yan
沙格灵慈宫,sha'ge'ling'ci'gong
深沪湾,shen'hu'wan
深沪湾海底古森林,shen'hu'wan'hai'di'gu'sen'lin
圣墓,sheng'mu
施琅墓,shi'lang'mu
石牛山,shi'niu'shan
石狮海洋世界,shi'shi'hai'yang'shi'jie
石笋,shi'sun
水上乐园,shui'shang'le'yuan
苏夫人姑庙,su'fu'ren'gu'miao
宿燕寺,su'yan'si
唐代桑树,tang'dai'sang'shu
陶瓷博物馆,tao'ci'bo'wu'guan
天后宫,tian'hou'gong
通淮关岳庙,tong'huai'guan'yue'miao
涂门街,tu'men'jie
陀罗尼经幢,tuo'luo'ni'jing'chuang
王潮墓,wang'chao'mu
文台宝塔,wen'tai'bao'ta
五里桥,wu'li'qiao
五塔岩,wu'ta'yan
西湖公园,xi'hu'gong'yuan
西资岩石佛,xi'zi'yan'shi'fo
仙公山,xian'gong'shan
贤良祠,xian'liang'ci
雪峰寺,xue'feng'si
衙口施氏大宗祠,ya'kou'shi'shi'da'zong'ci
延平郡王祠,yan'ping'jun'wang'ci
杨阿苗故居,yang'a'miao'gu'ju
伊斯兰教圣墓,yi'si'lan'jiao'sheng'mu
永宁城隍庙,yong'ning'cheng'huang'miao
游乐园,you'le'yuan
俞大猷墓,yu'da'you'mu
真武庙,zhen'wu'miao
郑成功纪念馆,zheng'cheng'gong'ji'nian'guan
郑成功史迹,zheng'cheng'gong'shi'ji
中山纪念林,zhong'shan'ji'nian'lin
状元街,zhuang'yuan'jie
紫帽山,zi'mao'shan
