阿维德构思,a'wei'de'gou'si
白兵,bai'bing
白方,bai'fang
白格,bai'ge
百格,bai'ge
白棋,bai'qi
白胜,bai'sheng
白先,bai'xian
白先胜,bai'xian'sheng
半开放局面,ban'kai'fang'ju'mian
必吃,bi'chi
必吃规则,bi'chi'gui'ze
边兵,bian'bing
变王,bian'wang
边线,bian'xian
别特思打击,bie'te'si'da'ji
不允许升变规则,bu'yun'xu'sheng'bian'gui'ze
残局,can'ju
策略,ce'lue
侧翼,ce'yi
长翼,chang'yi
吃兵,chi'bing
吃王,chi'wang
吃子,chi'zi
大道,da'dao
打击,da'ji
搭桥打击,da'qiao'da'ji
底线,di'xian
钉子局面,ding'zi'ju'mian
短翼,duan'yi
兑兵,dui'bing
对方,dui'fang
兑王,dui'wang
兑子,dui'zi
多兵,duo'bing
多两兵,duo'liang'bing
多两兵的王,duo'liang'bing'de'wang
多两王,duo'liang'wang
多三兵,duo'san'bing
多三王,duo'san'wang
多王,duo'wang
多一兵,duo'yi'bing
多一兵的王,duo'yi'bing'de'wang
多一王,duo'yi'wang
多子,duo'zi
法布尔构思,fa'bu'er'gou'si
反射打击,fan'she'da'ji
菲利普打击,fei'li'pu'da'ji
格子,ge'zi
构思,gou'si
古典局面,gu'dian'ju'mian
国际跳棋,guo'ji'tiao'qi
国王打击,guo'wang'da'ji
黑兵,hei'bing
黑方,hei'fang
黑格,hei'ge
黑棋,hei'qi
黑胜,hei'sheng
黑先,hei'xian
黑先胜,hei'xian'sheng
己方,ji'fang
计划,ji'hua
技术,ji'shu
计算,ji'suan
计算能力,ji'suan'neng'li
开放局面,kai'fang'ju'mian
开局,kai'ju
拉法尔打击,la'fa'er'da'ji
莱亨巴赫构思,lai'heng'ba'he'gou'si
两兵的王,liang'bing'de'wang
轮到白方走棋,lun'dao'bai'fang'zou'qi
轮到黑方走棋,lun'dao'hei'fang'zou'qi
落后兵,luo'hou'bing
米善斯基构思,mi'shan'si'ji'gou'si
磨盘打击,mo'pan'da'ji
拿破仑打击,na'po'lun'da'ji
叛变的兵,pan'bian'de'bing
叛兵,pan'bing
弃兵,qi'bing
棋盘,qi'pan
弃王,qi'wang
弃子,qi'zi
棋子,qi'zi
前哨兵,qian'shao'bing
瑞士打击,rui'shi'da'ji
三兵的王,san'bing'de'wang
三联道,san'lian'dao
少兵,shao'bing
少两兵的王,shao'liang'bing'de'wang
少三兵的王,shao'san'bing'de'wang
少一兵的王,shao'yi'bing'de'wang
少子,shao'zi
升变格,sheng'bian'ge
升王,sheng'wang
施普林盖尔构思,shi'pu'lin'gai'er'gou'si
双重道,shuang'chong'dao
双方,shuang'fang
太极式打击,tai'ji'shi'da'ji
梯子打击,ti'zi'da'ji
土耳其打击,tu'er'qi'da'ji
弯月打击,wan'yue'da'ji
王棋,wang'qi
围攻,wei'gong
位置,wei'zhi
悬兵,xuan'bing
选多,xuan'duo
选多规则,xuan'duo'gui'ze
一兵的王,yi'bing'de'wang
有吃必吃,you'chi'bi'chi
有多吃多,you'duo'chi'duo
右翼,you'yi
炸弹打击,zha'dan'da'ji
战略,zhan'lue
战术,zhan'shu
战术组合,zhan'shu'zu'he
直角打击,zhi'jiao'da'ji
中局,zhong'ju
中心,zhong'xin
中心兵,zhong'xin'bing
抓王,zhua'wang
捉兵,zhuo'bing
捉王,zhuo'wang
捉子,zhuo'zi
左翼,zuo'yi
