八股文,ba'gu'wen
八卦,ba'gua
八开本,ba'kai'ben
白话文,bai'hua'wen
白绵纸,bai'mian'zhi
白字,bai'zi
半报导性文摘,ban'bao'dao'xing'wen'zhai
版本,ban'ben
版本鉴定,ban'ben'jian'ding
版本年代,ban'ben'nian'dai
版本书目图书馆采购用,ban'ben'shu'mu'tu'shu'guan'cai'gou'yong
版本说明编目用,ban'ben'shuo'ming'bian'mu'yong
版本说明不详,ban'ben'shuo'ming'bu'xiang
版本图书馆,ban'ben'tu'shu'guan
半布装,ban'bu'zhuang
半布装本,ban'bu'zhuang'ben
半季刊,ban'ji'kan
半精装,ban'jing'zhuang
半卷本,ban'juan'ben
版面编辑,ban'mian'bian'ji
版面规格,ban'mian'gui'ge
版面设计,ban'mian'she'ji
半年刊,ban'nian'kan
版权侵犯,ban'quan'qin'fan
版权所有,ban'quan'suo'you
版权页,ban'quan'ye
版权页标记书写题署,ban'quan'ye'biao'ji'shu'xie'ti'shu
版权转让,ban'quan'zhuan'rang
版式,ban'shi
版税,ban'shui
版楔印,ban'xie'yin
版心,ban'xin
版样,ban'yang
半月刊,ban'yue'kan
包背装,bao'bei'zhuang
保存版,bao'cun'ban
保存图书馆贮备图书馆,bao'cun'tu'shu'guan'zhu'bei'tu'shu'guan
报告文学,bao'gao'wen'xue
保留本,bao'liu'ben
保留本藏书,bao'liu'ben'cang'shu
报纸索引,bao'zhi'suo'yin
包装纸,bao'zhuang'zhi
被撕毁的书,bei'si'hui'de'shu
碑帖,bei'tie
备忘录,bei'wang'lu
碑文,bei'wen
备注,bei'zhu
必读书目,bi'du'shu'mu
壁画,bi'hua
避讳,bi'hui
笔记小说,bi'ji'xiao'shuo
匾额,bian'e
编目,bian'mu
编年表,bian'nian'biao
编年法,bian'nian'fa
编年史,bian'nian'shi
编年体,bian'nian'ti
编史工作,bian'shi'gong'zuo
变文,bian'wen
编写述评,bian'xie'shu'ping
编写摘要,bian'xie'zhai'yao
编写注释,bian'xie'zhu'shi
编者按,bian'zhe'an
编者序言,bian'zhe'xu'yan
标题词,biao'ti'ci
表意文字,biao'yi'wen'zi
标引文献,biao'yin'wen'xian
别集,bie'ji
别名,bie'ming
别史,bie'shi
别传,bie'zhuan
别字,bie'zi
帛画,bo'hua
博士论文,bo'shi'lun'wen
帛书,bo'shu
博物馆学,bo'wu'guan'xue
薄纸,bo'zhi
薄纸型版,bo'zhi'xing'ban
补编,bu'bian
不成套丛书,bu'cheng'tao'cong'shu
补充版,bu'chong'ban
补充本,bu'chong'ben
补充读物,bu'chong'du'wu
补充教材,bu'chong'jiao'cai
补充篇,bu'chong'pian
补充页,bu'chong'ye
补充著录,bu'chong'zhu'lu
补充著录事项,bu'chong'zhu'lu'shi'xiang
不定型丛书,bu'ding'xing'cong'shu
不公开发行,bu'gong'kai'fa'xing
补缺本,bu'que'ben
补缺目录,bu'que'mu'lu
补缺页,bu'que'ye
不署名文献,bu'shu'ming'wen'xian
不同版本,bu'tong'ban'ben
不同文本,bu'tong'wen'ben
补遗,bu'yi
不准翻印,bu'zhun'fan'yin
彩色套印,cai'se'tao'yin
藏书家,cang'shu'jia
藏书章,cang'shu'zhang
臣道,chen'dao
虫蛀本书,chong'zhu'ben'shu
出土文物,chu'tu'wen'wu
大学,da'xue
大篆,da'zhuan
断简残篇,duan'jian'can'pian
对开版,dui'kai'ban
对开本,dui'kai'ben
对联,dui'lian
敦煌壁画,dun'huang'bi'hua
多种文字提要,duo'zhong'wen'zi'ti'yao
繁体字,fan'ti'zi
梵文梵语,fan'wen'fan'yu
坊本,fang'ben
仿宋字体,fang'song'zi'ti
方言小说,fang'yan'xiao'shuo
方志,fang'zhi
稿件在审阅中,gao'jian'zai'shen'yue'zhong
行间页边的注释训诂,hang'jian'ye'bian'de'zhu'shi'xun'gu
祭祀,ji'si
校雠学,jiao'chou'xue
校订,jiao'ding
校订者,jiao'ding'zhe
校对,jiao'dui
校对错误,jiao'dui'cuo'wu
校对符号,jiao'dui'fu'hao
校对员,jiao'dui'yuan
校勘,jiao'kan
校勘古本,jiao'kan'gu'ben
校勘学,jiao'kan'xue
校勘者,jiao'kan'zhe
校验字符,jiao'yan'zi'fu
校样,jiao'yang
校样校对,jiao'yang'jiao'dui
校样印版,jiao'yang'yin'ban
胶印版,jiao'yin'ban
校阅,jiao'yue
校正,jiao'zheng
校正重印,jiao'zheng'chong'yin
脚注,jiao'zhu
精刻本,jing'ke'ben
精美版,jing'mei'ban
精确开本,jing'que'kai'ben
精选门类,jing'xuan'men'lei
精选目录,jing'xuan'mu'lu
精装,jing'zhuang
精装本,jing'zhuang'ben
旧版,jiu'ban
旧藏,jiu'cang
据史书记载,ju'shi'shu'ji'zai
绢本,juan'ben
