艾启蒙,ai'qi'meng
爱斯基摩艺术,ai'si'ji'mo'yi'shu
安德义,an'de'yi
安良发,an'liang'fa
暗面,an'mian
凹凸光,ao'tu'guang
八大,ba'da
八方行笔,ba'fang'xing'bi
巴洛克美术,ba'luo'ke'mei'shu
巴洛克式,ba'luo'ke'shi
白蕉,bai'jiao
白描,bai'miao
白雪石,bai'xue'shi
拜占庭美术,bai'zhan'ting'mei'shu
拜占庭式,bai'zhan'ting'shi
瓣根,ban'gen
瓣尖,ban'jian
包栋,bao'dong
背临,bei'lin
背羽,bei'yu
笔断意连,bi'duan'yi'lian
笔法,bi'fa
笔锋,bi'feng
笔腹,bi'fu
毕闳,bi'hong
笔尖,bi'jian
笔墨,bi'mo
笔墨丹青,bi'mo'dan'qing
笔墨技巧,bi'mo'ji'qiao
笔墨意境,bi'mo'yi'jing
笔洗,bi'xi
笔阵图,bi'zhen'tu
边景昭,bian'jing'zhao
边鸾,bian'luan
边平山,bian'ping'shan
边寿民,bian'shou'min
边文进,bian'wen'jin
裱褙,biao'bei
裱画,biao'hua
表现主义,biao'xian'zhu'yi
鬓残,bin'can
宾主揖让,bin'zhu'yi'rang
丙烯,bing'xi
帛画,bo'hua
擦染,ca'ran
蔡嘉,cai'jia
曹霸,cao'ba
曹弗兴,cao'fu'xing
草绿,cao'lv
曹衣描,cao'yi'miao
曹仲达,cao'zhong'da
曹仲玄,cao'zhong'xuan
侧锋,ce'feng
册页,ce'ye
参差错落,cen'ci'cuo'luo
曾鲸,ceng'jing
曾熙,ceng'xi
查士标,cha'shi'biao
柴笔描,chai'bi'miao
颤笔,chan'bi
长披麻,chang'pi'ma
长披麻皴,chang'pi'ma'cun
超现实主义,chao'xian'shi'zhu'yi
陈半丁,chen'ban'ding
陈椿,chen'chun
陈淳,chen'chun
陈丹青,chen'dan'qing
陈道复,chen'dao'fu
陈衡恪,chen'heng'ke
陈闳,chen'hong
陈洪绶,chen'hong'shou
陈嘉乐,chen'jia'le
陈鉴,chen'jian
陈介祺,chen'jie'qi
陈居中,chen'ju'zhong
陈老莲,chen'lao'lian
陈琳,chen'lin
陈枚,chen'mei
陈佩秋,chen'pei'qiu
陈平,chen'ping
衬染,chen'ran
陈容,chen'rong
陈汝言,chen'ru'yan
陈少梅,chen'shao'mei
陈升,chen'sheng
趁湿,chen'shi
陈师曾,chen'shi'ceng
陈树人,chen'shu'ren
陈修范,chen'xiu'fan
陈逸飞,chen'yi'fei
陈之佛,chen'zhi'fo
陈子庄,chen'zi'zhuang
程十发,cheng'shi'fa
程璋,cheng'zhang
程正揆,cheng'zheng'kui
冲彩,chong'cai
抽象派,chou'xiang'pai
抽象主义,chou'xiang'zhu'yi
出枝,chu'zhi
传统年画,chuan'tong'nian'hua
传统重彩,chuan'tong'zhong'cai
传移模写,chuan'yi'mo'xie
垂露,chui'lu
纯度,chun'du
椿叶点,chun'ye'dian
粗细均匀,cu'xi'jun'yun
攒三聚五,cuan'san'ju'wu
崔白,cui'bai
翠绿,cui'lv
崔悫,cui'que
皴擦,cun'ca
存在主义,cun'zai'zhu'yi
达达主义,da'da'zhu'yi
大红,da'hong
大混点,da'hun'dian
大间小,da'jian'xiao
大青绿,da'qing'lv
大小曲直,da'xiao'qu'zhi
