按钮,an'niu
按钮触点,an'niu'chu'dian
安培,an'pei
安全油,an'quan'you
半导体,ban'dao'ti
饱和水,bao'he'shui
饱和蒸汽,bao'he'zheng'qi
保护和跳闸,bao'hu'he'tiao'zha
报警器,bao'jing'qi
比焓,bi'han
闭环,bi'huan
避雷器,bi'lei'qi
比例溢流阀,bi'li'yi'liu'fa
比容,bi'rong
比体积,bi'ti'ji
壁温,bi'wen
变电站,bian'dian'zhan
变送器,bian'song'qi
变压器,bian'ya'qi
并网,bing'wang
并行接口,bing'xing'jie'kou
波特率,bo'te'lv
采样器,cai'yang'qi
操作机构,cao'zuo'ji'gou
操作台,cao'zuo'tai
侧墙,ce'qiang
测试仪表,ce'shi'yi'biao
长期停机,chang'qi'ting'ji
厂用变,chang'yong'bian
超导体,chao'dao'ti
超高压,chao'gao'ya
充电器,chong'dian'qi
冲动式汽轮机,chong'dong'shi'qi'lun'ji
冲击耐受电压,chong'ji'nai'shou'dian'ya
抽汽,chou'qi
出汽,chu'qi
储气罐,chu'qi'guan
出线盒,chu'xian'he
除盐水,chu'yan'shui
除氧器,chu'yang'qi
喘震,chuan'zhen
吹灰,chui'hui
吹灰器,chui'hui'qi
吹灰蒸汽,chui'hui'zheng'qi
吹扫,chui'sao
磁场作用,ci'chang'zuo'yong
磁导率,ci'dao'lv
次烟煤,ci'yan'mei
错误检验和恢复,cuo'wu'jian'yan'he'hui'fu
错误指示器,cuo'wu'zhi'shi'qi
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
大气式扩容器,da'qi'shi'kuo'rong'qi
大修,da'xiu
大轴,da'zhou
单向流动,dan'xiang'liu'dong
导纳,dao'na
导体,dao'ti
导叶,dao'ye
等离子燃烧器,deng'li'zi'ran'shao'qi
低加,di'jia
低旁,di'pang
低温过热器,di'wen'guo're'qi
低温再热器,di'wen'zai're'qi
低压厂用变,di'ya'chang'yong'bian
低压缸,di'ya'gang
电厂,dian'chang
电磁,dian'ci
电磁阀,dian'ci'fa
电导率,dian'dao'lv
电动机控制中心,dian'dong'ji'kong'zhi'zhong'xin
电动机启动装置,dian'dong'ji'qi'dong'zhuang'zhi
电动门,dian'dong'men
电动调阀,dian'dong'tiao'fa
电动液压,dian'dong'ye'ya
电感电流,dian'gan'dian'liu
点火,dian'huo
点火器,dian'huo'qi
电加热器,dian'jia're'qi
电抗,dian'kang
电缆,dian'lan
电流互感器,dian'liu'hu'gan'qi
电流信号,dian'liu'xin'hao
电气设备,dian'qi'she'bei
电容,dian'rong
电容电流,dian'rong'dian'liu
电容器,dian'rong'qi
电枢,dian'shu
电网,dian'wang
电涡流式检测器,dian'wo'liu'shi'jian'ce'qi
电压互感器,dian'ya'hu'gan'qi
电压转换器,dian'ya'zhuan'huan'qi
电压自由触点,dian'ya'zi'you'chu'dian
电源,dian'yuan
电站,dian'zhan
电阻,dian'zu
吊耳,diao'er
调门,diao'men
蝶阀,die'fa
顶棚管,ding'peng'guan
定位,ding'wei
定压,ding'ya
顶轴油,ding'zhou'you
顶轴油泵,ding'zhou'you'beng
定子,ding'zi
定子机座,ding'zi'ji'zuo
动稳定,dong'wen'ding
动叶片,dong'ye'pian
斗提机,dou'ti'ji
断路器,duan'lu'qi
锻造,duan'zao
端子,duan'zi
端子箱,duan'zi'xiang
对称度,dui'chen'du
对流烟道,dui'liu'yan'dao
多功能处理器,duo'gong'neng'chu'li'qi
惰化,duo'hua
多项式,duo'xiang'shi
额定负荷,e'ding'fu'he
二次风,er'ci'feng
二次风机,er'ci'feng'ji
二极管,er'ji'guan
二进制,er'jin'zhi
二进制单元,er'jin'zhi'dan'yuan
二进制计数器,er'jin'zhi'ji'shu'qi
发电机,fa'dian'ji
