超前排放孔,chao'qian'pai'fang'kong
抽采管路监测装置,chou'cai'guan'lu'jian'ce'zhuang'zhi
抽采空白带,chou'cai'kong'bai'dai
穿层钻,chuan'ceng'zuan
底抽巷,di'chou'xiang
放水器,fang'shui'qi
防突效检工,fang'tu'xiao'jian'gong
风井灌浆站,feng'jing'guan'jiang'zhan
风巷,feng'xiang
高抽巷,gao'chou'xiang
高位钻场,gao'wei'zuan'chang
高压磨料水力割缝,gao'ya'mo'liao'shui'li'ge'feng
工作面,gong'zuo'mian
郝朋,hao'peng
机电检修车间,ji'dian'jian'xiu'che'jian
己二西翼中部变电所,ji'er'xi'yi'zhong'bu'bian'dian'suo
揭煤,jie'mei
孔间距,kong'jian'ju
轮眼,lun'yan
煤质站,mei'zhi'zhan
汽车队,qi'che'dui
切眼,qie'yan
筛分楼,shai'fen'lou
上山,shang'shan
社保中心,she'bao'zhong'xin
石门,shi'men
石门揭煤,shi'men'jie'mei
水力压裂,shui'li'ya'lie
顺槽,shun'cao
顺层钻,shun'ceng'zuan
戊一绞车房回风道,wu'yi'jiao'che'fang'hui'feng'dao
戊一中三车场,wu'yi'zhong'san'che'chang
下山,xia'shan
卸压钻,xie'ya'zuan
掩护支架采煤法,yan'hu'zhi'jia'cai'mei'fa
医疗站,yi'liao'zhan
迎头,ying'tou
预抽煤层瓦斯,yu'chou'mei'ceng'wa'si
栅栏,zha'lan
综机综掘工厂,zong'ji'zong'jue'gong'chang
