阿尔柯巴雷诺,a'er'ke'ba'lei'nuo
爱哭鬼蓝波,ai'ku'gui'lan'bo
艾斯托拉涅欧,ai'si'tuo'la'nie'ou
安翠欧,an'cui'ou
巴吉尔,ba'ji'er
巴兹,ba'zi
白兰,bai'lan
白兰氏鸡精,bai'lan'shi'ji'jing
暴风雨之戒,bao'feng'yu'zhi'jie
贝尔,bei'er
贝尔菲哥尔,bei'er'fei'ge'er
碧洋琪,bi'yang'qi
并盛,bing'sheng
并盛町,bing'sheng'ding
并盛国中,bing'sheng'guo'zhong
并盛校歌,bing'sheng'xiao'ge
并盛中学,bing'sheng'zhong'xue
并中风纪委员长,bing'zhong'feng'ji'wei'yuan'zhang
并中校庆日,bing'zhong'xiao'qing'ri
彩虹婴儿,cai'hong'ying'er
城岛犬,cheng'dao'quan
畜生道,chu'sheng'dao
大谷美贵,da'gu'mei'gui
大空指环,da'kong'zhi'huan
稲村优奈,dao'cun'you'nai
迪诺,di'nuo
帝王攻,di'wang'gong
地狱道,di'yu'dao
迪云,di'yun
电击角,dian'ji'jiao
电气角,dian'qi'jiao
电气体质,dian'qi'ti'zhi
杜尔,du'er
毒蝎,du'xie
毒蝎子,du'xie'zi
多玛佐,duo'ma'zuo
饿鬼道,e'gui'dao
饭田利信,fan'tian'li'xin
凤梨教主,feng'li'jiao'zhu
凤梨头,feng'li'tou
凤梨王子,feng'li'wang'zi
风太,feng'tai
豊永利行,feng'yong'li'xing
浮萍拐,fu'ping'guai
附身弹,fu'shen'tan
纲吉,gang'ji
恭弥,gong'mi
国分优香里,guo'fen'you'xiang'li
骸大,hai'da
骸纲,hai'gang
骸样,hai'yang
骸云,hai'yun
黑川花,hei'chuan'hua
黑曜,hei'yao
黑曜中学,hei'yao'zhong'xue
吉田仁美,ji'tian'ren'mei
极限太阳,ji'xian'tai'yang
加百罗涅,jia'bai'luo'nie
剑帝,jian'di
戒指争夺战,jie'zhi'zheng'duo'zhan
近藤隆,jin'teng'long
津田健次郎,jin'tian'jian'ci'lang
井上优,jing'shang'you
京子,jing'zi
卡鲁卡沙,ka'lu'ka'sha
可乐尼路,ke'le'ni'lu
可乐尼洛,ke'le'ni'luo
库洛姆,ku'luo'mu
库洛姆骷髅,ku'luo'mu'ku'lou
拉尔,la'er
蓝波,lan'bo
兰奇亚,lan'qi'ya
岚之戒,lan'zhi'jie
雷守,lei'shou
雷之戒,lei'zhi'jie
雷之守护者,lei'zhi'shou'hu'zhe
里包恩,li'bao'en
鎌苅健太,lian'yi'jian'tai
了平,liao'ping
列恩,lie'en
六道骸,liu'dao'hai
鲁斯里亚,lu'si'li'ya
伦迦,lun'jia
玛门,ma'men
曼格斯塔,man'ge'si'ta
米尔奇,mi'er'qi
密鲁菲奥雷,mi'lu'fei'ao'lei
密鲁菲欧雷,mi'lu'fei'ou'lei
木内秀信,mu'nei'xiu'xin
内藤玲,nei'teng'ling
内藤龙祥,nei'teng'long'xiang
潘迪拉,pan'di'la
彭哥列,peng'ge'lie
批评弹,pi'ping'tan
平野贵裕,ping'ye'gui'yu
前田刚,qian'tian'gang
晴守,qing'shou
晴之戒,qing'zhi'jie
晴之守护者,qing'zhi'shou'hu'zhe
人间道,ren'jian'dao
入江正一,ru'jiang'zheng'yi
三叉戟,san'cha'ji
三瓶由布子,san'ping'you'bu'zi
三浦春,san'pu'chun
山本的球棒,shan'ben'de'qiu'bang
山本刚,shan'ben'gang
山本武,shan'ben'wu
山芋,shan'yu
深见梨加,shen'jian'li'jia
胜矢,sheng'shi
柿本千种,shi'ben'qian'zhong
食草性动物,shi'cao'xing'dong'wu
十代目,shi'dai'mu
石井翔子,shi'jing'xiang'zi
史卡鲁,shi'ka'lu
史库瓦罗,shi'ku'wa'luo
市瀬秀和,shi'lai'xiu'he
十年后火箭炮,shi'nian'hou'huo'jian'pao
十年后火箭筒,shi'nian'hou'huo'jian'tong
十年后炮,shi'nian'hou'pao
十年火箭炮,shi'nian'huo'jian'pao
史佩尔毕,shi'pei'er'bi
时雨苍燕流,shi'yu'cang'yan'liu
时雨金时,shi'yu'jin'shi
甩拐,shuai'guai
死气,si'qi
死气弹,si'qi'tan
死气丸,si'qi'wan
寺狱,si'yu
叹息弹,tan'xi'tan
特式,te'shi
天界道,tian'jie'dao
天空之戒,tian'kong'zhi'jie
天野,tian'ye
天野娘,tian'ye'niang
田中理恵,tian'zhong'li'hui
跳马,tiao'ma
跳马迪诺,tiao'ma'di'nuo
兔子姬,tu'zi'ji
瓦利亚,wa'li'ya
威尔帝,wei'er'di
雾守,wu'shou
雾之戒,wu'zhi'jie
雾之守护者,wu'zhi'shou'hu'zhe
夏大叔,xia'da'shu
夏马尔,xia'ma'er
小春,xiao'chun
小言纲,xiao'yan'gang
小言弹,xiao'yan'tan
小言状态,xiao'yan'zhuang'tai
小正,xiao'zheng
修罗道,xiu'luo'dao
燕特攻,yan'te'gong
咬杀,yao'sha
一平,yi'ping
雨手,yu'shou
狱寺隼人,yu'si'sun'ren
雨之戒,yu'zhi'jie
雨之守护者,yu'zhi'shou'hu'zhe
云豆,yun'dou
雲雀,yun'que
雲雀恭弥,yun'que'gong'mi
云雀恭弥,yun'que'gong'mi
云之戒,yun'zhi'jie
泽田,ze'tian
泽田纲吉,ze'tian'gang'ji
泽田家光,ze'tian'jia'guang
沢田家康,ze'tian'jia'kang
泽田奈奈,ze'tian'nai'nai
竹内顺子,zhu'nei'shun'zi
竹寿司,zhu'shou'si
