阿波罗酒店,a'bo'luo'jiu'dian
爱雅口腔,ai'ya'kou'qiang
安仁,an'ren
八七一零部队,ba'qi'yi'ling'bu'dui
保尾,bao'wei
贝克啤酒厂,bei'ke'pi'jiu'chang
北磨,bei'mo
部队医院,bu'dui'yi'yuan
步行街,bu'xing'jie
车辆检测站,che'liang'jian'ce'zhan
城厢区法院,cheng'xiang'qu'fa'yuan
城厢区交警大队,cheng'xiang'qu'jiao'jing'da'dui
城厢区运管所,cheng'xiang'qu'yun'guan'suo
城厢区政府,cheng'xiang'qu'zheng'fu
赤溪,chi'xi
赤溪市场,chi'xi'shi'chang
厝柄市场,cuo'bing'shi'chang
厝柄小学,cuo'bing'xiao'xue
大桥头,da'qiao'tou
埭里,dai'li
顶墩,ding'dun
东城,dong'cheng
东方国际大酒店,dong'fang'guo'ji'da'jiu'dian
洞湖村,dong'hu'cun
洞湖口,dong'hu'kou
东井街,dong'jing'jie
东桥头,dong'qiao'tou
东圳路口,dong'zhen'lu'kou
儿童乐园,er'tong'le'yuan
凤凰别墅山庄,feng'huang'bie'shu'shan'zhuang
凤凰路口,feng'huang'lu'kou
凤凰山,feng'huang'shan
凤凰山广场,feng'huang'shan'guang'chang
丰美路口,feng'mei'lu'kou
凤祥路口,feng'xiang'lu'kou
福利区后门,fu'li'qu'hou'men
福利纸厂,fu'li'zhi'chang
福兴小区,fu'xing'xiao'qu
高速路口,gao'su'lu'kou
拱辰街道办事处,gong'chen'jie'dao'ban'shi'chu
工艺美术城,gong'yi'mei'shu'cheng
公园路口,gong'yuan'lu'kou
沟头圆圈,gou'tou'yuan'quan
观桥,guan'qiao
国欢镇,guo'huan'zhen
海峡职中,hai'xia'zhi'zhong
涵江保尾,han'jiang'bao'wei
涵江车站,han'jiang'che'zhan
涵江区政府,han'jiang'qu'zheng'fu
涵江市场,han'jiang'shi'chang
汉庭花园,han'ting'hua'yuan
后卓村,hou'zhuo'cun
后卓圆圈,hou'zhuo'yuan'quan
华侨师范,hua'qiao'shi'fan
黄石工艺城,huang'shi'gong'yi'cheng
黄石四脚亭,huang'shi'si'jiao'ting
汇通大酒店,hui'tong'da'jiu'dian
纪念碑,ji'nian'bei
嘉新商业城,jia'xin'shang'ye'cheng
教师进修学校,jiao'shi'jin'xiu'xue'xiao
交通花园,jiao'tong'hua'yuan
九华大酒店,jiu'hua'da'jiu'dian
旧汽车站,jiu'qi'che'zhan
九五医院,jiu'wu'yi'yuan
军分区,jun'fen'qu
康复医院,kang'fu'yi'yuan
快乐农庄,kuai'le'nong'zhuang
阔口,kuo'kou
劳动大厦,lao'dong'da'sha
荔城路口,li'cheng'lu'kou
荔城医院,li'cheng'yi'yuan
荔浦公园,li'pu'gong'yuan
六城门,liu'cheng'men
六一路口,liu'yi'lu'kou
龙桥市场,long'qiao'shi'chang
梅峰寺,mei'feng'si
梅园路口,mei'yuan'lu'kou
民政局,min'zheng'ju
民族医院,min'zu'yi'yuan
名殿女人街,ming'dian'nv'ren'jie
南方医院,nan'fang'yi'yuan
南湖公园,nan'hu'gong'yuan
南门公共站,nan'men'gong'gong'zhan
农贸市场,nong'mao'shi'chang
农民街路口,nong'min'jie'lu'kou
蒲板路口,pu'ban'lu'kou
莆田八中,pu'tian'ba'zhong
莆田二中,pu'tian'er'zhong
莆田九中,pu'tian'jiu'zhong
莆田四中,pu'tian'si'zhong
莆田糖厂,pu'tian'tang'chang
莆田学院,pu'tian'xue'yuan
莆田学院附属医院,pu'tian'xue'yuan'fu'shu'yi'yuan
莆田学院学生公寓,pu'tian'xue'yuan'xue'sheng'gong'yu
莆田移动电信公司,pu'tian'yi'dong'dian'xin'gong'si
莆田医学院,pu'tian'yi'xue'yuan
莆田医院,pu'tian'yi'yuan
莆田一中,pu'tian'yi'zhong
莆仙大剧院,pu'xian'da'ju'yuan
莆一中后门,pu'yi'zhong'hou'men
启迪国际社区,qi'di'guo'ji'she'qu
区法院,qu'fa'yuan
区公安分局,qu'gong'an'fen'ju
区教育中心,qu'jiao'yu'zhong'xin
区运管所,qu'yun'guan'suo
融辉小区,rong'hui'xiao'qu
三山村,san'shan'cun
三信花园,san'xin'hua'yuan
三信家园,san'xin'jia'yuan
山牌,shan'pai
省税校,sheng'shui'xiao
市电信公司,shi'dian'xin'gong'si
市电信局,shi'dian'xin'ju
市法院,shi'fa'yuan
市公交东站,shi'gong'jiao'dong'zhan
市公交公司,shi'gong'jiao'gong'si
市公交南站,shi'gong'jiao'nan'zhan
市公路稽征处,shi'gong'lu'ji'zheng'chu
市工商局,shi'gong'shang'ju
市广电中心,shi'guang'dian'zhong'xin
市技校,shi'ji'xiao
市检察院,shi'jian'cha'yuan
市建设局,shi'jian'she'ju
市检验检疫局,shi'jian'yan'jian'yi'ju
市交警支队,shi'jiao'jing'zhi'dui
市交通局,shi'jiao'tong'ju
市科技学院,shi'ke'ji'xue'yuan
市农行,shi'nong'hang
石室路口,shi'shi'lu'kou
市体育中心,shi'ti'yu'zhong'xin
市委党校,shi'wei'dang'xiao
市卫生局,shi'wei'sheng'ju
