拔白菜,ba'bai'cai
八个姑娘打擂台,ba'ge'gu'niang'da'lei'tai
八戒打店,ba'jie'da'dian
扒墙头,ba'qiang'tou
灞桥,ba'qiao
灞桥挑袍,ba'qiao'tiao'pao
八样礼,ba'yang'li
摆渡姑娘,bai'du'gu'niang
白狗沾卷,bai'gou'zhan'juan
白桂香割肝,bai'gui'xiang'ge'gan
百花古人名,bai'hua'gu'ren'ming
白金哥私访,bai'jin'ge'si'fang
百年大计,bai'nian'da'ji
白娘子,bai'niang'zi
百鸟朝凤,bai'niao'chao'feng
白袍征东,bai'pao'zheng'dong
百忍图,bai'ren'tu
白蛇盗丹,bai'she'dao'dan
白蛇诉功,bai'she'su'gong
白蛇传,bai'she'zhuan
拜师认亲,bai'shi'ren'qin
拜新年,bai'xin'nian
柏秀英绣蚊帐,bai'xiu'ying'xiu'wen'zhang
白玉楼画画,bai'yu'lou'hua'hua
白猿教刀,bai'yuan'jiao'dao
白猿偷桃,bai'yuan'tou'tao
败子回头,bai'zi'hui'tou
搬家记,ban'jia'ji
半拉子探病,ban'la'zi'tan'bing
办喜事,ban'xi'shi
半夜叫门,ban'ye'jiao'men
棒打薄情郎,bang'da'bo'qing'lang
鲍不平,bao'bu'ping
包豆包,bao'dou'bao
包公断后,bao'gong'duan'hou
包公逛庙,bao'gong'guang'miao
包公哭灵,bao'gong'ku'ling
包公赔情,bao'gong'pei'qing
包公铡侄,bao'gong'zha'zhi
包饺子,bao'jiao'zi
宝山霞光,bao'shan'xia'guang
保乌纱,bao'wu'sha
蹦登歌,beng'deng'ge
碧空银花,bi'kong'yin'hua
鞭打芦花,bian'da'lu'hua
别娶二房婆,bie'qu'er'fang'po
并蒂红花,bing'di'hong'hua
补背褡,bu'bei'da
补汗褟,bu'han'ta
补麻袋,bu'ma'dai
不招待江湖人,bu'zhao'dai'jiang'hu'ren
采茶,cai'cha
彩莲劝夫,cai'lian'quan'fu
彩球记,cai'qiu'ji
才子会,cai'zi'hui
参观苏联展览馆,can'guan'su'lian'zhan'lan'guan
藏楼联姻,cang'lou'lian'yin
草船借箭,cao'chuan'jie'jian
插秧歌,cha'yang'ge
钗头凤,chai'tou'feng
拆西厢,chai'xi'xiang
禅宇寺,chan'yu'si
长坂坡,chang'ban'po
常青指路,chang'qing'zhi'lu
厂长钓鱼,chang'zhang'diao'yu
厂长家事,chang'zhang'jia'shi
车祸之后,che'huo'zhi'hou
车站服务员,che'zhan'fu'wu'yuan
陈玉生接姑娘,chen'yu'sheng'jie'gu'niang
叱诧风云,chi'cha'feng'yun
痴情女,chi'qing'nv
重返柳条沟,chong'fan'liu'tiao'gou
崇祯观画,chong'zhen'guan'hua
处处有亲人,chu'chu'you'qin'ren
出水芙蓉,chu'shui'fu'rong
窗前月下,chuang'qian'yue'xia
闯王坐殿,chuang'wang'zuo'dian
春哥上工,chun'ge'shang'gong
春华秋实,chun'hua'qiu'shi
春香传,chun'xiang'chuan
刺虎,ci'hu
慈母心,ci'mu'xin
茨山,ci'shan
错中错,cuo'zhong'cuo
打八仙,da'ba'xian
打宾鸿,da'bin'hong
打苍蝇,da'cang'ying
大纲鉴,da'gang'jian
打杠子,da'gang'zi
大哥大嫂,da'ge'da'sao
打狗劝夫,da'gou'quan'fu
大姑娘上学,da'gu'niang'shang'xue
打瓜园,da'gua'yuan
大观灯,da'guan'deng
打蛤蟆,da'ha'ma
打韩昌,da'han'chang
打花棍,da'hua'gun
打黄狼,da'huang'lang
大将名五更,da'jiang'ming'wu'geng
打梨,da'li
打龙袍,da'long'pao
打蜜蜂,da'mi'feng
大闹天宫,da'nao'tian'gong
大劈棺,da'pi'guan
大破孟州,da'po'meng'zhou
大清律,da'qing'lv
打秋千,da'qiu'qian
打水歌,da'shui'ge
大天台,da'tian'tai
大西厢,da'xi'xiang
打牙牌,da'ya'pai
大烟叹,da'yan'tan
大雁笑群儒,da'yan'xiao'qun'ru
打渔人十二月,da'yu'ren'shi'er'yue
大杂烩,da'za'hui
单刀赴会,dan'dao'fu'hui
倒卷帘,dao'juan'lian
倒牵牛,dao'qian'niu
登高望远,deng'gao'wang'yuan
灯下劝夫,deng'xia'quan'fu
地瓜迷,di'gua'mi
狄仁杰赶考,di'ren'jie'gan'kao
貂蝉拜月,diao'chan'bai'yue
掉萝卜,diao'luo'bo
丁成巧得妻,ding'cheng'qiao'de'qi
丁郎寻父,ding'lang'xun'fu
丁香割肉,ding'xiang'ge'rou
丢戒指,diu'jie'zhi
东北风,dong'bei'feng
东北民间舞,dong'bei'min'jian'wu
东北三宝,dong'bei'san'bao
洞宾买药,dong'bin'mai'yao
董家庙,dong'jia'miao
冬去春来,dong'qu'chun'lai
东西院,dong'xi'yuan
东厢记,dong'xiang'ji
豆腐状元,dou'fu'zhuang'yuan
独占花魁,du'zhan'hua'kui
断道,duan'dao
断桥,duan'qiao
对花,dui'hua
对松关,dui'song'guan
对字,dui'zi
二大妈探病,er'da'ma'tan'bing
二当家看场,er'dang'jia'kan'chang
二姑娘拜年,er'gu'niang'bai'nian
二上山,er'shang'shan
二十四岁寡妇,er'shi'si'sui'gua'fu
二仙得道,er'xian'de'dao
发财还家,fa'cai'huan'jia
饭店迎春,fan'dian'ying'chun
反樊城,fan'fan'cheng
反叫五更,fan'jiao'wu'geng
樊梨花下山,fan'li'hua'xia'shan
放风筝,fang'feng'zheng
纺棉花,fang'mian'hua
凤凰进村,feng'huang'jin'cun
冯奎卖妻,feng'kui'mai'qi
凤嫂,feng'sao
疯僧扫秦,feng'seng'sao'qin
丰收桥,feng'shou'qiao
风水情,feng'shui'qing
凤仪亭,feng'yi'ting
佛门点缘,fo'men'dian'yuan
妇女进城,fu'nv'jin'cheng
夫妻争灯,fu'qi'zheng'deng
夫人梦,fu'ren'meng
赶会,gan'hui
纲鉴,gang'jian
高成借嫂,gao'cheng'jie'sao
高价姑娘,gao'jia'gu'niang
高俊搬兵,gao'jun'ban'bing
高老庄,gao'lao'zhuang
告扇子,gao'shan'zi
歌唱古代科学家,ge'chang'gu'dai'ke'xue'jia
割韭菜,ge'jiu'cai
割袍断义,ge'pao'duan'yi
割尾巴,ge'wei'ba
给军属拜年,gei'jun'shu'bai'nian
共产党夸赞走富路,gong'chan'dang'kua'zan'zou'fu'lu
古城会,gu'cheng'hui
古代文豪十大家,gu'dai'wen'hao'shi'da'jia
姑娘的心事,gu'niang'de'xin'shi
姑娘要陪送,gu'niang'yao'pei'song
姑嫂降香,gu'sao'jiang'xiang
姑嫂同心,gu'sao'tong'xin
姑爷钻门坎,gu'ye'zuan'men'kan
寡妇难,gua'fu'nan
寡妇思五更,gua'fu'si'wu'geng
挂画,gua'hua
关东城起大会,guan'dong'cheng'qi'da'hui
观画,guan'hua
观花灯,guan'hua'deng
观画楼,guan'hua'lou
管天姑娘,guan'tian'gu'niang
观星,guan'xing
观音赐箭,guan'yin'ci'jian
逛灯,guang'deng
光棍哭妻,guang'gun'ku'qi
光荣灯,guang'rong'deng
贵客上门,gui'ke'shang'men
归梁山,gui'liang'shan
柜中缘,gui'zhong'yuan
过草地,guo'cao'di
郭臣埋儿,guo'chen'mai'er
蝈蝈吹牛,guo'guo'chui'niu
过河,guo'he
果红稻香,guo'hong'dao'xiang
郭军反奉,guo'jun'fan'feng
过生日,guo'sheng'ri
果园会,guo'yuan'hui
还妻记,hai'qi'ji
还是当姩的大老王,hai'shi'dang'nian'de'da'lao'wang
寒江,han'jiang
韩湘子讨封,han'xiang'zi'tao'feng
郝摇旗杀妻,hao'yao'qi'sha'qi
耗子告狸猫,hao'zi'gao'li'mao
耗子娶猫,hao'zi'qu'mao
耗子摔跤,hao'zi'shuai'jiao
河伯娶妇,he'bo'qu'fu
和尚思凡,he'shang'si'fan
何氏卖身,he'shi'mai'shen
黑五更,hei'wu'geng
狠毒记,hen'du'ji
红榜招贤,hong'bang'zhao'xian
洪奎相亲,hong'kui'xiang'qin
红娘下书,hong'niang'xia'shu
红杏出墙,hong'xing'chu'qiang
鸿雁捎书,hong'yan'shao'shu
红叶岭,hong'ye'ling
红月娥做梦,hong'yue'e'zuo'meng
红装奇志,hong'zhuang'qi'zhi
胡大婶惊梦,hu'da'shen'jing'meng
胡迪打秦桧,hu'di'da'qin'hui
胡迪骂阎,hu'di'ma'yan
胡迪游地府,hu'di'you'di'fu
蝴蝶杯,hu'die'bei
