矮脚虎王英,ai'jiao'hu'wang'ying
安道全,an'dao'quan
八臂哪吒项充,ba'bi'ne'zha'xiang'chong
白花蛇杨春,bai'hua'she'yang'chun
白面郎君郑天寿,bai'mian'lang'jun'zheng'tian'shou
百胜将军韩滔,bai'sheng'jiang'jun'han'tao
鲍旭,bao'xu
豹子头林冲,bao'zi'tou'lin'chong
病大虫薛永,bing'da'chong'xue'yong
病关索杨雄,bing'guan'suo'yang'xiong
病尉迟孙立,bing'yu'chi'sun'li
蔡福,cai'fu
蔡庆,cai'qing
操刀鬼曹正,cao'dao'gui'cao'zheng
曹正,cao'zheng
插翅虎雷横,cha'chi'hu'lei'heng
柴进,chai'jin
陈达,chen'da
赤发鬼刘唐,chi'fa'gui'liu'tang
丑郡马宣赞,chou'jun'ma'xuan'zan
出洞蛟童威,chu'dong'jiao'tong'wei
出林龙邹渊,chu'lin'long'zou'yuan
船火儿张横,chuan'huo'er'zhang'heng
催命判官李立,cui'ming'pan'guan'li'li
大刀关胜,da'dao'guan'sheng
打虎将李忠,da'hu'jiang'li'zhong
戴宗,dai'zong
单廷,dan'ting
地走星飞天大圣李衮,de'zou'xing'fei'tian'da'sheng'li'gun
邓飞,deng'fei
地暗星锦豹子杨林,di'an'xing'jin'bao'zi'yang'lin
地暴星丧门神鲍旭,di'bao'xing'sang'men'shen'bao'xu
地察星青眼虎李云,di'cha'xing'qing'yan'hu'li'yun
地猖星毛头星孔明,di'chang'xing'mao'tou'xing'kong'ming
地丑星石将军石勇,di'chou'xing'shi'jiang'jun'shi'yong
地短星出林龙邹渊,di'duan'xing'chu'lin'long'zou'yuan
地恶星没面目焦挺,di'e'xing'mei'mian'mu'jiao'ting
地飞星八臂哪吒项充,di'fei'xing'ba'bi'ne'zha'xiang'chong
地伏星金眼彪施恩,di'fu'xing'jin'yan'biao'shi'en
地狗星金毛犬段景住,di'gou'xing'jin'mao'quan'duan'jing'zhu
地孤星金钱豹子汤隆,di'gu'xing'jin'qian'bao'zi'tang'long
地耗星白日鼠白胜,di'hao'xing'bai'ri'shu'bai'sheng
地阖星火眼狻猊邓飞,di'he'xing'huo'yan'suan'ni'deng'fei
地会神算子蒋敬,di'hui'shen'suan'zi'jiang'jing
地慧星一丈青扈三娘,di'hui'xing'yi'zhang'qing'hu'san'niang
地稽星操刀鬼曹正,di'ji'xing'cao'dao'gui'cao'zheng
地健星险道神郁保四,di'jian'xing'xian'dao'shen'yu'bao'si
地角星独角龙邹润,di'jiao'xing'du'jiao'long'zou'run
地杰星丑郡马宣赞,di'jie'xing'chou'jun'ma'xuan'zan
地捷星花项虎龚旺,di'jie'xing'hua'xiang'hu'gong'wang
地进星出洞蛟童威,di'jin'xing'chu'dong'jiao'tong'wei
地俊星铁扇子宋清,di'jun'xing'tie'shan'zi'song'qing
地空星小霸王周通,di'kong'xing'xiao'ba'wang'zhou'tong
地狂星独火星孔亮,di'kuang'xing'du'huo'xing'kong'liang
地魁星神机军师朱武,di'kui'xing'shen'ji'jun'shi'zhu'wu
地乐星铁叫子乐和,di'le'xing'tie'jiao'zi'le'he
地理星九尾龟陶宗旺,di'li'xing'jiu'wei'gui'tao'zong'wang
地劣星活闪婆王定六,di'lie'xing'huo'shan'po'wang'ding'liu
地灵星神医安道全,di'ling'xing'shen'yi'an'dao'quan
地满星玉幡竿孟康,di'man'xing'yu'fan'gan'meng'kang
地猛星神火将军魏定国,di'meng'xing'shen'huo'jiang'jun'wei'ding'guo
地明星铁笛仙马麟,di'ming'xing'tie'di'xian'ma'lin
地默星混世魔王樊瑞,di'mo'xing'hun'shi'mo'wang'fan'rui
地魔星云里金刚宋万,di'mo'xing'yun'li'jin'gang'song'wan
地奴星催命判官李立,di'nu'xing'cui'ming'pan'guan'li'li
地僻星打虎将李忠,di'pi'xing'da'hu'jiang'li'zhong
地辟星摩云金翅欧鹏,di'pi'xing'mo'yun'jin'chi'ou'peng
地平星铁臂膊蔡福,di'ping'xing'tie'bi'bo'cai'fu
地奇星圣水将军单廷,di'qi'xing'sheng'shui'jiang'jun'dan'ting
地强星锦毛虎燕顺,di'qiang'xing'jin'mao'hu'yan'shun
地巧星玉臂匠金大坚,di'qiao'xing'yu'bi'jiang'jin'da'jian
地囚星旱地忽律朱贵,di'qiu'xing'han'di'hu'lv'zhu'gui
地全星鬼脸儿杜兴,di'quan'xing'gui'lian'er'du'xing
地煞星镇三山黄信,di'sha'xing'zhen'san'shan'huang'xin
地兽星紫髯伯皇甫端,di'shou'xing'zi'ran'bo'huang'fu'duan
地数星小尉迟孙新,di'shu'xing'xiao'yu'chi'sun'xin
地速星中箭虎丁得孙,di'su'xing'zhong'jian'hu'ding'de'sun
地遂星通臂猿侯健,di'sui'xing'tong'bi'yuan'hou'jian
地损星一枝花蔡庆,di'sun'xing'yi'zhi'hua'cai'qing
地退星翻江蜃童猛,di'tui'xing'fan'jiang'shen'tong'meng
地微星矮脚虎王英,di'wei'xing'ai'jiao'hu'wang'ying
地威星百胜将军韩滔,di'wei'xing'bai'sheng'jiang'jun'han'tao
地文星圣手书生萧让,di'wen'xing'sheng'shou'shu'sheng'xiao'rang
地刑星菜园子张青,di'xing'xing'cai'yuan'zi'zhang'qing
地雄星井木犴郝思文,di'xiong'xing'jing'mu'an'hao'si'wen
地妖星摸著天杜迁,di'yao'xing'mo'zhu'tian'du'qian
地异星白面郎君郑天寿,di'yi'xing'bai'mian'lang'jun'zheng'tian'shou
地隐星白花蛇杨春,di'yin'xing'bai'hua'she'yang'chun
地阴星母大虫顾大嫂,di'yin'xing'mu'da'chong'gu'da'sao
地英星天目将彭,di'ying'xing'tian'mu'jiang'peng
地勇星病尉迟孙立,di'yong'xing'bing'yu'chi'sun'li
地幽星病大虫薛永,di'you'xing'bing'da'chong'xue'yong
地佑星赛仁贵郭盛,di'you'xing'sai'ren'gui'guo'sheng
地藏星笑面虎朱富,di'zang'xing'xiao'mian'hu'zhu'fu
地贼星鼓上蚤时迁,di'zei'xing'gu'shang'zao'shi'qian
地镇星小遮拦穆春,di'zhen'xing'xiao'zhe'lan'mu'chun
地正星铁面孔目裴宣,di'zheng'xing'tie'mian'kong'mu'pei'xuan
地轴星轰天雷凌振,di'zhou'xing'hong'tian'lei'ling'zhen
地周星跳涧虎陈达,di'zhou'xing'tiao'jian'hu'chen'da
地壮星母夜叉孙二娘,di'zhuang'xing'mu'ye'cha'sun'er'niang
地佐星小温侯吕方,di'zuo'xing'xiao'wen'hou'lv'fang
丁得孙,ding'de'sun
董平,dong'ping
独火星孔亮,du'huo'xing'kong'liang
独角龙邹润,du'jiao'long'zou'run
杜迁,du'qian
杜兴,du'xing
短命二郎阮小五,duan'ming'er'lang'ruan'xiao'wu
翻江蜃童猛,fan'jiang'shen'tong'meng
樊瑞,fan'rui
飞天大圣李衮,fei'tian'da'sheng'li'gun
公孙胜,gong'sun'sheng
龚旺,gong'wang
关胜,guan'sheng
鬼脸儿杜兴,gui'lian'er'du'xing
郭盛,guo'sheng
旱地忽律朱贵,han'di'hu'lv'zhu'gui
韩滔,han'tao
郝思文,hao'si'wen
黑旋风李逵,hei'xuan'feng'li'kui
轰天雷凌振,hong'tian'lei'ling'zhen
侯健,hou'jian
呼保义宋江,hu'bao'yi'song'jiang
扈三娘,hu'san'niang
呼延灼,hu'yan'zhuo
花和尚鲁智深,hua'he'shang'lu'zhi'shen
花荣,hua'rong
花项虎龚旺,hua'xiang'hu'gong'wang
皇甫端,huang'fu'duan
黄信,huang'xin
混江龙李俊,hun'jiang'long'li'jun
混世魔王樊瑞,hun'shi'mo'wang'fan'rui
活阎罗阮小七,huo'yan'luo'ruan'xiao'qi
火眼狻猊邓飞,huo'yan'suan'ni'deng'fei
急先锋索超,ji'xian'feng'suo'chao
蒋敬,jiang'jing
将彭,jiang'peng
锦豹子杨林,jin'bao'zi'yang'lin
金大坚,jin'da'jian
锦毛虎燕顺,jin'mao'hu'yan'shun
金钱豹子汤隆,jin'qian'bao'zi'tang'long
金枪手徐宁,jin'qiang'shou'xu'ning
金眼彪施恩,jin'yan'biao'shi'en
井木犴郝思文,jing'mu'an'hao'si'wen
九尾龟陶宗旺,jiu'wei'gui'tao'zong'wang
九纹龙史进,jiu'wen'long'shi'jin
孔亮,kong'liang
孔明,kong'ming
浪里白条张顺,lang'li'bai'tiao'zhang'shun
浪子燕青,lang'zi'yan'qing
乐和,le'he
雷横,lei'heng
立地太岁阮小二,li'di'tai'sui'ruan'xiao'er
李衮,li'gun
李俊,li'jun
李逵,li'kui
李立,li'li
李应,li'ying
李云,li'yun
李忠,li'zhong
两头蛇解珍,liang'tou'she'xie'zhen
林冲,lin'chong
凌振,ling'zhen
刘唐,liu'tang
卢俊义,lu'jun'yi
鲁智深,lu'zhi'shen
吕方,lv'fang
马麟,ma'lin
毛头星孔明,mao'tou'xing'kong'ming
没面目焦挺,mei'mian'mu'jiao'ting
美髯公朱仝,mei'ran'gong'zhu'tong
没羽箭张清,mei'yu'jian'zhang'qing
没遮拦穆弘,mei'zhe'lan'mu'hong
孟康,meng'kang
摩云金翅欧鹏,mo'yun'jin'chi'ou'peng
摸著天杜迁,mo'zhu'tian'du'qian
穆春,mu'chun
穆弘,mu'hong
欧鹏,ou'peng
裴宣,pei'xuan
霹雳火秦明,pi'li'huo'qin'ming
拼命三郎石秀,pin'ming'san'lang'shi'xiu
扑天李应,pu'tian'li'ying
秦明,qin'ming
青面兽杨志,qing'mian'shou'yang'zhi
青眼虎李云,qing'yan'hu'li'yun
入云龙公孙胜,ru'yun'long'gong'sun'sheng
阮小二,ruan'xiao'er
阮小七,ruan'xiao'qi
阮小五,ruan'xiao'wu
赛仁贵郭盛,sai'ren'gui'guo'sheng
丧门神鲍旭,sang'men'shen'bao'xu
神火将军魏定国,shen'huo'jiang'jun'wei'ding'guo
神机军师朱武,shen'ji'jun'shi'zhu'wu
神行太保戴宗,shen'xing'tai'bao'dai'zong
神医安道全,shen'yi'an'dao'quan
圣手书生萧让,sheng'shou'shu'sheng'xiao'rang
圣水将军单廷,sheng'shui'jiang'jun'dan'ting
施恩,shi'en
石将军石勇,shi'jiang'jun'shi'yong
史进,shi'jin
石秀,shi'xiu
石勇,shi'yong
双鞭呼延灼,shuang'bian'hu'yan'zhuo
双枪将董平,shuang'qiang'jiang'dong'ping
双尾蝎解宝,shuang'wei'xie'xie'bao
水浒人物名单,shui'hu'ren'wu'ming'dan
宋江,song'jiang
宋清,song'qing
宋万,song'wan
算子蒋敬,suan'zi'jiang'jing
孙立,sun'li
孙新,sun'xin
索超,suo'chao
汤隆,tang'long
陶宗旺,tao'zong'wang
天暗星青面兽杨志,tian'an'xing'qing'mian'shou'yang'zhi
天败星活阎罗阮小七,tian'bai'xing'huo'yan'luo'ruan'xiao'qi
天暴星两头蛇解珍,tian'bao'xing'liang'tou'she'xie'zhen
天富星扑天李应,tian'fu'xing'pu'tian'li'ying
天罡星玉麒麟卢俊义,tian'gang'xing'yu'qi'lin'lu'jun'yi
天孤星花和尚鲁智深,tian'gu'xing'hua'he'shang'lu'zhi'shen
天贵星小旋风柴进,tian'gui'xing'xiao'xuan'feng'chai'jin
天慧星拼命三郎石秀,tian'hui'xing'pin'ming'san'lang'shi'xiu
天机星智多星吴用,tian'ji'xing'zhi'duo'xing'wu'yong
天剑星立地太岁阮小二,tian'jian'xing'li'di'tai'sui'ruan'xiao'er
天捷星没羽箭张清,tian'jie'xing'mei'yu'jian'zhang'qing
天究星没遮拦穆弘,tian'jiu'xing'mei'zhe'lan'mu'hong
天空星急先锋索超,tian'kong'xing'ji'xian'feng'suo'chao
天哭星双尾蝎解宝,tian'ku'xing'shuang'wei'xie'xie'bao
天魁星呼保义宋江,tian'kui'xing'hu'bao'yi'song'jiang
天牢星病关索杨雄,tian'lao'xing'bing'guan'suo'yang'xiong
天立星双枪将董平,tian'li'xing'shuang'qiang'jiang'dong'ping
天满星美髯公朱仝,tian'man'xing'mei'ran'gong'zhu'tong
天猛星霹雳火秦明,tian'meng'xing'pi'li'huo'qin'ming
天目将彭,tian'mu'jiang'peng
天平星船火儿张横,tian'ping'xing'chuan'huo'er'zhang'heng
天巧星浪子燕青,tian'qiao'xing'lang'zi'yan'qing
天杀星黑旋风李逵,tian'sha'xing'hei'xuan'feng'li'kui
天伤星行者武松,tian'shang'xing'xing'zhe'wu'song
天寿星混江龙李俊,tian'shou'xing'hun'jiang'long'li'jun
天速星神行太保戴宗,tian'su'xing'shen'xing'tai'bao'dai'zong
天损星浪里白条张顺,tian'sun'xing'lang'li'bai'tiao'zhang'shun
天退星插翅虎雷横,tian'tui'xing'cha'chi'hu'lei'heng
天微星九纹龙史进,tian'wei'xing'jiu'wen'long'shi'jin
天威星双鞭呼延灼,tian'wei'xing'shuang'bian'hu'yan'zhuo
天闲星入云龙公孙胜,tian'xian'xing'ru'yun'long'gong'sun'sheng
天雄星豹子头林冲,tian'xiong'xing'bao'zi'tou'lin'chong
天异星赤发鬼刘唐,tian'yi'xing'chi'fa'gui'liu'tang
天英星小李广花荣,tian'ying'xing'xiao'li'guang'hua'rong
天勇星大刀关胜,tian'yong'xing'da'dao'guan'sheng
天佑星金枪手徐宁,tian'you'xing'jin'qiang'shou'xu'ning
天罪星短命二郎阮小五,tian'zui'xing'duan'ming'er'lang'ruan'xiao'wu
跳涧虎陈达,tiao'jian'hu'chen'da
铁臂膊蔡福,tie'bi'bo'cai'fu
铁笛仙马麟,tie'di'xian'ma'lin
铁叫子乐和,tie'jiao'zi'le'he
铁面孔目裴宣,tie'mian'kong'mu'pei'xuan
铁扇子宋清,tie'shan'zi'song'qing
