八卦,ba'gua
八卦定乾坤,ba'gua'ding'qian'kun
八门,ba'men
八神,ba'shen
八字,ba'zi
白虎,bai'hu
本宫,ben'gong
彼合,bi'he
比肩,bi'jian
比劫,bi'jie
丙辛,bing'xin
长生,chang'sheng
冲合,chong'he
冲克,chong'ke
传送,chuan'song
从魁,cong'kui
错局,cuo'ju
大吉,da'ji
道法自然,dao'fa'zi'ran
登明,deng'ming
地盘干,di'pan'gan
帝旺,di'wang
地支,di'zhi
丁壬,ding'ren
杜门,du'men
兑宫,dui'gong
对宫,dui'gong
翻宫,fan'gong
反吟,fan'yin
反吟局,fan'yin'ju
符蛇阴六白玄地天,fu'she'yin'liu'bai'xuan'di'tian
伏吟,fu'yin
伏吟局,fu'yin'ju
艮宫,gen'gong
庚击刑,geng'ji'xing
功曹,gong'cao
宫位,gong'wei
冠带,guan'dai
癸击刑,gui'ji'xing
亥卯未,hai'mao'wei
合干,he'gan
河魁,he'kui
后天盘,hou'tian'pan
火克金,huo'ke'jin
火生土,huo'sheng'tu
寄宫,ji'gong
己击刑,ji'ji'xing
击刑,ji'xing
甲辰壬,jia'chen'ren
甲己,jia'ji
甲申庚,jia'shen'geng
甲午辛,jia'wu'xin
甲戌己,jia'xu'ji
甲乙丙丁戊己庚辛壬癸,jia'yi'bing'ding'wu'ji'geng'xin'ren'gui
甲寅癸,jia'yin'gui
甲子戊,jia'zi'wu
建除满平定执破危成收开闭,jian'chu'man'ping'ding'zhi'po'wei'cheng'shou'kai'bi
劫财,jie'cai
金克木,jin'ke'mu
金生水,jin'sheng'shui
惊门,jing'men
景门,jing'men
九地,jiu'di
九宫,jiu'gong
九天,jiu'tian
九星,jiu'xing
开门,kai'men
坎宫,kan'gong
刻干,ke'gan
刻局,ke'ju
刻支,ke'zhi
刻柱,ke'zhu
空亡,kong'wang
坤宫,kun'gong
离宫,li'gong
两仪生四象,liang'yi'sheng'si'xiang
临官,lin'guan
六合,lu'he
落宫,luo'gong
马星,ma'xing
门迫,men'po
木克土,mu'ke'tu
木生火,mu'sheng'huo
沐浴,mu'yu
年干,nian'gan
年支,nian'zhi
年柱,nian'zhu
排盘,pai'pan
蓬任冲辅英芮柱心,peng'ren'chong'fu'ying'rui'zhu'xin
偏财,pian'cai
偏官,pian'guan
偏印,pian'yin
漂移,piao'yi
起局,qi'ju
奇门,qi'men
奇门遁甲,qi'men'dun'jia
奇门盘,qi'men'pan
七杀,qi'sha
乾兑离震巽坎艮坤,qian'dui'li'zhen'xun'kan'gen'kun
乾宫,qian'gong
壬击刑,ren'ji'xing
日干,ri'gan
日支,ri'zhi
日柱,ri'zhu
入墓,ru'mu
山向,shan'xiang
伤官,shang'guan
伤门,shang'men
神后,shen'hou
深挖,shen'wa
申子辰,shen'zi'chen
胜光,sheng'guang
生门,sheng'men
十二长生,shi'er'chang'sheng
时干,shi'gan
时局,shi'ju
食伤,shi'shang
十神,shi'shen
食神,shi'shen
时支,shi'zhi
时支三合,shi'zhi'san'he
时柱,shi'zhu
绶印,shou'yin
水克火,shui'ke'huo
水生木,shui'sheng'mu
死门,si'men
四象生八卦,si'xiang'sheng'ba'gua
巳酉丑,si'you'chou
四柱,si'zhu
太冲,tai'chong
太冲星,tai'chong'xing
太极生两仪,tai'ji'sheng'liang'yi
太乙,tai'yi
太阴,tai'yin
腾蛇,teng'she
天辅,tian'fu
天辅星,tian'fu'xing
天干,tian'gan
天罡,tian'gang
天门地户,tian'men'di'hu
天盘干,tian'pan'gan
天蓬,tian'peng
天蓬星,tian'peng'xing
天禽,tian'qin
天禽星,tian'qin'xing
天任,tian'ren
天任星,tian'ren'xing
天芮,tian'rui
天芮星,tian'rui'xing
填实,tian'shi
天心,tian'xin
天心星,tian'xin'xing
天英,tian'ying
天英星,tian'ying'xing
天柱,tian'zhu
天柱星,tian'zhu'xing
同宫,tong'gong
土克水,tu'ke'shui
土生金,tu'sheng'jin
戊癸,wu'gui
戊己庚辛壬癸丁丙乙,wu'ji'geng'xin'ren'gui'ding'bing'yi
无极生太极,wu'ji'sheng'tai'ji
戊击刑,wu'ji'xing
先天盘,xian'tian'pan
相冲,xiang'chong
相害,xiang'hai
相合,xiang'he
相克,xiang'ke
相生,xiang'sheng
相刑,xiang'xing
像意,xiang'yi
小吉,xiao'ji
枭神,xiao'shen
辛击刑,xin'ji'xing
星门神,xing'men'shen
形气神,xing'qi'shen
休门,xiu'men
休生伤杜景死惊开,xiu'sheng'shang'du'jing'si'jing'kai
玄武,xuan'wu
巽宫,xun'gong
旬首,xun'shou
阳遁,yang'dun
阳干,yang'gan
阳局,yang'ju
阳盘,yang'pan
乙庚,yi'geng
移星换斗,yi'xing'huan'dou
阴遁,yin'dun
阴干,yin'gan
隐干,yin'gan
阴局,yin'ju
阴盘,yin'pan
寅午戌,yin'wu'xu
应期,ying'qi
用神,yong'shen
月干,yue'gan
月支,yue'zhi
月柱,yue'zhu
宅局,zhai'ju
震宫,zhen'gong
正财,zheng'cai
正官,zheng'guan
正印,zheng'yin
直符,zhi'fu
值符星,zhi'fu'xing
值使门,zhi'shi'men
中宫,zhong'gong
转宫,zhuan'gong
子丑寅卯辰巳午未申酉戌亥,zi'chou'yin'mao'chen'si'wu'wei'shen'you'xu'hai
