阿飞,a'fei
忍法召唤土遁追牙术,ren'fa'zhao'huan'tu'dun'zhui'ya'shu
忍法针地藏,ren'fa'zhen'di'zang
忍法蜘蛛缚,ren'fa'zhi'zhu'fu
忍风之刃,ren'feng'zhi'ren
忍龟,ren'gui
人间道,ren'jian'dao
忍界大战,ren'jie'da'zhan
刃金子铁,ren'jin'zi'tie
忍具天锁祭,ren'ju'tian'suo'ji
忍猫,ren'mao
忍犬,ren'quan
认识札,ren'shi'zha
忍术,ren'shu
忍术超兽伪画,ren'shu'chao'shou'wei'hua
忍术蜂群术,ren'shu'feng'qun'shu
忍术之祖,ren'shu'zhi'zu
忍猿,ren'yuan
忍者,ren'zhe
忍者联军勋章,ren'zhe'lian'jun'xun'zhang
忍者之祖,ren'zhe'zhi'zu
人柱力,ren'zhu'li
忍组手势,ren'zu'shou'shi
日向,ri'xiang
日向雏田,ri'xiang'chu'tian
日向德间,ri'xiang'de'jian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
日向一族,ri'xiang'yi'zu
日野,ri'ye
溶盾,rong'dun
溶遁,rong'dun
熔盾,rong'dun
熔遁,rong'dun
熔遁护膜壁,rong'dun'hu'mo'bi
熔遁护膜玉,rong'dun'hu'mo'yu
熔遁螺旋手里剑,rong'dun'luo'xuan'shou'li'jian
溶遁溶怪之术,rong'dun'rong'guai'zhi'shu
熔遁灼河流岩之术,rong'dun'zhuo'he'liu'yan'zhi'shu
溶怪之术,rong'guai'zhi'shu
容器,rong'qi
柔步双狮拳,rou'bu'shuang'shi'quan
肉弹战车,rou'dan'zhan'che
肉弹针战,rou'dan'zhen'zhan
肉弹针战车,rou'dan'zhen'zhan'che
柔拳,rou'quan
柔拳法,rou'quan'fa
如雨露千本,ru'yu'lu'qian'ben
如鱼露千本,ru'yu'lu'qian'ben
如雨露千针,ru'yu'lu'qian'zhen
软体改造,ruan'ti'gai'zao
萨克,sa'ke
萨摩伊,sa'mo'yi
萨姆伊,sa'mu'yi
三本贯手,san'ben'guan'shou
三重罗生门,san'chong'luo'sheng'men
三船,san'chuan
三代,san'dai
三代火影,san'dai'huo'ying
三代目,san'dai'mu
三勾玉,san'gou'yu
三连星,san'lian'xing
三忍,san'ren
三忍之一,san'ren'zhi'yi
三日月岛,san'ri'yue'dao
三日月岛的动物骚乱,san'ri'yue'dao'de'dong'wu'sao'luan
三日月之舞,san'ri'yue'zhi'wu
三神器,san'shen'qi
三尾,san'wei
三尾矶怃,san'wei'ji'wu
三月,san'yue
色诱术,se'you'shu
色诱之术,se'you'zhi'shu
森乃伊比喜,sen'nai'yi'bi'xi
森之千手一族,sen'zhi'qian'shou'yi'zu
砂暴大葬,sha'bao'da'zang
沙暴送葬,sha'bao'song'zang
砂暴送葬,sha'bao'song'zang
砂比,sha'bi
砂比吉拉比,sha'bi'ji'la'bi
砂比吉拉地,sha'bi'ji'la'di
砂比吉拉维,sha'bi'ji'la'wei
砂比奇拉比,sha'bi'qi'la'bi
砂分身,sha'fen'shen
砂缚柩,sha'fu'jiu
砂缚牢,sha'fu'lao
沙金,sha'jin
沙漠大葬,sha'mo'da'zang
砂瀑大葬,sha'pu'da'zang
砂瀑送葬,sha'pu'song'zang
沙忍,sha'ren
砂忍,sha'ren
砂时雨,sha'shi'yu
沙手里剑,sha'shou'li'jian
砂手里剑,sha'shou'li'jian
砂铁界法,sha'tie'jie'fa
砂铁时雨,sha'tie'shi'yu
砂隐,sha'yin
砂隐村,sha'yin'cun
砂隐忍者村,sha'yin'ren'zhe'cun
砂之盾,sha'zhi'dun
砂之绝对防御,sha'zhi'jue'dui'fang'yu
砂之铠,sha'zhi'kai
砂之铠甲,sha'zhi'kai'jia
砂之守鹤,sha'zhi'shou'he
沙之眼,sha'zhi'yan
砂縳柩,sha'zhuan'jiu
山城青叶,shan'cheng'qing'ye
珊瑚掌,shan'hu'zhang
山椒婆婆,shan'jiao'po'po
山椒鱼,shan'jiao'yu
山椒鱼半藏,shan'jiao'yu'ban'zang
山土之术,shan'tu'zhi'shu
山中亥一,shan'zhong'hai'yi
山中井野,shan'zhong'jing'ye
山中井野市,shan'zhong'jing'ye'shi
山中三田,shan'zhong'san'tian
伤门,shang'men
上忍,shang'ren
上忍礼物,shang'ren'li'wu
舌齿粘酸,she'chi'zhan'suan
蛇分身,she'fen'shen
涉木,she'mu
蛇小队,she'xiao'dui
神经扰乱术,shen'jing'rao'luan'shu
神罗天征,shen'luo'tian'zheng
神威,shen'wei
神无昆桥,shen'wu'kun'qiao
身心转换术,shen'xin'zhuan'huan'shu
神月出云,shen'yue'chu'yun
身转心之术,shen'zhuan'xin'zhi'shu
深作,shen'zuo
深作仙人,shen'zuo'xian'ren
升龙,sheng'long
生门,sheng'men
绳树,sheng'shu
矢仓,shi'cang
尸骨脉,shi'gu'mai
尸鬼封尽,shi'gui'feng'jin
尸鬼封禁,shi'gui'feng'jin
尸鬼封尽解,shi'gui'feng'jin'jie
尸鬼接吻,shi'gui'jie'wen
尸鬼转身,shi'gui'zhuan'shen
湿华林,shi'hua'lin
十机近松之集,shi'ji'jin'song'zhi'ji
时空忍术,shi'kong'ren'shu
十全剑,shi'quan'jian
十拳剑,shi'quan'jian
十尾,shi'wei
矢阎罗魔术,shi'yan'luo'mo'shu
时雨,shi'yu
十指穿弹,shi'zhi'chuan'dan
狮子连弹,shi'zi'lian'dan
兽波烈风掌,shou'bo'lie'feng'zhang
兽波掌,shou'bo'zhang
守鹤,shou'he
守鹤之盾,shou'he'zhi'dun
守鹤之矛,shou'he'zhi'mao
守护八卦,shou'hu'ba'gua
守护木叶,shou'hu'mu'ye
守护忍十二仕,shou'hu'ren'shi'er'shi
守护忍十二士,shou'hu'ren'shi'er'shi
手鞠,shou'ju
手里剑,shou'li'jian
手里剑螺旋丸,shou'li'jian'luo'xuan'wan
手里剑影分身,shou'li'jian'ying'fen'shen
手里剑影分身术,shou'li'jian'ying'fen'shen'shu
手里剑影分身之术,shou'li'jian'ying'fen'shen'zhi'shu
兽人分身,shou'ren'fen'shen
兽人体术奥义牙通牙,shou'ren'ti'shu'ao'yi'ya'tong'ya
守卫八卦六十四掌,shou'wei'ba'gua'liu'shi'si'zhang
树搏杀之术,shu'bo'sha'zhi'shu
束缚术,shu'fu'shu
鼠蛟,shu'jiao
树界降诞,shu'jie'jiang'dan
双穿光,shuang'chuan'guang
双雷震,shuang'lei'zhen
双龙暴风雪,shuang'long'bao'feng'xue
双蛇相杀,shuang'she'xiang'sha
双蛇相杀之术,shuang'she'xiang'sha'zhi'shu
双升龙,shuang'sheng'long
水地漫空,shui'di'man'kong
水地炮击,shui'di'pao'ji
水遁,shui'dun
水遁波乱万蒸,shui'dun'bo'luan'wan'zheng
水遁大瀑布之术,shui'dun'da'pu'bu'zhi'shu
水遁泷壶之术,shui'dun'long'hu'zhi'shu
水遁泡沫之术,shui'dun'pao'mo'zhi'shu
水遁破奔流,shui'dun'po'ben'liu
水遁瀑水冲波,shui'dun'pu'shui'chong'bo
水遁千食鲛,shui'dun'qian'shi'jiao
水遁蛇之口,shui'dun'she'zhi'kou
水遁水殆拿原,shui'dun'shui'dai'na'yuan
水遁水蛟弹之术,shui'dun'shui'jiao'dan'zhi'shu
水遁水镜之术,shui'dun'shui'jing'zhi'shu
水遁水龙弹之术,shui'dun'shui'long'dan'zhi'shu
水遁水乱波,shui'dun'shui'luan'bo
水遁水清波,shui'dun'shui'qing'bo
水遁水阵壁,shui'dun'shui'zhen'bi
水遁睡阵壁,shui'dun'shui'zhen'bi
水遁铁炮弹,shui'dun'tie'pao'dan
水遁邪之口,shui'dun'xie'zhi'kou
水分身,shui'fen'shen
水分身术,shui'fen'shen'shu
水分身之术,shui'fen'shen'zhi'shu
水户,shui'hu
水户门炎,shui'hu'men'yan
水戸门炎,shui'hu'men'yan
水化术,shui'hua'shu
水化之术,shui'hua'zhi'shu
水鲛弹,shui'jiao'dan
水鲛弹术,shui'jiao'dan'shu
水晶壁八之阵,shui'jing'bi'ba'zhi'zhen
水镜之术,shui'jing'zhi'shu
水牢鲛舞,shui'lao'jiao'wu
水牢术,shui'lao'shu
水牢之术,shui'lao'zhi'shu
水流之术,shui'liu'zhi'shu
水龙鞭,shui'long'bian
水龙弹,shui'long'dan
水龙弹之术,shui'long'dan'zhi'shu
水乱波,shui'luan'bo
水木,shui'mu
水炮之术,shui'pao'zhi'shu
水清波,shui'qing'bo
水上切,shui'shang'qie
水替身,shui'ti'shen
水天包袭,shui'tian'bao'xi
水无月白,shui'wu'yue'bai
水袭刚流豪雨,shui'xi'gang'liu'hao'yu
水翔羽,shui'xiang'yu
水牙弹,shui'ya'dan
水烟,shui'yan
水饴拿原,shui'yi'na'yuan
水影,shui'ying
水月,shui'yue
水阵壁,shui'zhen'bi
水之国,shui'zhi'guo
水之刃,shui'zhi'ren
瞬身术,shun'shen'shu
瞬身之术,shun'shen'zhi'shu
瞬身止水,shun'shen'zhi'shui
四代,si'dai
四代风影,si'dai'feng'ying
四代火影,si'dai'huo'ying
四代迷,si'dai'mi
四代目,si'dai'mu
四代水影,si'dai'shui'ying
四黑雾阵,si'hei'wu'zhen
死魂之术,si'hun'zhi'shu
四脚之术,si'jiao'zhi'shu
四牢柱之术,si'lao'zhu'zhi'shu
斯麦尔,si'mai'er
死门,si'men
四面八方手里剑之术,si'mian'ba'fang'shou'li'jian'zhi'shu
死亡森林,si'wang'sen'lin
四尾,si'wei
四尾鼠鲛,si'wei'shu'jiao
四像封印,si'xiang'feng'yin
四象封印,si'xiang'feng'yin
四指贯穿手,si'zhi'guan'chuan'shou
四柱家之术,si'zhu'jia'zhi'shu
四柱牢之术,si'zhu'lao'zhi'shu
四柱束缚之术,si'zhu'shu'fu'zhi'shu
四紫雾阵,si'zi'wu'zhen
四紫炎阵,si'zi'yan'zhen
唐松之舞,tang'song'zhi'wu
桃地再不斩,tao'di'zai'bu'zhan
逃忍,tao'ren
特别上忍,te'bie'shang'ren
特穆金,te'mu'jin
替身术,ti'shen'shu
体术,ti'shu
体术里莲华,ti'shu'li'lian'hua
体术木叶旋风,ti'shu'mu'ye'xuan'feng
体术型,ti'shu'xing
天才忍者,tian'cai'ren'zhe
天藏,tian'cang
天藏大和,tian'cang'da'he
天从云之剑,tian'cong'yun'zhi'jian
天道,tian'dao
天道佩恩,tian'dao'pei'en
天地桥,tian'di'qiao
天善琳,tian'shan'lin
天手力,tian'shou'li
天送之术,tian'song'zhi'shu
天锁祭,tian'suo'ji
天天,tian'tian
田园之国,tian'yuan'zhi'guo
天照,tian'zhao
天之书,tian'zhi'shu
天之咒,tian'zhi'zhou
铁臂蛤蟆,tie'bi'ha'ma
铁弹炮,tie'dan'pao
铁蒺藜,tie'ji'li
铁炮玉,tie'pao'yu
铁砂界法,tie'sha'jie'fa
铁线花之舞,tie'xian'hua'zhi'wu
铁血凯,tie'xue'kai
铁之国,tie'zhi'guo
通草野饵人,tong'cao'ye'er'ren
瞳力,tong'li
通灵秽土转生,tong'ling'hui'tu'zhuan'sheng
通灵兽,tong'ling'shou
通灵术,tong'ling'shu
通灵术三重罗生门,tong'ling'shu'san'chong'luo'sheng'men
通灵术斩斩舞,tong'ling'shu'zhan'zhan'wu
通灵屋台崩坏之术,tong'ling'wu'tai'beng'huai'zhi'shu
通灵之术,tong'ling'zhi'shu
瞳术,tong'shu
通牙,tong'ya
头刻苦,tou'ke'ku
土遁,tu'dun
土遁超轻重岩之术,tu'dun'chao'qing'chong'yan'zhi'shu
土遁超重岩之术,tu'dun'chao'zhong'yan'zhi'shu
土遁地动核,tu'dun'di'dong'he
土遁黄泉沼,tu'dun'huang'quan'zhao
土遁究极创生之术,tu'dun'jiu'ji'chuang'sheng'zhi'shu
土遁泥法师,tu'dun'ni'fa'shi
土遁拳岩之术,tu'dun'quan'yan'zhi'shu
土遁山土之术,tu'dun'shan'tu'zhi'shu
土遁土流壁,tu'dun'tu'liu'bi
土遁土流城壁,tu'dun'tu'liu'cheng'bi
土遁土流城避,tu'dun'tu'liu'cheng'bi
土遁土流大洋,tu'dun'tu'liu'da'yang
土遁土龙遁,tu'dun'tu'long'dun
土遁土隆枪,tu'dun'tu'long'qiang
土遁土中映鱼之术,tu'dun'tu'zhong'ying'yu'zhi'shu
土遁万里土流壁,tu'dun'wan'li'tu'liu'bi
土遁心中斩首之术,tu'dun'xin'zhong'zhan'shou'zhi'shu
土遁岩板柩,tu'dun'yan'ban'jiu
土遁岩窃棍,tu'dun'yan'qie'gun
土遁岩隐之术,tu'dun'yan'yin'zhi'shu
土遁岩柱牢,tu'dun'yan'zhu'lao
土遁岩柱枪,tu'dun'yan'zhu'qiang
土遁蚁地狱,tu'dun'yi'di'yu
土遁有为转变,tu'dun'you'wei'zhuan'bian
土遁追牙术,tu'dun'zhui'ya'shu
土分身,tu'fen'shen
土牢术,tu'lao'shu
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'dan
土陆翻转,tu'lu'fan'zhuan
土陆归来,tu'lu'gui'lai
土台,tu'tai
土影,tu'ying
土之国,tu'zhi'guo
土中映鱼之术,tu'zhong'ying'yu'zhi'shu
团藏,tuan'zang
豚豚,tun'tun
托斯,tuo'si
蛙鸣,wa'ming
瓦片手里剑,wa'pian'shou'li'jian
外道,wai'dao
外道轮回天生之术,wai'dao'lun'hui'tian'sheng'zhi'shu
外道魔像,wai'dao'mo'xiang
外挂,wai'gua
万花镜,wan'hua'jing
万华镜写轮眼,wan'hua'jing'xie'lun'yan
万花镜写轮眼,wan'hua'jing'xie'lun'yan
万花筒开眼,wan'hua'tong'kai'yan
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万里土流壁,wan'li'tu'liu'bi
完全体,wan'quan'ti
万蛇,wan'she
万象天引,wan'xiang'tian'yin
伪暗,wei'an
卫府,wei'fu
慰灵碑,wei'ling'bei
尾兽,wei'shou
尾兽八卷,wei'shou'ba'juan
尾兽弹,wei'shou'dan
尾兽连弹,wei'shou'lian'tan
尾兽玉,wei'shou'yu
伪装术,wei'zhuang'shu
文太,wen'tai
我爱罗,wo'ai'luo
涡卷鸣门,wo'juan'ming'men
我鸣,wo'ming
涡之国,wo'zhi'guo
涡之国女忍者,wo'zhi'guo'nv'ren'zhe
五寸钉,wu'cun'ding
五大国,wu'da'guo
五代,wu'dai
五代火影,wu'dai'huo'ying
五代目,wu'dai'mu
五代水影,wu'dai'shui'ying
乌冬,wu'dong
乌顿,wu'dun
无幻城之卷,wu'huan'cheng'zhi'juan
雾姬,wu'ji
无机转生,wu'ji'zhuan'sheng
无梨甚八,wu'li'shen'ba
乌鲁西,wu'lu'xi
武卯,wu'mao
雾忍,wu'ren
五人众,wu'ren'zhong
五食鲛,wu'shi'jiao
屋台崩坏之术,wu'tai'beng'huai'zhi'shu
五尾,wu'wei
五尾彭侯,wu'wei'peng'hou
无限爆破忍术,wu'xian'bao'po'ren'shu
无限沙尘大突破,wu'xian'sha'chen'da'tu'po
五行封印,wu'xing'feng'yin
五行解印,wu'xing'jie'yin
乌鸦,wu'ya
雾隐,wu'yin
雾隐村,wu'yin'cun
雾隐忍者村,wu'yin'ren'zhe'cun
雾隐术,wu'yin'shu
雾隐之术,wu'yin'zhi'shu
五影,wu'ying
雾影之术,wu'ying'zhi'shu
五右卫门,wu'you'wei'men
雾雨,wu'yu
五指鲛,wu'zhi'jiao
五重罗生门,wu'zhong'luo'sheng'men
西瓜山河豚鬼,xi'gua'shan'he'tun'gui
犀犬,xi'quan
夕日红,xi'ri'hong
霞从者之术,xia'cong'zhe'zhi'shu
下忍,xia'ren
夏日,xia'ri
夏日星,xia'ri'xing
仙法,xian'fa
仙法白激之术,xian'fa'bai'ji'zhi'shu
仙法大玉螺旋丸,xian'fa'da'yu'luo'xuan'wan
仙法木遁千手神通,xian'fa'mu'dun'qian'shou'shen'tong
仙法无机转生,xian'fa'wu'ji'zhuan'sheng
仙法五右卫门,xian'fa'wu'you'wei'men
仙人模式,xian'ren'mo'shi
仙术,xian'shu
香燐,xiang'lin
香磷,xiang'lin
香膦,xiang'lin
响鸣穿,xiang'ming'chuan
象转术,xiang'zhuan'shu
象转之术,xiang'zhuan'zhi'shu
小李,xiao'li
小南,xiao'nan
小楠,xiao'nan
晓楠,xiao'nan
小强,xiao'qiang
消写颜之术,xiao'xie'yan'zhi'shu
小樱,xiao'ying
晓组织,xiao'zu'zhi
蝎迪,xie'di
邪法封印,xie'fa'feng'yin
写轮眼,xie'lun'yan
邪神,xie'shen
邪神教,xie'shen'jiao
邪之口,xie'zhi'kou
心乱身之术,xin'luan'shen'zhi'shu
新写轮眼,xin'xie'lun'yan
心中斩首之术,xin'zhong'zhan'shou'zhi'shu
心转身之术,xin'zhuan'shen'zhi'shu
心转心之术,xin'zhuan'xin'zhi'shu
星忍村,xing'ren'cun
星忍者村,xing'ren'zhe'cun
修罗道,xiu'luo'dao
休门,xiu'men
修行,xiu'xing
须佐能乎,xu'zuo'neng'hu
须佐之南,xu'zuo'zhi'nan
须佐之男,xu'zuo'zhi'nan
玄能,xuan'neng
漩涡博人,xuan'wo'bo'ren
旋涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡鸣人,xuan'wo'ming'ren
漩涡慕留人,xuan'wo'mu'liu'ren
旋涡齐奈,xuan'wo'qi'nai
漩涡奇奈,xuan'wo'qi'nai
漩涡齐奈,xuan'wo'qi'nai
漩涡忍传,xuan'wo'ren'chuan
漩涡向日葵,xuan'wo'xiang'ri'kui
漩涡之国,xuan'wo'zhi'guo
玄武,xuan'wu
雪姬,xue'ji
雪姬忍法帖,xue'ji'ren'fa'tie
血迹淘汰,xue'ji'tao'tai
血继网罗,xue'ji'wang'luo
血继限界,xue'ji'xian'jie
雪之国,xue'zhi'guo
血之通灵,xue'zhi'tong'ling
压害,ya'hai
压垮摊贩术,ya'kua'tan'fan'shu
牙狼牙,ya'lang'ya
牙通牙,ya'tong'ya
牙转牙,ya'zhuan'ya
燕吹雪,yan'chui'xue
岩击,yan'ji
言灵,yan'ling
岩忍,yan'ren
岩忍村,yan'ren'cun
岩宿崩,yan'su'beng
岩宿大蛤蟆,yan'su'da'ha'ma
岩隐,yan'yin
岩隐村,yan'yin'cun
岩隐忍者村,yan'yin'ren'zhe'cun
妖狐,yao'hu
妖狐外衣,yao'hu'wai'yi
妖狐衣,yao'hu'yi
妖狐之衣,yao'hu'zhi'yi
药师兜,yao'shi'dou
药师天善,yao'shi'tian'shan
叶仓,ye'cang
夜叉丸,ye'cha'wan
夜凤凰,ye'feng'huang
野乃宇,ye'nai'yu
业头,ye'tou
伊比喜,yi'bi'xi
伊布赛,yi'bu'sai
一代,yi'dai
一代目,yi'dai'mu
一乐,yi'le
一乐拉面,yi'le'la'mian
义雷沉怒雷斧,yi'lei'chen'nu'lei'fu
医疗班,yi'liao'ban
医疗忍者,yi'liao'ren'zhe
伊鲁卡,yi'lu'ka
伊那里,yi'na'li
已生转生,yi'sheng'zhuan'sheng
仪式,yi'shi
一矢光明,yi'shi'guang'ming
艺术,yi'shu
一尾,yi'wei
一尾守鹤,yi'wei'shou'he
伊邪那美,yi'xie'na'mei
伊邪那岐,yi'xie'na'qi
引爆符,yin'bao'fu
引爆黏土,yin'bao'nian'tu
阴遁,yin'dun
阴封印,yin'feng'yin
音忍,yin'ren
音忍村,yin'ren'cun
音忍五人众,yin'ren'wu'ren'zhong
音忍者村,yin'ren'zhe'cun
因陀罗,yin'tuo'luo
因陀罗之矢,yin'tuo'luo'zhi'shi
阴阳遁,yin'yang'dun
影分身,ying'fen'shen
影分身术,ying'fen'shen'shu
影分身之术,ying'fen'shen'zhi'shu
影分之身术,ying'fen'zhi'shen'shu
影风车,ying'feng'che
影风车手里剑,ying'feng'che'shou'li'jian
影缝术,ying'feng'shu
影缚颈之术,ying'fu'jing'zhi'shu
樱黑,ying'hei
樱花冲,ying'hua'chong
樱迷,ying'mi
影首缚,ying'shou'fu
影手里剑之术,ying'shou'li'jian'zhi'shu
蝇树,ying'shu
影束缚之术,ying'shu'fu'zhi'shu
硬涡水刃,ying'wo'shui'ren
影舞叶,ying'wu'ye
鹰小队,ying'xiao'dui
影召唤之术,ying'zhao'huan'zhi'shu
影子绞首术,ying'zi'jiao'shou'shu
影子模仿手里剑之术,ying'zi'mo'fang'shou'li'jian'zhi'shu
影子模仿术,ying'zi'mo'fang'shu
影子束缚,ying'zi'shu'fu
影子束缚术,ying'zi'shu'fu'shu
永恒万花筒写轮眼,yong'heng'wan'hua'tong'xie'lun'yan
幽鬼丸,you'gui'wan
鼬黑,you'hei
右近,you'jin
由良,you'liang
又旅,you'lv
鼬迷,you'mi
由木人,you'mu'ren
油女,you'nv
油女牟田,you'nv'mou'tian
油女一族,you'nv'yi'zu
油女志乃,you'nv'zhi'nai
油女志尾,you'nv'zhi'wei
油女志微,you'nv'zhi'wei
有史以来最强的火影,you'shi'yi'lai'zui'qiang'de'huo'ying
语暴之术,yu'bao'zhi'shu
羽高,yu'gao
雨虎自在术,yu'hu'zi'zai'shu
渔火,yu'huo
玉将,yu'jiang
雨露千本,yu'lu'qian'ben
雨露千针,yu'lu'qian'zhen
玉女,yu'nv
雨忍,yu'ren
雨忍村,yu'ren'cun
雨忍者村,yu'ren'zhe'cun
御神渡之术,yu'shen'du'zhi'shu
御手洗红豆,yu'shou'xi'hong'dou
预言之子,yu'yan'zhi'zi
宇智波斑,yu'zhi'bo'ban
宇智波带土,yu'zhi'bo'dai'tu
宇智波富岳,yu'zhi'bo'fu'yue
宇智波火炎阵,yu'zhi'bo'huo'yan'zhen
宇智波美琴,yu'zhi'bo'mei'qin
宇智波泉奈,yu'zhi'bo'quan'nai
宇智波田鸟,yu'zhi'bo'tian'niao
宇智波一族,yu'zhi'bo'yi'zu
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智波佐助,yu'zhi'bo'zuo'zhu
雨之国,yu'zhi'guo
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
猿飞木叶丸,yuan'fei'mu'ye'wan
猿飞日斩,yuan'fei'ri'zhan
猿飞新之助,yuan'fei'xin'zhi'zhu
猿飞佐助,yuan'fei'zuo'zhu
猿猴王猿魔,yuan'hou'wang'yuan'mo
原界剥离之术,yuan'jie'bo'li'zhi'shu
远距离攻击型,yuan'ju'li'gong'ji'xing
猿魔,yuan'mo
远眼镜之术,yuan'yan'jing'zhi'shu
月读,yue'du
月光疾风,yue'guang'ji'feng
月之眼,yue'zhi'yan
月之眼计划,yue'zhi'yan'ji'hua
云海,yun'hai
云流回斩,yun'liu'hui'zhan
云流火炎斩,yun'liu'huo'yan'zhan
云流顺沾破断,yun'liu'shun'zhan'po'duan
云忍,yun'ren
云隐村,yun'yin'cun
云隐忍者村,yun'yin'ren'zhe'cun
再白,zai'bai
再不斩,zai'bu'zhan
早撅之舞,zao'jue'zhi'wu
早蕨之舞,zao'jue'zhi'wu
早阙之舞,zao'que'zhi'wu
增血丸,zeng'xue'wan
斩空波,zhan'kong'bo
斩空极波,zhan'kong'ji'bo
斩首大刀,zhan'shou'da'dao
斩斩舞,zhan'zhan'wu
掌仙术,zhang'xian'shu
召唤六道,zhao'huan'liu'dao
召唤术,zhao'huan'shu
召唤阎罗,zhao'huan'yan'luo
照美冥,zhao'mei'ming
沼之国,zhao'zhi'guo
者之书,zhe'zhi'shu
针地藏,zhen'di'zang
真空大玉,zhen'kong'da'yu
真空连波,zhen'kong'lian'bo
真空玉,zhen'kong'yu
真实之瀑,zhen'shi'zhi'pu
真树,zhen'shu
挣脱术,zheng'tuo'shu
蒸危爆危,zheng'wei'bao'wei
志保,zhi'bao
志村,zhi'cun
志村团藏,zhi'cun'tuan'zang
纸分身,zhi'fen'shen
蛭间,zhi'jian
指刻封印,zhi'ke'feng'yin
志麻,zhi'ma
志乃,zhi'nai
纸手里剑,zhi'shou'li'jian
止水,zhi'shui
治愈术,zhi'yu'shu
蜘蛛缠丝,zhi'zhu'chan'si
蜘蛛巢开,zhi'zhu'chao'kai
蜘蛛缚,zhi'zhu'fu
蜘蛛粘金,zhi'zhu'zhan'jin
中吉,zhong'ji
终极英雄,zhong'ji'ying'xiong
终结之谷,zhong'jie'zhi'gu
重流暴,zhong'liu'bao
重明,zhong'ming
中忍,zhong'ren
中忍考试,zhong'ren'kao'shi
重吾,zhong'wu
中心斩首术,zhong'xin'zhan'shou'shu
昼虎,zhou'hu
咒印,zhou'yin
咒印术,zhou'yin'shu
朱鹭,zhu'lu
猪鹿蝶,zhu'lu'die
猪鹿蝶三人组,zhu'lu'die'san'ren'zu
猪鹿蝶组合,zhu'lu'die'zu'he
竹内顺子,zhu'nei'shun'zi
竹取君麻吕,zhu'qu'jun'ma'lv
朱雀,zhu'que
朱之螺旋丸,zhu'zhi'luo'xuan'wan
转寝,zhuan'qin
転寝小春,zhuan'qin'xiao'chun
转寝小春,zhuan'qin'xiao'chun
转身之术,zhuan'shen'zhi'shu
转生,zhuan'sheng
转生仪式,zhuan'sheng'yi'shi
追牙术,zhui'ya'shu
追牙之术,zhui'ya'zhi'shu
灼遁,zhuo'dun
灼河流岩之术,zhuo'he'liu'yan'zhi'shu
灼灰云,zhuo'hui'yun
自爆分身,zi'bao'fen'shen
自纲,zi'gang
自黑,zi'hei
自来也,zi'lai'ye
自迷,zi'mi
自然能源,zi'ran'neng'yuan
自杀斩首之术,zi'sha'zhan'shou'zhi'shu
自我爆炸,zi'wo'bao'zha
紫宵,zi'xiao
紫苑,zi'yuan
最强的火影,zui'qiang'de'huo'ying
醉拳,zui'quan
佐黑,zuo'hei
左近,zuo'jin
左近双魔之术,zuo'jin'shuang'mo'zhi'shu
佐井,zuo'jing
佐迷,zuo'mi
佐鸣,zuo'ming
佐樱,zuo'ying
佐助,zuo'zhu
