阿飞,a'fei
第三代,di'san'dai
第三代火影,di'san'dai'huo'ying
第三只眼,di'san'zhi'yan
第四代,di'si'dai
第四代火影,di'si'dai'huo'ying
第五代,di'wu'dai
第五代火影,di'wu'dai'huo'ying
地雅,di'ya
第一次忍界大战,di'yi'ci'ren'jie'da'zhan
第一代火影,di'yi'dai'huo'ying
地狱戳刺,di'yu'chuo'ci
地狱戳刺四指贯穿手,di'yu'chuo'ci'si'zhi'guan'chuan'shou
地狱道,di'yu'dao
地之书,di'zhi'shu
地之咒印,di'zhi'zhou'yin
蝶弹轰炸,die'dan'hong'zha
丁次,ding'ci
顶上化佛,ding'shang'hua'fo
定身术,ding'shen'shu
丁佐,ding'zuo
兜割,dou'ge
斗之书,dou'zhi'shu
斗之术,dou'zhi'shu
杜门,du'men
毒雾,du'wu
短刀斩,duan'dao'zhan
对立之印,dui'li'zhi'yin
队长,dui'zhang
钝刀,dun'dao
钝刀兜割,dun'dao'dou'ge
遁术,dun'shu
多重影分身术,duo'chong'ying'fen'shen'shu
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
多斯,duo'si
多由也,duo'you'ye
恶鬼道,e'gui'dao
饿鬼道,e'gui'dao
二大仙人,er'da'xian'ren
二代,er'dai
二代火影,er'dai'huo'ying
二代目,er'dai'mu
二尾,er'wei
二尾猫又,er'wei'mao'you
二位柚木人,er'wei'you'mu'ren
飞镖影分身之术,fei'biao'ying'fen'shen'zhi'shu
飞段,fei'duan
沸盾,fei'dun
沸遁,fei'dun
飞雷神之术,fei'lei'shen'zhi'shu
飞雷神之斩,fei'lei'shen'zhi'zhan
绯流琥,fei'liu'hu
飞沫,fei'mo
飞足忍者,fei'zu'ren'zhe
分身术,fen'shen'shu
蜂爆弹之术,feng'bao'dan'zhi'shu
风暴法阵,feng'bao'fa'zhen
风尘之术,feng'chen'zhi'shu
蜂道之术,feng'dao'zhi'shu
风遁,feng'dun
风遁翠兰烈风,feng'dun'cui'lan'lie'feng
风遁大镰铀之术,feng'dun'da'lian'you'zhi'shu
风遁大突破,feng'dun'da'tu'po
风遁风尘之术,feng'dun'feng'chen'zhi'shu
风遁花散舞,feng'dun'hua'san'wu
风遁练空弹,feng'dun'lian'kong'dan
风遁烈风掌,feng'dun'lie'feng'zhang
风遁罗网,feng'dun'luo'wang
风遁螺旋手里剑,feng'dun'luo'xuan'shou'li'jian
风遁无限沙尘大突破,feng'dun'wu'xian'sha'chen'da'tu'po
风遁压害,feng'dun'ya'hai
风遁之术,feng'dun'zhi'shu
封黑法印,feng'hei'fa'yin
封火法印,feng'huo'fa'yin
风魔忍法炎茶罗束缚,feng'mo'ren'fa'yan'cha'luo'shu'fu
封魔忍剑斩马刀,feng'mo'ren'jian'zhan'ma'dao
风魔手里剑,feng'mo'shou'li'jian
风魔手里剑影风车,feng'mo'shou'li'jian'ying'feng'che
风魔屉目,feng'mo'ti'mu
风魔之血,feng'mo'zhi'xue
蜂千本之术,feng'qian'ben'zhi'shu
风切,feng'qie
风沙阵,feng'sha'zhen
凤仙花爪红,feng'xian'hua'zhao'hong
凤仙火之术,feng'xian'huo'zhi'shu
封邪法印,feng'xie'fa'yin
封印,feng'yin
封印术,feng'yin'shu
封印术虎视眈弹,feng'yin'shu'hu'shi'dan'dan
封印术幻龙九封禁,feng'yin'shu'huan'long'jiu'feng'jin
封印术亿怒端数烦流奴,feng'yin'shu'yi'nu'duan'shu'fan'liu'nu
风影,feng'ying
缝影术,feng'ying'shu
风云姬,feng'yun'ji
缝针,feng'zhen
风之国,feng'zhi'guo
蜂之千针,feng'zhi'qian'zhen
风之刃,feng'zhi'ren
伏地井钻,fu'di'jing'zuan
缚金幻术,fu'jin'huan'shu
富士风雪絵,fu'shi'feng'xue'hui
复制忍者,fu'zhi'ren'zhe
干柿鬼鲛,gan'shi'gui'jiao
甘笋,gan'sun
纲手,gang'shou
纲手姬,gang'shou'ji
纲手婆,gang'shou'po
纲手婆婆,gang'shou'po'po
钢子铁,gang'zi'tie
蛤蜊,ge'li
跟踪术,gen'zong'shu
勾玉,gou'yu
光轮疾风,guang'lun'ji'feng
鬼澄满月,gui'cheng'man'yue
鬼澄水月,gui'cheng'shui'yue
鬼刀七人众,gui'dao'qi'ren'zhong
鬼灯满月,gui'deng'man'yue
鬼灯水月,gui'deng'shui'yue
鬼鲛,gui'jiao
鬼郎丸,gui'lang'wan
鬼人再不斩,gui'ren'zai'bu'zhan
鬼童丸,gui'tong'wan
鬼之国,gui'zhi'guo
过蒸杀,guo'zheng'sha
蛤蟆,ha'ma
蛤蟆短刀斩,ha'ma'duan'dao'zhan
蛤蟆广,ha'ma'guang
蛤蟆吉,ha'ma'ji
蛤蟆健,ha'ma'jian
蛤蟆口束缚术,ha'ma'kou'shu'fu'shu
蛤蟆老大,ha'ma'lao'da
蛤蟆龙,ha'ma'long
蛤蟆内壁,ha'ma'nei'bi
蛤蟆皮影操之术,ha'ma'pi'ying'cao'zhi'shu
蛤蟆平影操之术,ha'ma'ping'ying'cao'zhi'shu
蛤蟆食道术,ha'ma'shi'dao'shu
蛤蟆文太,ha'ma'wen'tai
蛤蟆仙人,ha'ma'xian'ren
蛤蟆压塌之术,ha'ma'ya'ta'zhi'shu
蛤蟆油炎弹,ha'ma'you'yan'dan
蛤蟆忠,ha'ma'zhong
海德,hai'de
海老蔵,hai'lao'cang
海老藏,hai'lao'cang
海野伊鲁卡,hai'ye'yi'lu'ka
豪火龙术,hao'huo'long'shu
豪火灭却,hao'huo'mie'que
豪火球之术,hao'huo'qiu'zhi'shu
豪杰物语,hao'jie'wu'yu
豪龙火之术,hao'long'huo'zhi'shu
好色仙人,hao'se'xian'ren
貉兽,hao'shou
豪水腕,hao'shui'wan
豪焰球,hao'yan'qiu
和解之印,he'jie'zhi'yin
合体变身术,he'ti'bian'shen'shu
黑暗行之术,hei'an'xing'zhi'shu
黑龙暴风雪,hei'long'bao'feng'xue
黑秘技,hei'mi'ji
黑秘术,hei'mi'shu
黑秘术机机三发,hei'mi'shu'ji'ji'san'fa
黑土,hei'tu
黑丸,hei'wan
黑夜舞者,hei'ye'wu'zhe
黑蚁,hei'yi
黑雨之术,hei'yu'zhi'shu
红豆,hong'dou
红秘技,hong'mi'ji
红色夕阳,hong'se'xi'yang
红叶,hong'ye
