阿散井恋次,a'san'jing'lian'ci
岸尾大辅,an'wei'da'fu
安元洋贵,an'yuan'yang'gui
坂本真绫,ban'ben'zhen'ling
本田贵子,ben'tian'gui'zi
狛村队长,bo'cun'dui'zhang
狛村左阵,bo'cun'zuo'zhen
茶渡泰虎,cha'du'tai'hu
仛助,cha'zhu
紬屋雨,chou'wu'yu
雏森桃,chu'sen'tao
川上友子,chuan'shang'you'zi
椿鬼,chun'gui
慈楼坊,ci'lou'fang
大川透,da'chuan'tou
大前田希千和,da'qian'tian'xi'qian'he
大原,da'yuan
大冢明夫,da'zhong'ming'fu
稲田彻,dao'tian'che
钉宫理惠,ding'gong'li'hui
队长大人,dui'zhang'da'ren
飞梅,fei'mei
飞田展男,fei'tian'zhan'nan
风花水月,feng'hua'shui'yue
凤镜夜,feng'jing'ye
蜂梢绫,feng'shao'ling
福利多,fu'li'duo
福山润,fu'shan'run
高木礼子,gao'mu'li'zi
宫田幸季,gong'tian'xing'ji
宫野真守,gong'ye'zhen'shou
谷山纪章,gu'shan'ji'zhang
孤天斩盾我拒绝,gu'tian'zhan'dun'wo'ju'jue
古泽彻,gu'ze'che
鬼道之烈火炮,gui'dao'zhi'lie'huo'pao
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真咲,hei'qi'zhen'xiao
虎彻勇音,hu'che'yong'yin
虎音,hu'yin
花刈甚太,hua'yi'shen'tai
火无菊,huo'wu'ju
吉良伊鹤,ji'liang'yi'he
吉罗晓彦,ji'luo'xiao'yan
加地葵,jia'di'kui
樫井笙人,jian'jing'sheng'ren
将贵,jiang'gui
金色的琴弦,jin'se'de'qin'xian
井上织姬,jing'shang'zhi'ji
久川绫,jiu'chuan'ling
空气炮,kong'qi'pao
蓝染总佑介,lan'ran'zong'you'jie
理吉中井,li'ji'zhong'jing
莉莉,li'li
莉玲,li'ling
梁田清之,liang'tian'qing'zhi
流刃若火,liu'ren'ruo'huo
毛利前辈,mao'li'qian'bei
梅严,mei'yan
灭却师,mie'que'shi
咆哮吧狒狒王蛇尾丸,pao'xiao'ba'fei'fei'wang'she'wei'wan
浦原喜助,pu'yuan'xi'zhu
齐木美帆,qi'mu'mei'fan
千本樱,qian'ben'ying
千本樱景严,qian'ben'ying'jing'yan
青山穣,qing'shan'rang
清音,qing'yin
雀蜂,que'feng
日野香穗子,ri'ye'xiang'sui'zi
三木真一郎,san'mu'zhen'yi'lang
森川智之,sen'chuan'zhi'zhi
山本元柳斋,shan'ben'yuan'liu'zhai
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
山口太郎,shan'kou'tai'lang
杉山纪彰,shan'shan'ji'zhang
山田花太郎,shan'tian'hua'tai'lang
杉田智和,shan'tian'zhi'he
射场铁左,she'chang'tie'zuo
蛇尾丸,she'wei'wan
神枪,shen'qiang
胜生真沙子,sheng'sheng'zhen'sha'zi
生天目仁美,sheng'tian'mu'ren'mei
始解,shi'jie
石田雨龙,shi'tian'yu'long
市丸银,shi'wan'yin
狩矢神,shou'shi'shen
双胞胎,shuang'bao'tai
四大贵族,si'da'gui'zu
兕丹坊,si'dan'fang
四枫院夜一,si'feng'yuan'ye'yi
死神,si'shen
速水奖,su'shui'jiang
碎蜂,sui'feng
藤冈春绯,teng'gang'chun'fei
田清之魂,tian'qing'zhi'hun
甜心前辈,tian'xin'qian'bei
万解,wan'jie
卫门西凛太郎,wei'men'xi'lin'tai'lang
握菱铁斋,wo'ling'tie'zhai
下屋则子,xia'wu'ze'zi
相马芳野,xiang'ma'fang'ye
香穗,xiang'sui
小菖,xiao'chang
小小的翅膀,xiao'xiao'de'chi'bang
咲野俊介,xiao'ye'jun'jie
馨,xin
朽木白哉,xiu'mu'bai'zai
朽木家,xiu'mu'jia
须王环,xu'wang'huan
雪野五月,xue'ye'wu'yue
夜一先生,ye'yi'xian'sheng
野猪,ye'zhu
一贯坂,yi'guan'ban
伊江村八十千和,yi'jiang'cun'ba'shi'qian'he
医疗小队,yi'liao'xiao'dui
伊势七绪,yi'shi'qi'xu
樱川朝惠,ying'chuan'chao'hui
樱井敏治,ying'jing'min'zhi
樱井孝宏,ying'jing'xiao'hong
樱兰高中,ying'lan'gao'zhong
游佐浩二,you'zuo'hao'er
宇田川,yu'tian'chuan
宇田川稜,yu'tian'chuan'leng
圆乘寺辰房,yuan'cheng'si'chen'fang
月森莲,yue'sen'lian
藏人,zang'ren
斋藤志郎,zhai'teng'zhi'lang
斩月,zhan'yue
真殿光昭,zhen'dian'guang'zhao
之芭,zhi'ba
志波海燕,zhi'bo'hai'yan
志波空鹤,zhi'bo'kong'he
志波一族,zhi'bo'yi'zu
置鲇龙太郎,zhi'nian'long'tai'lang
植之冢光邦,zhi'zhi'zhong'guang'bang
中多和宏京乐春水,zhong'duo'he'hong'jing'le'chun'shui
终结,zhong'jie
冢田正昭,zhong'tian'zheng'zhao
佐久间红美,zuo'jiu'jian'hong'mei
佐佐木修兵,zuo'zuo'mu'xiu'bing
