爱豆,ai'dou
傲慢舞,ao'man'wu
背带舞,bei'dai'wu
本命,ben'ming
本赏,ben'shang
餐车,can'che
初丁,chu'ding
初放,chu'fang
初心,chu'xin
粗卡,cu'ka
大赏,da'shang
刀群舞,dao'qun'wu
二硕,er'shuo
复古舞,fu'gu'wu
高丁,gao'ding
公约,gong'yue
国民初恋,guo'min'chu'lian
韩综,han'zong
候补,hou'bu
回归,hui'gui
口袋妹妹,kou'dai'mei'mei
拉链舞,la'lian'wu
理想型,li'xiang'xing
练习生,lian'xi'sheng
忙内,mang'nei
门面担当,men'mian'dan'dang
欧巴,ou'ba
欧尼,ou'ni
气垫,qi'dian
骑马舞,qi'ma'wu
生肉,sheng'rou
试映会,shi'ying'hui
手幅,shou'fu
熟肉,shu'rou
丝带儿,si'dai'er
私生饭,si'sheng'fan
团综,tuan'zong
小野马,xiao'ye'ma
心水,xin'shui
行星饭,xing'xing'fan
咬唇妆,yao'chun'zhuang
一筐猪,yi'kuang'zhu
应援,ying'yuan
鱿鱼,you'yu
鱼饼,yu'bing
中丁,zhong'ding
