阿必西尼亚母亲,a'bi'xi'ni'ya'mu'qin
阿尔刻提斯,a'er'ke'ti'si
啊荒野,a'huang'ye
阿伽门农,a'jia'men'nong
阿里斯托芬,a'li'si'tuo'fen
埃阿斯,ai'a'si
爱的徒劳,ai'de'tu'lao
埃斯库罗斯,ai'si'ku'luo'si
安德洛玛刻,an'de'luo'ma'ke
安东尼与克莉奥佩特拉,an'dong'ni'yu'ke'li'ao'pei'te'la
安娜克利斯蒂,an'na'ke'li'si'di
安提戈涅,an'ti'ge'nie
奥洛夫老师,ao'luo'fu'lao'shi
奥尼尔,ao'ni'er
奥瑟罗,ao'se'luo
芭芭拉少校,ba'ba'la'shao'xiao
白蛇传,bai'she'zhuan
暴风雨,bao'feng'yu
暴风雨中的七个女性,bao'feng'yu'zhong'de'qi'ge'nv'xing
被放逐者,bei'fang'zhu'zhe
被缚的普罗米修斯,bei'fu'de'pu'luo'mi'xiu'si
北京的空气,bei'jing'de'kong'qi
北京人,bei'jing'ren
波斯人,bo'si'ren
布拉斯庞德上尉的转变,bu'la'si'pang'de'shang'wei'de'zhuan'bian
不愉快戏剧集,bu'yu'kuai'xi'ju'ji
蔡文姬,cai'wen'ji
残雾,can'wu
曹禺,cao'yu
茶馆,cha'guan
长夜漫漫路迢迢,chang'ye'man'man'lu'tiao'tiao
吹牛的军人,chui'niu'de'jun'ren
春蚕,chun'can
春华秋实,chun'hua'qiu'shi
错误的喜剧,cuo'wu'de'xi'ju
大地龙蛇,da'di'long'she
大力士的女儿,da'li'shi'de'nv'er
胆剑篇,dan'jian'pian
荡子,dang'zi
到大马士革去,dao'da'ma'shi'ge'qu
到民间去,dao'min'jian'qu
等太太回来的时候,deng'tai'tai'hui'lai'de'shi'hou
第十二夜,di'shi'er'ye
第五号病室,di'wu'hao'bing'shi
奠酒人,dian'jiu'ren
丁西林,ding'xi'lin
东航卡迪夫,dong'hang'ka'di'fu
冬天的故事,dong'tian'de'gu'shi
独目巨人,du'mu'ju'ren
俄底浦斯王,e'di'pu'si'wang
俄底浦斯在克罗诺斯,e'di'pu'si'zai'ke'luo'nuo'si
厄勒克拉特,e'le'ke'la'te
厄勒克特拉,e'le'ke'te'la
厄里克十四,e'li'ke'shi'si
额瑞斯特斯,e'rui'si'te'si
俄瑞斯特斯,e'rui'si'te'si
俄瑞斯忒亚,e'rui'si'te'ya
法西斯细菌,fa'xi'si'xi'jun
芳草天涯,fang'cao'tian'ya
方珍珠,fang'zhen'zhu
菲洛克忒忒斯,fei'luo'ke'te'te'si
腓尼基的妇女,fei'ni'ji'de'fu'nv
风云儿女,feng'yun'er'nv
风云人物,feng'yun'ren'wu
干杯,gan'bei
高渐离,gao'jian'li
古斯塔夫瓦萨,gu'si'ta'fu'wa'sa
古潭的声音,gu'tan'de'sheng'yin
鳏夫的房产,guan'fu'de'fang'chan
关汉卿,guan'han'qing
鬼魂奏鸣曲,gui'hun'zou'ming'qu
归去来兮,gui'qu'lai'xi
国家至上,guo'jia'zhi'shang
郭沫若,guo'mo'ruo
哈姆雷特,ha'mu'lei'te
海伦,hai'lun
海鸥,hai'ou
赫卡柏,he'ka'bai
黑字二十八,hei'zi'er'shi'ba
亨利八世,heng'li'ba'shi
亨利六世,heng'li'liu'shi
亨利四世,heng'li'si'shi
亨利五世,heng'li'wu'shi
洪水,hong'shui
虎符,hu'fu
胡可,hu'ke
华伦夫人的职业,hua'lun'fu'ren'de'zhi'ye
槐树庄,huai'shu'zhuang
环珴璘与蔷薇,huan'e'lin'yu'qiang'wei
黄金时代,huang'jin'shi'dai
回春之曲,hui'chun'zhi'qu
获虎之夜,huo'hu'zhi'ye
火之跳舞,huo'zhi'tiao'wu
加勒比斯之月,jia'le'bi'si'zhi'yue
江汉渔歌,jiang'han'yu'ge
皆大欢喜,jie'da'huan'xi
借方与贷方,jie'fang'yu'dai'fang
金声玉报,jin'sheng'yu'bao
酒后,jiu'hou
咖啡店之一夜,ka'fei'dian'zhi'yi'ye
卡奈人,ka'nai'ren
凯撒和克莉奥佩屈拉,kai'sa'he'ke'li'ao'pei'qu'la
康蒂妲,kang'di'da
科利奥兰纳斯,ke'li'ao'lan'na'si
孔雀胆,kong'que'dan
狂流,kuang'liu
老舍,lao'she
雷雨,lei'yu
理查二世,li'cha'er'shi
理查三世,li'cha'san'shi
李尔王,li'er'wang
黎明之前,li'ming'zhi'qian
丽人行,li'ren'xing
利西翠妲,li'xi'cui'da
理想的丈夫,li'xiang'de'zhang'fu
梨园春秋,li'yuan'chun'qiu
烈火中永生,lie'huo'zhong'yong'sheng
林家铺子,lin'jia'pu'zi
龙须沟,long'xu'gou
芦沟桥,lu'gou'qiao
孪生兄弟,luan'sheng'xiong'di
乱钟,luan'zhong
罗密欧与朱丽叶,luo'mi'ou'yu'zhu'li'ye
麦克白,mai'ke'bai
毛猿,mao'yuan
美狄亚,mei'di'ya
梅雨,mei'yu
孟丽君,meng'li'jun
妙峰山,miao'feng'shan
明朗的天,ming'lang'de'tian
名优之死,ming'you'zhi'si
魔鬼的门徒,mo'gui'de'men'tu
南冠草,nan'guan'cao
南归,nan'gui
难以预料,nan'yi'yu'liao
聂嫈,nie'ying
女记者,nv'ji'zhe
欧里庇德斯,ou'li'bi'de'si
帕都瓦公爵夫人,pa'dou'wa'gong'jue'fu'ren
苹果车,ping'guo'che
普劳图斯,pu'lao'tu'si
普鲁特斯,pu'lu'te'si
契诃夫,qi'he'fu
七将攻忒拜,qi'jiang'gong'te'bai
奇异的插曲,qi'yi'de'cha'qu
祈援人,qi'yuan'ren
亲爱的丈夫,qin'ai'de'zhang'fu
青年进行曲,qing'nian'jin'xing'qu
琼斯皇帝,qiong'si'huang'di
秋瑾传,qiu'jin'chuan
裘力斯凯撒,qiu'li'si'kai'sa
秋声赋,qiu'sheng'fu
屈原,qu'yuan
人与超人,ren'yu'chao'ren
日出,ri'chu
戎冠秀,rong'guan'xiu
撒谎者,sa'huang'zhe
三个摩登的女性,san'ge'mo'deng'de'nv'xing
三块钱国币,san'kuai'qian'guo'bi
三姊妹,san'zi'mei
莎乐美,sha'le'mei
莎士比亚,sha'shi'bi'ya
善好者,shan'hao'zhe
上海屋檐下,shang'hai'wu'yan'xia
伤心之家,shang'xin'zhi'jia
少奶奶的扇子,shao'nai'nai'de'shan'zi
圣女贞德,sheng'nv'zhen'de
生铁炼成钢,sheng'tie'lian'cheng'gang
谁先到了重庆,shui'xian'dao'le'chong'qing
斯特林堡,si'te'lin'bao
送冰人来了,song'bing'ren'lai'le
苏州夜话,su'zhou'ye'hua
孙中山之死,sun'zhong'shan'zhi'si
索福克勒斯,suo'fu'ke'le'si
泰尔亲王配力克里斯,tai'er'qin'wang'pei'li'ke'li'si
泰特斯安德洛尼克斯,tai'te'si'an'de'luo'ni'ke'si
棠棣之花,tang'di'zhi'hua
桃李春风,tao'li'chun'feng
特拉基斯妇女,te'la'ji'si'fu'nv
特洛伊的妇女,te'luo'yi'de'fu'nv
特洛伊罗斯与克瑞西达,te'luo'yi'luo'si'yu'ke'rui'xi'da
特士摩,te'shi'mo
天边外,tian'bian'wai
田汉,tian'han
土桥之战,tu'qiao'zhi'zhan
突然出现的岛上愚人,tu'ran'chu'xian'de'dao'shang'yu'ren
蜕变变,tui'bian'bian
万尼亚舅舅,wan'ni'ya'jiu'jiu
王尔德,wang'er'de
王昭君,wang'zhao'jun
薇拉,wei'la
维洛那二绅士,wei'luo'na'er'shen'shi
威尼斯商人,wei'ni'si'shang'ren
为清教徒写的戏剧,wei'qing'jiao'tu'xie'de'xi'ju
文成公主,wen'cheng'gong'zhu
温德米尔夫人的扇子,wen'de'mi'er'fu'ren'de'shan'zi
温夫人的扇子,wen'fu'ren'de'shan'zi
温莎的风流娘儿们,wen'sha'de'feng'liu'niang'er'men
武器与人,wu'qi'yu'ren
无穷的岁月,wu'qiong'de'sui'yue
武士,wu'shi
无事生非,wu'shi'sheng'fei
武则天,wu'ze'tian
无足轻重的女人,wu'zu'qing'zhong'de'nv'ren
希波吕托斯,xi'bo'lv'tuo'si
喜相逢,xi'xiang'feng
瞎了一只眼,xia'le'yi'zhi'yan
夏衍,xia'yan
萧伯纳,xiao'bo'na
械斗,xie'dou
谢瑶环,xie'yao'huan
辛白林,xin'bai'lin
心防,xin'fang
新雁门关,xin'yan'men'guan
驯悍记,xun'han'ji
雅典的泰门,ya'dian'de'tai'men
压迫,ya'po
艳阳天,yan'yang'tian
一报还一报,yi'bao'huan'yi'bao
一出梦的戏剧,yi'chu'meng'de'xi'ju
伊凡诺夫,yi'fan'nuo'fu
伊菲格纳亚在奥里斯,yi'fei'ge'na'ya'zai'ao'li'si
忆江南,yi'jiang'nan
伊克里西阿,yi'ke'li'xi'a
一坛黄金,yi'tan'huang'jin
伊翁,yi'weng
一致,yi'zhi
一只马蜂,yi'zhi'ma'feng
樱桃园,ying'tao'yuan
英雄的阵地,ying'xiong'de'zhen'di
愉快的戏剧集,yu'kuai'de'xi'ju'ji
榆树下的欲望,yu'shu'xia'de'yu'wang
原野,yuan'ye
约翰王,yue'han'wang
再会吧香港,zai'hui'ba'xiang'gang
在罗马,zai'luo'ma
在陶洛人里的伊菲格纳亚,zai'tao'luo'ren'li'de'yi'fei'ge'na'ya
战斗里成长,zhan'dou'li'cheng'zhang
颤栗,zhan'li
战线南移,zhan'xian'nan'yi
张自忠,zhang'zi'zhong
真诚最要紧,zhen'cheng'zui'yao'jin
真相毕露,zhen'xiang'bi'lu
正在想,zheng'zai'xiang
智取生辰纲,zhi'qu'sheng'chen'gang
终成眷属,zhong'cheng'juan'shu
仲夏夜之梦,zhong'xia'ye'zhi'meng
祝福,zhu'fu
朱丽小姐,zhu'li'xiao'jie
卓文君,zhuo'wen'jun
最后的胜利,zui'hou'de'sheng'li
醉酒的女人,zui'jiu'de'nv'ren
