巴人广场,ba'ren'guang'chang
巴师附小,ba'shi'fu'xiao
巴师校,ba'shi'xiao
白云台,bai'yun'tai
车管所,che'guan'suo
齿轮厂,chi'lun'chang
川剧团,chuan'ju'tuan
大佛寺,da'fo'si
大堂坝,da'tang'ba
电信公司,dian'xin'gong'si
东方花园,dong'fang'hua'yuan
东方鑫村,dong'fang'xin'cun
东客站,dong'ke'zhan
二环路,er'huan'lu
二中,er'zhong
佛江路,fo'jiang'lu
公交公司,gong'jiao'gong'si
公路大厦,gong'lu'da'sha
骨科医院,gu'ke'yi'yuan
罐头厂,guan'tou'chang
广播电视报社,guang'bo'dian'shi'bao'she
荷花池市场,he'hua'chi'shi'chang
恒丰饭店,heng'feng'fan'dian
后河加气站,hou'he'jia'qi'zhan
后河桥,hou'he'qiao
回风亭,hui'feng'ting
贾家沟,jia'jia'gou
江北车站,jiang'bei'che'zhan
交警支队,jiao'jing'zhi'dui
教育宾馆,jiao'yu'bin'guan
街心花园,jie'xin'hua'yuan
老观桥,lao'guan'qiao
老区民政局,lao'qu'min'zheng'ju
莲花小区,lian'hua'xiao'qu
柳津桥,liu'jin'qiao
六小,liu'xiao
六中,liu'zhong
龙湖花园,long'hu'hua'yuan
龙湖中学,long'hu'zhong'xue
龙泉路口,long'quan'lu'kou
南池市场,nan'chi'shi'chang
南门市场,nan'men'shi'chang
普瑞制药厂,pu'rui'zhi'yao'chang
气象局,qi'xiang'ju
七小,qi'xiao
七中,qi'zhong
区防疫站,qu'fang'yi'zhan
区建设局,qu'jian'she'ju
区交通局,qu'jiao'tong'ju
区人民医院,qu'ren'min'yi'yuan
区委家属院,qu'wei'jia'shu'yuan
区卫生局,qu'wei'sheng'ju
区政府,qu'zheng'fu
区政务中心,qu'zheng'wu'zhong'xin
人民医院,ren'min'yi'yuan
三号桥,san'hao'qiao
社保家属院,she'bao'jia'shu'yuan
盛华堂,sheng'hua'tang
市财政局,shi'cai'zheng'ju
市广电中心,shi'guang'dian'zhong'xin
市红十字医院,shi'hong'shi'zi'yi'yuan
市建设局,shi'jian'she'ju
市交通局,shi'jiao'tong'ju
市教育局,shi'jiao'yu'ju
市审计局,shi'shen'ji'ju
市委党校,shi'wei'dang'xiao
市委党校招呼站,shi'wei'dang'xiao'zhao'hu'zhan
市邮政局,shi'you'zheng'ju
市政府,shi'zheng'fu
市中医院,shi'zhong'yi'yuan
丝厂,si'chang
丝厂家属院,si'chang'jia'shu'yuan
天力宾馆,tian'li'bin'guan
天通名城,tian'tong'ming'cheng
铁路宾馆,tie'lu'bin'guan
吴家大院,wu'jia'da'yuan
武警支队,wu'jing'zhi'dui
污水处理厂,wu'shui'chu'li'chang
西城市场,xi'cheng'shi'chang
西华宾馆,xi'hua'bin'guan
西华山,xi'hua'shan
西龛街,xi'kan'jie
西客站,xi'ke'zhan
小东门,xiao'dong'men
信合大厦,xin'he'da'sha
新惠裕商场,xin'hui'yu'shang'chang
新时代小区,xin'shi'dai'xiao'qu
移动公司,yi'dong'gong'si
艺体幼儿园,yi'ti'you'er'yuan
一小,yi'xiao
职中,zhi'zhong
中华保险,zhong'hua'bao'xian
中南大厦,zhong'nan'da'sha
重啤巴中公司,zhong'pi'ba'zhong'gong'si
