隘口镇,ai'kou'zhen
岑溪乡,cen'xi'xiang
大溪乡,da'xi'xiang
峨溶镇,e'rong'zhen
膏田镇,gao'tian'zhen
官庄镇,guan'zhuang'zhen
海洋乡,hai'yang'xiang
洪安镇,hong'an'zhen
兰桥镇,lan'qiao'zhen
里仁镇,li'ren'zhen
龙池镇,long'chi'zhen
梅江镇,mei'jiang'zhen
妙泉镇,miao'quan'zhen
平凯街道,ping'kai'jie'dao
清溪场镇,qing'xi'chang'zhen
溶溪镇,rong'xi'zhen
石堤镇,shi'di'zhen
石耶镇,shi'ye'zhen
宋农镇,song'nong'zhen
乌杨街道,wu'yang'jie'dao
溪口镇,xi'kou'zhen
孝溪乡,xiao'xi'xiang
雅江镇,ya'jiang'zhen
涌洞乡,yong'dong'xiang
中和街道,zhong'he'jie'dao
钟灵镇,zhong'ling'zhen
中平乡,zhong'ping'xiang
