安抚息乱,an'fu'xi'luan
扮猪吃虎,ban'zhu'chi'hu
抱尸复仇,bao'shi'fu'chou
卑词推奖,bei'ci'tui'jiang
杯酒释兵权,bei'jiu'shi'bing'quan
避嫌释疑,bi'xian'shi'yi
比喻说王,bi'yu'shuo'wang
编歌感王,bian'ge'gan'wang
辨欢识假,bian'huan'shi'jia
卞庄刺虎,bian'zhuang'ci'hu
不富难以为仁,bu'fu'nan'yi'wei'ren
不拒而绝,bu'ju'er'jue
长袖善舞,chang'xiu'shan'wu
乘势破敌,cheng'shi'po'di
持物以正,chi'wu'yi'zheng
处变不惊,chu'bian'bu'jing
楚材晋用,chu'cai'jin'yong
垂钓得相位,chui'diao'de'xiang'wei
寸步不让,cun'bu'bu'rang
打草惊蛇,da'cao'jing'she
大度得心,da'du'de'xin
大勇若怯,da'yong'ruo'qie
钓誉篡汉,diao'yu'cuan'han
二桃杀三士,er'tao'sha'san'shi
房谋杜断,fang'mou'du'duan
抚结士人,fu'jie'shi'ren
割地免祸,ge'di'mian'huo
割发警军,ge'fa'jing'jun
攻心计,gong'xin'ji
郭进用仇,guo'jin'yong'chou
护唇留齿,hu'chun'liu'chi
怀柔保边,huai'rou'bao'bian
怀柔之计,huai'rou'zhi'ji
还尸弱齐,huan'shi'ruo'qi
贿破合纵,hui'po'he'zong
计保太子,ji'bao'tai'zi
计废太子,ji'fei'tai'zi
计验他人,ji'yan'ta'ren
假痴不癫,jia'chi'bu'dian
嫁祸于人,jia'huo'yu'ren
将安则胜,jiang'an'ze'sheng
矫枉过正,jiao'wang'guo'zheng
借力护九鼎,jie'li'hu'jiu'ding
借艇割禾,jie'ting'ge'he
结之以信,jie'zhi'yi'xin
居安思危,ju'an'si'wei
拒礼吃理,ju'li'chi'li
绝缨之计,jue'ying'zhi'ji
快刀斩乱麻,kuai'dao'zhan'luan'ma
礼贤下士,li'xian'xia'shi
利用矛盾,li'yong'mao'dun
敛翼待时,lian'yi'dai'shi
论功行赏,lun'gong'xing'shang
落井下石,luo'jing'xia'shi
盟誓防变,meng'shi'fang'bian
明察励臣,ming'cha'li'chen
明升暗降,ming'sheng'an'jiang
明知故昧,ming'zhi'gu'mei
谋求保护,mou'qiu'bao'hu
牧童充王,mu'tong'chong'wang
迫其不已,po'qi'bu'yi
巧辩释疑,qiao'bian'shi'yi
巧策两全,qiao'ce'liang'quan
敲山震虎,qiao'shan'zhen'hu
巧语抑怒,qiao'yu'yi'nu
巧制小人,qiao'zhi'xiao'ren
亲而离之,qin'er'li'zhi
亲听考绩,qin'ting'kao'ji
擒贼擒王,qin'zei'qin'wang
轻财重籍,qing'cai'zhong'ji
曲意逢迎,qu'yi'feng'ying
群策群力,qun'ce'qun'li
杀妻求将,sha'qi'qiu'jiang
杀使招降,sha'shi'zhao'xiang
善纳谏言,shan'na'jian'yan
善用其长,shan'yong'qi'chang
赏罚不逾时,shang'fa'bu'yu'shi
赏罚倒置,shang'fa'dao'zhi
伤人致谢,shang'ren'zhi'xie
舍财得士,she'cai'de'shi
审时度势,shen'shi'duo'shi
施惠篡位,shi'hui'cuan'wei
守经达权,shou'jing'da'quan
顺水推舟,shun'shui'tui'zhou
顺佯敌意,shun'yang'di'yi
思患预防,si'huan'yu'fang
死囚克敌,si'qiu'ke'di
随机应变,sui'ji'ying'bian
随俗媚神,sui'su'mei'shen
孙膑赛马,sun'bin'sai'ma
韬晦之计,tao'hui'zhi'ji
挑拨离间,tiao'bo'li'jian
听其就闲,ting'qi'jiu'xian
推恩弱藩,tui'en'ruo'fan
托神避罪,tuo'shen'bi'zui
为国惜法,wei'guo'xi'fa
未雨绸缪,wei'yu'chou'mou
卧薪尝胆,wo'xin'chang'dan
徙木为信,xi'mu'wei'xin
先发制人,xian'fa'zhi'ren
献妹篡权,xian'mei'cuan'quan
先谋后事,xian'mou'hou'shi
萧规曹随,xiao'gui'cao'sui
笑里藏刀,xiao'li'cang'dao
挟天子以令诸侯,xie'tian'zi'yi'ling'zhu'hou
信赏必罚,xin'shang'bi'fa
兄微知著,xiong'wei'zhi'zhu
虚怀若谷,xu'huai'ruo'gu
循名责实,xun'ming'ze'shi
荀息叠蛋,xun'xi'die'dan
言近指远,yan'jin'zhi'yuan
延判息争,yan'pan'xi'zheng
养恶除恶,yang'e'chu'e
要离刺忌,yao'li'ci'ji
一测两备,yi'ce'liang'bei
以耻警耻,yi'chi'jing'chi
一石三鸟,yi'dan'san'niao
以盗治盗,yi'dao'zhi'dao
以毒攻毒,yi'du'gong'du
疑而示信,yi'er'shi'xin
移花接木,yi'hua'jie'mu
以静制动,yi'jing'zhi'dong
一举两得,yi'ju'liang'de
以弃为保,yi'qi'wei'bao
以柔克刚,yi'rou'ke'gang
以身正法,yi'shen'zheng'fa
移尸嫁祸,yi'shi'jia'huo
以威制奸,yi'wei'zhi'jian
隐蔽斗争,yin'bi'dou'zheng
因才任能,yin'cai'ren'neng
引离所靠,yin'li'suo'kao
隐伤免死,yin'shang'mian'si
引蛇出洞,yin'she'chu'dong
因势施计,yin'shi'shi'ji
用仇制敌,yong'chou'zhi'di
用人不疑,yong'ren'bu'yi
诱敌相疑,you'di'xiang'yi
由真而诳,you'zhen'er'kuang
欲贬反褒,yu'bian'fan'bao
鱼腹藏剑,yu'fu'cang'jian
迂回劝说,yu'hui'quan'shuo
