阿波介,a'bo'jie
阿波守,a'bo'shou
安房守,an'fang'shou
安艺介,an'yi'jie
安艺守,an'yi'shou
备后介,bei'hou'jie
备后守,bei'hou'shou
备前介,bei'qian'jie
备前守,bei'qian'shou
备中介,bei'zhong'jie
备中守,bei'zhong'shou
兵部,bing'bu
兵部大丞,bing'bu'da'cheng
兵部大辅,bing'bu'da'fu
兵部大录,bing'bu'da'lu
兵部卿,bing'bu'qing
兵部少丞,bing'bu'shao'cheng
兵部少辅,bing'bu'shao'fu
兵部少录,bing'bu'shao'lu
兵库大允,bing'ku'da'yun
兵库头,bing'ku'tou
兵库小允,bing'ku'xiao'yun
兵库助,bing'ku'zhu
播磨介,bo'mo'jie
播磨守,bo'mo'shou
伯耆介,bo'qi'jie
伯耆守,bo'qi'shou
采女佑,cai'nv'you
采女正,cai'nv'zheng
参议,can'yi
藏人,cang'ren
藏人所别当,cang'ren'suo'bie'dang
藏人头,cang'ren'tou
常陆介,chang'lu'jie
常陆守,chang'lu'shou
长门守,chang'men'shou
出羽介,chu'yu'jie
出羽守,chu'yu'shou
出云介,chu'yun'jie
出云守,chu'yun'shou
春宫大进,chun'gong'da'jin
春宫大夫,chun'gong'dai'fu
春宫亮,chun'gong'liang
春宫少进,chun'gong'shao'jin
从八位上,cong'ba'wei'shang
从八位下,cong'ba'wei'xia
从二位,cong'er'wei
从六位上,cong'liu'wei'shang
从六位下,cong'liu'wei'xia
从七位上,cong'qi'wei'shang
从七位下,cong'qi'wei'xia
从三位,cong'san'wei
从四位上,cong'si'wei'shang
从四位下,cong'si'wei'xia
从五位上,cong'wu'wei'shang
从五位下,cong'wu'wei'xia
从一位,cong'yi'wei
大丞,da'cheng
大炊大允,da'chui'da'yun
大炊头,da'chui'tou
大炊小允,da'chui'xiao'yun
大炊助,da'chui'zhu
大典钥,da'dian'yao
大辅,da'fu
大国介,da'guo'jie
大和介,da'he'jie
大和守,da'he'shou
大监物,da'jian'wu
大进,da'jin
大录,da'lu
大纳言,da'na'yan
大内记,da'nei'ji
大膳大进,da'shan'da'jin
大膳大夫,da'shan'dai'fu
大膳亮,da'shan'liang
大膳少进,da'shan'shao'jin
大史,da'shi
大外记,da'wai'ji
大学大允,da'xue'da'yun
大学头,da'xue'tou
大学小允,da'xue'xiao'yun
大学助,da'xue'zhu
大隅守,da'yu'shou
大允,da'yun
大宰大贰,da'zai'da'er
大宰帅,da'zai'shuai
大藏,da'zang
大藏大丞,da'zang'da'cheng
大藏大辅,da'zang'da'fu
大藏大录,da'zang'da'lu
大藏卿,da'zang'qing
大藏少丞,da'zang'shao'cheng
大藏少辅,da'zang'shao'fu
大藏少录,da'zang'shao'lu
大主铃,da'zhu'ling
带刀,dai'dao
丹波介,dan'bo'jie
丹波守,dan'bo'shou
丹后守,dan'hou'shou
淡路守,dan'lu'shou
但马介,dan'ma'jie
但马守,dan'ma'shou
弹正大弼,dan'zheng'da'bi
弹正大疏,dan'zheng'da'shu
弹正大忠,dan'zheng'da'zhong
弹正少弼,dan'zheng'shao'bi
弹正少疏,dan'zheng'shao'shu
弹正少忠,dan'zheng'shao'zhong
弹正尹,dan'zheng'yin
典膳,dian'shan
典药大允,dian'yao'da'yun
典药头,dian'yao'tou
