安庆一中,an'qing'yi'zhong
鞍山一中,an'shan'yi'zhong
安师大附中,an'shi'da'fu'zhong
八十中,ba'shi'zhong
白鹭洲中学,bai'lu'zhou'zhong'xue
保定一中,bao'ding'yi'zhong
包钢一中,bao'gang'yi'zhong
包头北重三中,bao'tou'bei'zhong'san'zhong
包头市第一中学,bao'tou'shi'di'yi'zhong'xue
包头市第中学,bao'tou'shi'di'zhong'xue
北大附中,bei'da'fu'zhong
北京,bei'jing
北京四中,bei'jing'si'zhong
北师大二附中,bei'shi'da'er'fu'zhong
北师大实验中学,bei'shi'da'shi'yan'zhong'xue
蚌埠二中,beng'bu'er'zhong
兵团二中,bing'tuan'er'zhong
长安一中,chang'an'yi'zhong
长春市实验中学,chang'chun'shi'shi'yan'zhong'xue
长春十一中,chang'chun'shi'yi'zhong
长春外国语学校,chang'chun'wai'guo'yu'xue'xiao
长郡中学,chang'jun'zhong'xue
长沙一中,chang'sha'yi'zhong
常州高中,chang'zhou'gao'zhong
成成中学,cheng'cheng'zhong'xue
成都七中,cheng'du'qi'zhong
成都实验外国语学校,cheng'du'shi'yan'wai'guo'yu'xue'xiao
重庆,chong'qing
重庆八中,chong'qing'ba'zhong
重庆一中,chong'qing'yi'zhong
大连八中,da'lian'ba'zhong
大连二十四中,da'lian'er'shi'si'zhong
大庆实验,da'qing'shi'yan
大庆铁人中学,da'qing'tie'ren'zhong'xue
大庆一中,da'qing'yi'zhong
大庆中学,da'qing'zhong'xue
大同中,da'tong'zhong
丹阳中学,dan'yang'zhong'xue
佛山一中,fo'shan'yi'zhong
复旦附中,fu'dan'fu'zhong
抚顺一中,fu'shun'yi'zhong
阜新实验中学,fu'xin'shi'yan'zhong'xue
福州三中,fu'zhou'san'zhong
福州一中,fu'zhou'yi'zhong
甘肃,gan'su
甘肃兰州新亚中学,gan'su'lan'zhou'xin'ya'zhong'xue
高安中学,gao'an'zhong'xue
格致中学,ge'zhi'zhong'xue
广东,guang'dong
广西,guang'xi
广州六中,guang'zhou'liu'zhong
桂林十八中,gui'lin'shi'ba'zhong
桂林中学,gui'lin'zhong'xue
贵阳六中,gui'yang'liu'zhong
贵阳一中,gui'yang'yi'zhong
贵州,gui'zhou
涡阳四中,guo'yang'si'zhong
哈九中,ha'jiu'zhong
哈六中,ha'liu'zhong
哈三中,ha'san'zhong
哈师大附中,ha'shi'da'fu'zhong
海口实验中学,hai'kou'shi'yan'zhong'xue
海口一中,hai'kou'yi'zhong
海门高中,hai'men'gao'zhong
海南,hai'nan
海南二中,hai'nan'er'zhong
海南国兴中学,hai'nan'guo'xing'zhong'xue
海南侨中,hai'nan'qiao'zhong
海南中学,hai'nan'zhong'xue
海师附中,hai'shi'fu'zhong
杭二中,hang'er'zhong
杭州十四中上海,hang'zhou'shi'si'zhong'shang'hai
杭州外国语学校,hang'zhou'wai'guo'yu'xue'xiao
河北,he'bei
河池地区高中,he'chi'di'qu'gao'zhong
合肥一中,he'fei'yi'zhong
鹤岗一中,he'gang'yi'zhong
河南,he'nan
黑龙江,hei'long'jiang
衡水中学,heng'shui'zhong'xue
衡阳八中,heng'yang'ba'zhong
湖北,hu'bei
湖南,hu'nan
呼市二中,hu'shi'er'zhong
华师大附中,hua'shi'da'fu'zhong
华师二附中,hua'shi'er'fu'zhong
华师一附中,hua'shi'yi'fu'zhong
淮北一中,huai'bei'yi'zhong
湟川中学,huang'chuan'zhong'xue
黄冈中学,huang'gang'zhong'xue
黄山屯溪一中,huang'shan'tun'xi'yi'zhong
汇文中学,hui'wen'zhong'xue
惠州一中,hui'zhou'yi'zhong
吉林,ji'lin
吉林一中,ji'lin'yi'zhong
济南外国语学校,ji'nan'wai'guo'yu'xue'xiao
济南一中,ji'nan'yi'zhong
冀州中学,ji'zhou'zhong'xue
加积中学,jia'ji'zhong'xue
嘉兴一中,jia'xing'yi'zhong
江苏,jiang'su
江西,jiang'xi
交大附中,jiao'da'fu'zhong
金溪一中,jin'xi'yi'zhong
景山学校,jing'shan'xue'xiao
荆州中学,jing'zhou'zhong'xue
九江一中,jiu'jiang'yi'zhong
开封高中,kai'feng'gao'zhong
凯里一中,kai'li'yi'zhong
康杰中学,kang'jie'zhong'xue
克拉玛依四中,ke'la'ma'yi'si'zhong
昆钢集团公司第四中学,kun'gang'ji'tuan'gong'si'di'si'zhong'xue
昆明八中,kun'ming'ba'zhong
昆明三中,kun'ming'san'zhong
昆明一中,kun'ming'yi'zhong
莱阳一中,lai'yang'yi'zhong
兰州铁路局第五中学,lan'zhou'tie'lu'ju'di'wu'zhong'xue
兰州一中,lan'zhou'yi'zhong
辽宁,liao'ning
辽师大附中,liao'shi'da'fu'zhong
临川一中,lin'chuan'yi'zhong
浏阳一中,liu'yang'yi'zhong
柳州高中,liu'zhou'gao'zhong
柳州铁一中,liu'zhou'tie'yi'zhong
禄劝民族中学福建,lu'quan'min'zu'zhong'xue'fu'jian
洛阳一高,luo'yang'yi'gao
马鞍山二中,ma'an'shan'er'zhong
绵阳中学,mian'yang'zhong'xue
南昌二中,nan'chang'er'zhong
南充高中,nan'chong'gao'zhong
南开中学,nan'kai'zhong'xue
南宁二中,nan'ning'er'zhong
南宁三中,nan'ning'san'zhong
南师大附中,nan'shi'da'fu'zhong
内蒙古,nei'meng'gu
彭州中学安徽,peng'zhou'zhong'xue'an'hui
平遥中学,ping'yao'zhong'xue
莆田一中,pu'tian'yi'zhong
启东中学,qi'dong'zhong'xue
秦皇岛市第一中学,qin'huang'dao'shi'di'yi'zhong'xue
青岛二中,qing'dao'er'zhong
青海,qing'hai
清华附中,qing'hua'fu'zhong
泉州五中,quan'zhou'wu'zhong
人大附中,ren'da'fu'zhong
日照一中,ri'zhao'yi'zhong
如东高中,ru'dong'gao'zhong
三明一中,san'ming'yi'zhong
沙市中学,sha'shi'zhong'xue
山大附中,shan'da'fu'zhong
山东,shan'dong
山师大附中,shan'shi'da'fu'zhong
陕西,shan'xi
山西,shan'xi
上高二中,shang'gao'er'zhong
上海中学,shang'hai'zhong'xue
上杭一中,shang'hang'yi'zhong
绍兴一中,shao'xing'yi'zhong
沈阳二中,shen'yang'er'zhong
深圳高中,shen'zhen'gao'zhong
深圳中学,shen'zhen'zhong'xue
省实验,sheng'shi'yan
省实验中学,sheng'shi'yan'zhong'xue
师大附中,shi'da'fu'zhong
石家庄二中,shi'jia'zhuang'er'zhong
石家庄市第二十八中学,shi'jia'zhuang'shi'di'er'shi'ba'zhong'xue
石家庄四十二中,shi'jia'zhuang'si'shi'er'zhong
石家庄一中,shi'jia'zhuang'yi'zhong
石室中学,shi'shi'zhong'xue
实验中学,shi'yan'zhong'xue
树德中学,shu'de'zhong'xue
双十中学,shuang'shi'zhong'xue
双鸭山一中,shuang'ya'shan'yi'zhong
四川,si'chuan
松原市油田高中,song'yuan'shi'you'tian'gao'zhong
苏州中学,su'zhou'zhong'xue
太原五中,tai'yuan'wu'zhong
台州中学,tai'zhou'zhong'xue
棠湖中学,tang'hu'zhong'xue
唐山一中,tang'shan'yi'zhong
天津,tian'jin
潍坊二中,wei'fang'er'zhong
潍坊一中,wei'fang'yi'zhong
武钢三中,wu'gang'san'zhong
武汉二中,wu'han'er'zhong
芜湖一中,wu'hu'yi'zhong
乌市一中,wu'shi'yi'zhong
西安市第一中学,xi'an'shi'di'yi'zhong'xue
西安铁一中,xi'an'tie'yi'zhong
西安中学,xi'an'zhong'xue
西北师大附中,xi'bei'shi'da'fu'zhong
西峰三中,xi'feng'san'zhong
西工大附中,xi'gong'da'fu'zhong
西宁第十四中学,xi'ning'di'shi'si'zhong'xue
西宁五中,xi'ning'wu'zhong
厦门一中,xia'men'yi'zhong
仙游一中,xian'you'yi'zhong
襄樊四中,xiang'fan'si'zhong
襄樊五中,xiang'fan'wu'zhong
湘潭一中,xiang'tan'yi'zhong
孝感高中,xiao'gan'gao'zhong
效实中学,xiao'shi'zhong'xue
新华中学,xin'hua'zhong'xue
辛集中学,xin'ji'zhong'xue
新疆,xin'jiang
新疆实验,xin'jiang'shi'yan
新乡一中,xin'xiang'yi'zhong
忻州一中,xin'zhou'yi'zhong
新洲一中,xin'zhou'yi'zhong
邢台市一中,xing'tai'shi'yi'zhong
徐州一中,xu'zhou'yi'zhong
学军中学,xue'jun'zhong'xue
雅安中学,ya'an'zhong'xue
雅礼中学,ya'li'zhong'xue
延安中学,yan'an'zhong'xue
延边二中,yan'bian'er'zhong
盐城中学,yan'cheng'zhong'xue
烟台二中,yan'tai'er'zhong
扬州中学,yang'zhou'zhong'xue
耀华中学,yao'hua'zhong'xue
宜昌一中,yi'chang'yi'zhong
一中,yi'zhong
鹰潭一中,ying'tan'yi'zhong
育才中学,yu'cai'zhong'xue
育明高中,yu'ming'gao'zhong
玉山一中,yu'shan'yi'zhong
岳阳一中,yue'yang'yi'zhong
云南,yun'nan
湛江一中,zhan'jiang'yi'zhong
浙江,zhe'jiang
镇海中学,zhen'hai'zhong'xue
正定中学,zheng'ding'zhong'xue
郑州外国语学校,zheng'zhou'wai'guo'yu'xue'xiao
郑州一中,zheng'zhou'yi'zhong
执信中学,zhi'xin'zhong'xue
中山纪念中学,zhong'shan'ji'nian'zhong'xue
中山一中,zhong'shan'yi'zhong
中学,zhong'xue
诸暨中学,zhu'ji'zhong'xue
株洲二中,zhu'zhou'er'zhong
遵义四中,zun'yi'si'zhong
