安全剂量,an'quan'ji'liang
气密检查,qi'mi'jian'cha
气溶胶,qi'rong'jiao
气溶胶发生器,qi'rong'jiao'fa'sheng'qi
潜伏期,qian'fu'qi
侵入,qin'ru
侵入人体,qin'ru'ren'ti
氢氰酸,qing'qing'suan
轻微沾染区,qing'wei'zhan'ran'qu
球孢子菌,qiu'bao'zi'jun
躯体失能剂,qu'ti'shi'neng'ji
全身皮肤防护器材,quan'shen'pi'fu'fang'hu'qi'cai
全身缺氧,quan'shen'que'yang
全身中毒性毒剂,quan'shen'zhong'du'xing'du'ji
染毒区,ran'du'qu
扰乱性化学袭击,rao'luan'xing'hua'xue'xi'ji
热当量,re'dang'liang
热立克次体,re'li'ke'ci'ti
热能当量,re'neng'dang'liang
热线,re'xian
人员防护,ren'yuan'fang'hu
人员防护工事,ren'yuan'fang'hu'gong'shi
人员染毒,ren'yuan'ran'du
三防,san'fang
沙林,sha'lin
杀伤性化学袭击,sha'shang'xing'hua'xue'xi'ji
杀伤有生力量,sha'shang'you'sheng'li'liang
闪光盲,shan'guang'mang
伤害剂量,shang'hai'ji'liang
伤害浓度,shang'hai'nong'du
伤情等级,shang'qing'deng'ji
射线,she'xian
射线辐射,she'xian'fu'she
射线警报器,she'xian'jing'bao'qi
神经麻痹,shen'jing'ma'bi
神经失能剂,shen'jing'shi'neng'ji
神经性毒剂,shen'jing'xing'du'ji
渗透,shen'tou
渗透性,shen'tou'xing
生物防护,sheng'wu'fang'hu
生物弹,sheng'wu'tan
生物武器,sheng'wu'wu'qi
生物战,sheng'wu'zhan
生物战剂,sheng'wu'zhan'ji
生物战剂气溶胶,sheng'wu'zhan'ji'qi'rong'jiao
施放工具,shi'fang'gong'ju
失能,shi'neng
失能性,shi'neng'xing
失能性毒剂,shi'neng'xing'du'ji
失能性战剂,shi'neng'xing'zhan'ji
受染,shou'ran
鼠疫,shu'yi
鼠疫杆菌,shu'yi'gan'jun
速效性毒剂,su'xiao'xing'du'ji
炭疽,tan'ju
炭疽杆菌,tan'ju'gan'jun
停留剂量,ting'liu'ji'liang
通过剂量,tong'guo'ji'liang
投掷,tou'zhi
脱叶,tuo'ye
