安全框,an'quan'kuang
安全框指示,an'quan'kuang'zhi'shi
背景,bei'jing
背景设计稿,bei'jing'she'ji'gao
背景样本,bei'jing'yang'ben
编导,bian'dao
编剧,bian'ju
变形,bian'xing
彩铅,cai'qian
彩色铅笔,cai'se'qian'bi
彩色造型,cai'se'zao'xing
残影,can'ying
草稿,cao'gao
长背景,chang'bei'jing
尺数,chi'shu
重复,chong'fu
重复动作,chong'fu'dong'zuo
重拍,chong'pai
重新定位,chong'xin'ding'wei
出画,chu'hua
出镜,chu'jing
出景,chu'jing
垂直上移,chui'zhi'shang'yi
打孔机,da'kong'ji
大特写,da'te'xie
大小比例,da'xiao'bi'li
单格,dan'ge
单帧,dan'zhen
道具,dao'ju
道具设定,dao'ju'she'ding
导演,dao'yan
等速持续,deng'su'chi'xu
第二次曝光,di'er'ci'bao'guang
第一次曝光,di'yi'ci'bao'guang
电脑控制动画摄影,dian'nao'kong'zhi'dong'hua'she'ying
电脑上色,dian'nao'shang'se
叠化,die'hua
定位尺,ding'wei'chi
定位洞,ding'wei'dong
定位孔,ding'wei'kong
定位器,ding'wei'qi
定位条,ding'wei'tiao
定置,ding'zhi
动画电影,dong'hua'dian'ying
动画短片,dong'hua'duan'pian
动画论文,dong'hua'lun'wen
动画秒表,dong'hua'miao'biao
动画片,dong'hua'pian
动画软件,dong'hua'ruan'jian
动画设计,dong'hua'she'ji
动画摄影机,dong'hua'she'ying'ji
动画师,dong'hua'shi
动画学会,dong'hua'xue'hui
动画员,dong'hua'yuan
动画圆盘,dong'hua'yuan'pan
动画者,dong'hua'zhe
动画纸,dong'hua'zhi
动画制作,dong'hua'zhi'zuo
动画助理,dong'hua'zhu'li
动画专业词汇,dong'hua'zhuan'ye'ci'hui
动漫节,dong'man'jie
动作,dong'zuo
动作跟随,dong'zuo'gen'sui
动作缓冲,dong'zuo'huan'chong
动作节奏,dong'zuo'jie'zou
动作库,dong'zuo'ku
短背景,duan'bei'jing
对白及口形,dui'bai'ji'kou'xing
多层次化学板,duo'ceng'ci'hua'xue'ban
多层设计,duo'ceng'she'ji
多重曝光,duo'chong'bao'guang
多重拍摄,duo'chong'pai'she
二十四格,er'shi'si'ge
二维动画,er'wei'dong'hua
放大,fang'da
分镜台本设计,fen'jing'tai'ben'she'ji
分镜头台本,fen'jing'tou'tai'ben
干刷,gan'shua
格数,ge'shu
跟随,gen'sui
工作室,gong'zuo'shi
构图,gou'tu
构图设计,gou'tu'she'ji
故事板,gu'shi'ban
故事板开发,gu'shi'ban'kai'fa
关键张,guan'jian'zhang
关键帧,guan'jian'zhen
光圈,guang'quan
光源,guang'yuan
规格框,gui'ge'kuang
规格框大小,gui'ge'kuang'da'xiao
轨目,gui'mu
后期合成,hou'qi'he'cheng
