阿银,a'yin
暗赤金,an'chi'jin
暗魔邪神虎,an'mo'xie'shen'hu
暗器百解,an'qi'bai'jie
暗器之法,an'qi'zhi'fa
奥宁,ao'ning
奥斯卡,ao'si'ka
八角玄冰草,ba'jiao'xuan'bing'cao
八蛛矛,ba'zhu'mao
八蛛矛之外附魂骨,ba'zhu'mao'zhi'wai'fu'hun'gu
白沉香,bai'chen'xiang
白鹤,bai'he
白虎斗罗,bai'hu'dou'luo
白虎护身障,bai'hu'hu'shen'zhang
白虎金刚变,bai'hu'jin'gang'bian
白虎烈光波,bai'hu'lie'guang'bo
白虎流星雨,bai'hu'liu'xing'yu
白虎魔神变,bai'hu'mo'shen'bian
白虎破灭杀,bai'hu'po'mie'sha
白虎天雷灭,bai'hu'tian'lei'mie
白虎啸天击,bai'hu'xiao'tian'ji
白虎真身,bai'hu'zhen'shen
白色的右臂骨,bai'se'de'you'bi'gu
半神,ban'shen
暴雨梨花针,bao'yu'li'hua'zhen
比比东,bi'bi'dong
碧波,bi'bo
碧磷蛇皇,bi'lin'she'huang
波塞西,bo'sai'xi
缠绕,chan'rao
超越极限墨绿肠,chao'yue'ji'xian'mo'lv'chang
赤金,chi'jin
初级铁匠,chu'ji'tie'jiang
大地蚁皇斩,da'di'yi'huang'zhan
大地之力,da'di'zhi'li
大魂师,da'hun'shi
大力金刚熊,da'li'jin'gang'xiong
大师,da'shi
大须弥锤,da'xu'mi'chui
戴浩,dai'hao
戴华斌,dai'hua'bin
戴洛黎,dai'luo'li
戴沐白,dai'mu'bai
戴维斯,dai'wei'si
戴钥衡,dai'yao'heng
戴雨浩,dai'yu'hao
第十三式,di'shi'san'shi
地穴魔蛛,di'xue'mo'zhu
巅峰斗罗,dian'feng'dou'luo
定力之破,ding'li'zhi'po
斗罗大陆,dou'luo'da'lu
毒斗罗,du'dou'luo
独孤博,du'gu'bo
多一半钻石肠,duo'yi'ban'zuan'shi'chang
二级神祇,er'ji'shen'qi
防御魂技,fang'yu'hun'ji
封号斗罗,feng'hao'dou'luo
凤凰穿云击,feng'huang'chuan'yun'ji
凤凰斗罗,feng'huang'dou'luo
凤凰火线,feng'huang'huo'xian
凤凰流星雨,feng'huang'liu'xing'yu
凤凰啸天击,feng'huang'xiao'tian'ji
