爱的挫折,ai'de'cuo'zhe
八大改行,ba'da'gai'hang
扒马褂,ba'ma'gua
八猫图,ba'mao'tu
八扇屏,ba'shan'ping
八十一层楼,ba'shi'yi'ceng'lou
拔牙,ba'ya
白吃,bai'chi
百吹图,bai'chui'tu
白桦,bai'hua
百家姓,bai'jia'xing
白全福,bai'quan'fu
白事会,bai'shi'hui
办晚会,ban'wan'hui
棒打与溺爱,bang'da'yu'ni'ai
报菜名,bao'cai'ming
北海游,bei'hai'you
北京话,bei'jing'hua
比翼双飞,bi'yi'shuang'fei
表态,biao'tai
别扭话,bie'niu'hua
彬彬有礼,bin'bin'you'li
兵发云南,bing'fa'yun'nan
哺乳诗,bu'ru'shi
不宜动土,bu'yi'dong'tu
猜地名,cai'di'ming
猜歌,cai'ge
猜谜语,cai'mi'yu
财迷丈人,cai'mi'zhang'ren
测字,ce'zi
查卫生,cha'wei'sheng
拆字,chai'zi
常宝丰,chang'bao'feng
常贵田,chang'gui'tian
常连安,chang'lian'an
陈鸣志,chen'ming'zhi
陈树桐,chen'shu'tong
陈子贞,chen'zi'zhen
成语连篇,cheng'yu'lian'pian
成语新篇,cheng'yu'xin'pian
程之,cheng'zhi
吃饭我掏钱,chi'fan'wo'tao'qian
吃元宵,chi'yuan'xiao
出口成章,chu'kou'cheng'zhang
串调,chuan'tiao
传谣,chuan'yao
传摇,chuan'yao
崔喜悦,cui'xi'yue
寸步难行,cun'bu'nan'xing
打百分,da'bai'fen
大保镖,da'bao'biao
打电话,da'dian'hua
大会见闻,da'hui'jian'wen
打金枝,da'jin'zhi
大闹县衙门,da'nao'xian'ya'men
打牌论,da'pai'lun
大山,da'shan
大上寿,da'shang'shou
打油诗,da'you'shi
戴志诚,dai'zhi'cheng
当行论,dang'xing'lun
道德法庭,dao'de'fa'ting
倒字,dao'zi
邓小林,deng'xiao'lin
电梯奇遇,dian'ti'qi'yu
点子公司,dian'zi'gong'si
丁广泉,ding'guang'quan
洞房破迷信,dong'fang'po'mi'xin
斗法,dou'fa
逗你玩,dou'ni'wan
对春联,dui'chun'lian
对对子,dui'dui'zi
多层饭店,duo'ceng'fan'dian
多此一举,duo'ci'yi'ju
儿女赞,er'nv'zan
翻跟头,fan'gen'tou
反正话,fan'zheng'hua
废话趣谈,fei'hua'qu'tan
飞油壶,fei'you'hu
汾河湾,fen'he'wan
奉承人,feng'cheng'ren
风格赞,feng'ge'zan
冯巩,feng'gong
风雨归舟,feng'yu'gui'zhou
富了以后,fu'le'yi'hou
改歌,gai'ge
改行,gai'hang
改名,gai'ming
赶考,gan'kao
杠刀子,gang'dao'zi
高超勇,gao'chao'yong
搞对象,gao'dui'xiang
高人一头的人,gao'ren'yi'tou'de'ren
哥俩好,ge'lia'hao
狗噘嘴,gou'jue'zui
狗熊大象,gou'xiong'da'xiang
古董王,gu'dong'wang
官场斗,guan'chang'dou
关公战秦琼,guan'gong'zhan'qin'qiong
规矩套子,gui'ju'tao'zi
