鞍山,an'shan
鲅鱼圈区,ba'yu'quan'qu
白塔区,bai'ta'qu
北宁,bei'ning
北票市,bei'piao'shi
北镇市,bei'zhen'shi
本溪,ben'xi
本溪满族自治县,ben'xi'man'zu'zi'zhi'xian
本溪县,ben'xi'xian
长海县,chang'hai'xian
昌图县,chang'tu'xian
朝阳,chao'yang
朝阳县,chao'yang'xian
沈河区,chen'he'qu
大东区,da'dong'qu
大连,da'lian
大石桥市,da'shi'qiao'shi
大洼县,da'wa'xian
丹东,dan'dong
灯塔市,deng'ta'shi
东港市,dong'gang'shi
东陵区,dong'ling'qu
东洲区,dong'zhou'qu
法库县,fa'ku'xian
凤城市,feng'cheng'shi
抚顺,fu'shun
抚顺县,fu'shun'xian
阜新,fu'xin
阜新蒙古族自治县,fu'xin'meng'gu'zu'zi'zhi'xian
阜新县,fu'xin'xian
盖州市,gai'zhou'shi
甘井子区,gan'jing'zi'qu
弓长岭区,gong'chang'ling'qu
古塔区,gu'ta'qu
海城市,hai'cheng'shi
海州区,hai'zhou'qu
和平区,he'ping'qu
黑山县,hei'shan'xian
宏伟区,hong'wei'qu
葫芦岛,hu'lu'dao
桓仁满族自治县,huan'ren'man'zu'zi'zhi'xian
皇姑区,huang'gu'qu
建昌县,jian'chang'xian
建平县,jian'ping'xian
金县,jin'xian
锦州,jin'zhou
金州区,jin'zhou'qu
喀喇沁左翼蒙古族自治县,ka'la'qin'zuo'yi'meng'gu'zu'zi'zhi'xian
开原市,kai'yuan'shi
康平县,kang'ping'xian
宽甸满族自治县,kuan'dian'man'zu'zi'zhi'xian
老边区,lao'bian'qu
立山区,li'shan'qu
连山区,lian'shan'qu
辽阳,liao'yang
辽阳县,liao'yang'xian
辽中县,liao'zhong'xian
凌海市,ling'hai'shi
凌河区,ling'he'qu
凌源市,ling'yuan'shi
龙城区,long'cheng'qu
龙港区,long'gang'qu
旅顺口区,lv'shun'kou'qu
明山区,ming'shan'qu
南芬区,nan'fen'qu
南票区,nan'piao'qu
盘锦,pan'jin
盘山县,pan'shan'xian
平山区,ping'shan'qu
普兰店市,pu'lan'dian'shi
千山区,qian'shan'qu
清河门区,qing'he'men'qu
清河区,qing'he'qu
清原满族自治县,qing'yuan'man'zu'zi'zhi'xian
沙河口区,sha'he'kou'qu
沈北新区,shen'bei'xin'qu
沈阳,shen'yang
双塔区,shuang'ta'qu
双台子区,shuang'tai'zi'qu
顺城区,shun'cheng'qu
苏家屯区,su'jia'tun'qu
绥中县,sui'zhong'xian
台安县,tai'an'xian
太和区,tai'he'qu
太平区,tai'ping'qu
太子河区,tai'zi'he'qu
铁东区,tie'dong'qu
铁法,tie'fa
铁岭,tie'ling
铁岭县,tie'ling'xian
铁西区,tie'xi'qu
瓦房店市,wa'fang'dian'shi
望花区,wang'hua'qu
文圣区,wen'sheng'qu
西丰县,xi'feng'xian
西岗区,xi'gang'qu
细河区,xi'he'qu
溪湖区,xi'hu'qu
西市区,xi'shi'qu
新宾满族自治县,xin'bin'man'zu'zi'zhi'xian
新抚区,xin'fu'qu
新金,xin'jin
新民市,xin'min'shi
新邱区,xin'qiu'qu
兴城市,xing'cheng'shi
兴隆台区,xing'long'tai'qu
岫岩满族自治县,xiu'yan'man'zu'zi'zhi'xian
义县,yi'xian
银州区,yin'zhou'qu
营口,ying'kou
于洪区,yu'hong'qu
元宝区,yuan'bao'qu
站前区,zhan'qian'qu
彰武县,zhang'wu'xian
振安区,zhen'an'qu
振兴区,zhen'xing'qu
中山区,zhong'shan'qu
庄河市,zhuang'he'shi
