北柴,bei'chai
北留,bei'liu
滨河,bin'he
柴村,chai'cun
长风,chang'feng
长邯路,chang'han'lu
长晋路,chang'jin'lu
常平,chang'ping
长治北,chang'zhi'bei
长治南,chang'zhi'nan
长治西,chang'zhi'xi
长治县,chang'zhi'xian
大同北,da'tong'bei
大同南,da'tong'nan
大同绕城,da'tong'rao'cheng
大新路,da'xin'lu
大营,da'ying
大盂,da'yu
代县,dai'xian
丹河,dan'he
得大路,de'da'lu
得胜口,de'sheng'kou
东郭,dong'guo
东山过境,dong'shan'guo'jing
东社,dong'she
东阳关,dong'yang'guan
东镇,dong'zhen
顿村,dun'cun
汾离路,fen'li'lu
汾阳,fen'yang
汾阳西,fen'yang'xi
风陵渡,feng'ling'du
高平,gao'ping
高蒲,gao'pu
古城营,gu'cheng'ying
崞阳,guo'yang
河津东,he'jin'dong
河津西,he'jin'xi
洪洞,hong'tong
侯马,hou'ma
侯马北,hou'ma'bei
侯禹路,hou'yu'lu
侯运路,hou'yun'lu
怀仁,huai'ren
黄营,huang'ying
黄寨,huang'zhai
霍州,huo'zhou
机场,ji'chang
稷山,ji'shan
交城,jiao'cheng
介休,jie'xiu
解州,jie'zhou
晋城,jin'cheng
晋城东,jin'cheng'dong
晋祠,jin'ci
金村,jin'cun
晋济路,jin'ji'lu
晋焦路,jin'jiao'lu
金井,jin'jing
晋阳路,jin'yang'lu
京大路,jing'da'lu
旧关,jiu'guan
军渡,jun'du
开井关,kai'jing'guan
开栅,kai'shan
口泉,kou'quan
黎城,li'cheng
离军路,li'jun'lu
离石东,li'shi'dong
离石西,li'shi'xi
临汾,lin'fen
临侯路,lin'hou'lu
灵石,ling'shi
柳林东,liu'lin'dong
柳林西,liu'lin'xi
龙门黄河大桥,long'men'huang'he'da'qiao
潞城,lu'cheng
罗城,luo'cheng
马连庄,ma'lian'zhuang
毛皂,mao'zao
明姜,ming'jiang
南坡,nan'po
南义城,nan'yi'cheng
平定,ping'ding
平陆,ping'lu
平旺,ping'wang
平遥,ping'yao
坡头,po'tou
祁临路,qi'lin'lu
祁县,qi'xian
卿头,qing'tou
清徐,qing'xu
曲沃,qu'wo
仁义,ren'yi
润城,run'cheng
三家村,san'jia'cun
山阴,shan'yin
神泉堡,shen'quan'bao
寿阳,shou'yang
朔州,shuo'zhou
孙启庄,sun'qi'zhuang
太长路,tai'chang'lu
太谷,tai'gu
太旧路,tai'jiu'lu
太祁路,tai'qi'lu
太原南环,tai'yuan'nan'huan
土门,tu'men
屯留,tun'liu
王村,wang'cun
文水,wen'shui
文水东,wen'shui'dong
闻喜,wen'xi
吴城,wu'cheng
武宿,wu'su
武乡,wu'xiang
西北环,xi'bei'huan
西河河,xi'he'he
西坪,xi'ping
夏汾路,xia'fen'lu
夏县,xia'xian
襄汾,xiang'fen
向阳,xiang'yang
襄垣,xiang'yuan
小店,xiao'dian
小店南未开通,xiao'dian'nan'wei'kai'tong
新广武,xin'guang'wu
新绛,xin'jiang
新荣,xin'rong
新原路,xin'yuan'lu
忻州,xin'zhou
杏花,xing'hua
兴王,xing'wang
阳城,yang'cheng
杨家峪,yang'jia'yu
阳曲,yang'qu
冶峪关闭,ye'yu'guan'bi
翼城,yi'cheng
翼城东,yi'cheng'dong
翼侯路,yi'hou'lu
迎西,ying'xi
应县,ying'xian
永济,yong'ji
永济西,yong'ji'xi
榆次,yu'ci
御东,yu'dong
榆社北,yu'she'bei
榆社南,yu'she'nan
峪头,yu'tou
原平,yuan'ping
原太路,yuan'tai'lu
元营,yuan'ying
悦达京大,yue'da'jing'da
运城,yun'cheng
运城东,yun'cheng'dong
运城南,yun'cheng'nan
运城绕城,yun'cheng'rao'cheng
运城西,yun'cheng'xi
运风路,yun'feng'lu
云冈,yun'gang
运三路,yun'san'lu
泽州,ze'zhou
张店,zhang'dian
张兰,zhang'lan
丈子头,zhang'zi'tou
中交翼侯,zhong'jiao'yi'hou
周村,zhou'cun
