阿拉巴斯坦,a'la'ba'si'tan
阿修罗,a'xiu'luo
哀股,ai'gu
艾尼路,ai'ni'lu
艾斯,ai'si
奥兹,ao'zi
巴基,ba'ji
巴其,ba'qi
百八烦恼凤,bai'ba'fan'nao'feng
百八烦恼风,bai'ba'fan'nao'feng
白胡子,bai'hu'zi
比比,bi'bi
比拿美,bi'na'mei
博尔特遭飞铲,bo'er'te'zao'fei'chan
布鲁克,bu'lu'ke
草帽小子,cao'mao'xiao'zi
超人系果实,chao'ren'xi'guo'shi
陈婉衡,chen'wan'heng
迟缓果实,chi'huan'guo'shi
吃辣城市排行,chi'la'cheng'shi'pai'hang
赤犬,chi'quan
春人,chun'ren
刺蝶,ci'die
刺客聂隐娘,ci'ke'nie'yin'niang
打兵,da'bing
大残,da'can
大将,da'jiang
达斯琪,da'si'qi
东利,dong'li
动物系果实,dong'wu'xi'guo'shi
独角老太,du'jiao'lao'tai
毒蛇绕颈,du'she'rao'jing
多拉格,duo'la'ge
朵丽儿,duo'li'er
朵丽儿医娘,duo'li'er'yi'niang
恶魔果实,e'mo'guo'shi
二档,er'dang
风暴果实,feng'bao'guo'shi
弗兰克,fu'lan'ke
弗兰奇,fu'lan'qi
弗朗基,fu'lang'ji
攻城炮,gong'cheng'pao
功夫海龟,gong'fu'hai'gui
功力散尽,gong'li'san'jin
古伊娜,gu'yi'na
鬼彻,gui'che
鬼砍,gui'kan
鬼仔,gui'zai
海列车,hai'lie'che
和道一文字,he'dao'yi'wen'zi
河底墓葬,he'di'mu'zang
黑暗果实,hei'an'guo'shi
黑胡子,hei'hu'zi
黑木香,hei'mu'xiang
红鼻子,hong'bi'zi
红发,hong'fa
红发撒古斯,hong'fa'sa'gu'si
红发香克斯,hong'fa'xiang'ke'si
红鬼,hong'gui
红土大陆,hong'tu'da'lu
花花果实,hua'hua'guo'shi
滑溜溜果实,hua'liu'liu'guo'shi
黄金梅丽号,huang'jin'mei'li'hao
黄泉果实,huang'quan'guo'shi
黄猿,huang'yuan
火拳,huo'quan
监牢果实,jian'lao'guo'shi
僵尸袋鼠,jiang'shi'dai'shu
巨人族,ju'ren'zu
军猴,jun'hou
卡里法,ka'li'fa
卡普,ka'pu
克洛克达尔,ke'luo'ke'da'er
空岛,kong'dao
骷髅人,ku'lou'ren
快投,kuai'tou
快斩果实,kuai'zhan'guo'shi
蜡烛果实,la'zhu'guo'shi
岚脚,lan'jiao
历史正文,li'shi'zheng'wen
六式,liu'shi
路飞,lu'fei
路飞海贼团,lu'fei'hai'zei'tuan
鲁夫,lu'fu
露玖,lu'jiu
路奇,lu'qi
罗宾,luo'bin
罗杰,luo'jie
洛克,luo'ke
洛克船长,luo'ke'chuan'zhang
罗罗诺亚索隆,luo'luo'nuo'ya'suo'long
马马果实,ma'ma'guo'shi
马匹遭囚,ma'pi'zao'qiu
麥形大叔,mai'xing'da'shu
猫猫果实,mao'mao'guo'shi
猫头鹰,mao'tou'ying
冒烟男,mao'yan'nan
梅丽,mei'li
门门果实,men'men'guo'shi
蒙奇,meng'qi
冥王,ming'wang
明星唱错的歌词,ming'xing'chang'cuo'de'ge'ci
模仿果实,mo'fang'guo'shi
莫里亚,mo'li'ya
娜美,na'mei
奈美,nai'mei
能力者,neng'li'zhe
妮可罗宾,ni'ke'luo'bin
女一,nv'yi
跑得快,pao'de'kuai
泡泡果实,pao'pao'guo'shi
骗人布,pian'ren'bu
七水之都,qi'shui'zhi'du
七武海,qi'wu'hai
乔巴,qiao'ba
悄悄话果实,qiao'qiao'hua'guo'shi
