傲娇,ao'jiao
暴走,bao'zou
本命,ben'ming
残念,can'nian
柴刀女,chai'dao'nv
蠢萌,chun'meng
大叔,da'shu
大叔我们不约,da'shu'wo'men'bu'yue
呆毛,dai'mao
呆萌,dai'meng
耽美,dan'mei
蹲坑,dun'keng
废柴王道,fei'chai'wang'dao
腹黑,fu'hei
腐女,fu'nv
工口,gong'kou
鬼隐,gui'yin
好萌,hao'meng
黑化,hei'hua
后宫,hou'gong
姐贵,jie'gui
乱入,luan'ru
萝莉,luo'li
猫耳,mao'er
萌杀蹦坏,meng'sha'beng'huai
面瘫,mian'tan
捏它,nie'ta
炮姐,pao'jie
三无男,san'wu'nan
三无女,san'wu'nv
什么什么控,shen'me'shen'me'kong
双色瞳,shuang'se'tong
吐槽,tu'cao
团长,tuan'zhang
脱线,tuo'xian
兄贵,xiong'gui
乙女,yi'nv
御姐,yu'jie
正太,zheng'tai
