阿利氏规律,a'li'shi'gui'lv
阿伦规律,a'lun'gui'lv
阿朔夫似规律,a'shuo'fu'si'gui'lv
斑块性,ban'kuai'xing
斑块性者,ban'kuai'xing'zhe
保护生物学,bao'hu'sheng'wu'xue
北大西洋波涛,bei'da'xi'yang'bo'tao
被动适应,bei'dong'shi'ying
北方针叶林,bei'fang'zhen'ye'lin
贝格曼规律,bei'ge'man'gui'lv
蹦跳行为,beng'tiao'xing'wei
彼得逊指数,bi'de'xun'zhi'shu
边际值原理,bian'ji'zhi'yuan'li
变渗透压动物,bian'shen'tou'ya'dong'wu
变温动物,bian'wen'dong'wu
变异性,bian'yi'xing
边缘效应,bian'yuan'xiao'ying
标志重捕法,biao'zhi'zhong'bu'fa
标准化植被差异指数,biao'zhun'hua'zhi'bei'cha'yi'zhi'shu
标准最小值法,biao'zhun'zui'xiao'zhi'fa
滨海带,bin'hai'dai
冰覆盖,bing'fu'gai
冰原苔原,bing'yuan'tai'yuan
补偿点,bu'chang'dian
补充量,bu'chong'liang
不规则波动,bu'gui'ze'bo'dong
捕食,bu'shi
捕食学说,bu'shi'xue'shuo
捕食者,bu'shi'zhe
捕食者猎物系统,bu'shi'zhe'lie'wu'xi'tong
不稳定环,bu'wen'ding'huan
捕捉,bu'zhuo
草地生态学,cao'di'sheng'tai'xue
层次,ceng'ci
颤抖性产热,chan'dou'xing'chan're
常见种,chang'jian'zhong
长日照动物,chang'ri'zhao'dong'wu
常温动物,chang'wen'dong'wu
超补偿,chao'bu'chang
超寄生,chao'ji'sheng
超冷,chao'leng
超体积,chao'ti'ji
超体积生态位,chao'ti'ji'sheng'tai'wei
潮汐周期,chao'xi'zhou'qi
超有机体,chao'you'ji'ti
超越,chao'yue
晨昏性动物,chen'hun'xing'dong'wu
成群群,cheng'qun'qun
城市生态学,cheng'shi'sheng'tai'xue
尺度,chi'du
持续代谢率,chi'xu'dai'xie'lv
持续力,chi'xu'li
抽采式竞争,chou'cai'shi'jing'zheng
触发器,chu'fa'qi
初级生产力,chu'ji'sheng'chan'li
初级种群参数,chu'ji'zhong'qun'can'shu
触觉通讯,chu'jue'tong'xun
出生率,chu'sheng'lv
传递效率,chuan'di'xiao'lv
垂直成层现象,chui'zhi'cheng'ceng'xian'xiang
垂直生命表,chui'zhi'sheng'ming'biao
次级生产力,ci'ji'sheng'chan'li
次级猪群特征,ci'ji'zhu'qun'te'zheng
次生演替,ci'sheng'yan'ti
雌性先熟型雌雄同体,ci'xing'xian'shu'xing'ci'xiong'tong'ti
促进模型,cu'jin'mo'xing
脆弱性,cui'ruo'xing
存活曲线,cun'huo'qu'xian
存活值,cun'huo'zhi
大寄生物,da'ji'sheng'wu
大量结实,da'liang'jie'shi
大量释放,da'liang'shi'fang
大气候,da'qi'hou
大气圈,da'qi'quan
大气湿度,da'qi'shi'du
大群落,da'qun'luo
大洋区,da'yang'qu
单次生殖的,dan'ci'sheng'zhi'de
单调的阻尼稳定点,dan'diao'de'zu'ni'wen'ding'dian
单顶级学说,dan'ding'ji'xue'shuo
单配偶制,dan'pei'ou'zhi
单食性动物,dan'shi'xing'dong'wu
淡水生态学,dan'shui'sheng'tai'xue
单体生物,dan'ti'sheng'wu
单位渔捞努力,dan'wei'yu'lao'nu'li
单种种群,dan'zhong'zhong'qun
岛屿移植,dao'yu'yi'zhi
等级结构,deng'ji'jie'gou
等级组织,deng'ji'zu'zhi
等渗压的,deng'shen'ya'de
等位酶,deng'wei'mei
等值种,deng'zhi'zhong
地动物学,di'dong'wu'xue
地方种群,di'fang'zhong'qun
地化生态学,di'hua'sheng'tai'xue
抵抗力,di'kang'li
地理变异,di'li'bian'yi
地理物种形成学说,di'li'wu'zhong'xing'cheng'xue'shuo
地理种群,di'li'zhong'qun
地面芽植物,di'mian'ya'zhi'wu
底栖生物,di'qi'sheng'wu
地上芽植物,di'shang'ya'zhi'wu
低渗透压调节,di'shen'tou'ya'tiao'jie
低渗压尿,di'shen'ya'niao
低温生物学,di'wen'sheng'wu'xue
地质演替,di'zhi'yan'ti
顶级群落,ding'ji'qun'luo
顶级群落格局学说,ding'ji'qun'luo'ge'ju'xue'shuo
