艾特,ai'te
安定区,an'ding'qu
安久黑奈,an'jiu'hei'nai
安久奈白,an'jiu'nai'bai
安浦清子,an'pu'qing'zi
巴雷特,ba'lei'te
白鸽白鸠,bai'ge'bai'jiu
暴食狂,bao'shi'kuang
钵川中,bo'chuan'zhong
喰场,can'chang
喰种,can'zhong
喰种餐厅,can'zhong'can'ting
喰种对策法,can'zhong'dui'ce'fa
喰种对策教育所,can'zhong'dui'ce'jiao'yu'suo
喰种对策局,can'zhong'dui'ce'ju
喰种对策局本部,can'zhong'dui'ce'ju'ben'bu
喰种收容所奎库利阿,can'zhong'shou'rong'suo'kui'ku'li'a
喰种搜查官,can'zhong'sou'cha'guan
喰种搜查官养成学校,can'zhong'sou'cha'guan'yang'cheng'xue'xiao
大守八云,da'shou'ba'yun
笛口雏实,di'kou'chu'shi
笛口凉子,di'kou'liang'zi
地行甲乙,di'xing'jia'yi
蓧原幸纪,di'yuan'xing'ji
东京喰种,dong'jing'can'zhong
东京食尸鬼,dong'jing'shi'shi'gui
独眼喰种,du'yan'can'zhong
独眼的枭,du'yan'de'xiao
多多良,duo'duo'liang
多卡酱,duo'ka'jiang
多奈托普鲁普拉,duo'nai'tuo'pu'lu'pu'la
二等搜查官,er'deng'sou'cha'guan
法寺项介,fa'si'xiang'jie
芳村功善,fang'cun'gong'shan
肥松,fei'song
丰永利行,feng'yong'li'xing
高槻泉,gao'gui'quan
高桓彩阳,gao'huan'cai'yang
共喰,gong'can
宫野真守,gong'ye'zhen'shou
古董咖啡店,gu'dong'ka'fei'dian
古间圆儿,gu'jian'yuan'er
贵未,gui'wei
赫包,he'bao
和修常吉,he'xiu'chang'ji
和修吉时,he'xiu'ji'shi
赫眼,he'yan
赫者,he'zhe
赫子,he'zi
花江夏树,hua'jiang'xia'shu
花泽香菜,hua'ze'xiang'cai
灰崎深目,hui'qi'shen'mu
甲赫,jia'he
嘉纳明博,jia'na'ming'bo
嘉纳综合医院,jia'na'zong'he'yi'yuan
检查门,jian'cha'men
菅生隆之,jian'sheng'long'zhi
金木研,jin'mu'yan
库因克,ku'yin'ke
库因克斯,ku'yin'ke'si
昆克,kun'ke
鳞赫,lin'he
铃屋什造,ling'wu'shen'zao
泷泽政道,long'ze'zheng'dao
贸易公司斯芬克斯,mao'yi'gong'si'si'fen'ke'si
美食家,mei'shi'jia
纳基,na'ji
瓶兄弟,ping'xiong'di
平子丈,ping'zi'zhang
浅沼晋太郎,qian'zhao'jin'tai'lang
千之睦,qian'zhi'mu
清巳高等学校,qing'si'gao'deng'xue'xiao
青铜树,qing'tong'shu
人妖尼克,ren'yao'ni'ke
入见萱,ru'jian'xuan
三等搜查官,san'deng'sou'cha'guan
森田修平,sen'tian'xiu'ping
上等搜查官,shang'deng'sou'cha'guan
上井大学,shang'jing'da'xue
神代叉荣,shen'dai'cha'rong
神代利世,shen'dai'li'shi
石田翠,shi'tian'cui
诗先生,shi'xian'sheng
实验大楼,shi'yan'da'lou
四方莲示,si'fang'lian'shi
特等搜查官,te'deng'sou'cha'guan
田井中宽和,tian'jing'zhong'kuan'he
田中丸望元,tian'zhong'wan'wang'yuan
兔子,tu'zi
瓦斯,wa'si
丸守斋,wan'shou'zhai
万丈数一,wan'zhang'shu'yi
尾赫,wei'he
梶裕贵,wei'yu'gui
雾岛董香,wu'dao'dong'xiang
雾岛新,wu'dao'xin
雾岛绚都,wu'dao'xuan'dou
五里美香,wu'li'mei'xiang
细胞,xi'bao
西凛太朗,xi'lin'tai'lang
西尾锦,xi'wei'jin
小坂依子,xiao'ban'yi'zi
小丑集团,xiao'chou'ji'tuan
小西克幸,xiao'xi'ke'xing
亚门钢太郎,ya'men'gang'tai'lang
眼罩,yan'zhao
野吕,ye'lv
一等搜查官,yi'deng'sou'cha'guan
伊鸟,yi'niao
樱井孝宏,ying'jing'xiao'hong
永近英良,yong'jin'ying'liang
有马贵将,you'ma'gui'jiang
尤娜,you'na
雨宫天,yu'gong'tian
羽赫,yu'he
宇井郡,yu'jing'jun
月山习,yue'shan'xi
真户吴绪,zhen'hu'wu'xu
真户晓,zhen'hu'xiao
诸星堇,zhu'xing'jin
准特等搜查官,zhun'te'deng'sou'cha'guan
宗太,zong'tai
