安全道岔,an'quan'dao'cha
安全线,an'quan'xian
扒碴机,ba'cha'ji
班车,ban'che
扳轨闸,ban'gui'zha
半票,ban'piao
板式轨道,ban'shi'gui'dao
半圆枕木,ban'yuan'zhen'mu
搬运,ban'yun
搬运工人,ban'yun'gong'ren
包房,bao'fang
包运,bao'yun
北京铁路局,bei'jing'tie'lu'ju
臂板信号,bi'ban'xin'hao
避难线,bi'nan'xian
边坡,bian'po
标签,biao'qian
标准轨距,biao'zhun'gui'ju
标准设计,biao'zhun'she'ji
拨道,bo'dao
拨道机,bo'dao'ji
波浪磨耗,bo'lang'mo'hao
波形磨耗,bo'xing'mo'hao
补票,bu'piao
采石场,cai'shi'chang
餐车,can'che
查票员,cha'piao'yuan
岔线,cha'xian
岔心,cha'xin
岔心护,cha'xin'hu
岔枕,cha'zhen
敞车,chang'che
长钢轨,chang'gang'gui
长靠椅,chang'kao'yi
超声波探伤仪,chao'sheng'bo'tan'shang'yi
车挡,che'dang
车钩,che'gou
车间,che'jian
车辆,che'liang
车辆段,che'liang'duan
车轮,che'lun
车务,che'wu
车务段,che'wu'duan
车站大厅,che'zhan'da'ting
车站设计,che'zhan'she'ji
沉降,chen'jiang
成都铁路局,cheng'du'tie'lu'ju
除草,chu'cao
除草剂,chu'cao'ji
除草机,chu'cao'ji
出发,chu'fa
出发场,chu'fa'chang
除雪,chu'xue
除雪车,chu'xue'che
除雪机,chu'xue'ji
窗带,chuang'dai
存车场,cun'che'chang
存行李,cun'xing'li
大修队,da'xiu'dui
单程票,dan'cheng'piao
单轨铁路,dan'gui'tie'lu
单开道岔,dan'kai'dao'cha
弹条式扣件,dan'tiao'shi'kou'jian
挡风墙,dang'feng'qiang
挡土墙挡墙,dang'tu'qiang'dang'qiang
道班,dao'ban
道班工,dao'ban'gong
道岔,dao'cha
道碴,dao'cha
道岔附带曲线,dao'cha'fu'dai'qu'xian
道岔更换,dao'cha'geng'huan
道碴更换,dao'cha'geng'huan
道碴更换机,dao'cha'geng'huan'ji
道碴厚度,dao'cha'hou'du
道岔铺设,dao'cha'pu'she
道碴清筛,dao'cha'qing'shai
道碴清筛机,dao'cha'qing'shai'ji
道岔设计,dao'cha'she'ji
道岔养护,dao'cha'yang'hu
道尺,dao'chi
道床,dao'chuang
道床覆盖,dao'chuang'fu'gai
道床夯拍机,dao'chuang'hang'pai'ji
道床清扫机,dao'chuang'qing'sao'ji
道床脏污,dao'chuang'zang'wu
道床整形,dao'chuang'zheng'xing
道床阻力,dao'chuang'zu'li
道床作业,dao'chuang'zuo'ye
到达场,dao'da'chang
道钉,dao'ding
道钉锤,dao'ding'chui
道钉机,dao'ding'ji
捣固,dao'gu
捣固车,dao'gu'che
捣固机,dao'gu'ji
道口板,dao'kou'ban
道口路面,dao'kou'lu'mian
导曲线,dao'qu'xian
到站,dao'zhan
登车,deng'che
地磅,di'bang
低接头,di'jie'tou
地铁,di'tie
地质调查,di'zhi'diao'cha
垫板,dian'ban
垫碴起道,dian'cha'qi'dao
电动信号,dian'dong'xin'hao
电力,dian'li
电力供区,dian'li'gong'qu
电力线,dian'li'xian
垫圈,dian'quan
电务,dian'wu
电务段,dian'wu'duan
调车,diao'che
调车场,diao'che'chang
调度,diao'du
调度员,diao'du'yuan
定测,ding'ce
定线,ding'xian
冻害,dong'hai
动力稳定车,dong'li'wen'ding'che
冻融,dong'rong
冻土路基,dong'tu'lu'ji
冻胀,dong'zhang
断轨,duan'gui
钝轨转辙器,dun'gui'zhuan'zhe'qi
多线铁路,duo'xian'tie'lu
二等票,er'deng'piao
二等卧车,er'deng'wo'che
发车进路信号,fa'che'jin'lu'xin'hao
发车信号,fa'che'xin'hao
发电车,fa'dian'che
发货人,fa'huo'ren
翻浆冒泥,fan'jiang'mao'ni
方案比较,fang'an'bi'jiao
防冻,fang'dong
防腐枕木,fang'fu'zhen'mu
防洪预抢工程,fang'hong'yu'qiang'gong'cheng
防护工程,fang'hu'gong'cheng
防护林,fang'hu'lin
房建大修,fang'jian'da'xiu
房建检修,fang'jian'jian'xiu
房建维修,fang'jian'wei'xiu
防爬器,fang'pa'qi
防爬支撑,fang'pa'zhi'cheng
放散温度力,fang'san'wen'du'li
防沙,fang'sha
防砂,fang'sha
防水林,fang'shui'lin
防雪栅,fang'xue'shan
防雪树篱,fang'xue'shu'li
防雪障,fang'xue'zhang
防振轨道,fang'zhen'gui'dao
防撞破凌,fang'zhuang'po'ling
分开式扣件,fen'kai'shi'kou'jian
封闭线路作业时间,feng'bi'xian'lu'zuo'ye'shi'jian
复轨器,fu'gui'qi
复式道岔,fu'shi'dao'cha
复式交分道岔,fu'shi'jiao'fen'dao'cha
改道,gai'dao
干捣水泥砂浆,gan'dao'shui'ni'sha'jiang
赶火车,gan'huo'che
干线,gan'xian
钢轨,gang'gui
钢轨刨边机,gang'gui'bao'bian'ji
钢轨擦伤,gang'gui'ca'shang
钢轨打标记,gang'gui'da'biao'ji
钢轨打磨,gang'gui'da'mo
钢轨打磨车,gang'gui'da'mo'che
钢轨打磨机,gang'gui'da'mo'ji
钢轨低接头,gang'gui'di'jie'tou
钢轨断裂,gang'gui'duan'lie
钢轨钢,gang'gui'gang
钢轨更换,gang'gui'geng'huan
钢轨更换机,gang'gui'geng'huan'ji
钢轨工作边,gang'gui'gong'zuo'bian
钢轨鼓曲,gang'gui'gu'qu
钢轨焊补,gang'gui'han'bu
钢轨焊缝,gang'gui'han'feng
钢轨焊接,gang'gui'han'jie
钢轨焊接车,gang'gui'han'jie'che
钢轨基础模量,gang'gui'ji'chu'mo'liang
钢轨加热,gang'gui'jia're
钢轨加热器,gang'gui'jia're'qi
钢轨矫直,gang'gui'jiao'zhi
钢轨接头,gang'gui'jie'tou
钢轨拉伸器,gang'gui'la'shen'qi
钢轨连接,gang'gui'lian'jie
钢轨裂纹,gang'gui'lie'wen
钢轨落锤试验,gang'gui'luo'chui'shi'yan
钢轨螺栓孔,gang'gui'luo'shuan'kong
钢轨磨耗,gang'gui'mo'hao
钢轨磨损检查车,gang'gui'mo'sun'jian'cha'che
钢轨磨损检查仪,gang'gui'mo'sun'jian'cha'yi
钢轨爬行,gang'gui'pa'xing
钢轨疲劳,gang'gui'pi'lao
钢轨铺设,gang'gui'pu'she
钢轨热处理,gang'gui're'chu'li
钢轨伤损,gang'gui'shang'sun
钢轨伸缩调节器,gang'gui'shen'suo'tiao'jie'qi
钢轨锁定,gang'gui'suo'ding
钢轨探伤,gang'gui'tan'shang
钢轨探伤车,gang'gui'tan'shang'che
钢轨探伤仪,gang'gui'tan'shang'yi
钢轨涂油,gang'gui'tu'you
钢轨涂油器,gang'gui'tu'you'qi
钢轨推凸机,gang'gui'tui'tu'ji
钢轨推凸器,gang'gui'tui'tu'qi
钢轨位移观测桩,gang'gui'wei'yi'guan'ce'zhuang
钢轨温度,gang'gui'wen'du
钢轨锈蚀,gang'gui'xiu'shi
钢轨应力,gang'gui'ying'li
钢轨折断,gang'gui'zhe'duan
钢轨支点弹性模量,gang'gui'zhi'dian'tan'xing'mo'liang
钢轨组合辙叉,gang'gui'zu'he'zhe'cha
钢轨钻孔机,gang'gui'zuan'kong'ji
钢轨钻孔器,gang'gui'zuan'kong'qi
钢梁腐蚀裂纹,gang'liang'fu'shi'lie'wen
钢梁加固,gang'liang'jia'gu
钢梁疲劳损伤,gang'liang'pi'lao'sun'shang
钢梁应力腐蚀裂纹,gang'liang'ying'li'fu'shi'lie'wen
钢梁油漆,gang'liang'you'qi
钢丝刷除锈,gang'si'shua'chu'xiu
刚性扣件,gang'xing'kou'jian
钢枕,gang'zhen
高架轨道,gao'jia'gui'dao
高架列车,gao'jia'lie'che
高架铁路,gao'jia'tie'lu
高路堤,gao'lu'di
高锰钢整铸辙叉,gao'meng'gang'zheng'zhu'zhe'cha
高速道岔,gao'su'dao'cha
高速轨道检查车,gao'su'gui'dao'jian'cha'che
高速轨检车,gao'su'gui'jian'che
隔声墙,ge'sheng'qiang
工厂漆,gong'chang'qi
工程宿营车,gong'cheng'su'ying'che
工地漆,gong'di'qi
供电,gong'dian
供电段,gong'dian'duan
公里标,gong'li'biao
工区,gong'qu
公铁两用线路机械,gong'tie'liang'yong'xian'lu'ji'xie
工务,gong'wu
工务部门,gong'wu'bu'men
工务段,gong'wu'duan
工务机械段,gong'wu'ji'xie'duan
工务设备台帐,gong'wu'she'bei'tai'zhang
工务修配厂,gong'wu'xiu'pei'chang
钩螺栓,gou'luo'shuan
构造轨缝,gou'zao'gui'feng
固定区,gu'ding'qu
固沙,gu'sha
挂车,gua'che
罐车,guan'che
管界标,guan'jie'biao
灌木切割机,guan'mu'qie'ge'ji
广铁集团,guang'tie'ji'tuan
轨撑,gui'cheng
轨道,gui'dao
轨道暗坑,gui'dao'an'keng
轨道变形,gui'dao'bian'xing
轨道不平顺,gui'dao'bu'ping'shun
轨道参数,gui'dao'can'shu
轨道残余变形,gui'dao'can'yu'bian'xing
轨道车,gui'dao'che
轨道承载力,gui'dao'cheng'zai'li
轨道动力学,gui'dao'dong'li'xue
轨道方向,gui'dao'fang'xiang
轨道附属设备,gui'dao'fu'shu'she'bei
轨道工程,gui'dao'gong'cheng
轨道鼓出,gui'dao'gu'chu
轨道鼓出临界温度,gui'dao'gu'chu'lin'jie'wen'du
轨道几何尺寸容许公差,gui'dao'ji'he'chi'cun'rong'xu'gong'chai
轨道几何形位,gui'dao'ji'he'xing'wei
轨道几何状态恶化,gui'dao'ji'he'zhuang'tai'e'hua
轨道机械,gui'dao'ji'xie
轨道检测,gui'dao'jian'ce
轨道检测机具,gui'dao'jian'ce'ji'ju
轨道检测设备,gui'dao'jian'ce'she'bei
轨道检查车,gui'dao'jian'cha'che
轨道检查小车,gui'dao'jian'cha'xiao'che
轨道结构,gui'dao'jie'gou
轨道框架刚度,gui'dao'kuang'jia'gang'du
轨道类型,gui'dao'lei'xing
轨道理论,gui'dao'li'lun
轨道力学,gui'dao'li'xue
轨道明坑,gui'dao'ming'keng
轨道平车,gui'dao'ping'che
轨道铺设,gui'dao'pu'she
轨道前后高低,gui'dao'qian'hou'gao'di
轨道强度,gui'dao'qiang'du
轨道强度计算,gui'dao'qiang'du'ji'suan
轨道设计,gui'dao'she'ji
轨道施工,gui'dao'shi'gong
轨道施工机械,gui'dao'shi'gong'ji'xie
轨道失效,gui'dao'shi'xiao
轨道实验,gui'dao'shi'yan
轨道试验,gui'dao'shi'yan
轨道水平,gui'dao'shui'ping
轨道水平尺,gui'dao'shui'ping'chi
轨道铁道轨道,gui'dao'tie'dao'gui'dao
轨道稳定性,gui'dao'wen'ding'xing
轨道养护标准,gui'dao'yang'hu'biao'zhun
轨道应力,gui'dao'ying'li
轨道质量指数,gui'dao'zhi'liang'zhi'shu
轨道状态,gui'dao'zhuang'tai
轨道阻力,gui'dao'zu'li
轨底,gui'di
轨底崩裂,gui'di'beng'lie
轨底坡,gui'di'po
轨顶,gui'ding
轨端崩裂,gui'duan'beng'lie
轨端马鞍形磨损,gui'duan'ma'an'xing'mo'sun
轨端削角,gui'duan'xue'jiao
轨缝,gui'feng
轨缝调整,gui'feng'tiao'zheng
轨缝调整器,gui'feng'tiao'zheng'qi
轨腹上圆弧接触夹板,gui'fu'shang'yuan'hu'jie'chu'jia'ban
轨检车,gui'jian'che
轨检车评分,gui'jian'che'ping'fen
轨节,gui'jie
轨节螺栓,gui'jie'luo'shuan
轨距,gui'ju
轨距尺,gui'ju'chi
轨距杆,gui'ju'gan
轨距加宽,gui'ju'jia'kuan
轨距拉杆,gui'ju'la'gan
轨排,gui'pai
轨排基地,gui'pai'ji'di
轨排运送车,gui'pai'yun'song'che
轨排装运,gui'pai'zhuang'yun
轨排组装,gui'pai'zu'zhuang
轨排组装机,gui'pai'zu'zhuang'ji
轨头,gui'tou
轨头剥离,gui'tou'bo'li
轨头波纹磨损,gui'tou'bo'wen'mo'sun
轨头波形磨损,gui'tou'bo'xing'mo'sun
轨头侧面磨损,gui'tou'ce'mian'mo'sun
