安全,an'quan
安全阀,an'quan'fa
安全生产,an'quan'sheng'chan
安全卫生,an'quan'wei'sheng
安全要求,an'quan'yao'qiu
安装,an'zhuang
安装材料,an'zhuang'cai'liao
安装材料表,an'zhuang'cai'liao'biao
安装工程,an'zhuang'gong'cheng
安装条件,an'zhuang'tiao'jian
安装要求,an'zhuang'yao'qiu
版本,ban'ben
半成品,ban'cheng'pin
办公楼,ban'gong'lou
保湿设计,bao'shi'she'ji
备用原则,bei'yong'yuan'ze
泵房,beng'fang
必要性,bi'yao'xing
变电配电室,bian'dian'pei'dian'shi
编制项目建议书,bian'zhi'xiang'mu'jian'yi'shu
标的,biao'di
标高,biao'gao
标准,biao'zhun
标准办,biao'zhun'ban
标准化,biao'zhun'hua
标准设计,biao'zhun'she'ji
标准设计图集,biao'zhun'she'ji'tu'ji
标准图例,biao'zhun'tu'li
不合理,bu'he'li
布局方案,bu'ju'fang'an
不可能,bu'ke'neng
布置方案,bu'zhi'fang'an
布置图,bu'zhi'tu
不足之处,bu'zu'zhi'chu
材料,cai'liao
材料表,cai'liao'biao
材料采购,cai'liao'cai'gou
材料选择,cai'liao'xuan'ze
采暖,cai'nuan
采暖通风,cai'nuan'tong'feng
财务审计,cai'wu'shen'ji
材质,cai'zhi
参观,can'guan
槽车,cao'che
槽船,cao'chuan
操作参数,cao'zuo'can'shu
操作方便,cao'zuo'fang'bian
操作负荷,cao'zuo'fu'he
操作规程,cao'zuo'gui'cheng
操作人员,cao'zuo'ren'yuan
操作时间,cao'zuo'shi'jian
操作水平,cao'zuo'shui'ping
操作条件,cao'zuo'tiao'jian
操作压力,cao'zuo'ya'li
操作状态,cao'zuo'zhuang'tai
查资料,cha'zi'liao
产量,chan'liang
产品方案,chan'pin'fang'an
产品分离,chan'pin'fen'li
产品规格,chan'pin'gui'ge
产品精制,chan'pin'jing'zhi
产品需求,chan'pin'xu'qiu
产品质量,chan'pin'zhi'liang
常规操作,chang'gui'cao'zuo
常规仪表,chang'gui'yi'biao
厂区给水,chang'qu'gei'shui
厂区排水,chang'qu'pai'shui
厂址,chang'zhi
厂址复查,chang'zhi'fu'cha
厂址区域,chang'zhi'qu'yu
厂址踏勘,chang'zhi'ta'kan
厂址选择,chang'zhi'xuan'ze
超高压,chao'gao'ya
车间配电,che'jian'pei'dian
衬里,chen'li
承包合同,cheng'bao'he'tong
成本低,cheng'ben'di
成本估算,cheng'ben'gu'suan
成品,cheng'pin
成品工段,cheng'pin'gong'duan
成熟程度,cheng'shu'cheng'du
筹备组,chou'bei'zu
初步方案,chu'bu'fang'an
初步估算,chu'bu'gu'suan
初步规划,chu'bu'gui'hua
初步设计,chu'bu'she'ji
初步设计阶段,chu'bu'she'ji'jie'duan
初步设计说明书,chu'bu'she'ji'shuo'ming'shu
初步预测,chu'bu'yu'ce
初勘,chu'kan
初勘要求,chu'kan'yao'qiu
处理原则,chu'li'yuan'ze
传动设备,chuan'dong'she'bei
创造性,chuang'zao'xing
纯碱厂,chun'jian'chang
粗馏,cu'liu
催化剂,cui'hua'ji
存在问题,cun'zai'wen'ti
大型,da'xing
大型化工厂,da'xing'hua'gong'chang
大型容器,da'xing'rong'qi
大型项目,da'xing'xiang'mu
带控制点,dai'kong'zhi'dian
单位产品,dan'wei'chan'pin
单位时间,dan'wei'shi'jian
单项工程,dan'xiang'gong'cheng
氮氧站,dan'yang'zhan
单元设备,dan'yuan'she'bei
地方材料,di'fang'cai'liao
地区管理,di'qu'guan'li
低温高压,di'wen'gao'ya
低压,di'ya
地质初勘,di'zhi'chu'kan
地质勘察,di'zhi'kan'cha
电表,dian'biao
电缆,dian'lan
电力供应,dian'li'gong'ying
电气,dian'qi
电气工程,dian'qi'gong'cheng
电气仪表,dian'qi'yi'biao
电网,dian'wang
电修,dian'xiu
电源,dian'yuan
电源配置,dian'yuan'pei'zhi
电源状况,dian'yuan'zhuang'kuang
调查,diao'cha
调查研究,diao'cha'yan'jiu
调研报告,diao'yan'bao'gao
动力电源,dong'li'dian'yuan
动力供应,dong'li'gong'ying
动力用电,dong'li'yong'dian
动力用电负荷,dong'li'yong'dian'fu'he
动设备,dong'she'bei
毒性,du'xing
法规,fa'gui
法人代表,fa'ren'dai'biao
发展规划,fa'zhan'gui'hua
发展情况,fa'zhan'qing'kuang
发展余地,fa'zhan'yu'di
反复比较,fan'fu'bi'jiao
返工,fan'gong
反应,fan'ying
反应步骤,fan'ying'bu'zhou
反应器,fan'ying'qi
反应原理,fan'ying'yuan'li
方案设计,fang'an'she'ji
方案审核,fang'an'shen'he
防爆,fang'bao
防范评价,fang'fan'ping'jia
防腐蚀,fang'fu'shi
防腐涂料,fang'fu'tu'liao
防火规范,fang'huo'gui'fan
非标设备,fei'biao'she'bei
非常规,fei'chang'gui
非常规操作,fei'chang'gui'cao'zuo
非定型,fei'ding'xing
非定型设备,fei'ding'xing'she'bei
非工艺专业,fei'gong'yi'zhuan'ye
废气,fei'qi
非生产部门,fei'sheng'chan'bu'men
废水处理,fei'shui'chu'li
废渣,fei'zha
非正常生产,fei'zheng'chang'sheng'chan
非正常停车,fei'zheng'chang'ting'che
分级,fen'ji
分离器,fen'li'qi
分期建设,fen'qi'jian'she
分析认证,fen'xi'ren'zheng
分析预测,fen'xi'yu'ce
分项,fen'xiang
分项负责人,fen'xiang'fu'ze'ren
风机,feng'ji
风险程度,feng'xian'cheng'du
复查厂址,fu'cha'chang'zhi
副反应,fu'fan'ying
负荷等级,fu'he'deng'ji
符合国情,fu'he'guo'qing
腐蚀性,fu'shi'xing
复用设计,fu'yong'she'ji
复杂程度,fu'za'cheng'du
复杂性,fu'za'xing
负责人,fu'ze'ren
辅助部门,fu'zhu'bu'men
辅助工程,fu'zhu'gong'cheng
辅助设施,fu'zhu'she'shi
