阿苯达唑,a'ben'da'zuo
阿拉斯加狭鳕,a'la'si'jia'xia'xue
阿洛西林钠,a'luo'xi'lin'na
阿莫西林,a'mo'xi'lin
阿莫西林钠,a'mo'xi'lin'na
阿奇霉素,a'qi'mei'su
阿司匹林,a'si'pi'lin
阿魏,a'wei
阿昔洛韦,a'xi'luo'wei
爱迪,ai'di
矮地茶,ai'di'cha
艾姆氏实验,ai'mu'shi'shi'yan
艾叶,ai'ye
艾叶油,ai'ye'you
爱滋病,ai'zi'bing
氨苄西林,an'bian'xi'lin
氨苄西林钠,an'bian'xi'lin'na
氨茶碱,an'cha'jian
安宫黄体酮,an'gong'huang'ti'tong
暗鳜,an'gui
安基比林,an'ji'bi'lin
鮟鱇,an'kang
鮟鱇鱼,an'kang'yu
安络血,an'luo'xue
安乃近,an'nai'jin
暗色东方鲀,an'se'dong'fang'tun
安替比林,an'ti'bi'lin
暗纹东方鲀,an'wen'dong'fang'tun
安息香,an'xi'xiang
桉油,an'you
奥酚达唑,ao'fen'da'zuo
奥美普林,ao'mei'pu'lin
奥硝唑,ao'xiao'zuo
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八厘麻,ba'li'ma
巴斯德消毒,ba'si'de'xiao'du
八月札,ba'yue'zha
白斑星鲨,bai'ban'xing'sha
白扁豆,bai'bian'dou
白边锯鳞鱼,bai'bian'ju'lin'yu
白边鮠,bai'bian'wei
百部,bai'bu
百草霜,bai'cao'shuang
白鲳,bai'chang
白鳄科,bai'e'ke
白矾,bai'fan
白茯苓,bai'fu'ling
白附片,bai'fu'pian
白附子,bai'fu'zi
白果,bai'guo
白果仁,bai'guo'ren
百合,bai'he
白花蛇舌草,bai'hua'she'she'cao
白芨,bai'ji
白及,bai'ji
白甲鱼,bai'jia'yu
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白芥子,bai'jie'zi
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白屈菜,bai'qu'cai
百蕊草,bai'rui'cao
白芍,bai'shao
白舌尾甲鲹,bai'she'wei'jia'shen
白石港,bai'shi'gang
白氏银汉鱼,bai'shi'yin'han'yu
白首乌,bai'shou'wu
白苏,bai'su
白头鳜,bai'tou'gui
白头翁,bai'tou'weng
白土苓,bai'tu'ling
白薇,bai'wei
白鲜皮,bai'xian'pi
白鲟,bai'xun
白药子,bai'yao'zi
白英,bai'ying
白云花根,bai'yun'hua'gen
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
斑柄天竺鲷,ban'bing'tian'zhu'diao
斑点叉尾鮰,ban'dian'cha'wei'hui
斑点鸡笼鲳,ban'dian'ji'long'chang
斑鳜,ban'gui
半滑舌蹋,ban'hua'she'ta
斑鰶,ban'ji
瓣结鱼,ban'jie'yu
板蓝根,ban'lan'gen
板兰根,ban'lan'gen
斑蝥,ban'mao
半夏,ban'xia
半支莲,ban'zhi'lian
半枝莲,ban'zhi'lian
棒花鱼,bang'hua'yu
宝刀鱼,bao'dao'yu
豹骨,bao'gu
暴马子,bao'ma'zi
包膜病毒,bao'mo'bing'du
孢囊,bao'nang
宝石石斑鱼,bao'shi'shi'ban'yu
被动扩散,bei'dong'kuo'san
北豆根,bei'dou'gen
贝母花,bei'mu'hua
北沙参,bei'sha'shen
苯丙酸诺龙,ben'bing'suan'nuo'long
苯海拉明,ben'hai'la'ming
苯甲酸雌二醇,ben'jia'suan'ci'er'chun
苯甲酸钠,ben'jia'suan'na
苯扎氯胺,ben'zha'lv'an
苯扎溴胺,ben'zha'xiu'an
荜茇,bi'ba
荜澄茄,bi'cheng'jia
吡喹酮,bi'kui'tong
蓖麻油,bi'ma'you
蓖麻子,bi'ma'zi
比目鱼,bi'mu'yu
比赛可灵,bi'sai'ke'ling
臂尾轮虫,bi'wei'lun'chong
萆薢,bi'xie
扁豆花,bian'dou'hua
鞭蝴蝶鱼,bian'hu'die'yu
鞭毛,bian'mao
扁头哈那鲨,bian'tou'ha'na'sha
苄星邻氯青霉素,bian'xing'lin'lv'qing'mei'su
萹蓄,bian'xu
扁蓄,bian'xu
鳊鱼,bian'yu
表型,biao'xing
鳖甲,bie'jia
丙二醇,bing'er'chun
槟榔,bing'lang
冰凉花,bing'liang'hua
丙硫咪唑,bing'liu'mi'zuo
冰片,bing'pian
丙三醇,bing'san'chun
丙酸睾丸素,bing'suan'gao'wan'su
病原体,bing'yuan'ti
病原学,bing'yuan'xue
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷脑,bo'he'nao
薄荷油,bo'he'you
玻甲鱼,bo'jia'yu
补骨脂,bu'gu'zhi
补克博士,bu'ke'bo'shi
补体,bu'ti
布渣叶,bu'zha'ye
菜饼,cai'bing
彩石鲥,cai'shi'shi
餐,can
参芪颗粒,can'qi'ke'li
苍耳子,cang'er'zi
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草红藤,cao'hong'teng
草乌,cao'wu
草血竭,cao'xue'jie
草鱼,cao'yu
侧柏叶,ce'bai'ye
茶碱,cha'jian
叉尾斗鱼,cha'wei'dou'yu
岔尾黄颡鱼,cha'wei'huang'sang'yu
叉纹蝴蝶鱼,cha'wen'hu'die'yu
茶油,cha'you
柴胡,chai'hu
燀苦杏仁,chan'ku'xing'ren
蟾酥,chan'su
蝉蜕,chan'tui
蝉衣,chan'yi
颤蚓,chan'yin
长薄鳅,chang'bao'qiu
长春鳊,chang'chun'bian
长春花,chang'chun'hua
常德基地,chang'de'ji'di
常德湘大,chang'de'xiang'da
长颌鰆鯵,chang'he'chun'shen
长颌鰆鲹,chang'he'chun'shen
长江鲟,chang'jiang'xun
长鳍金枪鱼,chang'qi'jin'qiang'yu
长鳍吻鮈,chang'qi'wen'ju
常山,chang'shan
长蛇鮈,chang'she'ju
长蛇鯔,chang'she'zi
长蛇鲻,chang'she'zi
长体鲂,chang'ti'fang
长体鳜,chang'ti'gui
长条蛇鲻,chang'tiao'she'zi
长尾大眼鲷,chang'wei'da'yan'diao
长吻丝鲹,chang'wen'si'shen
长吻鮠,chang'wen'wei
长须片唇鮈,chang'xu'pian'chun'ju
炒白扁豆,chao'bai'bian'dou
炒白芍,chao'bai'shao
炒白术,chao'bai'zhu
