阿飞正传,a'fei'zheng'zhuan
爱不完,ai'bu'wan
爱的空间,ai'de'kong'jian
爱的连线,ai'de'lian'xian
爱情梦幻号,ai'qing'meng'huan'hao
爱人同志,ai'ren'tong'zhi
爱如此神奇,ai'ru'ci'shen'qi
爱无知,ai'wu'zhi
爱意,ai'yi
爱在刻骨铭心时,ai'zai'ke'gu'ming'xin'shi
爱之鸟,ai'zhi'niao
暗战,an'zhan
傲气雄鹰,ao'qi'xiong'ying
宝芝林,bao'zhi'lin
奔向太阳,ben'xiang'tai'yang
笨小孩,ben'xiao'hai
飙城,biao'cheng
不可不信缘,bu'ke'bu'xin'yuan
彩云曲,cai'yun'qu
曾推出大碟,ceng'tui'chu'da'die
超级学校霸王,chao'ji'xue'xiao'ba'wang
冲击天子门生,chong'ji'tian'zi'men'sheng
川岛芳子,chuan'dao'fang'zi
答案就是你,da'an'jiu'shi'ni
大冒险家,da'mao'xian'jia
刀剑笑,dao'jian'xiao
倒转地球,dao'zhuan'di'qiu
第一茧,di'yi'jian
订做一个天堂,ding'zuo'yi'ge'tian'tang
赌城大亨,du'cheng'da'heng
赌城大亨之新哥传奇,du'cheng'da'heng'zhi'xin'ge'chuan'qi
赌侠,du'xia
赌侠大战拉斯维加斯,du'xia'da'zhan'la'si'wei'jia'si
法内情,fa'nei'qing
法内情大结局,fa'nei'qing'da'jie'ju
法外情,fa'wai'qing
反斗马骝,fan'dou'ma'liu
非常男人,fei'chang'nan'ren
风一样的男子,feng'yi'yang'de'nan'zi
富贵兵团,fu'gui'bing'tuan
父子情仇,fu'zi'qing'chou
肝胆相照,gan'dan'xiang'zhao
鼓舞,gu'wu
黑金,hei'jin
黑马王子,hei'ma'wang'zi
轰天龙虎会,hong'tian'long'hu'hui
花艇小英雄,hua'ting'xiao'ying'xiong
皇上保重,huang'shang'bao'zhong
回到你身边,hui'dao'ni'shen'bian
毁灭号地车,hui'mie'hao'di'che
混音特攻队,hun'yin'te'gong'dui
火烧岛,huo'shao'dao
极道追踪,ji'dao'zhui'zong
家在香港,jia'zai'xiang'gang
江湖情,jiang'hu'qing
接触,jie'chu
金碟至尊精选,jin'die'zhi'zun'jing'xuan
惊天十二小时,jing'tian'shi'er'xiao'shi
精装追女仔,jing'zhuang'zhui'nv'zai
九一神雕侠侣,jiu'yi'shen'diao'xia'lv
绝代双骄,jue'dai'shuang'jiao
来生缘,lai'sheng'yuan
浪漫情歌篇,lang'man'qing'ge'pian
老洞,lao'dong
雷老虎,lei'lao'hu
烈火战车,lie'huo'zhan'che
猎鹰,lie'ying
猎鹰计划,lie'ying'ji'hua
龙腾四海,long'teng'si'hai
龙在边缘,long'zai'bian'yuan
龙在江湖,long'zai'jiang'hu
龙之家族,long'zhi'jia'zu
鹿鼎记,lu'ding'ji
庙街十二少,miao'jie'shi'er'shao
摩登如来神掌,mo'deng'ru'lai'shen'zhang
魔翡翠,mo'fei'cui
魔域桃源,mo'yu'tao'yuan
母亲的爱,mu'qin'de'ai
你是我的梦,ni'shi'wo'de'meng
你是我的女人,ni'shi'wo'de'nv'ren
你说他是你想嫁的人,ni'shuo'ta'shi'ni'xiang'jia'de'ren
宁愿我伤心,ning'yuan'wo'shang'xin
浓情爱不完,nong'qing'ai'bu'wan
暖,nuan
暖暖柔情,nuan'nuan'rou'qing
奇异旅程之真心爱生命,qi'yi'lv'cheng'zhi'zhen'xin'ai'sheng'ming
情感的禁区,qing'gan'de'jin'qu
情人专辑,qing'ren'zhuan'ji
情未鸟,qing'wei'niao
群龙夺宝,qun'long'duo'bao
人海孤鸿,ren'hai'gu'hong
人间爱,ren'jian'ai
如果你是我的传说,ru'guo'ni'shi'wo'de'chuan'shuo
杀手的童话,sha'shou'de'tong'hua
神雕侠侣,shen'diao'xia'lv
神雕侠侣之痴心情长剑,shen'diao'xia'lv'zhi'chi'xin'qing'chang'jian
神探父子兵,shen'tan'fu'zi'bing
神行太保,shen'xing'tai'bao
省港旗兵,sheng'gang'qi'bing
圣剑天骄,sheng'jian'tian'jiao
十全十美,shi'quan'shi'mei
苏乞儿,su'qi'er
天长地久,tian'chang'di'jiu
天地雄心,tian'di'xiong'xin
天狼劫,tian'lang'jie
天若有情,tian'ruo'you'qing
天意,tian'yi
天与地,tian'yu'di
停不了的爱,ting'bu'liao'de'ai
同根生,tong'gen'sheng
投奔怒海,tou'ben'nu'hai
旺角卡门,wang'jiao'ka'men
忘情水,wang'qing'shui
我爱你,wo'ai'ni
我和我追逐的梦,wo'he'wo'zhui'zhu'de'meng
五虎将之决裂,wu'hu'jiang'zhi'jue'lie
五时三十分,wu'shi'san'shi'fen
五亿探长雷洛传,wu'yi'tan'zhang'lei'luo'chuan
夏日福星,xia'ri'fu'xing
侠圣,xia'sheng
现代爱情恋曲,xian'dai'ai'qing'lian'qu
相思成,xiang'si'cheng
小小小警察,xiao'xiao'xiao'jing'cha
谢谢你的爱,xie'xie'ni'de'ai
心理游戏,xin'li'you'xi
新上海滩,xin'shang'hai'tan
杨家将,yang'jia'jiang
义胆雄心,yi'dan'xiong'xin
一个人的感觉,yi'ge'ren'de'gan'jue
一起走过的日,yi'qi'zou'guo'de'ri
异域,yi'yu
因为爱,yin'wei'ai
英雄好汉,ying'xiong'hao'han
永远爱你,yong'yuan'ai'ni
永远记得你,yong'yuan'ji'de'ni
与共龙舞,yu'gong'long'wu
狱中龙,yu'zhong'long
再次偷欢,zai'ci'tou'huan
在乎您,zai'hu'nin
再会了,zai'hui'le
再一次拥抱,zai'yi'ci'yong'bao
再战江湖,zai'zhan'jiang'hu
战神传说,zhan'shen'chuan'shuo
真命天子,zhen'ming'tian'zi
真情难收,zhen'qing'nan'shou
真情盼望珍藏版,zhen'qing'pan'wang'zhen'cang'ban
真生,zhen'sheng
真我的风采,zhen'wo'de'feng'cai
真永远,zhen'yong'yuan
真挚的朋友,zhen'zhi'de'peng'you
整蛊专家,zheng'gu'zhuan'jia
只知道此刻爱你,zhi'zhi'dao'ci'ke'ai'ni
至尊计状元才,zhi'zun'ji'zhuang'yuan'cai
至尊无上,zhi'zun'wu'shang
至尊无上之永霸天下,zhi'zun'wu'shang'zhi'yong'ba'tian'xia
中国人,zhong'guo'ren
中国最後一个太监,zhong'guo'zui'hou'yi'ge'tai'jian
中环英雄,zhong'huan'ying'xiong
重头戏,zhong'tou'xi
专钓大鳄,zhuan'diao'da'e
最佳福星,zui'jia'fu'xing
最佳男朋友,zui'jia'nan'peng'you
最佳损友,zui'jia'sun'you
最佳损友闯情关,zui'jia'sun'you'chuang'qing'guan
最怕你跟别人睡,zui'pa'ni'gen'bie'ren'shui
醉拳,zui'quan
