挨黑打,ai'hei'da
安逸,an'yi
坝坝,ba'ba
巴巴掌,ba'ba'zhang
霸道,ba'dao
巴适,ba'shi
白逛逛,bai'guang'guang
白卡卡,bai'ka'ka
摆龙门阵,bai'long'men'zhen
掰子,bai'zi
帮干忙,bang'gan'mang
棒客,bang'ke
棒老二,bang'lao'er
苞谷,bao'gu
宝气,bao'qi
边花儿,bian'hua'er
不存在,bu'cun'zai
不落教,bu'luo'jiao
铲铲,chan'chan
长毛兔,chang'mao'tu
超哥,chao'ge
扯把子,che'ba'zi
扯个幌子,che'ge'huang'zi
扯拐,che'guai
扯筋,che'jin
扯马股,che'ma'gu
吃包子,chi'bao'zi
吃九斗碗,chi'jiu'dou'wan
吃赏午,chi'shang'wu
冲壳壳,chong'ke'ke
吹壳子,chui'ke'zi
打标枪,da'biao'qiang
打波,da'bo
打冲拳,da'chong'quan
打黑猫,da'hei'mao
打金章,da'jin'zhang
打醚头儿,da'mi'tou'er
打摩登,da'mo'deng
打燃火,da'ran'huo
打摔手,da'shuai'shou
打牙祭,da'ya'ji
淡瓦瓦的,dan'wa'wa'de
丁丁猫,ding'ding'mao
对头,dui'tou
剁皮,duo'pi
耳巴子,er'ba'zi
二杆子,er'gan'zi
放筏子,fang'fa'zi
方脑壳,fang'nao'ke
肥胴胴,fei'dong'dong
飞飞儿,fei'fei'er
匪头子,fei'tou'zi
疯扯扯,feng'che'che
赶场,gan'chang
干精火旺,gan'jing'huo'wang
搞求不醒豁,gao'qiu'bu'xing'huo
格老子,ge'lao'zi
弓起,gong'qi
狗痂,gou'jia
沟子,gou'zi
瓜不稀稀,gua'bu'xi'xi
瓜不兮兮的,gua'bu'xi'xi'de
挂挂钱,gua'gua'qian
瓜了,gua'le
瓜眉瓜眼,gua'mei'gua'yan
瓜眉日眼,gua'mei'ri'yan
瓜兮兮,gua'xi'xi
瓜稀稀,gua'xi'xi
怪头扭精,guai'tou'niu'jing
光膀膀,guang'bang'bang
光叉叉,guang'cha'cha
光董董,guang'dong'dong
广耳屎,guang'er'shi
光生,guang'sheng
鬼扯,gui'che
龟儿子,gui'er'zi
鬼火冒,gui'huo'mao
鬼迷日眼,gui'mi'ri'yan
锅魁,guo'kui
哈儿,ha'er
哈开,ha'kai
憨包,han'bao
好吃嘴,hao'chi'zui
好没好,hao'mei'hao
好凶,hao'xiong
黑搓,hei'cuo
黑起屁眼,hei'qi'pi'yan
黑黢黢,hei'qu'qu
红扯扯的,hong'che'che'de
红苕,hong'shao
红苕花,hong'shao'hua
花儿古董,hua'er'gu'dong
花古灵当,hua'gu'ling'dang
黄话,huang'hua
黄脚黄手,huang'jiao'huang'shou
黄师父,huang'shi'fu
黄糖,huang'tang
灰巴拢耸,hui'ba'long'song
灰包蛋,hui'bao'dan
回锅肉,hui'guo'rou
灰面,hui'mian
豁别个,huo'bie'ge
豁皮,huo'pi
火色,huo'se
火窑裤,huo'yao'ku
几爷子,ji'ye'zi
假老练,jia'lao'lian
贾淑芬,jia'shu'fen
捡底,jian'di
脚粑手软,jiao'ba'shou'ruan
脚板儿,jiao'ban'er
脚板儿苕,jiao'ban'er'shao
脚肚子,jiao'du'zi
脚杆,jiao'gan
交割,jiao'ge
脚脚,jiao'jiao
脚脚爪爪,jiao'jiao'zhao'zhao
角角子,jiao'jiao'zi
脚猪,jiao'zhu
结巴,jie'ba
街娃儿,jie'wa'er
紧倒,jin'dao
惊风火扯,jing'feng'huo'che
精瘦,jing'shou
经爪爪,jing'zhao'zhao
砍老壳,kan'lao'ke
砍脑壳,kan'nao'ke
空了吹,kong'le'chui
诓睡着,kuang'shui'zhao
拉豁,la'huo
癞疙宝,lai'ge'bao
烂帐,lan'zhang
啷个,lang'ge
老庚,lao'geng
老汉,lao'han
老坎,lao'kan
老子,lao'zi
肋巴骨,lei'ba'gu
莲花白,lian'hua'bai
刘前进,liu'qian'jin
龙门阵,long'men'zhen
麻花,ma'hua
麻麻亮,ma'ma'liang
麻起,ma'qi
莽子,mang'zi
毛根儿,mao'gen'er
冒火,mao'huo
冒皮皮,mao'pi'pi
猫起,mao'qi
毛脱,mao'tuo
没的抓拿,mei'de'zhua'na
没来头,mei'lai'tou
没老少,mei'lao'shao
闷墩,men'dun
梦脚,meng'jiao
瞄到,miao'dao
摸包包,mo'bao'bao
莫得,mo'de
莫慌,mo'huang
磨皮擦痒,mo'pi'ca'yang
那才怪,na'cai'guai
拿问你,na'wen'ni
哪阵,na'zhen
奶娃娃,nai'wa'wa
闹麻了,nao'ma'le
恁个,nen'ge
孃孃,niang'niang
扭骚,niu'sao
农二哥,nong'er'ge
弄归一,nong'gui'yi
趴耳朵,pa'er'duo
帊和,pa'he
葩红苕,pa'hong'shao
怕毛,pa'mao
爬哦,pa'o
泡梢,pao'shao
批噻噻,pi'sai'sai
撇脱,pie'tuo
婆娘,po'niang
奇麻子,qi'ma'zi
欺头,qi'tou
强头子,qiang'tou'zi
敲盘子,qiao'pan'zi
秋瓣儿,qiu'ban'er
球光光,qiu'guang'guang
惹毛,re'mao
日白,ri'bai
日不拢耸,ri'bu'long'song
日怪,ri'guai
嗓等,sang'deng
臊子,sao'zi
杀割,sha'ge
烧公鸡,shao'gong'ji
生意秋,sheng'yi'qiu
生意烫,sheng'yi'tang
手背,shou'bei
书气,shu'qi
耍横,shua'heng
耍朋友,shua'peng'you
涮坛子,shuan'tan'zi
水凼凼,shui'dang'dang
水龙,shui'long
水叶子,shui'ye'zi
说锤子,shuo'chui'zi
私娘子,si'niang'zi
私娃子,si'wa'zi
算球,suan'qiu
算坛,suan'tan
梭老二,suo'lao'er
梭梭板,suo'suo'ban
梭叶子,suo'ye'zi
塌塌,ta'ta
踏谑,ta'xue
胎神,tai'shen
摊摊,tan'tan
讨口,tao'kou
藤藤菜,teng'teng'cai
天棒,tian'bang
土老肥,tu'lao'fei
土老坎,tu'lao'kan
推屎爬儿,tui'shi'pa'er
砣子,tuo'zi
歪东西,wai'dong'xi
望绿了,wang'lv'le
温都都的,wen'dou'dou'de
瘟猪,wen'zhu
翁到,weng'dao
洗白,xi'bai
喜的好,xi'de'hao
稀烂,xi'lan
洗脑壳,xi'nao'ke
下课,xia'ke
下烂药,xia'lan'yao
下嗓,xia'sang
虾子,xia'zi
先人板板,xian'ren'ban'ban
想精想怪,xiang'jing'xiang'guai
相因,xiang'yin
晓得,xiao'de
醒瞌睡,xing'ke'shui
行事,xing'shi
兄弟些,xiong'di'xie
雄起,xiong'qi
悬吊吊的,xuan'diao'diao'de
削尖脑壳往里钻,xue'jian'nao'ke'wang'li'zuan
牙巴,ya'ba
烟锅巴,yan'guo'ba
眼火,yan'huo
眼气,yan'qi
堰塘,yan'tang
眼眨毛,yan'zha'mao
眼子,yan'zi
羊儿疯,yang'er'feng
洋芋,yang'yu
疡子,yang'zi
幺儿,yao'er
幺妹,yao'mei
要哪门,yao'na'men
幺女子,yao'nv'zi
夜猫子,ye'mao'zi
野物,ye'wu
硬是港,ying'shi'gang
有点悬,you'dian'xuan
匀兑,yun'dui
咋个,za'ge
扎起,za'qi
贼娃子,zei'wa'zi
