哀莫大于心死,ai'mo'da'yu'xin'si
矮子里选将军,ai'zi'li'xuan'jiang'jun
安乐值钱多,an'le'zhi'qian'duo
按下葫芦浮起瓢,an'xia'hu'lu'fu'qi'piao
拔出萝卜带出泥,ba'chu'luo'bo'dai'chu'ni
八竿子打不着,ba'gan'zi'da'bu'zhao
八九不离十,ba'jiu'bu'li'shi
拔起萝卜带出泥,ba'qi'luo'bo'dai'chu'ni
霸王硬上弓,ba'wang'ying'shang'gong
八字还没有一撇,ba'zi'hai'mei'you'yi'pie
八字没一撇,ba'zi'mei'yi'pie
摆到桌面上来,bai'dao'zhuo'mian'shang'lai
百世修来同船渡,bai'shi'xiu'lai'tong'chuan'du
百思不得其解,bai'si'bu'de'qi'jie
百闻不如一见,bai'wen'bu'ru'yi'jian
百无一用是书生,bai'wu'yi'yong'shi'shu'sheng
败在此一举,bai'zai'ci'yi'ju
搬起石头砸自己的脚,ban'qi'shi'tou'za'zi'ji'de'jiao
棒打出孝子,bang'da'chu'xiao'zi
帮人帮到底,bang'ren'bang'dao'di
宝剑锋从磨砺出,bao'jian'feng'cong'mo'li'chu
报喜不报忧,bao'xi'bu'bao'you
报喜也报忧,bao'xi'ye'bao'you
保一方平安,bao'yi'fang'ping'an
杯酒释兵权,bei'jiu'shi'bing'quan
被拒之于门外,bei'ju'zhi'yu'men'wai
卑之无甚高论,bei'zhi'wu'shen'gao'lun
比窦娥还冤,bi'dou'e'hai'yuan
笔落惊风雨,bi'luo'jing'feng'yu
毕其功于一役,bi'qi'gong'yu'yi'yi
闭塞眼睛捉麻雀,bi'se'yan'jing'zhuo'ma'que
比学赶帮超,bi'xue'gan'bang'chao
变被动为主动,bian'bei'dong'wei'zhu'dong
变坏事为好事,bian'huai'shi'wei'hao'shi
兵败如山倒,bing'bai'ru'shan'dao
冰冻三尺非一日之寒,bing'dong'san'chi'fei'yi'ri'zhi'han
病急乱投医,bing'ji'luan'tou'yi
兵家必争之地,bing'jia'bi'zheng'zhi'di
兵来将挡水来土淹,bing'lai'jiang'dang'shui'lai'tu'yan
病无高人说药方,bing'wu'gao'ren'shuo'yao'fang
博采各家之长,bo'cai'ge'jia'zhi'chang
博采众家之长,bo'cai'zhong'jia'zhi'chang
不安定因素,bu'an'ding'yin'su
不打不相识,bu'da'bu'xiang'shi
不到长城非好汉,bu'dao'chang'cheng'fei'hao'han
不到黄河心不死,bu'dao'huang'he'xin'bu'si
不得其门而入,bu'de'qi'men'er'ru
