黯然销魂,an'ran'xiao'hun
八门金锁,ba'men'jin'suo
白金项圈,bai'jin'xiang'quan
白龙,bai'long
百鸟朝凤,bai'niao'chao'feng
摆摊系统,bai'tan'xi'tong
百喻不悟,bai'yu'bu'wu
帮派书院,bang'pai'shu'yuan
帮派药房,bang'pai'yao'fang
帮派战争,bang'pai'zhan'zheng
爆裂蛊,bao'lie'gu
爆破点穴,bao'po'dian'xue
宝石,bao'shi
宝石工艺,bao'shi'gong'yi
宝石矿,bao'shi'kuang
宝图任务,bao'tu'ren'wu
报纸系统,bao'zhi'xi'tong
北帝决,bei'di'jue
杯弓蛇影,bei'gong'she'ying
奔雷咒,ben'lei'zhou
笔法招式,bi'fa'zhao'shi
笔耕砚田,bi'geng'yan'tian
笔酣墨饱,bi'han'mo'bao
毕竟空,bi'jing'kong
必杀,bi'sha
辟邪护符,bi'xie'hu'fu
辟邪咒,bi'xie'zhou
碧玉项圈,bi'yu'xiang'quan
变异宝宝,bian'yi'bao'bao
波澜不惊,bo'lan'bu'jing
拨云见日,bo'yun'jian'ri
不动明王印,bu'dong'ming'wang'yin
不动如山,bu'dong'ru'shan
捕获之网,bu'huo'zhi'wang
不可得,bu'ke'de
不欲勿施,bu'yu'wu'shi
裁缝技巧,cai'feng'ji'qiao
裁缝精通,cai'feng'jing'tong
藏经阁,cang'jing'ge
草魄蛊,cao'po'gu
长风岛,chang'feng'dao
长青祭,chang'qing'ji
长驱直入,chang'qu'zhi'ru
乘风破浪,cheng'feng'po'lang
赤炎咒,chi'yan'zhou
冲击,chong'ji
抽魂炼魄,chou'hun'lian'po
抽丝剥茧,chou'si'bo'jian
出海探云,chu'hai'tan'yun
除魔,chu'mo
除魔任务,chu'mo'ren'wu
厨神任务,chu'shen'ren'wu
穿云点苍,chuan'yun'dian'cang
慈悲为怀,ci'bei'wei'huai
慈航普渡,ci'hang'pu'du
刺甲,ci'jia
刺甲诀,ci'jia'jue
刺猬,ci'wei
错神乱智,cuo'shen'luan'zhi
大草团,da'cao'tuan
大化迁流,da'hua'qian'liu
大脚鸟,da'jiao'niao
大浪淘沙,da'lang'tao'sha
大力鬼王,da'li'gui'wang
大梦魇恶境,da'meng'yan'e'jing
大漠孤月,da'mo'gu'yue
大螃蟹,da'pang'xie
大鹏展翅,da'peng'zhan'chi
大舌头咒,da'she'tou'zhou
打造合成,da'zao'he'cheng
打造精通,da'zao'jing'tong
大准提神咒,da'zhun'ti'shen'zhou
丹青妙手,dan'qing'miao'shou
担青山,dan'qing'shan
