安居,an'ju
百米大道,bai'mi'da'dao
板子,ban'zi
宝塔山,bao'ta'shan
鼻塌憨水,bi'ta'han'shui
擦们,ca'men
茬戏,cha'xi
成松蓝,cheng'song'lan
吃蓝么,chi'lan'me
串可蓝,chuan'ke'lan
纯粹,chun'cui
道擦,dao'ca
倒势,dao'shi
都成松蓝,dou'cheng'song'lan
毒子,du'zi
多或,duo'huo
二道该,er'dao'gai
二马路,er'ma'lu
二庄科,er'zhuang'ke
浮起,fu'qi
擀面皮,gan'mian'pi
高四五,gao'si'wu
搞笑,gao'xiao
咯戳,ge'chuo
圪蹴哈,ge'cu'ha
各囊,ge'nang
哈七搅,ha'qi'jiao
哈说,ha'shuo
害哈勒,hai'ha'le
憨儿,han'er
憨流少势,han'liu'shao'shi
航标,hang'biao
好蓝,hao'lan
好利来,hao'li'lai
好事情,hao'shi'qing
黑天打洞,hei'tian'da'dong
红树林,hong'shu'lin
后生,hou'sheng
唿噜,hu'lu
挥笔,hui'bi
灰怂,hui'song
贱货,jian'huo
就那么个,jiu'na'me'ge
局劲,ju'jing
可儿了,ke'er'le
啦当,la'dang
拉话,la'hua
拉里了,la'li'le
烂货,lan'huo
拦羊,lan'yang
牢饭,lao'fan
老家亲,lao'jia'qin
驴哈的,lv'ha'de
马家湾,ma'jia'wan
毛鬼神,mao'gui'shen
么门,me'men
么求意思,me'qiu'yi'si
猛好蓝,meng'hao'lan
梦胡,meng'hu
米汤,mi'tang
木囊,mu'nang
哪可也,na'ke'ye
难活,nan'huo
闹一瓶,nao'yi'ping
你甘没事么,ni'gan'mei'shi'me
你说什嘛,ni'shuo'shen'ma
年似,nian'si
爬远远,pa'yuan'yuan
匹比害菜,pi'bi'hai'cai
婆姨,po'yi
悄班子些,qiao'ban'zi'xie
悄悄的,qiao'qiao'de
清凉山,qing'liang'shan
求眉鼠眼,qiu'mei'shu'yan
求脑蛋子,qiu'nao'dan'zi
求势蓝,qiu'shi'lan
求势子,qiu'shi'zi
球炸二五,qiu'zha'er'wu
日把川,ri'ba'chuan
日毛个喘,ri'mao'ge'chuan
日眼,ri'yan
骚亲,sao'qin
涩皮,se'pi
杀革,sha'ge
拾掇,shi'duo
失笑,shi'xiao
拴整,shuan'zheng
似达,si'da
酸眉流眼,suan'mei'liu'yan
碎子,sui'zi
孙子差,sun'zi'cha
太熬蓝,tai'ao'lan
太猛蓝,tai'meng'lan
学谎,xue'huang
亚来黑老,ya'lai'hei'lao
亚圣,ya'sheng
佯打各思,yang'da'ge'si
洋洋务务,yang'yang'wu'wu
洋芋叉叉,yang'yu'cha'cha
夜天,ye'tian
油馍馍,you'mo'mo
杂了,za'le
展趟,zhan'tang
折夺,zhe'duo
肿货,zhong'huo
中心街,zhong'xin'jie
子长煎饼,zi'chang'jian'bing
做甚了,zuo'shen'le
