阿夜,a'ye
边里瑞惠,bian'li'rui'hui
边里唯,bian'li'wei
边里唯世,bian'li'wei'shi
变身,bian'shen
初代平衡,chu'dai'ping'heng
大地,da'di
戴雅,dai'ya
二阶堂悠,er'jie'tang'you
方块,fang'kuai
复活社,fu'huo'she
歌呗,ge'bei
坏蛋,huai'dan
坏甜心,huai'tian'xin
皇室披肩,huang'shi'pi'jian
绘琉,hui'liu
结木弥耶,jie'mu'mi'ye
结木雅雅,jie'mu'ya'ya
阶砖,jie'zhuan
节奏,jie'zou
九十九,jiu'shi'jiu
酷毙火辣,ku'bi'huo'la
璃茉茉,li'mo'mo
理想中的自己,li'xiang'zhong'de'zi'ji
露露,lu'lu
露露堂莫鲁斯露,lu'lu'tang'mo'lu'si'lu
露露堂莫鲁斯露山本,lu'lu'tang'mo'lu'si'lu'shan'ben
美琪,mei'qi
迷宫蝴蝶,mi'gong'hu'die
谜之蛋,mi'zhi'dan
谜之守护蛋,mi'zhi'shou'hu'dan
魔法蛋,mo'fa'dan
娜娜,na'na
胚胎,pei'tai
皮皮,pi'pi
平衡超平衡,ping'heng'chao'ping'heng
奇迹,qi'ji
千千丸,qian'qian'wan
日奈森翠,ri'nai'sen'cui
日奈森纺,ri'nai'sen'fang
日奈森亚美,ri'nai'sen'ya'mei
日奈森亚梦,ri'nai'sen'ya'meng
日奈森亚实,ri'nai'sen'ya'shi
三条海里,san'tiao'hai'li
三条由佳里,san'tiao'you'jia'li
圣夜学园,sheng'ye'xue'yuan
守护蛋,shou'hu'dan
守护甜心,shou'hu'tian'xin
守护者,shou'hu'zhe
手鞠,shou'ju
藤咲抚子,teng'xiao'fu'zi
藤咲学园彦,teng'xiao'xue'yuan'yan
天河司,tian'he'si
万田,wan'tian
武藏,wu'zang
嘻嘻,xi'xi
像笨蛋一样,xiang'ben'dan'yi'yang
相马海童,xiang'ma'hai'tong
相马空海,xiang'ma'kong'hai
相马莲璃,xiang'ma'lian'li
相马秀水,xiang'ma'xiu'shui
相马云海,xiang'ma'yun'hai
小兰,xiao'lan
小丝,xiao'si
心灵之蛋,xin'ling'zhi'dan
星名一臣,xing'ming'yi'chen
星那歌呗,xing'na'ge'bei
星那奏子,xing'na'zou'zi
形象改造,xing'xiang'gai'zao
亚梦,ya'meng
亚梦酱,ya'meng'jiang
依琉,yi'liu
有空森同学,you'kong'sen'tong'xue
月咏歌呗,yue'yong'ge'bei
月咏或斗,yue'yong'huo'dou
月咏几斗,yue'yong'ji'dou
真城璃茉,zhen'cheng'li'mo
真城璃舞,zhen'cheng'li'wu
征服世界,zheng'fu'shi'jie
