本征态,ben'zheng'tai
编时,bian'shi
编时乘积,bian'shi'cheng'ji
编时算符,bian'shi'suan'fu
表观发散,biao'guan'fa'san
表观发散度,biao'guan'fa'san'du
标量场,biao'liang'chang
表象,biao'xiang
玻色爱因斯坦统计,bo'se'ai'yin'si'tan'tong'ji
玻色场,bo'se'chang
不变性,bu'bian'xing
不定度规,bu'ding'du'gui
不可重整,bu'ke'chong'zheng
不连接图,bu'lian'jie'tu
产生算符,chan'sheng'suan'fu
场论,chang'lun
超可重整,chao'ke'chong'zheng
重整化,chong'zheng'hua
重整化群,chong'zheng'hua'qun
重整化群流,chong'zheng'hua'qun'liu
传播子,chuan'bo'zi
大统一,da'tong'yi
带电流,dai'dian'liu
单粒子不可约图,dan'li'zi'bu'ke'yue'tu
单圈重整化,dan'quan'chong'zheng'hua
单圈图,dan'quan'tu
等时对易子,deng'shi'dui'yi'zi
狄拉克方程,di'la'ke'fang'cheng
抵消项,di'xiao'xiang
电磁流,dian'ci'liu
电磁流守恒,dian'ci'liu'shou'heng
电荷共轭,dian'he'gong'e
电弱统一,dian'ruo'tong'yi
电弱统一理论,dian'ruo'tong'yi'li'lun
电子伏,dian'zi'fu
电子自能,dian'zi'zi'neng
顶角,ding'jiao
顶角函数,ding'jiao'han'shu
定域,ding'yu
定域场论,ding'yu'chang'lun
定域对称性,ding'yu'dui'chen'xing
对称性破缺,dui'chen'xing'po'que
对易,dui'yi
对易关系,dui'yi'guan'xi
对易子,dui'yi'zi
二次量子化,er'ci'liang'zi'hua
反常磁矩,fan'chang'ci'ju
反对易,fan'dui'yi
反对易子,fan'dui'yi'zi
反粒子,fan'li'zi
非定域,fei'ding'yu
非定域场论,fei'ding'yu'chang'lun
非局域,fei'ju'yu
费曼传播子,fei'man'chuan'bo'zi
费曼规则,fei'man'gui'ze
费曼图,fei'man'tu
费米场,fei'mi'chang
费米狄拉克统计,fei'mi'di'la'ke'tong'ji
非微扰,fei'wei'rao
非最小耦合,fei'zui'xiao'ou'he
分立对称性,fen'li'dui'chen'xing
复标量场,fu'biao'liang'chang
福克空间,fu'ke'kong'jian
负能解,fu'neng'jie
辐射规范,fu'she'gui'fan
哥德斯通,ge'de'si'tong
共轭动量,gong'e'dong'liang
共振态,gong'zhen'tai
光锥规范,guang'zhui'gui'fan
鬼场,gui'chang
规范不变,gui'fan'bu'bian
规范不变性,gui'fan'bu'bian'xing
规范场,gui'fan'chang
规范反常,gui'fan'fan'chang
海森堡方程,hai'sen'bao'fang'cheng
海森堡绘景,hai'sen'bao'hui'jing
横光子,heng'guang'zi
红外发散,hong'wai'fa'san
绘景,hui'jing
基态,ji'tai
减除,jian'chu
渐进自由,jian'jin'zi'you
简谐振动,jian'xie'zhen'dong
简谐振子,jian'xie'zhen'zi
胶子,jiao'zi
经典场论,jing'dian'chang'lun
局域规范变换,ju'yu'gui'fan'bian'huan
卡比玻角,ka'bi'bo'jiao
可重整,ke'chong'zheng
蝌蚪图,ke'dou'tu
夸克,kua'ke
夸克胶子等离子体,kua'ke'jiao'zi'deng'li'zi'ti
夸克禁闭,kua'ke'jin'bi
快子,kuai'zi
朗道规范,lang'dao'gui'fan
朗道极点,lang'dao'ji'dian
勒让德,le'rang'de
勒让德变换,le'rang'de'bian'huan
连接图,lian'jie'tu
连续对称性,lian'xu'dui'chen'xing
量子场论,liang'zi'chang'lun
量子电动力学,liang'zi'dian'dong'li'xue
量子反常,liang'zi'fan'chang
量子化,liang'zi'hua
量子化方案,liang'zi'hua'fang'an
量子色动力学,liang'zi'se'dong'li'xue
路径积分,lu'jing'ji'fen
裸参数,luo'can'shu
裸场,luo'chang
裸电荷,luo'dian'he
洛伦兹变换,luo'lun'zi'bian'huan
裸质量,luo'zhi'liang
内禀,nei'bing
能动张量,neng'dong'zhang'liang
耦合常数,ou'he'chang'shu
耦合常数跑动,ou'he'chang'shu'pao'dong
跑动耦合常数,pao'dong'ou'he'chang'shu
彭加莱,peng'jia'lai
彭加莱变换,peng'jia'lai'bian'huan
彭加莱代数,peng'jia'lai'dai'shu
彭加莱群,peng'jia'lai'qun
彭加勒,peng'jia'le
平面波展开,ping'mian'bo'zhan'kai
破缺,po'que
奇异数,qi'yi'shu
强子弱流,qiang'zi'ruo'liu
圈图,quan'tu
圈图展开,quan'tu'zhan'kai
韧致辐射,ren'zhi'fu'she
散射截面,san'she'jie'mian
散射矩阵,san'she'ju'zhen
散射振幅,san'she'zhen'fu
色浆,se'jiang
色散关系,se'san'guan'xi
生成元,sheng'cheng'yuan
实标量场,shi'biao'liang'chang
矢量场,shi'liang'chang
守恒菏,shou'heng'he
守恒流,shou'heng'liu
手征,shou'zheng
手征变换,shou'zheng'bian'huan
手正不变,shou'zheng'bu'bian
手征微扰论,shou'zheng'wei'rao'lun
手征性,shou'zheng'xing
树图,shu'tu
双圈图,shuang'quan'tu
双线性,shuang'xian'xing
瞬子,shun'zi
四动量,si'dong'liang
同位旋,tong'wei'xuan
拓扑权,tuo'pu'quan
拓扑权因子,tuo'pu'quan'yin'zi
外尔旋量,wai'er'xuan'liang
外腿,wai'tui
外线,wai'xian
微观因果性,wei'guan'yin'guo'xing
微扰,wei'rao
微扰论,wei'rao'lun
维数正规化,wei'shu'zheng'gui'hua
唯象,wei'xiang
无质量,wu'zhi'liang
相互作用绘景,xiang'hu'zuo'yong'hui'jing
协变,xie'bian
协变微分,xie'bian'wei'fen
协变微商,xie'bian'wei'shang
谐振子,xie'zhen'zi
虚粒子,xu'li'zi
旋量,xuan'liang
旋量场,xuan'liang'chang
薛定谔方程,xue'ding'e'fang'cheng
薛定谔绘景,xue'ding'e'hui'jing
赝标量,yan'biao'liang
赝标量场,yan'biao'liang'chang
赝标量粒子,yan'biao'liang'li'zi
湮灭算符,yan'mie'suan'fu
杨米尔斯,yang'mi'er'si
幺正算符,yao'zheng'suan'fu
幺正性,yao'zheng'xing
因果律,yin'guo'lv
引力场,yin'li'chang
引力微子,yin'li'wei'zi
引力子,yin'li'zi
右手中微子,you'shou'zhong'wei'zi
有效场论,you'xiao'chang'lun
宇称,yu'chen
原始发散,yuan'shi'fa'san
在壳,zai'ke
张量场,zhang'liang'chang
真空,zhen'kong
真空极化,zhen'kong'ji'hua
正规乘积,zheng'gui'cheng'ji
正规化,zheng'gui'hua
正能解,zheng'neng'jie
整体规范变换,zheng'ti'gui'fan'bian'huan
正则,zheng'ze
正则变换,zheng'ze'bian'huan
正则对易关系,zheng'ze'dui'yi'guan'xi
正则量子化,zheng'ze'liang'zi'hua
质壳,zhi'ke
中性流,zhong'xing'liu
自能,zi'neng
紫外发散,zi'wai'fa'san
自旋统计关系,zi'xuan'tong'ji'guan'xi
自由场,zi'you'chang
纵光子,zong'guang'zi
最小电磁耦合,zui'xiao'dian'ci'ou'he
最小减除,zui'xiao'jian'chu
最小耦合,zui'xiao'ou'he
左手中微子,zuo'shou'zhong'wei'zi
作用量,zuo'yong'liang
