阿尔必,a'er'bi
阿合组,a'he'zu
阿普特,a'pu'te
艾家山阶,ai'jia'shan'jie
安加拉,an'jia'la
安尼,an'ni
奥伦尼尔,ao'lun'ni'er
奥陶,ao'tao
巴楚,ba'chu
八道湾,ba'dao'wan
巴东,ba'dong
巴列姆,ba'lie'mu
巴柔,ba'rou
巴什基奇克,ba'shen'ji'qi'ke
巴通,ba'tong
巴西盖,ba'xi'gai
白垩,bai'e
白杨河,bai'yang'he
白云质,bai'yun'zhi
薄层,bao'ceng
薄煤层,bao'mei'ceng
贝里亚斯,bei'li'ya'si
不等厚,bu'deng'hou
采样,cai'yang
测井,ce'jing
层号,ceng'hao
层位,ceng'wei
层序,ceng'xu
层序地层,ceng'xu'di'ceng
产于,chan'yu
赤金堡,chi'jin'bao
冲刷面,chong'shua'mian
储层,chu'ceng
粗砂岩,cu'sha'yan
大港,da'gang
大红圈,da'hong'quan
达瑞威尔阶,da'rui'wei'er'jie
大湾阶,da'wan'jie
达西库木组,da'xi'ku'mu'zu
道保湾阶,dao'bao'wan'jie
地层,di'ceng
地层分区,di'ceng'fen'qu
地层小区,di'ceng'xiao'qu
地层学,di'ceng'xue
底界,di'jie
俄霍布拉克组,e'huo'bu'la'ke'zu
二叠,er'die
凡兰吟,fan'lan'yin
分层,fen'ceng
粉砂岩,fen'sha'yan
粉砂质,fen'sha'zhi
分析号,fen'xi'hao
缝合带,feng'he'dai
钙质,gai'zhi
弓形山组,gong'xing'shan'zu
古地理,gu'di'li
古隆,gu'long
古生代,gu'sheng'dai
海相,hai'xiang
旱峡,han'xia
郝家沟,hao'jia'gou
赫唐,he'tang
横向,heng'xiang
红柳峡,hong'liu'xia
厚层状,hou'ceng'zhuang
互层,hu'ceng
花海,hua'hai
黄山街,huang'shan'jie
灰岩,hui'yan
灰质,hui'zhi
灰质云岩,hui'zhi'yun'yan
基末利,ji'mo'li
吉木萨尔,ji'mu'sa'er
交互相,jiao'hu'xiang
结核,jie'he
结晶云岩,jie'jing'yun'yan
井底,jing'di
井段,jing'duan
井号,jing'hao
井下,jing'xia
酒东,jiu'dong
酒泉,jiu'quan
酒西,jiu'xi
巨厚层,ju'hou'ceng
巨厚层状,ju'hou'ceng'zhuang
卡奔,ka'ben
卡拉道克,ka'la'dao'ke
卡洛,ka'luo
卡尼,ka'ni
卡普沙良群,ka'pu'sha'liang'qun
坎潘,kan'pan
康尼亚克,kang'ni'ya'ke
克拉苏群,ke'la'su'qun
颗粒灰岩,ke'li'hui'yan
柯坪,ke'ping
柯坪塔格组,ke'ping'ta'ge'zu
克孜勒苏群,ke'zi'le'su'qun
库车河,ku'che'he
库尔勒,ku'er'le
窟窿山,ku'long'shan
库南,ku'nan
宽台山,kuan'tai'shan
老君庙,lao'jun'miao
亮晶,liang'jing
良里塔格组,liang'li'ta'ge'zu
柳沟庄,liu'gou'zhuang
露头,lu'tou
陆相,lu'xiang
轮古,lun'gu
轮南,lun'nan
铝土岩,lv'tu'yan
玛参,ma'can
马斯特里赫特,ma'si'te'li'he'te
埋藏史,mai'cang'shi
埋深,mai'shen
满加尔,man'jia'er
满加尔群,man'jia'er'qun
满加尔组,man'jia'er'zu
煤核,mei'hu
煤线,mei'xian
纳缪尔,na'miu'er
泥灰岩,ni'hui'yan
泥灰岩段,ni'hui'yan'duan
泥晶,ni'jing
泥晶灰岩,ni'jing'hui'yan
尼欧克姆,ni'ou'ke'mu
泥岩,ni'yan
泥质,ni'zhi
泥质粉砂岩,ni'zhi'fen'sha'yan
诺利,nuo'li
欧特里夫,ou'te'li'fu
蓬莱坝组,peng'lai'ba'zu
剖面,pou'mian
普林斯巴赫,pu'lin'si'ba'he
其浪组,qi'lang'zu
钱塘江阶,qian'tang'jiang'jie
青西,qing'xi
却尔却克组,que'er'que'ke'zu
群克,qun'ke
瑞替,rui'ti
赛诺曼,sai'nuo'man
三叠,san'die
三工河,san'gong'he
桑顿,sang'dun
桑塔木组,sang'ta'mu'zu
砂泥质,sha'ni'zhi
砂屑,sha'xie
砂屑灰岩,sha'xie'hui'yan
砂岩,sha'yan
沙镇溪组,sha'zhen'xi'zu
砂质,sha'zhi
砂质灰岩,sha'zhi'hui'yan
砂质泥岩,sha'zhi'ni'yan
上段,shang'duan
上覆,shang'fu
上统,shang'tong
生物礁,sheng'wu'jiao
生屑灰岩,sheng'xie'hui'yan
剩样,sheng'yang
时代,shi'dai
石盒子组,shi'he'zi'zu
石炭,shi'tan
舒善河组,shu'shan'he'zu
燧石,sui'shi
碎屑岩,sui'xie'yan
塔里奇克沟,ta'li'qi'ke'gou
塔里奇克组,ta'li'qi'ke'zu
塔中,ta'zhong
碳同位素,tan'tong'wei'su
炭质,tan'zhi
塘参,tang'can
提塘,ti'tang
统层,tong'ceng
透镜体,tou'jing'ti
吐哈,tu'ha
土伦,tu'lun
吐木休克组,tu'mu'xiu'ke'zu
托尔期,tuo'er'qi
五龙组,wu'long'zu
乌什县,wu'shi'xian
细砾岩,xi'li'yan
细砂岩,xi'sha'yan
西山窑,xi'shan'yao
下段,xia'duan
下伏,xia'fu
下沟,xia'gou
下沟组,xia'gou'zu
下统,xia'tong
相变,xiang'bian
新厂阶,xin'chang'jie
辛涅谬尔,xin'nie'miu'er
须家河,xu'jia'he
雅尔当山,ya'er'dang'shan
亚格列木组,ya'ge'lie'mu'zu
牙哈,ya'ha
岩关阶,yan'guan'jie
岩石,yan'shi
岩屑,yan'xie
岩心,yan'xin
岩性,yan'xing
羊屋,yang'wu
一间房组,yi'jian'fang'zu
