八功德水,ba'gong'de'shui
八关会,ba'guan'hui
八万细行,ba'wan'xi'xing
百味饮食,bai'wei'yin'shi
百一物,bai'yi'wu
彼岸会,bi'an'hui
庇立得法会,bi'li'de'fa'hui
辩经,bian'jing
叉手,cha'shou
长跪,chang'gui
长物,chang'wu
常住,chang'zhu
常住物,chang'zhu'wu
祇园会,chi'yuan'hui
持斋,chi'zhai
出家,chu'jia
出行会,chu'xing'hui
传灯,chuan'deng
传法,chuan'fa
传供,chuan'gong
传衣,chuan'yi
传召法会,chuan'zhao'fa'hui
大般若会,da'ban'ruo'hui
达嚫,da'chen
大开静,da'kai'jing
达磨忌,da'mo'ji
撘衣仪式,da'yi'yi'shi
顶礼,ding'li
读经,du'jing
法会,fa'hui
法要,fa'yao
梵网会,fan'wang'hui
放蒙山,fang'meng'shan
放生会,fang'sheng'hui
放水灯,fang'shui'deng
分卫,fen'wei
讽诵,feng'song
佛成道日,fo'cheng'dao'ri
佛诞,fo'dan
佛名会,fo'ming'hui
佛涅槃日,fo'nie'pan'ri
佛事,fo'shi
佛牙节,fo'ya'jie
供养,gong'yang
挂撘,gua'da
过堂,guo'tang
和南,he'nan
合掌,he'zhang
互跪,hu'gui
还俗,huan'su
会供,hui'gong
火葬,huo'zang
讲经,jiang'jing
接足礼,jie'zu'li
净肉,jing'rou
净施,jing'shi
九拜,jiu'bai
开眼,kai'yan
看病,kan'bing
看经,kan'jing
课诵,ke'song
腊八粥,la'ba'zhou
礼拜,li'bai
六月会,liu'yue'hui
六斋日,liu'zhai'ri
龙华三会,long'hua'san'hui
罗汉供,luo'han'gong
沐浴,mu'yu
念佛图,nian'fo'tu
念诵,nian'song
涅槃会,nie'pan'hui
普请,pu'qing
祈祷,qi'dao
七供,qi'gong
七七斋,qi'qi'zhai
七夜待,qi'ye'dai
祈雨,qi'yu
千部会,qian'bu'hui
千日诣,qian'ri'yi
千僧斋,qian'seng'zhai
勤行,qin'xing
求法,qiu'fa
燃灯会,ran'deng'hui
仁王会,ren'wang'hui
肉食妻带,rou'shi'qi'dai
洒净,sa'jing
三拜,san'bai
三千威仪,san'qian'wei'yi
三十日佛名,san'shi'ri'fo'ming
僧物,seng'wu
上堂,shang'tang
舍利,she'li
施饿鬼会,shi'e'gui'hui
十善会,shi'shan'hui
施食,shi'shi
十夜法要,shi'ye'fa'yao
十斋,shi'zhai
竖义,shu'yi
霜月会,shuang'yue'hui
水陆法会,shui'lu'fa'hui
水葬,shui'zang
说法,shuo'fa
四大节,si'da'jie
四斋日,si'zhai'ri
俗讲,su'jiang
素食,su'shi
剃发,ti'fa
跳神节,tiao'shen'jie
荼毗,tu'pi
托钵,tuo'bo
万灯会,wan'deng'hui
往生讲,wang'sheng'jiang
卫塞节,wei'sai'jie
威仪,wei'yi
文殊会,wen'shu'hui
问讯,wen'xun
卧,wo
五参上堂,wu'can'shang'tang
五体投地,wu'ti'tou'di
无遮大会,wu'zhe'da'hui
小参,xiao'can
心经会,xin'jing'hui
行茶,xing'cha
行道,xing'dao
星供,xing'gong
行脚,xing'jiao
行像,xing'xiang
选佛图,xuan'fo'tu
巡礼,xun'li
巡寮,xun'liao
巡堂,xun'tang
焰口,yan'kou
药石,yao'shi
译经,yi'jing
引座,yin'zuo
踊念佛,yong'nian'fo
右绕,you'rao
游行,you'xing
浴佛,yu'fo
盂兰盆会,yu'lan'pen'hui
云水,yun'shui
葬法,zang'fa
斋,zhai
朝暮课诵,zhao'mu'ke'song
驻锡,zhu'xi
转经,zhuan'jing
坐,zuo
