艾叶,ai'ye
巴豆霜,ba'dou'shuang
白扁豆,bai'bian'dou
白矾,bai'fan
白果,bai'guo
百合,bai'he
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
白及粉,bai'ji'fen
败酱草,bai'jiang'cao
白敛,bai'lian
白茅根,bai'mao'gen
白梅花,bai'mei'hua
白前,bai'qian
白芍,bai'shao
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮,bai'xian'pi
白英,bai'ying
白芷,bai'zhi
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
半枝莲,ban'zhi'lian
北豆根,bei'dou'gen
北沙参,bei'sha'shen
荜茇,bi'ba
荜澄茄,bi'cheng'qie
萆薢,bi'xie
扁豆花,bian'dou'hua
萹蓄,bian'xu
槟榔,bing'lang
冰片,bing'pian
薄荷,bo'he
蚕砂,can'sha
草豆蔻,cao'dou'kou
侧柏炭,ce'bai'tan
柴胡,chai'hu
燀桃仁,chan'tao'ren
蝉蜕,chan'tui
常山,chang'shan
炒白扁豆,chao'bai'bian'dou
炒白牵牛子,chao'bai'qian'niu'zi
炒白芍,chao'bai'shao
炒槟榔,chao'bing'lang
炒苍耳子,chao'cang'er'zi
炒苍术,chao'cang'zhu
炒草果,chao'cao'guo
炒稻芽,chao'dao'ya
炒谷芽,chao'gu'ya
炒黑牵牛子,chao'hei'qian'niu'zi
炒槐花,chao'huai'hua
炒槐米,chao'huai'mi
炒蒺藜,chao'ji'li
炒芥子,chao'jie'zi
炒决明子,chao'jue'ming'zi
炒苦杏仁,chao'ku'xing'ren
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒蔓荆子,chao'man'jing'zi
炒牛蒡子,chao'niu'bang'zi
炒山楂,chao'shan'zha
炒酸枣仁,chao'suan'zao'ren
炒王不留行,chao'wang'bu'liu'xing
炒枳实,chao'zhi'shi
炒紫苏子,chao'zi'su'zi
车前草,che'qian'cao
陈皮,chen'pi
沉香粉,chen'xiang'fen
赤芍,chi'shao
赤小豆,chi'xiao'dou
茺蔚子,chong'wei'zi
抽葫芦,chou'hu'lu
楮实子,chu'shi'zi
川贝粉,chuan'bei'fen
川贝母,chuan'bei'mu
川楝子,chuan'lian'zi
川牛膝,chuan'niu'xi
穿山龙,chuan'shan'long
川芎,chuan'xiong
垂盆草,chui'pen'cao
醋艾炭,cu'ai'tan
醋鳖甲,cu'bie'jia
醋柴胡,cu'chai'hu
醋穿山甲,cu'chuan'shan'jia
醋莪术,cu'e'zhu
醋甘遂,cu'gan'sui
醋鸡内金,cu'ji'nei'jin
醋没药,cu'mei'yao
醋青皮,cu'qing'pi
醋乳香,cu'ru'xiang
醋三棱,cu'san'leng
醋商陆,cu'shang'lu
醋五灵脂,cu'wu'ling'zhi
醋五味子,cu'wu'wei'zi
醋香附,cu'xiang'fu
醋延胡索,cu'yan'hu'suo
醋延胡索粉,cu'yan'hu'suo'fen
醋芫花,cu'yuan'hua
大风子,da'feng'zi
大腹皮,da'fu'pi
大黄,da'huang
大血藤,da'xue'teng
大枣,da'zao
玳玳花,dai'dai'hua
黛蛤散,dai'ge'san
玳瑁粉,dai'mao'fen
淡豆豉,dan'dou'chi
胆南星,dan'nan'xing
丹参,dan'shen
淡竹叶,dan'zhu'ye
当归,dang'gui
当归炭,dang'gui'tan
当归尾,dang'gui'wei
党参,dang'shen
刀豆,dao'dou
倒扣草,dao'kou'cao
灯心草,deng'xin'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地龙,di'long
地榆炭,di'yu'tan
丁香,ding'xiang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
豆蔻,dou'kou
独活,du'huo
杜仲炭,du'zhong'tan
煅赤石脂,duan'chi'shi'zhi
煅磁石,duan'ci'shi
煅鹅管石,duan'e'guan'shi
煅浮海石,duan'fu'hai'shi
煅蛤粉,duan'ge'fen
煅蛤壳,duan'ge'ke
煅寒水石,duan'han'shui'shi
煅花蕊石,duan'hua'rui'shi
煅金礞石,duan'jin'meng'shi
煅龙齿,duan'long'chi
煅龙骨,duan'long'gu
煅牡蛎,duan'mu'li
煅青礞石,duan'qing'meng'shi
煅瓦楞子,duan'wa'leng'zi
煅阳起石,duan'yang'qi'shi
煅禹粮石,duan'yu'liang'shi
煅赭石,duan'zhe'shi
煅自然铜,duan'zi'ran'tong
煅紫石英,duan'zi'shi'ying
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
阿胶口服液,e'jiao'kou'fu'ye
阿胶珠,e'jiao'zhu
儿茶,er'cha
法半夏,fa'ban'xia
番泻叶,fan'xie'ye
防风,fang'feng
防风炭,fang'feng'tan
防己,fang'ji
分心木,fen'xin'mu
蜂房,feng'fang
凤凰衣,feng'huang'yi
凤尾草,feng'wei'cao
佛手,fo'shou
佛手花,fo'shou'hua
麸白术,fu'bai'zhu
麸半夏曲,fu'ban'xia'qu
麸椿皮,fu'chun'pi
麸冬瓜子,fu'dong'gua'zi
麸僵蚕,fu'jiang'can
茯苓,fu'ling
茯苓皮,fu'ling'pi
伏龙肝,fu'long'gan
覆盆子,fu'pen'zi
浮萍,fu'ping
麸芡实,fu'qian'shi
麸神曲,fu'shen'qu
浮小麦,fu'xiao'mai
麸薏苡仁,fu'yi'yi'ren
麸枳壳,fu'zhi'ke
甘草,gan'cao
干姜,gan'jiang
干姜皮,gan'jiang'pi
甘松,gan'song
藁本,gao'ben
高良姜,gao'liang'jiang
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
功劳叶,gong'lao'ye
狗脊,gou'ji
枸杞子,gou'qi'zi
钩藤,gou'teng
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
关黄柏,guan'huang'bai
广藿香,guang'huo'xiang
龟甲胶,gui'jia'jiao
鬼箭羽,gui'jian'yu
桂枝,gui'zhi
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
荷梗,he'geng
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
荷叶,he'ye
诃子肉,he'zi'rou
黑附片,hei'fu'pian
黑芝麻,hei'zhi'ma
红豆蔻,hong'dou'kou
红花,hong'hua
红景天,hong'jing'tian
红曲,hong'qu
红参,hong'shen
厚朴花,hou'pu'hua
胡黄连,hu'huang'lian
葫芦巴,hu'lu'ba
胡麻子,hu'ma'zi
琥珀粉,hu'po'fen
虎杖,hu'zhang
花椒,hua'jiao
花椒目,hua'jiao'mu
化橘红,hua'ju'hong
滑石粉,hua'shi'fen
滑石块,hua'shi'kuai
槐花炭,huai'hua'tan
槐米,huai'mi
黄柏,huang'bai
黄连,huang'lian
黄连炭,huang'lian'tan
黄芩,huang'qin
黄芩炭,huang'qin'tan
黄药子,huang'yao'zi
藿梗,huo'geng
火麻仁,huo'ma'ren
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
鸡冠花炭,ji'guan'hua'tan
急性子,ji'xing'zi
鸡血藤,ji'xue'teng
姜半夏,jiang'ban'xia
姜厚朴,jiang'hou'pu
姜黄,jiang'huang
降香,jiang'xiang
姜栀子,jiang'zhi'zi
焦白术,jiao'bai'zhu
焦槟榔,jiao'bing'lang
焦谷芽,jiao'gu'ya
焦麦芽,jiao'mai'ya
焦山楂,jiao'shan'zha
焦神曲,jiao'shen'qu
焦薏苡仁,jiao'yi'yi'ren
焦栀子,jiao'zhi'zi
桔梗,jie'geng
锦灯笼,jin'deng'long
金钱白花蛇,jin'qian'bai'hua'she
金钱草,jin'qian'cao
金荞麦,jin'qiao'mai
金银花,jin'yin'hua
金银花炭,jin'yin'hua'tan
金樱子,jin'ying'zi
荆芥,jing'jie
荆芥穗,jing'jie'sui
荆芥穗炭,jing'jie'sui'tan
荆芥炭,jing'jie'tan
酒白芍,jiu'bai'shao
韭菜子,jiu'cai'zi
酒大黄,jiu'da'huang
酒黄精,jiu'huang'jing
酒黄芩,jiu'huang'qin
酒九香虫,jiu'jiu'xiang'chong
酒女贞子,jiu'nv'zhen'zi
酒肉苁蓉,jiu'rou'cong'rong
酒山萸肉,jiu'shan'yu'rou
酒蛇蜕,jiu'she'tui
酒乌梢蛇,jiu'wu'shao'she
菊花,ju'hua
橘络,ju'luo
橘叶,ju'ye
卷柏,juan'bai
苦地丁,ku'di'ding
枯矾,ku'fan
苦楝皮,ku'lian'pi
苦楝子,ku'lian'zi
苦参,ku'shen
款冬花,kuan'dong'hua
昆布,kun'bu
老鹳草,lao'guan'cao
荔枝核,li'zhi'he
莲房炭,lian'fang'tan
连翘,lian'qiao
莲须,lian'xu
莲子肉,lian'zi'rou
莲子心,lian'zi'xin
蓼大青叶,liao'da'qing'ye
凌霄花,ling'xiao'hua
羚羊角粉,ling'yang'jiao'fen
灵芝,ling'zhi
刘寄奴,liu'ji'nu
六一散,liu'yi'san
龙胆,long'dan
龙葵,long'kui
龙眼肉,long'yan'rou
漏芦,lou'lu
芦根,lu'gen
芦荟,lu'hui
鹿角镑,lu'jiao'bang
鹿角胶,lu'jiao'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿衔草,lu'xian'cao
络石藤,luo'shi'teng
马鞭草,ma'bian'cao
马齿苋,ma'chi'xian
麻黄根,ma'huang'gen
马尾连,ma'wei'lian
麦冬,mai'dong
芒硝,mang'xiao
猫爪草,mao'zhao'cao
玫瑰花,mei'gui'hua
没食子,mei'shi'zi
蜜百部,mi'bai'bu
蜜甘草,mi'gan'cao
蜜瓜蒌仁,mi'gua'lou'ren
蜜槐角,mi'huai'jiao
