奥兰多魔术,ao'lan'duo'mo'shu
明尼苏达森林狼,ming'ni'su'da'sen'lin'lang
魔术,mo'shu
尼克斯,ni'ke'si
纽约尼克斯,niu'yue'ni'ke'si
诺西奥尼,nuo'xi'ao'ni
普林斯顿打发,pu'lin'si'dun'da'fa
奇才,qi'cai
骑士,qi'shi
其他球员,qi'ta'qiu'yuan
前场,qian'chang
签订合同,qian'ding'he'tong
抢断,qiang'duan
强力灌篮,qiang'li'guan'lan
强力中锋,qiang'li'zhong'feng
抢占位置,qiang'zhan'wei'zhi
切入,qie'ru
球场中间,qiu'chang'zhong'jian
球出界,qiu'chu'jie
球队吉祥物,qiu'dui'ji'xiang'wu
球队经理,qiu'dui'jing'li
球队球员篇,qiu'dui'qiu'yuan'pian
球队选项,qiu'dui'xuan'xiang
球队选项条款,qiu'dui'xuan'xiang'tiao'kuan
球队训练员,qiu'dui'xun'lian'yuan
区域防守,qu'yu'fang'shou
区域联防,qu'yu'lian'fang
驱逐出场,qu'zhu'chu'chang
绕切,rao'qie
热队,re'dui
人盯人防守,ren'ding'ren'fang'shou
萨克拉门托国王,sa'ke'la'men'tuo'guo'wang
赛程,sai'cheng
三分球,san'fen'qiu
三分球命中率,san'fen'qiu'ming'zhong'lv
三角战术,san'jiao'zhan'shu
森林狼,sen'lin'lang
山猫,shan'mao
上半场,shang'ban'chang
圣安东尼奥马刺,sheng'an'dong'ni'ao'ma'ci
是否履行,shi'fou'lv'xing
时间差,shi'jian'cha
失去位置,shi'qu'wei'zhi
失误,shi'wu
时限钟,shi'xian'zhong
首轮比赛,shou'lun'bi'sai
受限制自由球员,shou'xian'zhi'zi'you'qiu'yuan
双手持球,shuang'shou'chi'qiu
顺势接球,shun'shi'jie'qiu
死球,si'qiu
斯特恩,si'te'en
太平洋区,tai'ping'yang'qu
太阳,tai'yang
替补球员,ti'bu'qiu'yuan
体能教练,ti'neng'jiao'lian
跳球,tiao'qiu
跳投,tiao'tou
停止出赛,ting'zhi'chu'sai
投篮出手,tou'lan'chu'shou
投球命中,tou'qiu'ming'zhong
投球命中率,tou'qiu'ming'zhong'lv
突分,tu'fen
突破,tu'po
突破后,tu'po'hou
突破路线,tu'po'lu'xian
推人犯规,tui'ren'fan'gui
托球上篮,tuo'qiu'shang'lan
拖延时间,tuo'yan'shi'jian
外线球员,wai'xian'qiu'yuan
网队,wang'dui
无球犯规,wu'qiu'fan'gui
无球进攻队员,wu'qiu'jin'gong'dui'yuan
西北区,xi'bei'qu
西部联盟,xi'bu'lian'meng
西南区,xi'nan'qu
西雅图超音速,xi'ya'tu'chao'yin'su
下半场,xia'ban'chang
夏洛特山猫,xia'luo'te'shan'mao
先发球员,xian'fa'qiu'yuan
向球篮,xiang'qiu'lan
小牛,xiao'niu
小前锋,xiao'qian'feng
小球战术,xiao'qiu'zhan'shu
斜插,xie'cha
协防,xie'fang
斜线快跑,xie'xian'kuai'pao
新奥尔良黄蜂,xin'ao'er'liang'huang'feng
新泽西网,xin'ze'xi'wang
雄鹿,xiong'lu
休斯顿火箭,xiu'si'dun'huo'jian
亚特兰大老鹰,ya'te'lan'da'lao'ying
延长赛,yan'chang'sai
掩护,yan'hu
掩护队员,yan'hu'dui'yuan
掩护配合,yan'hu'pei'he
掩护者,yan'hu'zhe
摇摆人,yao'bai'ren
姚明,yao'ming
邀请合同,yao'qing'he'tong
要位,yao'wei
一传,yi'chuan
易建联,yi'jian'lian
印第安纳步行者,yin'di'an'na'bu'xing'zhe
鹰队,ying'dui
用身体,yong'shen'ti
勇士,yong'shi
有利的,you'li'de
