安徽财经大学,an'hui'cai'jing'da'xue
大连商务职业技术学院,da'lian'shang'wu'zhi'ye'ji'shu'xue'yuan
大连水产学院,da'lian'shui'chan'xue'yuan
大连外国语学院,da'lian'wai'guo'yu'xue'yuan
大连医科大学,da'lian'yi'ke'da'xue
大连职业技术学院,da'lian'zhi'ye'ji'shu'xue'yuan
大庆石油学院,da'qing'shi'you'xue'yuan
达县师范高等专科学校,da'xian'shi'fan'gao'deng'zhuan'ke'xue'xiao
德州学院,de'zhou'xue'yuan
第二军医大学,di'er'jun'yi'da'xue
第四军医大学,di'si'jun'yi'da'xue
电子科技大学,dian'zi'ke'ji'da'xue
电子科技大学管理学院,dian'zi'ke'ji'da'xue'guan'li'xue'yuan
东北财经大学,dong'bei'cai'jing'da'xue
东北大学,dong'bei'da'xue
东北大学秦皇岛分校,dong'bei'da'xue'qin'huang'dao'fen'xiao
东北电力学院,dong'bei'dian'li'xue'yuan
东北林业大学,dong'bei'lin'ye'da'xue
东北农业大学,dong'bei'nong'ye'da'xue
东北师范大学,dong'bei'shi'fan'da'xue
东莞理工学院,dong'guan'li'gong'xue'yuan
东华大学,dong'hua'da'xue
东华理工学院,dong'hua'li'gong'xue'yuan
东南大学,dong'nan'da'xue
对外经济贸易大学,dui'wai'jing'ji'mao'yi'da'xue
恩施职业技术学院,en'shi'zhi'ye'ji'shu'xue'yuan
防灾技术高等专科学校,fang'zai'ji'shu'gao'deng'zhuan'ke'xue'xiao
佛山大学,fo'shan'da'xue
复旦大学,fu'dan'da'xue
复旦大学医学院原上海医科大学,fu'dan'da'xue'yi'xue'yuan'yuan'shang'hai'yi'ke'da'xue
福建公安高等专科学校,fu'jian'gong'an'gao'deng'zhuan'ke'xue'xiao
福建广播电视大学,fu'jian'guang'bo'dian'shi'da'xue
福建交通职业技术学院,fu'jian'jiao'tong'zhi'ye'ji'shu'xue'yuan
福建农业大学,fu'jian'nong'ye'da'xue
福建师范大学,fu'jian'shi'fan'da'xue
福建医科大学,fu'jian'yi'ke'da'xue
福建漳州师范学院,fu'jian'zhang'zhou'shi'fan'xue'yuan
福建职业技术学院,fu'jian'zhi'ye'ji'shu'xue'yuan
福建中医学院,fu'jian'zhong'yi'xue'yuan
阜阳师范学院,fu'yang'shi'fan'xue'yuan
福州大学,fu'zhou'da'xue
赣南师范学院,gan'nan'shi'fan'xue'yuan
甘肃农业大学,gan'su'nong'ye'da'xue
甘肃政法学院,gan'su'zheng'fa'xue'yuan
甘肃中医学院,gan'su'zhong'yi'xue'yuan
广东白云职业技术学院,guang'dong'bai'yun'zhi'ye'ji'shu'xue'yuan
广东纺织职业技术学院,guang'dong'fang'zhi'zhi'ye'ji'shu'xue'yuan
广东工业大学,guang'dong'gong'ye'da'xue
广东广播电视大学,guang'dong'guang'bo'dian'shi'da'xue
广东技术师范学院,guang'dong'ji'shu'shi'fan'xue'yuan
广东教育学院,guang'dong'jiao'yu'xue'yuan
广东金融学院,guang'dong'jin'rong'xue'yuan
广东科学技术职业学院,guang'dong'ke'xue'ji'shu'zhi'ye'xue'yuan
广东农工商职业技术学院,guang'dong'nong'gong'shang'zhi'ye'ji'shu'xue'yuan
广东女子职业技术学院,guang'dong'nv'zi'zhi'ye'ji'shu'xue'yuan
广东轻工职业技术学院,guang'dong'qing'gong'zhi'ye'ji'shu'xue'yuan
广东商学院,guang'dong'shang'xue'yuan
广东水利电力职业技术学院,guang'dong'shui'li'dian'li'zhi'ye'ji'shu'xue'yuan
广东外语外贸大学,guang'dong'wai'yu'wai'mao'da'xue
广东外语艺术职业学院,guang'dong'wai'yu'yi'shu'zhi'ye'xue'yuan
广东药学院,guang'dong'yao'xue'yuan
广东医学院,guang'dong'yi'xue'yuan
广西财经学院,guang'xi'cai'jing'xue'yuan
广西大学,guang'xi'da'xue
广西大学梧州分校,guang'xi'da'xue'wu'zhou'fen'xiao
广西工学院,guang'xi'gong'xue'yuan
广西机电职业技术学院,guang'xi'ji'dian'zhi'ye'ji'shu'xue'yuan
广西民族大学,guang'xi'min'zu'da'xue
广西师范大学,guang'xi'shi'fan'da'xue
广西师范学院,guang'xi'shi'fan'xue'yuan
广西中医学院,guang'xi'zhong'yi'xue'yuan
广州大学,guang'zhou'da'xue
广州航海高等专科学校,guang'zhou'hang'hai'gao'deng'zhuan'ke'xue'xiao
广州金融高等专科学校,guang'zhou'jin'rong'gao'deng'zhuan'ke'xue'xiao
广州美国人国际学校,guang'zhou'mei'guo'ren'guo'ji'xue'xiao
广州师范学院,guang'zhou'shi'fan'xue'yuan
广州体育学院,guang'zhou'ti'yu'xue'yuan
广州医学院,guang'zhou'yi'xue'yuan
广州中医药大学,guang'zhou'zhong'yi'yao'da'xue
硅湖学院,gui'hu'xue'yuan
桂林电子工业学院,gui'lin'dian'zi'gong'ye'xue'yuan
桂林工学院,gui'lin'gong'xue'yuan
桂林航天工业高等专科学校,gui'lin'hang'tian'gong'ye'gao'deng'zhuan'ke'xue'xiao
桂林旅游高等专科学校,gui'lin'lv'you'gao'deng'zhuan'ke'xue'xiao
桂林师范高等专科学校,gui'lin'shi'fan'gao'deng'zhuan'ke'xue'xiao
桂林医学院,gui'lin'yi'xue'yuan
贵阳金筑大学,gui'yang'jin'zhu'da'xue
贵阳医学院,gui'yang'yi'xue'yuan
贵阳中医学院,gui'yang'zhong'yi'xue'yuan
贵州财经学院,gui'zhou'cai'jing'xue'yuan
贵州大学,gui'zhou'da'xue
贵州工业大学,gui'zhou'gong'ye'da'xue
贵州民族学院,gui'zhou'min'zu'xue'yuan
贵州省毕节学院,gui'zhou'sheng'bi'jie'xue'yuan
贵州师范大学,gui'zhou'shi'fan'da'xue
贵州遵义医学院,gui'zhou'zun'yi'yi'xue'yuan
国防科技大学,guo'fang'ke'ji'da'xue
国际关系学院,guo'ji'guan'xi'xue'yuan
国立华侨大学,guo'li'hua'qiao'da'xue
哈尔滨工程大学,ha'er'bin'gong'cheng'da'xue
哈尔滨工业大学,ha'er'bin'gong'ye'da'xue
哈尔滨广播电视大学,ha'er'bin'guang'bo'dian'shi'da'xue
哈尔滨理工大学,ha'er'bin'li'gong'da'xue
哈尔滨商业大学,ha'er'bin'shang'ye'da'xue
哈尔滨师范大学,ha'er'bin'shi'fan'da'xue
哈尔滨学院,ha'er'bin'xue'yuan
哈尔滨医科大学,ha'er'bin'yi'ke'da'xue
哈尔滨医科大学附属第二医院,ha'er'bin'yi'ke'da'xue'fu'shu'di'er'yi'yuan
海口经济职业技术学院,hai'kou'jing'ji'zhi'ye'ji'shu'xue'yuan
海南大学,hai'nan'da'xue
海南省师范学院,hai'nan'sheng'shi'fan'xue'yuan
海南医学院,hai'nan'yi'xue'yuan
邯郸学院,han'dan'xue'yuan
邯郸职业技术学院原邯郸大学,han'dan'zhi'ye'ji'shu'xue'yuan'yuan'han'dan'da'xue
韩山师范学院,han'shan'shi'fan'xue'yuan
杭州电子工业学院,hang'zhou'dian'zi'gong'ye'xue'yuan
杭州广播电视大学,hang'zhou'guang'bo'dian'shi'da'xue
杭州商学院,hang'zhou'shang'xue'yuan
杭州师范学院,hang'zhou'shi'fan'xue'yuan
杭州职业技术学院,hang'zhou'zhi'ye'ji'shu'xue'yuan
河北北方学院,he'bei'bei'fang'xue'yuan
河北承德石油高等专科学校,he'bei'cheng'de'shi'you'gao'deng'zhuan'ke'xue'xiao
河北大学,he'bei'da'xue
河北工程技术高等专科学校,he'bei'gong'cheng'ji'shu'gao'deng'zhuan'ke'xue'xiao
河北工程学院筹建河北工程大学,he'bei'gong'cheng'xue'yuan'chou'jian'he'bei'gong'cheng'da'xue
河北工业大学,he'bei'gong'ye'da'xue
河北工业职业技术学院,he'bei'gong'ye'zhi'ye'ji'shu'xue'yuan
河北广播电视大学,he'bei'guang'bo'dian'shi'da'xue
河北建筑工程学院,he'bei'jian'zhu'gong'cheng'xue'yuan
河北交通职业技术学院,he'bei'jiao'tong'zhi'ye'ji'shu'xue'yuan
河北经贸大学,he'bei'jing'mao'da'xue
河北科技大学,he'bei'ke'ji'da'xue
河北科技师范学院,he'bei'ke'ji'shi'fan'xue'yuan
河北理工学院,he'bei'li'gong'xue'yuan
河北农业大学,he'bei'nong'ye'da'xue
河北省职工医学院,he'bei'sheng'zhi'gong'yi'xue'yuan
河北师范大学,he'bei'shi'fan'da'xue
河北石油职业技术学院,he'bei'shi'you'zhi'ye'ji'shu'xue'yuan
河北体育学院,he'bei'ti'yu'xue'yuan
河北医科大学,he'bei'yi'ke'da'xue
河北政法职业学院,he'bei'zheng'fa'zhi'ye'xue'yuan
鹤壁职业技术学院,he'bi'zhi'ye'ji'shu'xue'yuan
河池学院,he'chi'xue'yuan
合肥工业大学,he'fei'gong'ye'da'xue
合肥学院,he'fei'xue'yuan
河海大学,he'hai'da'xue
河海大学常州分校,he'hai'da'xue'chang'zhou'fen'xiao
河南财经学院,he'nan'cai'jing'xue'yuan
河南财政税务高等专科学校,he'nan'cai'zheng'shui'wu'gao'deng'zhuan'ke'xue'xiao
河南大学,he'nan'da'xue
河南纺织高等专科学校,he'nan'fang'zhi'gao'deng'zhuan'ke'xue'xiao
河南公安高等专科学校,he'nan'gong'an'gao'deng'zhuan'ke'xue'xiao
河南工业大学,he'nan'gong'ye'da'xue
河南机电高等专科学校,he'nan'ji'dian'gao'deng'zhuan'ke'xue'xiao
河南教育学院,he'nan'jiao'yu'xue'yuan
河南科技大学,he'nan'ke'ji'da'xue
河南科技学院原河南职业技术师范学院,he'nan'ke'ji'xue'yuan'yuan'he'nan'zhi'ye'ji'shu'shi'fan'xue'yuan
河南理工大学,he'nan'li'gong'da'xue
河南农业大学,he'nan'nong'ye'da'xue
河南商业高等专科学校,he'nan'shang'ye'gao'deng'zhuan'ke'xue'xiao
河南省新乡工业贸易学校,he'nan'sheng'xin'xiang'gong'ye'mao'yi'xue'xiao
河南师范大学,he'nan'shi'fan'da'xue
河南中医学院,he'nan'zhong'yi'xue'yuan
河西学院,he'xi'xue'yuan
合作民族师范高等专科学校,he'zuo'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
黑龙江八一农垦大学,hei'long'jiang'ba'yi'nong'ken'da'xue
黑龙江大学,hei'long'jiang'da'xue
黑龙江广播电视大学,hei'long'jiang'guang'bo'dian'shi'da'xue
黑龙江科技大学,hei'long'jiang'ke'ji'da'xue
衡水学院,heng'shui'xue'yuan
衡阳师范学院,heng'yang'shi'fan'xue'yuan
红河学院,hong'he'xue'yuan
湖北大学,hu'bei'da'xue
湖北工业大学,hu'bei'gong'ye'da'xue
湖北广播电视大学,hu'bei'guang'bo'dian'shi'da'xue
湖北交通职业技术学院,hu'bei'jiao'tong'zhi'ye'ji'shu'xue'yuan
湖北教育学院,hu'bei'jiao'yu'xue'yuan
湖北警官学院原湖北公安高等专科学校,hu'bei'jing'guan'xue'yuan'yuan'hu'bei'gong'an'gao'deng'zhuan'ke'xue'xiao
湖北经济管理干部学院,hu'bei'jing'ji'guan'li'gan'bu'xue'yuan
湖北经济学院,hu'bei'jing'ji'xue'yuan
湖北民族学院,hu'bei'min'zu'xue'yuan
湖北师范学院,hu'bei'shi'fan'xue'yuan
湖北中医学院,hu'bei'zhong'yi'xue'yuan
湖南大学,hu'nan'da'xue
湖南大学衡阳分校,hu'nan'da'xue'heng'yang'fen'xiao
湖南第一师范,hu'nan'di'yi'shi'fan
湖南广播电视大学,hu'nan'guang'bo'dian'shi'da'xue
湖南环境生物职业技术学院,hu'nan'huan'jing'sheng'wu'zhi'ye'ji'shu'xue'yuan
湖南建材高等专科学校,hu'nan'jian'cai'gao'deng'zhuan'ke'xue'xiao
湖南经济管理干部学院,hu'nan'jing'ji'guan'li'gan'bu'xue'yuan
湖南科技大学,hu'nan'ke'ji'da'xue
湖南理工学院原岳阳师范学院,hu'nan'li'gong'xue'yuan'yuan'yue'yang'shi'fan'xue'yuan
湖南师范大学,hu'nan'shi'fan'da'xue
湖南师范大学医学院,hu'nan'shi'fan'da'xue'yi'xue'yuan
湖南铁道职业技术学院,hu'nan'tie'dao'zhi'ye'ji'shu'xue'yuan
湖南文理学院原常德师范学院,hu'nan'wen'li'xue'yuan'yuan'chang'de'shi'fan'xue'yuan
湖南冶金职业技术学院,hu'nan'ye'jin'zhi'ye'ji'shu'xue'yuan
华北电力大学,hua'bei'dian'li'da'xue
华北电力大学北京,hua'bei'dian'li'da'xue'bei'jing
华北工学院分校,hua'bei'gong'xue'yuan'fen'xiao
华北航天工业学院,hua'bei'hang'tian'gong'ye'xue'yuan
华北科技学院,hua'bei'ke'ji'xue'yuan
华北煤炭医学院,hua'bei'mei'tan'yi'xue'yuan
华北水利水电学院,hua'bei'shui'li'shui'dian'xue'yuan
华东交通大学,hua'dong'jiao'tong'da'xue
华东理工大学,hua'dong'li'gong'da'xue
华东师范大学,hua'dong'shi'fan'da'xue
华东政法学院,hua'dong'zheng'fa'xue'yuan
华南理工大学,hua'nan'li'gong'da'xue
华南农业大学,hua'nan'nong'ye'da'xue
华南热带农业大学,hua'nan're'dai'nong'ye'da'xue
华南师范大学,hua'nan'shi'fan'da'xue
华西医科大学,hua'xi'yi'ke'da'xue
华中科技大学,hua'zhong'ke'ji'da'xue
华中农业大学,hua'zhong'nong'ye'da'xue
华中师范大学,hua'zhong'shi'fan'da'xue
淮北煤炭师范学院,huai'bei'mei'tan'shi'fan'xue'yuan
淮海工学院,huai'hai'gong'xue'yuan
怀化学院,huai'hua'xue'yuan
怀化医学高等专科学校,huai'hua'yi'xue'gao'deng'zhuan'ke'xue'xiao
淮南师范学院,huai'nan'shi'fan'xue'yuan
淮阴工学院,huai'yin'gong'xue'yuan
淮阴师范学院,huai'yin'shi'fan'xue'yuan
淮阴信息职业技术学院,huai'yin'xin'xi'zhi'ye'ji'shu'xue'yuan
黄河科技大学,huang'he'ke'ji'da'xue
黄河水利职业技术学院,huang'he'shui'li'zhi'ye'ji'shu'xue'yuan
黄淮学院原驻马店师范高等专科学校,huang'huai'xue'yuan'yuan'zhu'ma'dian'shi'fan'gao'deng'zhuan'ke'xue'xiao
黄山学院原徽州师专,huang'shan'xue'yuan'yuan'hui'zhou'shi'zhuan
黄石理工学院,huang'shi'li'gong'xue'yuan
惠州学院,hui'zhou'xue'yuan
吉林大学,ji'lin'da'xue
吉林电子信息职业技术学院,ji'lin'dian'zi'xin'xi'zhi'ye'ji'shu'xue'yuan
