安徽财经大学,an'hui'cai'jing'da'xue
南京邮电学院,nan'jing'you'dian'xue'yuan
南京邮电学院吴江职业技术学院,nan'jing'you'dian'xue'yuan'wu'jiang'zhi'ye'ji'shu'xue'yuan
南京钟山外国语专修学院,nan'jing'zhong'shan'wai'guo'yu'zhuan'xiu'xue'yuan
南京中医药大学,nan'jing'zhong'yi'yao'da'xue
南开大学,nan'kai'da'xue
南平师范高等专科学校,nan'ping'shi'fan'gao'deng'zhuan'ke'xue'xiao
南通大学,nan'tong'da'xue
南通纺织职业技术学院,nan'tong'fang'zhi'zhi'ye'ji'shu'xue'yuan
南通航运职业技术学院,nan'tong'hang'yun'zhi'ye'ji'shu'xue'yuan
南通农业职业技术学院,nan'tong'nong'ye'zhi'ye'ji'shu'xue'yuan
南通市广播电视大学,nan'tong'shi'guang'bo'dian'shi'da'xue
南通职业大学,nan'tong'zhi'ye'da'xue
南阳师范学院,nan'yang'shi'fan'xue'yuan
内江师范学院,nei'jiang'shi'fan'xue'yuan
内蒙古财经学院,nei'meng'gu'cai'jing'xue'yuan
内蒙古大学,nei'meng'gu'da'xue
内蒙古工业大学,nei'meng'gu'gong'ye'da'xue
内蒙古广播电视大学,nei'meng'gu'guang'bo'dian'shi'da'xue
内蒙古民族大学,nei'meng'gu'min'zu'da'xue
内蒙古农业大学,nei'meng'gu'nong'ye'da'xue
内蒙古师范大学,nei'meng'gu'shi'fan'da'xue
内蒙古医学院,nei'meng'gu'yi'xue'yuan
宁波大学,ning'bo'da'xue
宁夏大学,ning'xia'da'xue
宁夏电力科技教育工程院,ning'xia'dian'li'ke'ji'jiao'yu'gong'cheng'yuan
宁夏广播电视大学,ning'xia'guang'bo'dian'shi'da'xue
宁夏医学院,ning'xia'yi'xue'yuan
番禺职业技术学院,pan'yu'zhi'ye'ji'shu'xue'yuan
攀枝花学院,pan'zhi'hua'xue'yuan
平顶山工学院,ping'ding'shan'gong'xue'yuan
平顶山工业职业技术学院,ping'ding'shan'gong'ye'zhi'ye'ji'shu'xue'yuan
平顶山学院,ping'ding'shan'xue'yuan
平原大学,ping'yuan'da'xue
齐齐哈尔大学,qi'qi'ha'er'da'xue
黔南民族师范学院,qian'nan'min'zu'shi'fan'xue'yuan
青岛大学,qing'dao'da'xue
青岛科技大学原青岛化工学院,qing'dao'ke'ji'da'xue'yuan'qing'dao'hua'gong'xue'yuan
青岛理工大学原青岛建筑工程学院,qing'dao'li'gong'da'xue'yuan'qing'dao'jian'zhu'gong'cheng'xue'yuan
青海大学,qing'hai'da'xue
青海广播电视大学,qing'hai'guang'bo'dian'shi'da'xue
青海民族学院,qing'hai'min'zu'xue'yuan
青海师范大学,qing'hai'shi'fan'da'xue
青海医学院,qing'hai'yi'xue'yuan
清华大学,qing'hua'da'xue
琼州大学,qiong'zhou'da'xue
曲阜师范大学,qu'fu'shi'fan'da'xue
曲靖师范学院,qu'jing'shi'fan'xue'yuan
泉州师范学院,quan'zhou'shi'fan'xue'yuan
三明高等专科学校,san'ming'gao'deng'zhuan'ke'xue'xiao
三峡大学,san'xia'da'xue
沙洲工学院,sha'zhou'gong'xue'yuan
山东财政学院,shan'dong'cai'zheng'xue'yuan
山东大学,shan'dong'da'xue
山东大学威海分校,shan'dong'da'xue'wei'hai'fen'xiao
山东工商学院,shan'dong'gong'shang'xue'yuan
山东工艺美术学院,shan'dong'gong'yi'mei'shu'xue'yuan
山东广播电视大学,shan'dong'guang'bo'dian'shi'da'xue
山东建筑工程学院,shan'dong'jian'zhu'gong'cheng'xue'yuan
山东交通学院,shan'dong'jiao'tong'xue'yuan
山东教育学院,shan'dong'jiao'yu'xue'yuan
山东经济学院,shan'dong'jing'ji'xue'yuan
山东科技大学,shan'dong'ke'ji'da'xue
山东科技大学济南校区,shan'dong'ke'ji'da'xue'ji'nan'xiao'qu
山东莱阳农学院,shan'dong'lai'yang'nong'xue'yuan
山东理工大学,shan'dong'li'gong'da'xue
山东南山职业技术学院,shan'dong'nan'shan'zhi'ye'ji'shu'xue'yuan
山东农业大学,shan'dong'nong'ye'da'xue
山东轻工业学院,shan'dong'qing'gong'ye'xue'yuan
山东省农业管理干部学院,shan'dong'sheng'nong'ye'guan'li'gan'bu'xue'yuan
山东师范大学,shan'dong'shi'fan'da'xue
山东体育学院,shan'dong'ti'yu'xue'yuan
山东艺术学院,shan'dong'yi'shu'xue'yuan
山东中医药大学,shan'dong'zhong'yi'yao'da'xue
汕头大学,shan'tou'da'xue
山西财经大学,shan'xi'cai'jing'da'xue
山西大学,shan'xi'da'xue
山西大学工程学院,shan'xi'da'xue'gong'cheng'xue'yuan
山西大学商务学院,shan'xi'da'xue'shang'wu'xue'yuan
山西工程职业技术学院,shan'xi'gong'cheng'zhi'ye'ji'shu'xue'yuan
山西广播电视大学,shan'xi'guang'bo'dian'shi'da'xue
陕西教育学院,shan'xi'jiao'yu'xue'yuan
陕西理工学院,shan'xi'li'gong'xue'yuan
山西农业大学,shan'xi'nong'ye'da'xue
陕西师范大学,shan'xi'shi'fan'da'xue
山西师范大学,shan'xi'shi'fan'da'xue
山西忻州师范学院,shan'xi'xin'zhou'shi'fan'xue'yuan
山西医科大学,shan'xi'yi'ke'da'xue
山西医科大学汾阳学院,shan'xi'yi'ke'da'xue'fen'yang'xue'yuan
陕西中医学院,shan'xi'zhong'yi'xue'yuan
上海财经大学,shang'hai'cai'jing'da'xue
上海大学,shang'hai'da'xue
上海第二工业大学,shang'hai'di'er'gong'ye'da'xue
上海第二医科大学,shang'hai'di'er'yi'ke'da'xue
上海电力学院,shang'hai'dian'li'xue'yuan
上海电视大学,shang'hai'dian'shi'da'xue
上海对外贸易学院,shang'hai'dui'wai'mao'yi'xue'yuan
上海工程技术大学,shang'hai'gong'cheng'ji'shu'da'xue
上海工商外国语学院,shang'hai'gong'shang'wai'guo'yu'xue'yuan
上海海关高等专科学校,shang'hai'hai'guan'gao'deng'zhuan'ke'xue'xiao
上海海事大学上海海运学院,shang'hai'hai'shi'da'xue'shang'hai'hai'yun'xue'yuan
上海交通大学,shang'hai'jiao'tong'da'xue
上海交通职业技术学院,shang'hai'jiao'tong'zhi'ye'ji'shu'xue'yuan
上海金融学院,shang'hai'jin'rong'xue'yuan
上海理工大学,shang'hai'li'gong'da'xue
上海立信会计学院,shang'hai'li'xin'kuai'ji'xue'yuan
上海杉达学院,shang'hai'shan'da'xue'yuan
上海商学院,shang'hai'shang'xue'yuan
上海师范大学,shang'hai'shi'fan'da'xue
上海市经济管理干部学院,shang'hai'shi'jing'ji'guan'li'gan'bu'xue'yuan
上海水产大学,shang'hai'shui'chan'da'xue
上海思博职业技术学院,shang'hai'si'bo'zhi'ye'ji'shu'xue'yuan
上海体育学院,shang'hai'ti'yu'xue'yuan
上海外国语大学,shang'hai'wai'guo'yu'da'xue
上海医疗器械高等专科学校,shang'hai'yi'liao'qi'xie'gao'deng'zhuan'ke'xue'xiao
上海音乐学院,shang'hai'yin'yue'xue'yuan
上海应用技术学院,shang'hai'ying'yong'ji'shu'xue'yuan
上海政法学院,shang'hai'zheng'fa'xue'yuan
上海中医药大学,shang'hai'zhong'yi'yao'da'xue
商丘师范学院,shang'qiu'shi'fan'xue'yuan
商丘市卫生学校,shang'qiu'shi'wei'sheng'xue'xiao
韶关大学,shao'guan'da'xue
绍兴文理学院,shao'xing'wen'li'xue'yuan
沈阳大学,shen'yang'da'xue
沈阳工程学院,shen'yang'gong'cheng'xue'yuan
沈阳工业大学,shen'yang'gong'ye'da'xue
沈阳航空工业学院,shen'yang'hang'kong'gong'ye'xue'yuan
沈阳化工学院,shen'yang'hua'gong'xue'yuan
沈阳建筑大学,shen'yang'jian'zhu'da'xue
沈阳理工大学,shen'yang'li'gong'da'xue
沈阳农业大学,shen'yang'nong'ye'da'xue
沈阳师范大学,shen'yang'shi'fan'da'xue
沈阳体育学院,shen'yang'ti'yu'xue'yuan
沈阳药科大学,shen'yang'yao'ke'da'xue
沈阳医学院,shen'yang'yi'xue'yuan
深圳大学,shen'zhen'da'xue
深圳职业技术学院,shen'zhen'zhi'ye'ji'shu'xue'yuan
石河子大学,shi'he'zi'da'xue
石家庄经济学院,shi'jia'zhuang'jing'ji'xue'yuan
石家庄铁道学院,shi'jia'zhuang'tie'dao'xue'yuan
石家庄学院,shi'jia'zhuang'xue'yuan
石家庄邮政高等专科学校,shi'jia'zhuang'you'zheng'gao'deng'zhuan'ke'xue'xiao
石家庄职业技术学院,shi'jia'zhuang'zhi'ye'ji'shu'xue'yuan
石油大学北京,shi'you'da'xue'bei'jing
石油大学华东,shi'you'da'xue'hua'dong
首都经济贸易大学,shou'du'jing'ji'mao'yi'da'xue
首都师范大学,shou'du'shi'fan'da'xue
首都医科大学,shou'du'yi'ke'da'xue
首钢工学院,shou'gang'gong'xue'yuan
四川大学,si'chuan'da'xue
四川电力职业技术学院,si'chuan'dian'li'zhi'ye'ji'shu'xue'yuan
四川建筑职业技术学院,si'chuan'jian'zhu'zhi'ye'ji'shu'xue'yuan
四川理工学院,si'chuan'li'gong'xue'yuan
四川美术学院,si'chuan'mei'shu'xue'yuan
四川农业大学,si'chuan'nong'ye'da'xue
四川烹饪高等专科学校,si'chuan'peng'ren'gao'deng'zhuan'ke'xue'xiao
四川师范大学,si'chuan'shi'fan'da'xue
四川外语学院,si'chuan'wai'yu'xue'yuan
四川音乐学院成都美术学院,si'chuan'yin'yue'xue'yuan'cheng'du'mei'shu'xue'yuan
四川职业技术学院,si'chuan'zhi'ye'ji'shu'xue'yuan
私立华联学院,si'li'hua'lian'xue'yuan
宿迁学院,su'qian'xue'yuan
苏州大学,su'zhou'da'xue
苏州工业园区职业技术学院,su'zhou'gong'ye'yuan'qu'zhi'ye'ji'shu'xue'yuan
苏州经贸职业技术学院,su'zhou'jing'mao'zhi'ye'ji'shu'xue'yuan
苏州科技学院,su'zhou'ke'ji'xue'yuan
宿州师范专科学校,su'zhou'shi'fan'zhuan'ke'xue'xiao
随州职业技术学院,sui'zhou'zhi'ye'ji'shu'xue'yuan
塔里木大学,ta'li'mu'da'xue
泰山学院,tai'shan'xue'yuan
泰山医学院,tai'shan'yi'xue'yuan
太原广播电视大学,tai'yuan'guang'bo'dian'shi'da'xue
太原科技大学,tai'yuan'ke'ji'da'xue
太原理工大学,tai'yuan'li'gong'da'xue
太原理工大学阳泉学院,tai'yuan'li'gong'da'xue'yang'quan'xue'yuan
台州广播电视大学,tai'zhou'guang'bo'dian'shi'da'xue
台州学院,tai'zhou'xue'yuan
泰州职业技术学院,tai'zhou'zhi'ye'ji'shu'xue'yuan
唐山师范学院,tang'shan'shi'fan'xue'yuan
天津财经学院,tian'jin'cai'jing'xue'yuan
天津城市建设学院,tian'jin'cheng'shi'jian'she'xue'yuan
天津大学,tian'jin'da'xue
天津工程师范学院,tian'jin'gong'cheng'shi'fan'xue'yuan
天津工业大学,tian'jin'gong'ye'da'xue
天津广播电视大学,tian'jin'guang'bo'dian'shi'da'xue
天津科技大学,tian'jin'ke'ji'da'xue
天津理工学院,tian'jin'li'gong'xue'yuan
天津美术学院,tian'jin'mei'shu'xue'yuan
天津农学院,tian'jin'nong'xue'yuan
天津轻工职业技术学院,tian'jin'qing'gong'zhi'ye'ji'shu'xue'yuan
天津商学院,tian'jin'shang'xue'yuan
天津商学院宝德职业技术学院,tian'jin'shang'xue'yuan'bao'de'zhi'ye'ji'shu'xue'yuan
天津师范大学,tian'jin'shi'fan'da'xue
天津体育学院,tian'jin'ti'yu'xue'yuan
天津外国语学院,tian'jin'wai'guo'yu'xue'yuan
天津医科大学,tian'jin'yi'ke'da'xue
天津音乐学院,tian'jin'yin'yue'xue'yuan
天津中医学院,tian'jin'zhong'yi'xue'yuan
天狮职业技术学院,tian'shi'zhi'ye'ji'shu'xue'yuan
天水师范学院,tian'shui'shi'fan'xue'yuan
同济大学,tong'ji'da'xue
铜陵学院,tong'ling'xue'yuan
外交学院,wai'jiao'xue'yuan
皖南医学院,wan'nan'yi'xue'yuan
皖西学院,wan'xi'xue'yuan
潍坊学院,wei'fang'xue'yuan
潍坊医学院,wei'fang'yi'xue'yuan
渭南师范学院,wei'nan'shi'fan'xue'yuan
文山师范高等专科学校,wen'shan'shi'fan'gao'deng'zhuan'ke'xue'xiao
温州大学,wen'zhou'da'xue
武汉船舶职业技术学院,wu'han'chuan'bo'zhi'ye'ji'shu'xue'yuan
武汉大学,wu'han'da'xue
武汉工交职业学院,wu'han'gong'jiao'zhi'ye'xue'yuan
武汉工业学院,wu'han'gong'ye'xue'yuan
武汉工业学院工商学院,wu'han'gong'ye'xue'yuan'gong'shang'xue'yuan
武汉化工学院,wu'han'hua'gong'xue'yuan
武汉科技大学,wu'han'ke'ji'da'xue
武汉科技学院,wu'han'ke'ji'xue'yuan
武汉理工大学,wu'han'li'gong'da'xue
武汉商业服务学院,wu'han'shang'ye'fu'wu'xue'yuan
武汉体育学院,wu'han'ti'yu'xue'yuan
武汉职业技术学院,wu'han'zhi'ye'ji'shu'xue'yuan
芜湖师范专科学校,wu'hu'shi'fan'zhuan'ke'xue'xiao
乌鲁木齐职业大学,wu'lu'mu'qi'zhi'ye'da'xue
无锡职业技术学院,wu'xi'zhi'ye'ji'shu'xue'yuan
五邑大学,wu'yi'da'xue
西安电子科技大学,xi'an'dian'zi'ke'ji'da'xue
西安工程科技学院,xi'an'gong'cheng'ke'ji'xue'yuan
西安工业学院,xi'an'gong'ye'xue'yuan
西安建筑科技大学,xi'an'jian'zhu'ke'ji'da'xue
西安交通大学,xi'an'jiao'tong'da'xue
西安科技大学,xi'an'ke'ji'da'xue
西安理工大学,xi'an'li'gong'da'xue
西安美术学院,xi'an'mei'shu'xue'yuan
西安培华学院,xi'an'pei'hua'xue'yuan
西安石油大学,xi'an'shi'you'da'xue
西安体育学院,xi'an'ti'yu'xue'yuan
西安外国语学院,xi'an'wai'guo'yu'xue'yuan
西安外事学院,xi'an'wai'shi'xue'yuan
西安音乐学院,xi'an'yin'yue'xue'yuan
西安邮电学院,xi'an'you'dian'xue'yuan
西北大学,xi'bei'da'xue
西北第二民族学院,xi'bei'di'er'min'zu'xue'yuan
西北工业大学,xi'bei'gong'ye'da'xue
西北民族大学,xi'bei'min'zu'da'xue
西北农林科技大学,xi'bei'nong'lin'ke'ji'da'xue
西北师范大学,xi'bei'shi'fan'da'xue
西北政法学院,xi'bei'zheng'fa'xue'yuan
西华大学,xi'hua'da'xue
西华师范大学,xi'hua'shi'fan'da'xue
西江大学,xi'jiang'da'xue
西南财经大学,xi'nan'cai'jing'da'xue
西南交通大学,xi'nan'jiao'tong'da'xue
西南科技大学,xi'nan'ke'ji'da'xue
西南林学院,xi'nan'lin'xue'yuan
西南民族大学,xi'nan'min'zu'da'xue
西南农业大学,xi'nan'nong'ye'da'xue
西南师范大学,xi'nan'shi'fan'da'xue
西南石油学院,xi'nan'shi'you'xue'yuan
西南政法大学,xi'nan'zheng'fa'da'xue
西双版纳职业技术学院,xi'shuang'ban'na'zhi'ye'ji'shu'xue'yuan
西藏大学,xi'zang'da'xue
厦门大学,xia'men'da'xue
咸宁师范高等专科学校咸宁学院,xian'ning'shi'fan'gao'deng'zhuan'ke'xue'xiao'xian'ning'xue'yuan
咸宁学院,xian'ning'xue'yuan
襄樊学院,xiang'fan'xue'yuan
湘南学院,xiang'nan'xue'yuan
湘潭大学,xiang'tan'da'xue
孝感学院,xiao'gan'xue'yuan
新疆财经学院,xin'jiang'cai'jing'xue'yuan
新疆大学,xin'jiang'da'xue
新疆工学院,xin'jiang'gong'xue'yuan
新疆机电职业技术学院,xin'jiang'ji'dian'zhi'ye'ji'shu'xue'yuan
新疆教育学院,xin'jiang'jiao'yu'xue'yuan
新疆农业大学,xin'jiang'nong'ye'da'xue
新疆农业职业技术学院,xin'jiang'nong'ye'zhi'ye'ji'shu'xue'yuan
新疆师范大学,xin'jiang'shi'fan'da'xue
新疆石油学院,xin'jiang'shi'you'xue'yuan
新疆医科大学,xin'jiang'yi'ke'da'xue
新疆艺术学院,xin'jiang'yi'shu'xue'yuan
新乡师范高等专科学校,xin'xiang'shi'fan'gao'deng'zhuan'ke'xue'xiao
新乡医学院,xin'xiang'yi'xue'yuan
信阳农业高等专科学校,xin'yang'nong'ye'gao'deng'zhuan'ke'xue'xiao
信阳师范学院,xin'yang'shi'fan'xue'yuan
星海音乐学院,xing'hai'yin'yue'xue'yuan
邢台学院,xing'tai'xue'yuan
邢台职业技术学院,xing'tai'zhi'ye'ji'shu'xue'yuan
许昌学院,xu'chang'xue'yuan
徐州工程学院,xu'zhou'gong'cheng'xue'yuan
徐州建筑职业技术学院,xu'zhou'jian'zhu'zhi'ye'ji'shu'xue'yuan
徐州教育学院,xu'zhou'jiao'yu'xue'yuan
徐州师范大学,xu'zhou'shi'fan'da'xue
徐州市广播电视大学,xu'zhou'shi'guang'bo'dian'shi'da'xue
徐州医学院,xu'zhou'yi'xue'yuan
延安大学,yan'an'da'xue
雁北师范学院,yan'bei'shi'fan'xue'yuan
延边大学,yan'bian'da'xue
延边科学技术大学,yan'bian'ke'xue'ji'shu'da'xue
盐城师范学院,yan'cheng'shi'fan'xue'yuan
燕山大学,yan'shan'da'xue
烟台大学,yan'tai'da'xue
烟台教育学院烟台电视大学,yan'tai'jiao'yu'xue'yuan'yan'tai'dian'shi'da'xue
烟台师范学院,yan'tai'shi'fan'xue'yuan
仰恩大学,yang'en'da'xue
扬州大学,yang'zhou'da'xue
扬州教育学院,yang'zhou'jiao'yu'xue'yuan
扬州职业大学,yang'zhou'zhi'ye'da'xue
应天学院,ying'tian'xue'yuan
玉林师范学院,yu'lin'shi'fan'xue'yuan
渝西学院,yu'xi'xue'yuan
运城学院,yun'cheng'xue'yuan
云南财贸学院,yun'nan'cai'mao'xue'yuan
云南大学,yun'nan'da'xue
云南公安高等专科学校,yun'nan'gong'an'gao'deng'zhuan'ke'xue'xiao
云南国土资源职业学院,yun'nan'guo'tu'zi'yuan'zhi'ye'xue'yuan
云南交通职业技术学院,yun'nan'jiao'tong'zhi'ye'ji'shu'xue'yuan
云南警官学院,yun'nan'jing'guan'xue'yuan
云南科技信息职业学院,yun'nan'ke'ji'xin'xi'zhi'ye'xue'yuan
云南民族学院,yun'nan'min'zu'xue'yuan
云南农业大学,yun'nan'nong'ye'da'xue
云南农业职业技术学院,yun'nan'nong'ye'zhi'ye'ji'shu'xue'yuan
云南师范大学,yun'nan'shi'fan'da'xue
云南艺术学院,yun'nan'yi'shu'xue'yuan
云南医学高等专科学校,yun'nan'yi'xue'gao'deng'zhuan'ke'xue'xiao
云南玉溪师范学院,yun'nan'yu'xi'shi'fan'xue'yuan
云南中医学院,yun'nan'zhong'yi'xue'yuan
郧阳医学院,yun'yang'yi'xue'yuan
枣庄学院,zao'zhuang'xue'yuan
湛江海洋大学,zhan'jiang'hai'yang'da'xue
湛江师范学院,zhan'jiang'shi'fan'xue'yuan
张家口医学院,zhang'jia'kou'yi'xue'yuan
肇庆学院原西江大学,zhao'qing'xue'yuan'yuan'xi'jiang'da'xue
浙江财经学院,zhe'jiang'cai'jing'xue'yuan
浙江传媒学院,zhe'jiang'chuan'mei'xue'yuan
浙江大学,zhe'jiang'da'xue
浙江大学城市学院,zhe'jiang'da'xue'cheng'shi'xue'yuan
浙江工业大学,zhe'jiang'gong'ye'da'xue
浙江广播电视大学,zhe'jiang'guang'bo'dian'shi'da'xue
浙江交通职业技术学院,zhe'jiang'jiao'tong'zhi'ye'ji'shu'xue'yuan
浙江科技学院,zhe'jiang'ke'ji'xue'yuan
浙江理工大学原浙江工程学院,zhe'jiang'li'gong'da'xue'yuan'zhe'jiang'gong'cheng'xue'yuan
浙江林学院,zhe'jiang'lin'xue'yuan
浙江万里学院,zhe'jiang'wan'li'xue'yuan
镇江市高等专科学校,zhen'jiang'shi'gao'deng'zhuan'ke'xue'xiao
郑州大学,zheng'zhou'da'xue
郑州大学升达经贸管理学院,zheng'zhou'da'xue'sheng'da'jing'mao'guan'li'xue'yuan
郑州大学西亚斯国际学院,zheng'zhou'da'xue'xi'ya'si'guo'ji'xue'yuan
郑州电力高等专科学校,zheng'zhou'dian'li'gao'deng'zhuan'ke'xue'xiao
郑州航空工业管理学院,zheng'zhou'hang'kong'gong'ye'guan'li'xue'yuan
郑州经贸职业学院,zheng'zhou'jing'mao'zhi'ye'xue'yuan
郑州牧业工程高等专科学校,zheng'zhou'mu'ye'gong'cheng'gao'deng'zhuan'ke'xue'xiao
郑州轻工业学院,zheng'zhou'qing'gong'ye'xue'yuan
中北大学,zhong'bei'da'xue
中国传媒大学,zhong'guo'chuan'mei'da'xue
中国地质大学,zhong'guo'di'zhi'da'xue
中国地质大学北京,zhong'guo'di'zhi'da'xue'bei'jing
中国防卫科技学院,zhong'guo'fang'wei'ke'ji'xue'yuan
中国海洋大学,zhong'guo'hai'yang'da'xue
中国计量学院,zhong'guo'ji'liang'xue'yuan
中国经营管理学院,zhong'guo'jing'ying'guan'li'xue'yuan
中国科学技术大学,zhong'guo'ke'xue'ji'shu'da'xue
中国科学技术大学苏州研究院,zhong'guo'ke'xue'ji'shu'da'xue'su'zhou'yan'jiu'yuan
中国矿业大学,zhong'guo'kuang'ye'da'xue
中国矿业大学北京校区,zhong'guo'kuang'ye'da'xue'bei'jing'xiao'qu
中国劳动关系学院,zhong'guo'lao'dong'guan'xi'xue'yuan
中国美术学院,zhong'guo'mei'shu'xue'yuan
中国民航飞行学院,zhong'guo'min'hang'fei'xing'xue'yuan
中国民用航空学院,zhong'guo'min'yong'hang'kong'xue'yuan
中国农业大学,zhong'guo'nong'ye'da'xue
中国青年政治学院,zhong'guo'qing'nian'zheng'zhi'xue'yuan
中国人民大学,zhong'guo'ren'min'da'xue
中国人民公安大学,zhong'guo'ren'min'gong'an'da'xue
中国人民解放军军需大学,zhong'guo'ren'min'jie'fang'jun'jun'xu'da'xue
中国人民解放军信息工程大学郑州,zhong'guo'ren'min'jie'fang'jun'xin'xi'gong'cheng'da'xue'zheng'zhou
中国人民武装警察部队学院,zhong'guo'ren'min'wu'zhuang'jing'cha'bu'dui'xue'yuan
中国协和医科大学,zhong'guo'xie'he'yi'ke'da'xue
中国刑事警察学院,zhong'guo'xing'shi'jing'cha'xue'yuan
中国烟草总公司郑州中等专业学校,zhong'guo'yan'cao'zong'gong'si'zheng'zhou'zhong'deng'zhuan'ye'xue'xiao
中国药科大学,zhong'guo'yao'ke'da'xue
中国医科大学,zhong'guo'yi'ke'da'xue
中国音乐学院,zhong'guo'yin'yue'xue'yuan
中国政法大学,zhong'guo'zheng'fa'da'xue
中华女子学院,zhong'hua'nv'zi'xue'yuan
仲恺农业技术学院,zhong'kai'nong'ye'ji'shu'xue'yuan
中南财经政法大学,zhong'nan'cai'jing'zheng'fa'da'xue
中南大学,zhong'nan'da'xue
中南林学院,zhong'nan'lin'xue'yuan
中南民族大学工商学院,zhong'nan'min'zu'da'xue'gong'shang'xue'yuan
中南民族大学原中南民族学院,zhong'nan'min'zu'da'xue'yuan'zhong'nan'min'zu'xue'yuan
中山大学,zhong'shan'da'xue
中山医科大学,zhong'shan'yi'ke'da'xue
中央财经大学,zhong'yang'cai'jing'da'xue
中央广播电视大学,zhong'yang'guang'bo'dian'shi'da'xue
中央民族大学,zhong'yang'min'zu'da'xue
中央戏剧学院,zhong'yang'xi'ju'xue'yuan
中央音乐学院,zhong'yang'yin'yue'xue'yuan
中原工学院,zhong'yuan'gong'xue'yuan
中州大学,zhong'zhou'da'xue
周口师范学院,zhou'kou'shi'fan'xue'yuan
周口职业技术学院,zhou'kou'zhi'ye'ji'shu'xue'yuan
株洲工学院,zhu'zhou'gong'xue'yuan
自贡师范高等专科学校,zi'gong'shi'fan'gao'deng'zhuan'ke'xue'xiao
