哀牢山三十六剑,ai'lao'shan'san'shi'liu'jian
黯然销魂掌,an'ran'xiao'hun'zhang
暗香疏影,an'xiang'shu'ying
獒口夺杖,ao'kou'duo'zhang
八方归元,ba'fang'gui'yuan
八卦刀,ba'gua'dao
八卦金刀,ba'gua'jin'dao
八卦门,ba'gua'men
八卦游龙掌,ba'gua'you'long'zhang
八卦游身掌,ba'gua'you'shen'zhang
八卦掌,ba'gua'zhang
八卦阵,ba'gua'zhen
八荒六合唯我独尊功,ba'huang'lu'he'wei'wo'du'zun'gong
八极门,ba'ji'men
八极拳,ba'ji'quan
八口山铭,ba'kou'shan'ming
八十一路三节棍,ba'shi'yi'lu'san'jie'gun
八十一路五虎刀,ba'shi'yi'lu'wu'hu'dao
八仙剑,ba'xian'jian
八仙剑法,ba'xian'jian'fa
八阵八卦掌,ba'zhen'ba'gua'zhang
百变千幻衡山云雾十三式,bai'bian'qian'huan'heng'shan'yun'wu'shi'san'shi
白鹤亮翅,bai'he'liang'chi
白虹贯日,bai'hong'guan'ri
白虎跳涧,bai'hu'tiao'jian
百花错拳,bai'hua'cuo'quan
白蟒鞭,bai'mang'bian
百年炼狱,bai'nian'lian'yu
百胜软鞭,bai'sheng'ruan'bian
白世镜,bai'shi'jing
白驼雪山掌,bai'tuo'xue'shan'zhang
白云苍狗,bai'yun'cang'gou
白云出岫,bai'yun'chu'xiu
百丈飞瀑,bai'zhang'fei'pu
棒打狗头,bang'da'gou'tou
棒打双犬,bang'da'shuang'quan
傍花拂柳,bang'hua'fu'liu
抱残式,bao'can'shi
抱虎归山,bao'hu'gui'shan
宝灵拳,bao'ling'quan
豹尾脚,bao'wei'jiao
鲍鱼之肆,bao'yu'zhi'si
北斗大阵,bei'dou'da'zhen
贝海石,bei'hai'shi
北冥神功,bei'ming'shen'gong
北渔拓跋氏,bei'yu'tuo'ba'shi
辟邪剑法,bi'xie'jian'fa
碧渊腾蛟,bi'yuan'teng'jiao
碧针清掌,bi'zhen'qing'zhang
冰河倒泻,bing'he'dao'xie
冰河开冻,bing'he'kai'dong
拨草寻蛇,bo'cao'xun'she
拨狗朝天,bo'gou'chao'tian
渤海派,bo'hai'pai
波罗密手,bo'luo'mi'shou
般若掌,bo're'zhang
拨云见日,bo'yun'jian'ri
捕风式,bu'feng'shi
采燕功,cai'yan'gong
参合指,can'he'zhi
藏刀式,cang'dao'shi
苍松迎客,cang'song'ying'ke
曹令割鼻,cao'ling'ge'bi
查拳,cha'quan
柴刀十八路,chai'dao'shi'ba'lu
缠丝擒拿手,chan'si'qin'na'shou
长安一片月,chang'an'yi'pian'yue
长拳十段锦,chang'quan'shi'duan'jin
常山蛇势,chang'shan'she'shi
长苇渡江,chang'wei'du'jiang
长啸雁落,chang'xiao'yan'luo
陈近南,chen'jin'nan
成昆,cheng'kun
城字十八破,cheng'zi'shi'ba'po
池边调鹤,chi'bian'tiao'he
池潢不敢顾,chi'huang'bu'gan'gu
赤尻连拳,chi'kao'lian'quan
赤日炎炎,chi'ri'yan'yan
炽翼千羽,chi'yi'qian'yu
赤月血祭,chi'yue'xue'ji
赤月血魔剑,chi'yue'xue'mo'jian
冲灵剑法,chong'ling'jian'fa
冲阵斩将,chong'zhen'zhan'jiang
处处鸟衔飞,chu'chu'niao'xian'fei
穿针引线,chuan'zhen'yin'xian
闯少林,chuang'shao'lin
春蚕掌法,chun'can'zhang'fa
纯阳无极功,chun'yang'wu'ji'gong
春云乍展,chun'yun'zha'zhan
慈悲刀,ci'bei'dao
摧心掌,cui'xin'zhang
大风云飞掌,da'feng'yun'fei'zhang
大伏魔拳法,da'fu'mo'quan'fa
打狗棒法,da'gou'bang'fa
打狗入洞,da'gou'ru'dong
大海沉沙,da'hai'chen'sha
大金刚拳,da'jin'gang'quan
大金刚掌,da'jin'gang'zhang
大理段氏,da'li'duan'shi
大力鹰爪功,da'li'ying'zhao'gong
大漠飞沙,da'mo'fei'sha
大漠孤烟,da'mo'gu'yan
达魔剑,da'mo'jian
达摩剑,da'mo'jian
达摩剑术,da'mo'jian'shu
大漠平沙,da'mo'ping'sha
达摩掌,da'mo'zhang
大擒拿手,da'qin'na'shou
大摔碑手,da'shuai'bei'shou
大嵩阳神掌,da'song'yang'shen'zhang
大韦陀杵,da'wei'tuo'chu
大夜叉棍,da'ye'cha'gun
大智无定指,da'zhi'wu'ding'zhi
呆若木鸡,dai'ruo'mu'ji
岱宗如何,dai'zong'ru'he
单鞭,dan'bian
丹青生,dan'qing'sheng
弹腿,dan'tui
当头棒喝,dang'tou'bang'he
刀剑如梦,dao'jian'ru'meng
到江吴地尽,dao'jiang'wu'di'jin
倒提金钟,dao'ti'jin'zhong
倒行逆施,dao'xing'ni'shi
捣虚式,dao'xu'shi
登嵩望月,deng'song'wang'yue
地火功,di'huo'gong
狄青降龙,di'qing'xiang'long
地堂刀法,di'tang'dao'fa
羝羊触蕃,di'yang'chu'bo
地藏颂经,di'zang'song'jing
点苍剑法,dian'cang'jian'fa
点苍派,dian'cang'pai
电母照镜,dian'mu'zhao'jing
貂蝉拜月,diao'chan'bai'yue
吊客临门,diao'ke'lin'men
叠翠浮青,die'cui'fu'qing
丁坚,ding'jian
定判生死,ding'pan'sheng'si
定阳针,ding'yang'zhen
斗转星移,dou'zhuan'xing'yi
独臂刀法,du'bi'dao'fa
独孤九剑,du'gu'jiu'jian
独孤求败,du'gu'qiu'bai
毒龙鞭法,du'long'bian'fa
端木氏赤焰洞,duan'mu'shi'chi'yan'dong
多罗叶指,duo'luo'ye'zhi
夺命连环三仙剑,duo'ming'lian'huan'san'xian'jian
夺魄指,duo'po'zhi
鄂北鬼见愁锺家,e'bei'gui'jian'chou'zhong'jia
恶虎拦路,e'hu'lan'lu
峨嵋剑法,e'mei'jian'fa
峨嵋九阳功,e'mei'jiu'yang'gong
峨嵋派,e'mei'pai
恶魔火神剑,e'mo'huo'shen'jian
恶犬拦路,e'quan'lan'lu
二十八招石鼓打穴笔法,er'shi'ba'zhao'shi'gu'da'xue'bi'fa
梵光初现,fan'guang'chu'xian
反截狗臀,fan'jie'gou'tun
饭来伸手,fan'lai'shen'shou
反两仪刀法,fan'liang'yi'dao'fa
飞凤手,fei'feng'shou
飞花落叶,fei'hua'luo'ye
飞龙在天,fei'long'zai'tian
废寝忘食,fei'qin'wang'shi
飞沙走石,fei'sha'zou'shi
飞天神行,fei'tian'shen'xing
飞絮劲,fei'xu'jing
飞燕穿柳,fei'yan'chuan'liu
飞燕回翔,fei'yan'hui'xiang
分花拂柳,fen'hua'fu'liu
分筋错骨手,fen'jin'cuo'gu'shou
封不平,feng'bu'ping
凤点头,feng'dian'tou
峰回路转,feng'hui'lu'zhuan
风卷长草,feng'juan'zhang'cao
疯魔杖法,feng'mo'zhang'fa
风轻云淡,feng'qing'yun'dan
凤曲长鸣,feng'qu'chang'ming
风沙莽莽,feng'sha'mang'mang
封豕长蛇,feng'shi'chang'she
风云三使,feng'yun'san'shi
拂尘拂法,fu'chen'fu'fa
伏虎拳,fu'hu'quan
伏虎掌,fu'hu'zhang
伏魔剑,fu'mo'jian
伏魔杖法,fu'mo'zhang'fa
伏牛派,fu'niu'pai
夫妻刀法,fu'qi'dao'fa
抚琴按箫,fu'qin'an'xiao
抚琴式,fu'qin'shi
浮丘挹袖,fu'qiu'yi'xiu
芙蓉剑法,fu'rong'jian'fa
芙蓉金针,fu'rong'jin'zhen
伏狮胜象,fu'shi'sheng'xiang
俯听闻惊风,fu'ting'wen'jing'feng
负子渡河,fu'zi'du'he
丐帮,gai'bang
罡风扫叶,gang'feng'sao'ye
高探马,gao'tan'ma
隔岸越山多,ge'an'yue'shan'duo
钩弋握拳,gou'yi'wo'quan
古笃诚,gu'du'cheng
孤鸿海上来,gu'hong'hai'shang'lai
古木丛青霭,gu'mu'cong'qing'ai
古墓派,gu'mu'pai
孤萍对月,gu'ping'dui'yue
鼓瑟式,gu'se'shi
姑苏慕容,gu'su'mu'rong
孤形只影,gu'xing'zhi'ying
关冲剑,guan'chong'jian
广西黎山洞黎老汉,guang'xi'li'shan'dong'li'lao'han
贵妃回眸,gui'fei'hui'mou
贵妃醉酒,gui'fei'zui'jiu
过眼云烟,guo'yan'yun'yan
蛤蟆功,ha'ma'gong
海市蜃楼,hai'shi'shen'lou
韩宝驹,han'bao'ju
寒冰绵掌,han'bing'mian'zhang
寒冰神掌,han'bing'shen'zhang
寒梅剑阵,han'mei'jian'zhen
韩小莹,han'xiao'ying
河北沧州郑家,he'bei'cang'zhou'zheng'jia
鹤飞九天,he'fei'jiu'tian
鹤蛇八打,he'she'ba'da
河朔立威,he'shuo'li'wei
何铁手,he'tie'shou
鹤翔紫盖,he'xiang'zi'gai
