白帽镇,bai'mao'zhen
包家乡,bao'jia'xiang
菖蒲镇,chang'pu'zhen
店前镇,dian'qian'zhen
古坊乡,gu'fang'xiang
和平乡,he'ping'xiang
河图镇,he'tu'zhen
黄尾镇,huang'wei'zhen
来榜镇,lai'bang'zhen
莲去乡,lian'qu'xiang
毛尖山乡,mao'jian'shan'xiang
青天乡,qing'tian'xiang
石关乡,shi'guan'xiang
天堂镇,tian'tang'zhen
田头乡,tian'tou'xiang
头陀镇,tou'tuo'zhen
魏岭乡,wei'ling'xiang
温泉镇,wen'quan'zhen
五河镇,wu'he'zhen
响肠镇,xiang'chang'zhen
姚河乡,yao'he'xiang
冶溪镇,ye'xi'zhen
中关乡,zhong'guan'xiang
主薄镇,zhu'bo'zhen
