艾儿,ai'er
昂扬,ang'yang
八方玄冰,ba'fang'xuan'bing
霸气,ba'qi
巴蜀,ba'shu
百裂连棍,bai'lie'lian'gun
白凌,bai'ling
白铁刀,bai'tie'dao
白铁斧,bai'tie'fu
白铁钺,bai'tie'yue
白原,bai'yuan
般兵器,ban'bing'qi
半月斩,ban'yue'zhan
暴雨梨花,bao'yu'li'hua
镔铁锤,bin'tie'chui
镔铁护腿,bin'tie'hu'tui
镔铁戟,bin'tie'ji
镔铁甲,bin'tie'jia
镔铁锏,bin'tie'jian
镔铁肩甲,bin'tie'jian'jia
镔铁枪,bin'tie'qiang
镔铁镗,bin'tie'tang
冰刺,bing'ci
冰甲术,bing'jia'shu
兵器商,bing'qi'shang
兵器师,bing'qi'shi
冰雨术,bing'yu'shu
兵种,bing'zhong
布护腕,bu'hu'wan
采集师,cai'ji'shi
仓库老板,cang'ku'lao'ban
曹操,cao'cao
草莽英雄,cao'mang'ying'xiong
草鞋,cao'xie
长虹贯日,chang'hong'guan'ri
长木刀,chang'mu'dao
常山居民,chang'shan'ju'min
陈琳,chen'lin
陈牧,chen'mu
沉木锤,chen'mu'chui
沉思漫步的大象,chen'si'man'bu'de'da'xiang
陈文君,chen'wen'jun
陈嫣然,chen'yan'ran
乘风刺,cheng'feng'ci
赤壁,chi'bi
赤铁钩,chi'tie'gou
赤铁护腿,chi'tie'hu'tui
赤铁甲,chi'tie'jia
赤铁肩甲,chi'tie'jian'jia
赤铁履,chi'tie'lv
赤铁镯,chi'tie'zhuo
绸缎披肩,chou'duan'pi'jian
绸缎裙,chou'duan'qun
绸缎裳,chou'duan'shang
楚源,chu'yuan
穿云击,chuan'yun'ji
锤兵,chui'bing
锤将,chui'jiang
锤骑,chui'qi
锤神,chui'shen
锤圣,chui'sheng
锤尉,chui'wei
淳于琼,chun'yu'qiong
粗布裤,cu'bu'ku
粗布裙,cu'bu'qun
粗布裳,cu'bu'shang
粗布衣,cu'bu'yi
大开大阖,da'kai'da'he
大木盾,da'mu'dun
待伏,dai'fu
戴元,dai'yuan
当头斧,dang'tou'fu
刀兵,dao'bing
刀魂,dao'hun
刀将,dao'jiang
刀骑,dao'qi
刀神,dao'shen
刀圣,dao'sheng
刀尉,dao'wei
地宫,di'gong
东方若,dong'fang'ruo
东风酒肆,dong'feng'jiu'si
杜憧,du'chong
断月斩,duan'yue'zhan
盾兵,dun'bing
盾将,dun'jiang
盾骑,dun'qi
盾王,dun'wang
盾尉,dun'wei
盾仙,dun'xian
范程,fan'cheng
贩马商人,fan'ma'shang'ren
飞鸿袭,fei'hong'xi
飞燕闪,fei'yan'shan
奋勇,fen'yong
封喉刺,feng'hou'ci
风火轮,feng'huo'lun
逢纪,feng'ji
风甲术,feng'jia'shu
风卷残云,feng'juan'can'yun
风球,feng'qiu
风弹,feng'tan
风袭术,feng'xi'shu
风行,feng'xing
副本,fu'ben
斧兵,fu'bing
斧将,fu'jiang
斧骑,fu'qi
斧神,fu'shen
斧王,fu'wang
斧尉,fu'wei
符文,fu'wen
斧意,fu'yi
傅羽,fu'yu
符玉,fu'yu
辅佐,fu'zuo
甘始,gan'shi
高良,gao'liang
高升,gao'sheng
高鹰,gao'ying
格挡,ge'dang
攻击,gong'ji
弓将,gong'jiang
弓骑,gong'qi
弓神,gong'shen
弓手,gong'shou
公孙不平,gong'sun'bu'ping
弓王,gong'wang
弓尉,gong'wei
弓意,gong'yi
苟安,gou'an
钩豪,gou'hao
钩客,gou'ke
钩神,gou'shen
钩士,gou'shi
钩王,gou'wang
钩侠,gou'xia
古木杖,gu'mu'zhang
官阶,guan'jie
贯矢射,guan'shi'she
关中,guan'zhong
广川县尉,guang'chuan'xian'wei
棍兵,gun'bing
棍魂,gun'hun
棍将,gun'jiang
棍骑,gun'qi
棍王,gun'wang
棍尉,gun'wei
棍仙,gun'xian
郭虎,guo'hu
郭图,guo'tu
郭威,guo'wei
郭芸,guo'yun
国战,guo'zhan
韩猛,han'meng
韩英,han'ying
韩忠,han'zhong
河北名将,he'bei'ming'jiang
河北谋士,he'bei'mou'shi
河北舞师坊主,he'bei'wu'shi'fang'zhu
河北隐士,he'bei'yin'shi
黑市伤人,hei'shi'shang'ren
黑铁鞋,hei'tie'xie
横抡,heng'lun
横扫,heng'sao
横扫千军,heng'sao'qian'jun
护具商,hu'ju'shang
护具师,hu'ju'shi
护体,hu'ti
护卫,hu'wei
弧月斩,hu'yue'zhan
华彩带,hua'cai'dai
花纹扇,hua'wen'shan
环魂,huan'hun
环将,huan'jiang
环圣,huan'sheng
环士,huan'shi
环手,huan'shou
环侠,huan'xia
环仙,huan'xian
皇甫暄,huang'fu'xuan
黄巾,huang'jin
挥砍,hui'kan
回马枪,hui'ma'qiang
