阿金沟,a'jin'gou
劳动公园,lao'dong'gong'yuan
老虎台,lao'hu'tai
老虎台矿前,lao'hu'tai'kuang'qian
老虎台邮局,lao'hu'tai'you'ju
雷锋储蓄所,lei'feng'chu'xu'suo
雷锋纪念馆,lei'feng'ji'nian'guan
雷锋路,lei'feng'lu
雷锋路东段,lei'feng'lu'dong'duan
雷锋体育场,lei'feng'ti'yu'chang
雷锋小学,lei'feng'xiao'xue
丽华社区,li'hua'she'qu
立交桥西,li'jiao'qiao'xi
李石集,li'shi'ji
李石桥东,li'shi'qiao'dong
李石桥西,li'shi'qiao'xi
李石市场,li'shi'shi'chang
丽园小区,li'yuan'xiao'qu
栗子沟,li'zi'gou
炼油厂,lian'you'chang
粮栈路东,liang'zhan'lu'dong
粮栈路西,liang'zhan'lu'xi
辽电,liao'dian
辽阳路东,liao'yang'lu'dong
辽阳路西,liao'yang'lu'xi
辽中街,liao'zhong'jie
六道街,liu'dao'jie
柳河街,liu'he'jie
柳河街北,liu'he'jie'bei
柳河街南,liu'he'jie'nan
琉璃瓦厂,liu'li'wa'chang
刘山,liu'shan
刘山二街,liu'shan'er'jie
刘山社区,liu'shan'she'qu
隆城街,long'cheng'jie
隆城街北,long'cheng'jie'bei
隆城街南,long'cheng'jie'nan
龙凤,long'feng
龙凤北门,long'feng'bei'men
龙凤路,long'feng'lu
马架子,ma'jia'zi
煤都路,mei'du'lu
梅河路,mei'he'lu
煤校,mei'xiao
民主路,min'zhu'lu
莫地,mo'di
莫地沟,mo'di'gou
木兰街,mu'lan'jie
耐火厂,nai'huo'chang
南昌路,nan'chang'lu
南沟,nan'gou
南关,nan'guan
南花园,nan'hua'yuan
南花园街,nan'hua'yuan'jie
南花园邮局,nan'hua'yuan'you'ju
南台一路,nan'tai'yi'lu
南阳路,nan'yang'lu
南阳小区,nan'yang'xiao'qu
南站,nan'zhan
脑科医院,nao'ke'yi'yuan
宁远街,ning'yuan'jie
农贸市场,nong'mao'shi'chang
盘北社区,pan'bei'she'qu
盘南路,pan'nan'lu
盘南路西,pan'nan'lu'xi
瓢屯儿,piao'tun'er
平山东街,ping'shan'dong'jie
平山纪念馆,ping'shan'ji'nian'guan
平山街,ping'shan'jie
平山南街,ping'shan'nan'jie
平山小区,ping'shan'xiao'qu
七百商店,qi'bai'shang'dian
汽车学校,qi'che'xue'xiao
汽贸公司,qi'mao'gong'si
七中,qi'zhong
起重机,qi'zhong'ji
乾安街,qian'an'jie
前大西路,qian'da'xi'lu
前大西路东,qian'da'xi'lu'dong
前邓,qian'deng
前甸,qian'dian
前甸乡政府,qian'dian'xiang'zheng'fu
前甸中心小学,qian'dian'zhong'xin'xiao'xue
前葛,qian'ge
前葛前街,qian'ge'qian'jie
千户村,qian'hu'cun
千金堡,qian'jin'bao
千金乡政府,qian'jin'xiang'zheng'fu
千台街,qian'tai'jie
千台山,qian'tai'shan
千台西,qian'tai'xi
前延路东,qian'yan'lu'dong
前延路西,qian'yan'lu'xi
青台子,qing'tai'zi
三宝屯,san'bao'tun
三道街,san'dao'jie
三角线,san'jiao'xian
三十八中学,san'shi'ba'zhong'xue
三十四中,san'shi'si'zhong
沈抚新城管委会,shen'fu'xin'cheng'guan'wei'hui
沈阳理工技术学院,shen'yang'li'gong'ji'shu'xue'yuan
盛城街北,sheng'cheng'jie'bei
胜利开发区,sheng'li'kai'fa'qu
胜利养老院,sheng'li'yang'lao'yuan
市城建局,shi'cheng'jian'ju
十道街,shi'dao'jie
十二道街,shi'er'dao'jie
十二中,shi'er'zhong
石化大学,shi'hua'da'xue
石化总医院,shi'hua'zong'yi'yuan
石家堡,shi'jia'bao
施家沟,shi'jia'gou
施家桥,shi'jia'qiao
施家小区,shi'jia'xiao'qu
市检测中心,shi'jian'ce'zhong'xin
市交警支队,shi'jiao'jing'zhi'dui
市疗养院,shi'liao'yang'yuan
市肉联厂,shi'rou'lian'chang
十三道街,shi'san'dao'jie
市水务局,shi'shui'wu'ju
市体训中心,shi'ti'xun'zhong'xin
市委,shi'wei
市委党校,shi'wei'dang'xiao
十五中,shi'wu'zhong
十五中学,shi'wu'zhong'xue
实验小学,shi'yan'xiao'xue
十一厂,shi'yi'chang
十一道街,shi'yi'dao'jie
石油大学,shi'you'da'xue
石油二厂,shi'you'er'chang
石油机械厂,shi'you'ji'xie'chang
石油三厂,shi'you'san'chang
石油研究院,shi'you'yan'jiu'yuan
石油医院,shi'you'yi'yuan
市政府,shi'zheng'fu
十中,shi'zhong
市中心医院,shi'zhong'xin'yi'yuan
师专,shi'zhuan
师专附中,shi'zhuan'fu'zhong
枢纽站,shu'niu'zhan
双阳街,shuang'yang'jie
双阳街北,shuang'yang'jie'bei
双阳路东,shuang'yang'lu'dong
双阳路西,shuang'yang'lu'xi
双阳路中,shuang'yang'lu'zhong
水泥厂,shui'ni'chang
顺安路,shun'an'lu
顺城路,shun'cheng'lu
顺城路中段,shun'cheng'lu'zhong'duan
顺城区政府,shun'cheng'qu'zheng'fu
顺城区中心医院,shun'cheng'qu'zhong'xin'yi'yuan
顺城中心医院,shun'cheng'zhong'xin'yi'yuan
顺大街,shun'da'jie
顺飞广场,shun'fei'guang'chang
顺合,shun'he
四方高中,si'fang'gao'zhong
四十五中,si'shi'wu'zhong
四十五中学,si'shi'wu'zhong'xue
四十一中,si'shi'yi'zhong
塔湾,ta'wan
塔峪,ta'yu
台安街,tai'an'jie
台东花园,tai'dong'hua'yuan
台南嘉苑,tai'nan'jia'yuan
台南嘉苑东门,tai'nan'jia'yuan'dong'men
台南嘉苑南门,tai'nan'jia'yuan'nan'men
台南嘉苑西门,tai'nan'jia'yuan'xi'men
炭黑厂,tan'hei'chang
唐力,tang'li
腾达洗煤厂,teng'da'xi'mei'chang
体育场,ti'yu'chang
体育场南门,ti'yu'chang'nan'men
体育馆,ti'yu'guan
天城街,tian'cheng'jie
天湖桥北,tian'hu'qiao'bei
田屯,tian'tun
田屯东,tian'tun'dong
田屯西,tian'tun'xi
万科金城蓝湾东,wan'ke'jin'cheng'lan'wan'dong
万新街,wan'xin'jie
万新街北,wan'xin'jie'bei
万新街南,wan'xin'jie'nan
望花大街,wang'hua'da'jie
望花大街南段,wang'hua'da'jie'nan'duan
望花区政府,wang'hua'qu'zheng'fu
旺历城,wang'li'cheng
五道街,wu'dao'jie
武功街,wu'gong'jie
武家街,wu'jia'jie
五老东路,wu'lao'dong'lu
五老街,wu'lao'jie
五老屯,wu'lao'tun
五老新区,wu'lao'xin'qu
西丰,xi'feng
西丰街,xi'feng'jie
西葛,xi'ge
洗化厂,xi'hua'chang
西七路,xi'qi'lu
西三街,xi'san'jie
西三街南,xi'san'jie'nan
西山头,xi'shan'tou
西十路东,xi'shi'lu'dong
西十路西,xi'shi'lu'xi
西五街,xi'wu'jie
西一路,xi'yi'lu
下洼子,xia'wa'zi
新城街,xin'cheng'jie
新城路,xin'cheng'lu
新城路东,xin'cheng'lu'dong
新城桥,xin'cheng'qiao
新村,xin'cun
新村商店,xin'cun'shang'dian
新地号,xin'di'hao
新抚区政府,xin'fu'qu'zheng'fu
新钢,xin'gang
新钢医院,xin'gang'yi'yuan
新华大街,xin'hua'da'jie
新华桥,xin'hua'qiao
新华桥南,xin'hua'qiao'nan
新区,xin'qu
新生桥,xin'sheng'qiao
新太河,xin'tai'he
新泰西街,xin'tai'xi'jie
新屯公园,xin'tun'gong'yuan
新屯街,xin'tun'jie
新屯桥,xin'tun'qiao
新屯商场,xin'tun'shang'chang
新屯西街,xin'tun'xi'jie
新屯小区,xin'tun'xiao'qu
幸福院,xing'fu'yuan
星光路,xing'guang'lu
刑警队,xing'jing'dui
行政服务中心,xing'zheng'fu'wu'zhong'xin
修配厂,xiu'pei'chang
演武,yan'wu
演武街,yan'wu'jie
演武商店,yan'wu'shang'dian
演武医院,yan'wu'yi'yuan
阳光丽景,yang'guang'li'jing
养老院,yang'lao'yuan
腰堡,yao'bao
姚才,yao'cai
窑地,yao'di
一道街,yi'dao'jie
移动公司,yi'dong'gong'si
亿峰国际,yi'feng'guo'ji
亦工街,yi'gong'jie
乙烯厂,yi'xi'chang
乙烯体育馆,yi'xi'ti'yu'guan
迎宾大街,ying'bin'da'jie
迎宾街,ying'bin'jie
营口路西段,ying'kou'lu'xi'duan
营口路中段,ying'kou'lu'zhong'duan
英石岭西,ying'shi'ling'xi
永安路,yong'an'lu
永安桥,yong'an'qiao
永安桥北,yong'an'qiao'bei
