奥创,ao'chuang
变身巨人,bian'shen'ju'ren
变种人,bian'zhong'ren
变种人兄弟会,bian'zhong'ren'xiong'di'hui
布鲁斯班纳,bu'lu'si'ban'na
操纵物体,cao'zong'wu'ti
超胆侠,chao'dan'xia
超高智能进化机器人,chao'gao'zhi'neng'jin'hua'ji'qi'ren
超音速移动,chao'yin'su'yi'dong
惩罚者,cheng'fa'zhe
刀锋战士,dao'feng'zhan'shi
电视剧,dian'shi'ju
盾牌,dun'pai
恶灵骑士,e'ling'qi'shi
发射激光,fa'she'ji'guang
反派人物,fan'pai'ren'wu
绯红女巫,fei'hong'nv'wu
复仇者联盟,fu'chou'zhe'lian'meng
钢铁侠,gang'tie'xia
钢铁侠女友,gang'tie'xia'nv'you
钢铁侠战衣,gang'tie'xia'zhan'yi
格斗,ge'dou
弓箭,gong'jian
黑寡妇,hei'gua'fu
红骷髅,hong'ku'lou
幻视侠,huan'shi'xia
毁灭博士,hui'mie'bo'shi
混沌魔法,hun'dun'mo'fa
机械飞行翼,ji'xie'fei'xing'yi
箭术,jian'shu
杰瑞米雷纳,jie'rui'mi'lei'na
金刚狼,jin'gang'lang
惊奇女士,jing'qi'nv'shi
精通多种语言,jing'tong'duo'zhong'yu'yan
开启任意空间,kai'qi'ren'yi'kong'jian
克莱特巴顿,ke'lai'te'ba'dun
克里斯埃文斯,ke'li'si'ai'wen'si
克里斯海姆斯沃斯,ke'li'si'hai'mu'si'wo'si
寇碧史莫德斯,kou'bi'shi'mo'de'si
快银,kuai'yin
雷电,lei'dian
雷神,lei'shen
雷神之锤,lei'shen'zhi'chui
利维坦,li'wei'tan
洛基,luo'ji
洛基劳斐森,luo'ji'lao'fei'sen
绿巨人,lv'ju'ren
绿巨人浩克,lv'ju'ren'hao'ke
玛格达埃森哈特,ma'ge'da'ai'sen'ha'te
马克鲁弗洛,ma'ke'lu'fu'luo
满大人,man'da'ren
美国队长,mei'guo'dui'zhang
美国陆军,mei'guo'lu'jun
迷惑敌人,mi'huo'di'ren
娜塔莎罗曼诺夫,na'ta'sha'luo'man'nuo'fu
尼古拉斯约瑟夫弗瑞,ni'gu'la'si'yue'se'fu'fu'rui
尼克弗瑞,ni'ke'fu'rui
女招待,nv'zhao'dai
齐塔瑞人,qi'ta'rui'ren
塞缪尔杰克逊,sai'miu'er'jie'ke'xun
神盾局,shen'dun'ju
神盾局九级特工,shen'dun'ju'jiu'ji'te'gong
神盾局局长,shen'dun'ju'ju'zhang
神盾局特工,shen'dun'ju'te'gong
神奇四侠,shen'qi'si'xia
神速,shen'su
身体密度控制,shen'ti'mi'du'kong'zhi
史蒂芬罗杰斯,shi'di'fen'luo'jie'si
十级特工,shi'ji'te'gong
手枪,shou'qiang
斯嘉丽约翰逊,si'jia'li'yue'han'xun
索尔奥丁森,suo'er'ao'ding'sen
汤姆希德勒斯顿,tang'mu'xi'de'le'si'dun
特工卡特,te'gong'ka'te
团体名称,tuan'ti'ming'cheng
托尼斯塔克,tuo'ni'si'ta'ke
万磁王,wan'ci'wang
伪装,wei'zhuang
无敌浩克,wu'di'hao'ke
无坚不摧,wu'jian'bu'cui
物理学家,wu'li'xue'jia
巫术,wu'shu
小辣椒,xiao'la'jiao
小罗伯特唐尼,xiao'luo'bo'te'tang'ni
邪神洛基,xie'shen'luo'ji
邪神权杖,xie'shen'quan'zhang
心理对抗,xin'li'dui'kang
伊丽莎白奥尔森,yi'li'sha'bai'ao'er'sen
议员,yi'yuan
银河护卫队,yin'he'hu'wei'dui
鹰眼,ying'yan
与鸟类沟通,yu'niao'lei'gou'tong
宇宙魔方研究者,yu'zhou'mo'fang'yan'jiu'zhe
制造幻象,zhi'zao'huan'xiang
蜘蛛侠,zhi'zhu'xia
著名英雄,zhu'ming'ying'xiong
