阿贝比长原理,a'bei'bi'chang'yuan'li
阿达马变换,a'da'ma'bian'huan
曝光,bao'guang
被动式传感器,bei'dong'shi'chuan'gan'qi
被动式遥感,bei'dong'shi'yao'gan
贝叶斯分类,bei'ye'si'fen'lei
比例增强,bi'li'zeng'qiang
比值变换,bi'zhi'bian'huan
变换光束测图,bian'huan'guang'shu'ce'tu
边缘检测,bian'yuan'jian'ce
边缘增强,bian'yuan'zeng'qiang
标准配置点,biao'zhun'pei'zhi'dian
波罗一科普原理,bo'luo'yi'ke'pu'yuan'li
波谱测定仪,bo'pu'ce'ding'yi
波谱集群,bo'pu'ji'qun
波谱特征空间,bo'pu'te'zheng'kong'jian
波谱特征曲线,bo'pu'te'zheng'qu'xian
波谱响应曲线,bo'pu'xiang'ying'qu'xian
彩色变换,cai'se'bian'huan
彩色编码,cai'se'bian'ma
彩色感光材料,cai'se'gan'guang'cai'liao
彩色合成仪,cai'se'he'cheng'yi
彩色红外片,cai'se'hong'wai'pian
彩色片,cai'se'pian
彩色摄影,cai'se'she'ying
彩色增强,cai'se'zeng'qiang
彩色坐标系,cai'se'zuo'biao'xi
采样,cai'yang
采样间隔,cai'yang'jian'ge
参照数据,can'zhao'shu'ju
测距雷达,ce'ju'lei'da
侧视雷达,ce'shi'lei'da
测图卫星,ce'tu'wei'xing
测微密度计,ce'wei'mi'du'ji
超焦点距离,chao'jiao'dian'ju'li
超近摄影测量,chao'jin'she'ying'ce'liang
成象雷达,cheng'xiang'lei'da
垂核面,chui'he'mian
垂核线,chui'he'xian
粗差检测,cu'cha'jian'ce
大气传输特性,da'qi'chuan'shu'te'xing
大气窗,da'qi'chuang
大气透过率,da'qi'tou'guo'lv
大气噪声,da'qi'zao'sheng
大象幅摄影机,da'xiang'fu'she'ying'ji
弹道摄影测量,dan'dao'she'ying'ce'liang
弹道摄影机,dan'dao'she'ying'ji
等比线,deng'bi'xian
等偏摄影,deng'pian'she'ying
等倾摄影,deng'qing'she'ying
低倍放大摄影,di'bei'fang'da'she'ying
地底点,di'di'dian
地面接收站,di'mian'jie'shou'zhan
地面摄谱仪,di'mian'she'pu'yi
地面摄影测量,di'mian'she'ying'ce'liang
地面摄影机,di'mian'she'ying'ji
地面实况,di'mian'shi'kuang
地面照度,di'mian'zhao'du
地平线摄影机,di'ping'xian'she'ying'ji
地平线像片,di'ping'xian'xiang'pian
地球同步卫星,di'qiu'tong'bu'wei'xing
地球资源卫星,di'qiu'zi'yuan'wei'xing
地物波谱特性,di'wu'bo'pu'te'xing
电磁波谱,dian'ci'bo'pu
电荷耦合器件摄影机,dian'he'ou'he'qi'jian'she'ying'ji
电算加密,dian'suan'jia'mi
电子显微摄影测量,dian'zi'xian'wei'she'ying'ce'liang
电子相关,dian'zi'xiang'guan
定向点,ding'xiang'dian
定影,ding'ying
动态传感器,dong'tai'chuan'gan'qi
独立模型法空中三角测量,du'li'mo'xing'fa'kong'zhong'san'jiao'ce'liang
多级纠正,duo'ji'jiu'zheng
多谱段扫描仪,duo'pu'duan'sao'miao'yi
多谱段摄影,duo'pu'duan'she'ying
多谱段摄影机,duo'pu'duan'she'ying'ji
多谱段遥感,duo'pu'duan'yao'gan
多时相分析,duo'shi'xiang'fen'xi
多时相遥感,duo'shi'xiang'yao'gan
多项式法,duo'xiang'shi'fa
二值图象,er'zhi'tu'xiang
反差,fan'cha
反差系数,fan'cha'xi'shu
反差增强,fan'cha'zeng'qiang
反立体,fan'li'ti
反射波谱,fan'she'bo'pu
反束光导管摄象机,fan'shu'guang'dao'guan'she'xiang'ji
反转片,fan'zhuan'pian
仿射纠正,fang'she'jiu'zheng
非监督分类,fei'jian'du'fen'lei
非量测摄影机,fei'liang'ce'she'ying'ji
分带纠正,fen'dai'jiu'zheng
分工法测图,fen'gong'fa'ce'tu
分类器,fen'lei'qi
负片,fu'pian
辐射传感器,fu'she'chuan'gan'qi
辐射校正,fu'she'jiao'zheng
辐射三角测量,fu'she'san'jiao'ce'liang
概率判决函数,gai'lv'pan'jue'han'shu
感光,gan'guang
感光材料,gan'guang'cai'liao
感光测定,gan'guang'ce'ding
感光度,gan'guang'du
感光特性曲线,gan'guang'te'xing'qu'xian
高密度数字磁带,gao'mi'du'shu'zi'ci'dai
工程摄影测量,gong'cheng'she'ying'ce'liang
功率谱,gong'lv'pu
共面方程,gong'mian'fang'cheng
共线方程,gong'xian'fang'cheng
工业摄影测量,gong'ye'she'ying'ce'liang
构架航线,gou'jia'hang'xian
构象方程,gou'xiang'fang'cheng
骨架航线,gu'jia'hang'xian
光电传感器,guang'dian'chuan'gan'qi
光谱感光度,guang'pu'gan'guang'du
光谱灵敏度,guang'pu'ling'min'du
光圈,guang'quan
光圈号数,guang'quan'hao'shu
光束法空中三角测量,guang'shu'fa'kong'zhong'san'jiao'ce'liang
光学传递函数,guang'xue'chuan'di'han'shu
光学传感器,guang'xue'chuan'gan'qi
光学机械纠正,guang'xue'ji'xie'jiu'zheng
光学机械投影,guang'xue'ji'xie'tou'ying
光学纠正,guang'xue'jiu'zheng
光学密度,guang'xue'mi'du
光学条件,guang'xue'tiao'jian
光学投影,guang'xue'tou'ying
光学图解纠正,guang'xue'tu'jie'jiu'zheng
光学图象处理,guang'xue'tu'xiang'chu'li
光学相关,guang'xue'xiang'guan
光学镶嵌,guang'xue'xiang'qian
海洋卫星,hai'yang'wei'xing
航带法空中三角测量,hang'dai'fa'kong'zhong'san'jiao'ce'liang
航高,hang'gao
航空摄谱仪,hang'kong'she'pu'yi
航空摄影,hang'kong'she'ying
航空摄影机,hang'kong'she'ying'ji
航摄计划,hang'she'ji'hua
航摄领航,hang'she'ling'hang
航摄漏洞,hang'she'lou'dong
航摄软片,hang'she'ruan'pian
航摄像片,hang'she'xiang'pian
航天飞机,hang'tian'fei'ji
航天摄影,hang'tian'she'ying
航向重叠,hang'xiang'chong'die
航向倾角,hang'xiang'qing'jiao
合成孔径雷达,he'cheng'kong'jing'lei'da
核点,he'dian
合点控制,he'dian'kong'zhi
核面,he'mian
盒式分类法,he'shi'fen'lei'fa
合线,he'xian
核线,he'xian
核线相关,he'xian'xiang'guan
黑白片,hei'bai'pian
黑白摄影,hei'bai'she'ying
恒星摄影机,heng'xing'she'ying'ji
红外波谱,hong'wai'bo'pu
红外辐射计,hong'wai'fu'she'ji
红外片,hong'wai'pian
红外扫描仪,hong'wai'sao'miao'yi
红外摄影,hong'wai'she'ying
红外图象,hong'wai'tu'xiang
红外遥感,hong'wai'yao'gan
互补色立体观察,hu'bu'se'li'ti'guan'cha
环境探测卫星,huan'jing'tan'ce'wei'xing
灰度,hui'du
灰楔,hui'xie
畸变,ji'bian
几何反转原理,ji'he'fan'zhuan'yuan'li
几何畸变,ji'he'ji'bian
几何校正,ji'he'jiao'zheng
几何模型,ji'he'mo'xing
几何条件,ji'he'tiao'jian
计算机兼容磁带,ji'suan'ji'jian'rong'ci'dai
计算机视觉,ji'suan'ji'shi'jue
机械投影,ji'xie'tou'ying
基一高比,ji'yi'gao'bi
机载传感器,ji'zai'chuan'gan'qi
机助测图,ji'zhu'ce'tu
机助分类,ji'zhu'fen'lei
假彩色,jia'cai'se
假彩色合成,jia'cai'se'he'cheng
假彩色摄影,jia'cai'se'she'ying
加密点,jia'mi'dian
监督分类,jian'du'fen'lei
间接法纠正,jian'jie'fa'jiu'zheng
建筑摄影测量,jian'zhu'she'ying'ce'liang
焦距,jiao'ju
焦面快门,jiao'mian'kuai'men
交线条件,jiao'xian'tiao'jian
交向摄影,jiao'xiang'she'ying
接触晒印,jie'chu'shai'yin
解析测图,jie'xi'ce'tu
解析定向,jie'xi'ding'xiang
解析纠正,jie'xi'jiu'zheng
解析空中三角测量,jie'xi'kong'zhong'san'jiao'ce'liang
近景摄影测量,jin'jing'she'ying'ce'liang
景深,jing'shen
静态传感器,jing'tai'chuan'gan'qi
景物反差,jing'wu'fan'cha
径向畸变,jing'xiang'ji'bian
纠正,jiu'zheng
纠正图底,jiu'zheng'tu'di
纠正元素,jiu'zheng'yuan'su
距离判决函数,ju'li'pan'jue'han'shu
绝对定向,jue'dui'ding'xiang
绝对定向元素,jue'dui'ding'xiang'yuan'su
