阿妗,a'jin
阿妈,a'ma
阿嫲,a'ma
白仁,bai'ren
白傻,bai'sha
诐三国,bi'san'guo
饼药,bing'yao
饼药粉,bing'yao'fen
搏命,bo'ming
柴戆,chai'gang
床墘,chuang'qian
蛓毛虫,ci'mao'chong
呾唔北块去,dan'wu'bei'kuai'qu
地块,di'kuai
电毛,dian'mao
东司,dong'si
对唔住,dui'wu'zhu
番枧,fan'jian
放尿,fang'niao
放屎,fang'shi
浮火,fu'huo
戆过只水鸭,gang'guo'zhi'shui'ya
个银,ge'yin
关火,guan'huo
喉干,hou'gan
厚划心胸,hou'hua'xin'xiong
后生仔,hou'sheng'zai
胡螓,hu'qin
哗甫,hua'fu
火油,huo'you
激心,ji'xin
激血,ji'xue
瘕痀抽,jia'ju'chou
铰刀,jiao'dao
交税,jiao'shui
酒精窟,jiu'jing'ku
尻川,kao'chuan
老查某,lao'cha'mou
老禾埠,lao'he'bu
老嫲,lao'ma
涝屎,lao'shi
老政府,lao'zheng'fu
马仔,ma'zai
猛下,meng'xia
糜籴,mi'di
乜个,mie'ge
暝昏,ming'hun
暝仔,ming'zai
目涩,mu'se
目汁,mu'zhi
孥仔,nu'zai
拍赤脚,pai'chi'jiao
迫性,po'xing
起厝,qi'cuo
契父,qi'fu
乞食,qi'shi
齐谢,qi'xie
契仔,qi'zi
翘楚,qiao'chu
青盲,qing'mang
青盲牛,qing'mang'niu
人客,ren'ke
日斗,ri'dou
散嚷,san'rang
扫手,sao'shou
单丁,shan'ding
善好,shan'hao
食诐唔落,shi'bi'wu'luo
食桌,shi'zhuo
水沵了,shui'mi'le
四人头,si'ren'tou
调羹,tiao'geng
同暹罗诐到猪槽,tong'xian'luo'bi'dao'zhu'cao
头家,tou'jia
托浪脬,tuo'lang'pao
外嫲,wai'ma
我佮汝,wo'ge'ru
无相干,wu'xiang'gan
洗面,xi'mian
洗浴,xi'yu
相辅,xiang'fu
相互,xiang'hu
香橼,xiang'yuan
晓理,xiao'li
鞋拖,xie'tuo
新妇,xin'fu
许块,xu'kuai
雅仔,ya'zai
雅姿娘,ya'zi'niang
腰痀,yao'ju
腰龙骨,yao'long'gu
一粒,yi'li
伊人,yi'ren
硬水,ying'shui
雨遮,yu'zhe
悦着伊,yue'zhe'yi
丈姆婆,zhang'mu'po
只撮话,zhi'cuo'hua
只块,zhi'kuai
纸鹞,zhi'yao
专爱,zhuan'ai
姿娘,zi'niang
走仔,zou'zai
做尼,zuo'ni
