阿迪华,a'di'hua
阿双全,a'shuang'quan
阿彦涛,a'yan'tao
爱的挫折,ai'de'cuo'zhe
艾世菊,ai'shi'ju
安安送米,an'an'song'mi
庵堂认母,an'tang'ren'mu
八大改行,ba'da'gai'hang
八件衣,ba'jian'yi
八猫图,ba'mao'tu
八十一层楼,ba'shi'yi'ceng'lou
白葆亭,bai'bao'ting
白逼宫,bai'bi'gong
白帝城,bai'di'cheng
白迪瀚,bai'di'han
白桦,bai'hua
白家林,bai'jia'lin
白鉴堂,bai'jian'tang
白龙岩,bai'long'yan
白门楼,bai'men'lou
白全福,bai'quan'fu
白先生看病,bai'xian'sheng'kan'bing
白晓芳,bai'xiao'fang
白英杰,bai'ying'jie
白玉,bai'yu
白玉钿,bai'yu'dian
白长命,bai'zhang'ming
班德贵,ban'de'gui
班松麟,ban'song'lin
棒打与溺爱,bang'da'yu'ni'ai
抱抱子,bao'bao'zi
包长春,bao'chang'chun
宝寿华,bao'shou'hua
包文年,bao'wen'nian
北海游,bei'hai'you
北京琴书,bei'jing'qin'shu
背娃进府,bei'wa'jin'fu
毕学祥,bi'xue'xiang
毕英奇,bi'ying'qi
边振新,bian'zhen'xin
表花,biao'hua
别扭话,bie'niu'hua
兵发云南,bing'fa'yun'nan
哺乳诗,bu'ru'shi
彩唱,cai'chang
猜地名,cai'di'ming
猜歌,cai'ge
财迷丈人,cai'mi'zhang'ren
蔡培生,cai'pei'sheng
蔡玉衡,cai'yu'heng
蔡志诚,cai'zhi'cheng
藏舟,cang'zhou
曹宝春,cao'bao'chun
曹鸿伟,cao'hong'wei
曹金星,cao'jin'xing
曹俊清,cao'jun'qing
曹庆波,cao'qing'bo
曹中民,cao'zhong'min
查卫生,cha'wei'sheng
茶叶红,cha'ye'hong
拆唱,chai'chang
长安区剧团,chang'an'qu'ju'tuan
常葆臣,chang'bao'chen
常宝丰,chang'bao'feng
常宝华,chang'bao'hua
常宝霖,chang'bao'lin
常宝霆,chang'bao'ting
常德丝弦,chang'de'si'xian
常福荃,chang'fu'quan
常贵田,chang'gui'tian
常连安,chang'lian'an
常佩业,chang'pei'ye
常澍田,chang'shu'tian
朝阳沟,chao'yang'gou
车文通,che'wen'tong
陈宝泰,chen'bao'tai
陈秉文,chen'bing'wen
陈东国,chen'dong'guo
陈冠义,chen'guan'yi
陈桂林,chen'gui'lin
陈桂鑫,chen'gui'xin
陈国华,chen'guo'hua
陈寒柏,chen'han'bai
陈进山,chen'jin'shan
陈君志,chen'jun'zhi
陈连仲,chen'lian'zhong
陈妙华,chen'miao'hua
陈鸣志,chen'ming'zhi
陈庆,chen'qing
陈仁义,chen'ren'yi
陈尚华,chen'shang'hua
陈尚忠,chen'shang'zhong
陈少云,chen'shao'yun
陈世魁,chen'shi'kui
陈世智,chen'shi'zhi
陈树桐,chen'shu'tong
陈松波,chen'song'bo
陈文光,chen'wen'guang
陈文潇,chen'wen'xiao
陈文彦,chen'wen'yan
谌笑宇,chen'xiao'yu
陈学富,chen'xue'fu
陈永海,chen'yong'hai
陈永清,chen'yong'qing
陈涌泉,chen'yong'quan
陈永忠,chen'yong'zhong
陈幼新,chen'you'xin
陈雨农,chen'yu'nong
陈雨亭,chen'yu'ting
陈治华,chen'zhi'hua
陈紫荃,chen'zi'quan
陈子贞,chen'zi'zhen
程光德,cheng'guang'de
程派戏,cheng'pai'xi
程砚秋,cheng'yan'qiu
成语连篇,cheng'yu'lian'pian
成语新篇,cheng'yu'xin'pian
程之,cheng'zhi
吃饭我掏钱,chi'fan'wo'tao'qian
赤桑镇,chi'sang'zhen
崇寿峰,chong'shou'feng
仇君,chou'jun
川剧,chuan'ju
串调,chuan'tiao
传摇,chuan'yao
春长隆,chun'chang'long
刺王僚,ci'wang'liao
崔伯光,cui'bo'guang
崔长武,cui'chang'wu
崔怀禄,cui'huai'lu
崔金泉,cui'jin'quan
崔喜跃,cui'xi'yue
崔喜悦,cui'xi'yue
崔亚轩,cui'ya'xuan
村官郭秀明,cun'guan'guo'xiu'ming
打百分,da'bai'fen
大保国,da'bao'guo
打柴劝弟,da'chai'quan'di
大登殿,da'deng'dian
大鼓,da'gu
大会见闻,da'hui'jian'wen
打金枝,da'jin'zhi
打銮驾,da'luan'jia
大闹县衙门,da'nao'xian'ya'men
打牌论,da'pai'lun
打砂锅,da'sha'guo
大上寿,da'shang'shou
打神告庙,da'shen'gao'miao
打渔杀家,da'yu'sha'jia
打镇台,da'zhen'tai
戴宝康,dai'bao'kang
戴福月,dai'fu'yue
戴少甫,dai'shao'fu
戴志诚,dai'zhi'cheng
戴致斋,dai'zhi'zhai
旦角戏,dan'jue'xi
单联丽,dan'lian'li
单松亭,dan'song'ting
单弦,dan'xian
党甘亭,dang'gan'ting
当行论,dang'hang'lun
党金良,dang'jin'liang
盗魂铃,dao'hun'ling
倒字,dao'zi
邓继增,deng'ji'zeng
邓沐玮,deng'mu'wei
邓世杰,deng'shi'jie
邓文丰,deng'wen'feng
邓小林,deng'xiao'lin
滇剧,dian'ju
电梯奇遇,dian'ti'qi'yu
点子公司,dian'zi'gong'si
丁伯品,ding'bo'pin
丁广和,ding'guang'he
丁广泉,ding'guang'quan
丁金声,ding'jin'sheng
定军山,ding'jun'shan
丁良生,ding'liang'sheng
丁守义,ding'shou'yi
丁文盛,ding'wen'sheng
丁文元,ding'wen'yuan
丁玉鹏,ding'yu'peng
丁振雨,ding'zhen'yu
董长禄,dong'chang'lu
洞房破迷信,dong'fang'po'mi'xin
董漠涵,dong'mo'han
董启威,dong'qi'wei
董树良,dong'shu'liang
董铁良,dong'tie'liang
董湘臣,dong'xiang'chen
董小柱,dong'xiao'zhu
窦娥冤,dou'e'yuan
都门纪略,dou'men'ji'lue
杜国芝,du'guo'zhi
杜宏圻,du'hong'qi
杜茂林,du'mao'lin
杜培玉,du'pei'yu
杜三宝,du'san'bao
段军,duan'jun
对玉杯,dui'yu'bei
多层饭店,duo'ceng'fan'dian
夺锦楼,duo'jin'lou
恩绪,en'xu
二进宫,er'jin'gong
二楼子,er'lou'zi
儿女赞,er'nv'zan
二堂舍子,er'tang'she'zi
法场换子,fa'chang'huan'zi
法门寺,fa'men'si
范长利,fan'chang'li
范传辅,fan'chuan'fu
樊光耀,fan'guang'yao
范派,fan'pai
范瑞亭,fan'rui'ting
范文欣,fan'wen'xin
樊新民,fan'xin'min
范振钰,fan'zhen'yu
反正话,fan'zheng'hua
方伯华,fang'bo'hua
房国群,fang'guo'qun
方金亮,fang'jin'liang
方笑文,fang'xiao'wen
方志清,fang'zhi'qing
费殿臣,fei'dian'chen
废话趣谈,fei'hua'qu'tan
飞油壶,fei'you'hu
汾河湾,fen'he'wan
冯宝华,feng'bao'hua
奉承人,feng'cheng'ren
冯春岭,feng'chun'ling
冯大荃,feng'da'quan
风格赞,feng'ge'zan
冯景顺,feng'jing'shun
冯乐福,feng'le'fu
冯立铎,feng'li'duo
冯立全,feng'li'quan
冯立樟,feng'li'zhang
冯敏山,feng'min'shan
冯洋,feng'yang
冯翊纲,feng'yi'gang
冯永志,feng'yong'zhi
冯幼封,feng'you'feng
冯振声,feng'zhen'sheng
封至模,feng'zhi'mo
冯子玉,feng'zi'yu
福保仁,fu'bao'ren
付宝山,fu'bao'shan
付海峰,fu'hai'feng
副净,fu'jing
富兰英,fu'lan'ying
富了以后,fu'le'yi'hou
傅派,fu'pai
傅鹏,fu'peng
富寿严,fu'shou'yan
傅向波,fu'xiang'bo
付振江,fu'zhen'jiang
改歌,gai'ge
盖陕西,gai'shan'xi
甘露寺,gan'lu'si
杠刀子,gang'dao'zi
高滨江,gao'bin'jiang
高超勇,gao'chao'yong
高德光,gao'de'guang
高德亮,gao'de'liang
高德明,gao'de'ming
高迪艺,gao'di'yi
高东明,gao'dong'ming
高飞,gao'fei
高凤起,gao'feng'qi
高凤山,gao'feng'shan
高桂清,gao'gui'qing
高洪顺,gao'hong'shun
高吉林,gao'ji'lin
高吉庆,gao'ji'qing
高金奎,gao'jin'kui
高陵县剧团,gao'ling'xian'ju'tuan
高人一头的人,gao'ren'yi'tou'de'ren
高盛麟,gao'sheng'lin
高寿亭,gao'shou'ting
高顺来,gao'shun'lai
高文举,gao'wen'ju
高闻奎,gao'wen'kui
高闻元,gao'wen'yuan
高笑临,gao'xiao'lin
高秀琴,gao'xiu'qin
高英培,gao'ying'pei
高幼峰,gao'you'feng
高玉峰,gao'yu'feng
高玉林,gao'yu'lin
高玉庆,gao'yu'qing
高元钧,gao'yuan'jun
耿宝林,geng'bao'lin
耿伯扬,geng'bo'yang
庚娘杀仇,geng'niang'sha'chou
耿其昌,geng'qi'chang
耿文卿,geng'wen'qing
耿炎,geng'yan
巩汉林,gong'han'lin
宫兰欣,gong'lan'xin
龚玉章,gong'yu'zhang
龚哲平,gong'zhe'ping
苟家滩,gou'jia'tan
狗噘嘴,gou'jue'zui
狗熊大象,gou'xiong'da'xiang
顾海泉,gu'hai'quan
关宝奇,guan'bao'qi
管波,guan'bo
关春山,guan'chun'shan
关栋天,guan'dong'tian
关立铭,guan'li'ming
关立铨,guan'li'quan
关松明,guan'song'ming
关文庆,guan'wen'qing
关自仁,guan'zi'ren
广东粤曲,guang'dong'yue'qu
桄桄,guang'guang
广阔泉,guang'kuo'quan
规矩套子,gui'ju'tao'zi
桂祯,gui'zhen
郭葆华,guo'bao'hua
郭宝明,guo'bao'ming
郭宝珊,guo'bao'shan
郭宝瑛,guo'bao'ying
郭伯良,guo'bo'liang
郭伯山,guo'bo'shan
郭春堂,guo'chun'tang
郭得喜,guo'de'xi
郭迪传,guo'di'chuan
郭迪业,guo'di'ye
郭宏继,guo'hong'ji
郭嘉强,guo'jia'qiang
果克,guo'ke
郭明霞,guo'ming'xia
郭启儒,guo'qi'ru
郭秋林,guo'qiu'lin
郭全宝,guo'quan'bao
郭仁金,guo'ren'jin
郭荣起,guo'rong'qi
郭瑞林,guo'rui'lin
郭士中,guo'shi'zhong
郭淑华,guo'shu'hua
果树青,guo'shu'qing
郭铁林,guo'tie'lin
郭文超,guo'wen'chao
郭文岐,guo'wen'qi
郭文歧,guo'wen'qi
郭文寿,guo'wen'shou
郭祥林,guo'xiang'lin
郭晓小,guo'xiao'xiao
郭新,guo'xin
蛤蟆鼓,ha'ma'gu
韩刚甲,han'gang'jia
韩光,han'guang
韩广海,han'guang'hai
韩兰成,han'lan'cheng
含梨片,han'li'pian
韩青天,han'qing'tian
韩文光,han'wen'guang
韩翔,han'xiang
韩笑,han'xiao
韩小痴,han'xiao'chi
韩秀英,han'xiu'ying
韩正满,han'zheng'man
韩子康,han'zi'kang
郝爱民,hao'ai'min
郝彩凤,hao'cai'feng
郝莲露,hao'lian'lu
郝英辰,hao'ying'chen
河北梆子,he'bei'bang'zi
河南坠子,he'nan'zhui'zi
何善平,he'shan'ping
何世铭,he'shi'ming
何寿亭,he'shou'ting
何树成,he'shu'cheng
河湾洗衣,he'wan'xi'yi
何玉清,he'yu'qing
黑叮本,hei'ding'ben
黑虎坐台,hei'hu'zuo'tai
恒瑞丰,heng'rui'feng
红楼百科,hong'lou'bai'ke
洪羊洞,hong'yang'dong
烘窑,hong'yao
红鬃烈马,hong'zong'lie'ma
侯宝林,hou'bao'lin
侯长喜,hou'chang'xi
侯大明白,hou'da'ming'bai
侯扶倒,hou'fu'dao
侯冠男,hou'guan'nan
侯冠群,hou'guan'qun
侯红琴,hou'hong'qin
侯连友,hou'lian'you
侯少尘,hou'shao'chen
侯式发音法,hou'shi'fa'yin'fa
侯孝才,hou'xiao'cai
侯耀文,hou'yao'wen
侯一尘,hou'yi'chen
