挨球,ai'qiu
安逸得板,an'yi'de'ban
粑粑,ba'ba
耙耳朵,ba'er'duo
巴适,ba'shi
摆龙门阵,bai'long'men'zhen
拌壳儿,ban'ke'er
帮臭,bang'chou
棒老二,bang'lao'er
棒硬,bang'ying
邦重,bang'zhong
包谷,bao'gu
宝器,bao'qi
背时,bei'shi
边花儿,bian'hua'er
憋憋,bie'bie
憋遭,bie'zao
铲铲,chan'chan
颤翎子,chan'ling'zi
长虫,chang'chong
扯靶子,che'ba'zi
扯垛子,che'duo'zi
扯拐,che'guai
车过来,che'guo'lai
撤荒,che'huang
扯筋,che'jin
扯脯酣,che'pu'han
车疼了,che'teng'le
车蛛子,che'zhu'zi
吃胡,chi'hu
冲壳子,chong'ke'zi
冲磕子,chong'ke'zi
揣起,chuai'qi
川普,chuan'pu
锤子,chui'zi
戳拐,chuo'guai
窜窜儿,cuan'cuan'er
打啵儿,da'bo'er
打捶,da'chui
打鼎锅盖,da'ding'guo'gai
打燃火,da'ran'huo
打牙祭,da'ya'ji
打幺台,da'yao'tai
带把子,dai'ba'zi
逮猫儿,dai'mao'er
凼凼,dang'dang
当当,dang'dang
倒拐,dao'guai
倒拐子,dao'guai'zi
抵拢,di'long
叮叮猫,ding'ding'mao
定子,ding'zi
二百五,er'bai'wu
耳瓜子,er'gua'zi
方脑壳,fang'nao'ke
粉子,fen'zi
风丝麻木,feng'si'ma'mu
付你两耳屎,fu'ni'liang'er'shi
干豇豆,gan'jiang'dou
干啥子,gan'sha'zi
搞刨,gao'bao
搞球不懂,gao'qiu'bu'dong
哥老关,ge'lao'guan
跟头儿扑爬,gen'tou'er'pu'pa
钩子,gou'zi
鼓到,gu'dao
姑尼儿,gu'ni'er
瓜的翻山,gua'de'fan'shan
瓜儿,gua'er
挂挂钱,gua'gua'qian
瓜娃子,gua'wa'zi
瓜兮兮,gua'xi'xi
怪经,guai'jing
关你球事,guan'ni'qiu'shi
光巴子,guang'ba'zi
鬼扯,gui'che
龟儿,gui'er
鬼迷日眼,gui'mi'ri'yan
哈戳戳,ha'chuo'chuo
哈儿,ha'er
哈批,ha'pi
哈数,ha'shu
耗老官,hao'lao'guan
黑挨球,hei'ai'qiu
黑区麻拱,hei'qu'ma'gong
黄棒,huang'bang
豁别个,huo'bie'ge
火炮儿,huo'pao'er
豁皮,huo'pi
鸡芭,ji'ba
几哈,ji'ha
夹舌子,jia'she'zi
贾素芬,jia'su'fen
剪脑壳,jian'nao'ke
绞家,jiao'jia
经叫唤,jing'jiao'huan
经事,jing'shi
惊爪爪,jing'zhao'zhao
撅人,jue'ren
卡卡角角,ka'ka'jiao'jiao
砍脑壳的,kan'nao'ke'de
烤沙罐,kao'sha'guan
客妈儿,ke'ma'er
苦毛子,ku'mao'zi
癞克宝,lai'ke'bao
烂眼儿,lan'yan'er
拦中半腰,lan'zhong'ban'yao
老哈,lao'ha
老汉儿,lao'han'er
老子,lao'zi
理扯火,li'che'huo
落教,luo'jiao
螺丝骨,luo'si'gu
麻花,ma'hua
马老壳,ma'lao'ke
麻批,ma'pi
麻糖,ma'tang
毛焦火辣,mao'jiao'huo'la
茂起,mao'qi
闷墩,men'dun
闷起,men'qi
默斗,mo'dou
抹货,mo'huo
脑壳有包,nao'ke'you'bao
脑壳有乒乓,nao'ke'you'ping'pang
弄你,nong'ni
弄血腥,nong'xue'xing
女娃儿,nv'wa'er
跑的脱,pao'de'tuo
泡梢,pao'shao
屁儿,pi'er
批话多,pi'hua'duo
批噻噻,pi'sai'sai
撇火,pie'huo
撇脱,pie'tuo
婆娘,po'niang
匍爬,pu'pa
欠耳子,qian'er'zi
千烦,qian'fan
翘根,qiao'gen
倾候,qing'hou
秋瓣儿,qiu'ban'er
秋儿,qiu'er
球墨名堂,qiu'mo'ming'tang
曲鳝,qu'shan
雀黑,que'hei
日白,ri'bai
日的起壳子,ri'de'qi'ke'zi
日怪,ri'guai
日龙包,ri'long'bao
萨果,sa'guo
三飘一,san'piao'yi
臊皮,sao'pi
啬甲子,se'jia'zi
刹国,sha'guo
杀锅,sha'guo
啥子事,sha'zi'shi
神措措,shen'cuo'cuo
输脱,shu'tuo
涮坛子,shuan'tan'zi
丝袜子,si'wa'zi
梭老二,suo'lao'er
梭椰子,suo'ye'zi
蓑衣子,suo'yi'zi
塔塔,ta'ta
胎神,tai'shen
讨口子,tao'kou'zi
偷油婆,tou'you'po
退神光,tui'shen'guang
推死耙,tui'si'ba
歪货,wai'huo
万精油,wan'jing'you
弯酸,wan'suan
瘟伤,wen'shang
蜗尿,wo'niao
污猫皂狗,wu'mao'zao'gou
洗白,xi'bai
洗脑壳,xi'nao'ke
虾爬,xia'pa
仙人板板,xian'ren'ban'ban
相因,xiang'yin
雄起,xiong'qi
悬宰,xuan'zai
鸭儿,ya'er
幺儿,yao'er
窑裤,yao'ku
幺妹,yao'mei
一哈,yi'ha
阴倒,yin'dao
扎起,za'qi
崽儿,zai'er
灶鸡子,zao'ji'zi
早十八年,zao'shi'ba'nian
贼娃子,zei'wa'zi
渣渣,zha'zha
斩劲,zhan'jing
张是,zhang'shi
折耳根,zhe'er'gen
中标,zhong'biao
爪子,zhua'zi
走人服,zou'ren'fu
