阿基米德巧计,a'ji'mi'de'qiao'ji
阿拉沟,a'la'gou
阿拉曼,a'la'man
阿玛利特,a'ma'li'te
阿斯洛克,a'si'luo'ke
爱岗敬业,ai'gang'jing'ye
爱国主义,ai'guo'zhu'yi
隘路,ai'lu
爱默森,ai'mo'sen
埃塞克斯级,ai'sai'ke'si'ji
艾森豪威尔,ai'sen'hao'wei'er
艾森豪威尔号,ai'sen'hao'wei'er'hao
爱生豪威尔,ai'sheng'hao'wei'er
岸壁式码头,an'bi'shi'ma'tou
岸边,an'bian
岸边节套舟,an'bian'jie'tao'zhou
岸边码头,an'bian'ma'tou
岸边器材,an'bian'qi'cai
岸边舟,an'bian'zhou
鞍部,an'bu
按撤诉处理,an'che'su'chu'li
安大略,an'da'lue
安定器,an'ding'qi
案发单位,an'fa'dan'wei
岸防,an'fang
岸防兵,an'fang'bing
岸防兵部队,an'fang'bing'bu'dui
按方位角行进,an'fang'wei'jiao'xing'jin
安哥拉之战,an'ge'la'zhi'zhan
安汉,an'han
安徽武备学堂,an'hui'wu'bei'xue'tang
暗火力点,an'huo'li'dian
按计划,an'ji'hua
按计划出动,an'ji'hua'chu'dong
按级任教,an'ji'ren'jiao
按级指挥,an'ji'zhi'hui
岸舰导弹,an'jian'dao'dan
安能动之,an'neng'dong'zhi
岸炮,an'pao
安庆保卫战,an'qing'bao'wei'zhan
安全导火索,an'quan'dao'huo'suo
安全电流,an'quan'dian'liu
安全剂量,an'quan'ji'liang
安全界,an'quan'jie
安全距离,an'quan'ju'li
安全密度,an'quan'mi'du
安全射速,an'quan'she'su
安全深度,an'quan'shen'du
安全试验,an'quan'shi'yan
安全系统,an'quan'xi'tong
安全自毁系统,an'quan'zi'hui'xi'tong
按人之兵,an'ren'zhi'bing
岸上目标,an'shang'mu'biao
岸上指挥所,an'shang'zhi'hui'suo
岸上重要目标,an'shang'zhong'yao'mu'biao
岸上重要设施,an'shang'zhong'yao'she'shi
岸滩,an'tan
岸滩障碍物,an'tan'zhang'ai'wu
暗挖式工事,an'wa'shi'gong'shi
暗挖式通道,an'wa'shi'tong'dao
安外大街,an'wai'da'jie
按西方,an'xi'fang
按下点火按钮,an'xia'dian'huo'an'niu
按下发射按钮,an'xia'fa'she'an'niu
按下炮钮,an'xia'pao'niu
安新战役,an'xin'zhan'yi
按预定弹道,an'yu'ding'dan'dao
安远将军,an'yuan'jiang'jun
安战,an'zhan
按照坦克,an'zhao'tan'ke
安装部位,an'zhuang'bu'wei
安装工作量,an'zhuang'gong'zuo'liang
安装使用电网,an'zhuang'shi'yong'dian'wang
按左扶右,an'zuo'fu'you
肮脏核武器,ang'zang'he'wu'qi
肮脏氢弹,ang'zang'qing'dan
奥得,ao'de
凹入式打磨,ao'ru'shi'da'mo
奥托,ao'tuo
奥托丛林王,ao'tuo'cong'lin'wang
凹形斜面,ao'xing'xie'mian
巴巴罗萨,ba'ba'luo'sa
靶场,ba'chang
靶场选型试验,ba'chang'xuan'xing'shi'yan
扒乘机动车,ba'cheng'ji'dong'che
八服,ba'fu
八卦旗,ba'gua'qi
靶机,ba'ji
巴克,ba'ke
巴克夜鹰,ba'ke'ye'ying
靶雷,ba'lei
巴列夫防线,ba'lie'fu'fang'xian
八路军,ba'lu'jun
八路军进行曲,ba'lu'jun'jin'xing'qu
八年抗战,ba'nian'kang'zhan
八旗兵,ba'qi'bing
八一厂,ba'yi'chang
八一建军节,ba'yi'jian'jun'jie
八一奖章,ba'yi'jiang'zhang
八一军徽,ba'yi'jun'hui
八一军旗,ba'yi'jun'qi
八一帽徽,ba'yi'mao'hui
八一南昌起义,ba'yi'nan'chang'qi'yi
八一体工队,ba'yi'ti'gong'dui
八一勋章,ba'yi'xun'zhang
八中队,ba'zhong'dui
拔桩,ba'zhuang
拔桩机,ba'zhuang'ji
白崇禧,bai'chong'xi
白根,bai'gen
柏伽索斯号,bai'jia'suo'si'hao
白令海峡,bai'ling'hai'xia
百年战争,bai'nian'zhan'zheng
白袍衣,bai'pao'yi
百骑,bai'qi
百人督,bai'ren'du
白刃格斗,bai'ren'ge'dou
白色方案,bai'se'fang'an
百色起义,bai'se'qi'yi
百团大战,bai'tuan'da'zhan
百万雄师,bai'wan'xiong'shi
百姓之费,bai'xing'zhi'fei
白烟,bai'yan
百眼巨人号,bai'yan'ju'ren'hao
败战,bai'zhan
百战,bai'zhan
百战奇法,bai'zhan'qi'fa
百战奇略,bai'zhan'qi'lue
半渡而击,ban'du'er'ji
半渡击,ban'du'ji
绊发,ban'fa
班副,ban'fu
扳机,ban'ji
扳机簧,ban'ji'huang
扳机力,ban'ji'li
扳机轴,ban'ji'zhou
半距等高线,ban'ju'deng'gao'xian
办理印鉴备案,ban'li'yin'jian'bei'an
半潜,ban'qian
半潜状态,ban'qian'zhuang'tai
半日潮,ban'ri'chao
半伤害剂量,ban'shang'hai'ji'liang
半伤害浓度,ban'shang'hai'nong'du
班哨,ban'shao
半衰期,ban'shuai'qi
半衰期时间,ban'shuai'qi'shi'jian
半衰弱层,ban'shuai'ruo'ceng
伴随修理,ban'sui'xiu'li
绊线,ban'xian
绊线轴,ban'xian'zhou
班用,ban'yong
班用冲锋舟,ban'yong'chong'feng'zhou
半永久修复,ban'yong'jiu'xiu'fu
半圆形落地拱,ban'yuan'xing'luo'di'gong
半遮蔽阵地,ban'zhe'bi'zhen'di
半直接,ban'zhi'jie
半致死剂量,ban'zhi'si'ji'liang
半舟,ban'zhou
半主动雷达,ban'zhu'dong'lei'da
绊桩,ban'zhuang
半自动步枪,ban'zi'dong'bu'qiang
保持空域位置,bao'chi'kong'yu'wei'zhi
饱而饥之,bao'er'ji'zhi
报废装备,bao'fei'zhuang'bei
爆高,bao'gao
报告文书,bao'gao'wen'shu
爆后,bao'hou
保护公民,bao'hu'gong'min
保护迷彩,bao'hu'mi'cai
保家卫国,bao'jia'wei'guo
堡篮桥脚,bao'lan'qiao'jiao
暴力威胁,bao'li'wei'xie
暴露人员,bao'lu'ren'yuan
暴露翼侧,bao'lu'yi'ce
暴露阵地,bao'lu'zhen'di
暴露征候,bao'lu'zheng'hou
暴乱事件,bao'luan'shi'jian
保密电话,bao'mi'dian'hua
保密话网,bao'mi'hua'wang
保密机,bao'mi'ji
保密纪律,bao'mi'ji'lv
保密手段,bao'mi'shou'duan
保密通信,bao'mi'tong'xin
保密性,bao'mi'xing
保密制度,bao'mi'zhi'du
暴怒号,bao'nu'hao
爆破弹,bao'po'dan
