奥运百天,ao'yun'bai'tian
奥运对外宣传,ao'yun'dui'wai'xuan'chuan
白楼,bai'lou
北街,bei'jie
重修,chong'xiu
创美,chuang'mei
单宇,dan'yu
导员,dao'yuan
电气,dian'qi
电气信息,dian'qi'xin'xi
电子设计大赛,dian'zi'she'ji'da'sai
电子信息科学类,dian'zi'xin'xi'ke'xue'lei
东冉哥,dong'ran'ge
动员大会,dong'yuan'da'hui
豆花,dou'hua
都小事,dou'xiao'shi
飞宇,fei'yu
工商学院,gong'shang'xue'yuan
菇男瓜女,gu'nan'gua'nv
挂科,gua'ke
国交学部,guo'jiao'xue'bu
海报设计大赛,hai'bao'she'ji'da'sai
河北大学工商学院,he'bei'da'xue'gong'shang'xue'yuan
河北大学工商学院论坛,he'bei'da'xue'gong'shang'xue'yuan'lun'tan
河北大学工商学院学生论坛,he'bei'da'xue'gong'shang'xue'yuan'xue'sheng'lun'tan
厚朴,hou'pu
厚朴南口宿舍一号铺,hou'pu'nan'kou'su'she'yi'hao'pu
厚望,hou'wang
煌煌北国望学府巍巍工商独称尊,huang'huang'bei'guo'wang'xue'fu'wei'wei'gong'shang'du'cheng'zun
黄原,huang'yuan
几何及工程绘图,ji'he'ji'gong'cheng'hui'tu
教学区,jiao'xue'qu
街头魔术,jie'tou'mo'shu
景观大道,jing'guan'da'dao
敬儒姐,jing'ru'jie
竞秀公园,jing'xiu'gong'yuan
坤舆,kun'yu
坤舆餐饮,kun'yu'can'yin
坤舆湖,kun'yu'hu
坤舆全图,kun'yu'quan'tu
坤舆园,kun'yu'yuan
李会清,li'hui'qing
猎人战队,lie'ren'zhan'dui
刘红娜,liu'hong'na
陆东冉,lu'dong'ran
马原,ma'yuan
魔协,mo'xie
南鲜花,nan'xian'hua
女生部,nv'sheng'bu
女生风采大赛,nv'sheng'feng'cai'da'sai
破牌,po'pai
人文学部,ren'wen'xue'bu
日子剧团,ri'zi'ju'tuan
软创,ruan'chuang
尚超,shang'chao
生活区,sheng'huo'qu
视觉创意大赛,shi'jue'chuang'yi'da'sai
实事求是笃学诚行,shi'shi'qiu'shi'du'xue'cheng'xing
试翼报社,shi'yi'bao'she
数电模电,shu'dian'mo'dian
双选会,shuang'xuan'hui
思修,si'xiu
孙邯,sun'han
孙敬儒,sun'jing'ru
田家炳艺术学院,tian'jia'bing'yi'shu'xue'yuan
跳蚤市场,tiao'zao'shi'chang
土立方,tu'li'fang
外联部,wai'lian'bu
吴明霞,wu'ming'xia
武协,wu'xie
西华厅,xi'hua'ting
新大地,xin'da'di
信计,xin'ji
馨宁,xin'ning
馨清,xin'qing
心晴,xin'qing
馨清楼,xin'qing'lou
信然楼,xin'ran'lou
信士,xin'shi
信息技术与计算科学,xin'xi'ji'shu'yu'ji'suan'ke'xue
信息科学与工程学部,xin'xi'ke'xue'yu'gong'cheng'xue'bu
信息学部,xin'xi'xue'bu
信香,xin'xiang
馨雅,xin'ya
新雅,xin'ya
星期舞,xing'qi'wu
宣传部,xuan'chuan'bu
选课,xuan'ke
学工部,xue'gong'bu
学生会篮球赛,xue'sheng'hui'lan'qiu'sai
叶小倩,ye'xiao'qian
易百超市,yi'bai'chao'shi
艺设,yi'she
艺社,yi'she
印象校园,yin'xiang'xiao'yuan
尉迟琳嘉,yu'chi'lin'jia
宇轩,yu'xuan
炸猫,zha'mao
张凯靓,zhang'kai'liang
张磊,zhang'lei
张夕,zhang'xi
张宇轩,zhang'yu'xuan
智都,zhi'dou
致仁楼,zhi'ren'lou
致信楼,zhi'xin'lou
致义北,zhi'yi'bei
致义楼,zhi'yi'lou
致义南,zhi'yi'nan
朱宇,zhu'yu
